統合ID,文字,通典卷一,字体数,用例数,部首
10028,蒸,0290,0,1,140
10008,蒙,0291,0,1,140
10093,蕃,0292,0,1,140
10200,藜,0293,0,1,140
10207,藪,0294,0,1,140
10160,薦,0295,0,1,140
10231,蘇,0296,0,1,140
09966,葉,0297,0,1,140
09772,苑,0298,0,1,140
09797,苴,0299,0,1,140
10273,虜,0300,0,1,141
10276,號,0301,0,1,141
10599,蠶,0302,0,1,142
10649,衰,0303,0,1,145
10708,裔,0304,0,1,145
10643,表,0305,0,1,145
10857,覽,0306,0,1,147
10833,規,0307,0,1,147
10849,覬,0308,0,1,147
10859,觀,0309,0,1,147
10845,覦,0310,0,1,147
10930,許,0311,0,1,149
10912,訖,0312,0,1,149
11074,諫,0313,0,1,149
11028,誰,0314,0,1,149
11133,謫,0315,0,1,149
11003,認,0316,0,1,149
10957,詐,0317,0,1,149
10919,訟,0318,0,1,149
10913,託,0319,0,1,149
10979,詩,0320,0,1,149
11094,謁,0321,0,1,149
10975,試,0322,0,1,149
11018,誠,0323,0,1,149
11012,誘,0324,0,1,149
10909,訓,0325,0,1,149
11171,識,0326,0,1,149
10943,訾,0327,0,1,149
11207,讀,0328,0,1,149
11283,豫,0329,0,1,152
11438,贓,0330,1,2,154
11342,貪,0331,0,1,154
11362,貿,0332,0,1,154
11359,費,0333,0,1,154
11335,貢,0334,0,1,154
11344,責,0335,0,1,154
11445,赤,0336,0,1,155
11479,趙,0337,0,1,156
11471,越,0338,0,1,156
11590,踦,0339,0,1,157
M37781,,0340,0,1,157
11591,踧,0341,0,1,157
11552,跱,0342,0,1,157
11548,路,0343,0,1,157
11708,躡,0344,0,1,157
11841,輸,0345,0,1,159
11856,轉,0346,0,1,159
11799,輒,0347,0,1,159
11896,辜,0348,0,1,160
11918,辱,0349,0,1,161
11993,逐,0350,0,1,162
12017,迸,0351,0,1,162
11977,迺,0352,0,1,162
11947,迎,0353,0,1,162
11976,迹,0354,0,1,162
12047,遏,0355,0,1,162
11965,迫,0356,0,1,162
12031,逾,0357,0,1,162
12042,遊,0358,0,1,162
11951,返,0359,0,1,162
12082,遭,0360,0,1,162
12052,達,0361,0,1,162
12234,鄰,0362,0,1,163
12139,邪,0363,0,1,163
12229,鄭,0364,0,1,163
12168,郞,0365,0,1,163
12212,鄙,0366,0,1,163
12149,邸,0367,0,1,163
12232,鄮,0368,0,1,163
12217,鄞,0369,0,1,163
12263,配,0370,0,1,164
12266,酒,0371,0,1,164
12340,醪,0372,0,1,164
12301,酷,0373,0,1,164
12367,采,0374,0,1,165
12425,鉅,0375,0,1,167
12750,閭,0376,0,1,169
12802,阜,0377,0,1,170
12898,隔,0378,0,1,170
12926,隧,0379,0,1,170
12923,隤,0380,0,1,170
12849,陜,0381,0,1,170
12836,陋,0382,0,1,170
12867,陵,0383,0,1,170
12847,陛,0384,0,1,170
12868,陶,0385,0,1,170
12864,陳,0386,0,1,170
12886,隆,0387,0,1,170
12961,雄,0388,0,1,172
12972,雍,0389,0,1,172
13012,雨,0390,0,1,173
13092,靈,0391,0,1,173
13022,零,0392,0,1,173
13307,頌,0393,0,1,181
13325,頗,0394,0,1,181
13391,願,0395,0,1,181
13398,類,0396,0,1,181
13327,領,0397,0,1,181
13359,頻,0398,0,1,181
13358,頽,0399,0,1,181
13409,顧,0400,0,1,181
13376,題,0401,0,1,181
13316,頓,0402,0,1,181
13613,餽,0403,0,1,184
13584,館,0404,0,1,184
13558,餒,0405,0,1,184
13641,饒,0406,0,1,184
13541,飽,0407,0,1,184
13839,驅,0408,0,1,187
13849,驗,0409,0,1,187
13724,駕,0410,0,1,187
13873,骨,0411,0,1,188
14057,鬻,0412,0,1,193
14137,鮆,0413,0,1,195
14254,鰌,0414,0,1,195
14174,鮮,0415,0,1,195
14361,鳥,0416,0,1,196
14431,鴨,0417,0,1,196
14699,黍,0418,0,1,202
14709,黑,0419,0,1,203
14730,黨,0420,0,1,203
14717,黔,0421,0,1,203
14828,齊,0422,0,1,210
00001,一,0423,1,53,001
00013,不,0425,1,128,001
00007,三,0428,1,52,001
00029,丞,0430,1,7,001
00026,丘,0431,1,3,001
00002,丁,0432,1,8,001
00008,上,0433,1,32,001
00009,下,0434,1,36,001
00025,世,0435,1,2,001
00020,且,0436,1,5,001
00004,七,0437,1,15,001
00051,中,0438,1,23,002
00070,主,0439,1,7,003
00069,丹,0440,1,2,003
00085,久,0441,1,5,004
00102,乘,0442,1,8,004
00088,之,0443,1,224,004
00093,乏,0448,1,2,004
00107,九,0449,1,14,005
00109,也,0450,1,51,005
00121,亂,0451,1,3,005
00128,事,0452,1,18,006
00129,二,0453,1,40,007
00136,井,0454,1,28,007
00135,五,0455,1,30,007
00157,京,0456,1,4,008
00150,亡,0457,1,9,008
00154,亦,0458,1,13,008
00168,人,0459,1,115,009
00175,今,0462,1,21,009
00301,依,0463,1,6,009
00177,仍,0464,1,2,009
00350,倶,0465,1,2,009
00299,供,0466,1,3,009
00279,使,0467,1,16,009
00206,任,0468,1,15,009
00250,何,0469,1,3,009
00183,他,0470,1,4,009
00200,仲,0471,1,4,009
00256,作,0472,1,8,009
00338,俗,0473,1,4,009
00365,倉,0474,1,2,009
00194,以,0475,1,107,009
00534,儗,0477,1,4,009
00524,儉,0478,1,2,009
00539,償,0479,1,3,009
00368,倍,0480,1,11,009
00342,保,0481,1,2,009
00321,便,0482,1,5,009
00282,來,0483,1,6,009
00509,僭,0484,1,2,009
00247,佑,0485,1,2,009
00193,令,0486,1,21,009
00218,伐,0487,1,2,009
00243,位,0488,1,2,009
00313,侯,0489,1,15,009
00345,信,0490,1,2,009
00192,代,0491,1,14,009
00219,休,0492a,2,3,009
00219b,休,0492b,2,1,009
00382,借,0493,1,2,009
00570,免,0494,1,3,010
00560,元,0495,1,10,010
00567,光,0496,1,5,010
00562,充,0497,1,4,010
00577,兗,0498,1,2,010
00566,先,0499,1,10,010
00564,兆,0500,1,2,010
00582,入,0501,1,3,011
00585,内,0502,1,12,011
00594,八,0503,1,10,012
00606,具,0504,1,4,012
00597,六,0505,1,16,012
00605,其,0506,1,72,012
00613,兼,0508,1,8,012
00602,兵,0509,1,6,012
00608,典,0510,1,3,012
00596,公,0511,1,16,012
00616,冀,0512,1,2,012
00629,再,0513,1,3,013
00684,凍,0514,1,2,015
00683,凌,0515,1,2,015
00662,冬,0516,1,2,015
00701,凡,0517,1,5,016
00723,出,0518,1,5,017
00746,刑,0519,1,6,018
00734,分,0520,1,18,018
00754,列,0521,1,8,018
00789,則,0522,1,19,018
00794,前,0523,1,3,018
00776,制,0524,1,25,018
00767,利,0525,1,12,018
00763,別,0526,1,5,018
00759,初,0527,1,6,018
00782,刺,0528,1,2,018
00879,勅,0529,1,2,019
00913,勸,0530,1,10,019
00856,力,0531,1,15,019
00890,務,0532a,2,8,019
00890b,務,0532b,2,2,019
00894,勞,0533,1,4,019
00858,加,0534,1,5,019
00857,功,0535,1,8,019
00893,勝,0536,1,2,019
00919,勿,0537,1,2,020
00938,化,0538,1,4,021
00985,十,0539,1,70,024
00994,半,0541,1,6,024
00987,千,0542,1,18,024
01004,卒,0543,1,7,024
01010,南,0544,1,2,024
01016,博,0545,1,3,024
01022,占,0546,1,14,025
01052,卿,0547,1,5,026
01040,卷,0548,1,2,026
01049,卽,0549,1,2,026
01079,厥,0550,1,19,027
01101,去,0551,1,5,028
01108,又,0552,1,18,029
01111,及,0553,1,24,029
01128,受,0554,1,27,029
01127,取,0555,1,2,029
01141,口,0556,1,15,030
01175,名,0557,1,7,030
01342,唐,0558,1,2,030
01363,商,0559,1,6,030
01157,史,0560,1,3,030
01296,品,0561,1,11,030
01158,右,0562,1,2,030
01479,嘗,0563,1,2,030
01177,吏,0564,1,10,030
01174,同,0565,1,7,030
01263,和,0566,1,2,030
01163,司,0567,1,11,030
01235,周,0568,1,4,030
01185,君,0569,1,8,030
01154,可,0570,1,28,030
01581,嚴,0571,1,2,030
01168,各,0572,1,9,030
01395,善,0573,1,3,030
01305,哉,0574,1,2,030
01523,器,0575,1,3,030
01252,命,0576,1,2,030
01288,咸,0577,1,2,030
01295,哀,0578,1,3,030
01142,古,0579,1,10,030
01607,四,0580,1,23,031
01611,因,0581,1,7,031
01644,園,0582,1,2,031
01623,困,0583,1,2,031
01639,國,0584,1,25,031
01627,固,0585,1,3,031
01654,土,0586,1,34,032
01666,地,0587,1,55,032
01793,堯,0589,1,3,032
01895,壞,0590,1,2,032
01866,墳,0591,1,4,032
01899,壤,0592,1,3,032
01740,城,0593,1,8,032
01818,塗,0594,1,2,032
01674,均,0595,1,8,032
01783,提,0596,1,3,032
01659,在,0597,1,17,032
01682,坐,0598,1,4,032
01872,墾,0599,1,12,032
01855,墟,0600,1,2,032
01904,壬,0601,1,3,033
01903,士,0602,1,6,033
01927,夏,0603,1,5,035
01934,外,0604,1,3,036
01938,多,0605,1,18,036
01946,大,0606,1,20,037
01949,夫,0607,1,34,037
01948,太,0608,1,10,037
01957,失,0609,1,4,037
01981,奏,0610,1,4,037
01974,奉,0611,1,2,037
01947,天,0612,1,16,037
02022,女,0613,1,4,038
02031,如,0614,1,12,038
02061,妻,0615,1,2,038
02069,始,0616,1,11,038
02151,婢,0617,1,10,038
02024,奴,0618,1,12,038
02105,威,0619,1,2,038
02155,婦,0620,1,5,038
02029,好,0621,1,2,038
02078,委,0622,1,2,038
02077,姓,0623,1,11,038
02282,孫,0624,1,3,039
02262,子,0625,1,18,039
02264,孔,0626,1,2,039
02273,孝,0627,1,16,039
02293,學,0628,1,2,039
02390,實,0629,1,6,040
02366,富,0630,1,15,040
02309,安,0631,1,8,040
02397,寬,0632,1,3,040
02325,定,0633,1,9,040
02355,宿,0634,1,2,040
02371,寒,0635,1,5,040
02395,審,0636,1,3,040
02306,宅,0637,1,10,040
02349,家,0638,1,30,040
02383,察,0639,1,3,040
02342,宮,0640,1,3,040
02386,寡,0641,1,7,040
02406,寵,0642,1,2,040
02323,官,0643,1,16,040
02346,害,0644,1,3,040
02373,寔,0645,1,2,040
02332,室,0646,1,3,040
02331,客,0647,1,3,040
02322,宗,0648,1,2,040
02308,守,0649,1,5,040
02420,封,0650,1,13,041
02426,專,0651,1,5,041
02425,將,0652,1,3,041
02439,小,0653,1,10,042
02440,少,0654,1,14,042
02446,尚,0655,1,3,042
02464,就,0656,1,4,043
02482,居,0657,1,8,044
02488,屋,0658,1,3,044
02471,尺,0659,1,4,044
02515,屬,0660,1,5,044
02528,山,0661,1,13,046
02764,州,0662,1,22,047
02773,工,0663,1,3,048
02775,巧,0664,1,3,048
02780,差,0665,1,5,048
02774,左,0666,1,2,048
02783,已,0667,1,6,049
02847,常,0668,1,6,050
02820,帝,0669,1,21,050
02800,布,0670,1,2,050
02806,希,0671,1,2,050
02835,師,0672,1,2,050
02828,帥,0673,1,2,050
02799,市,0674,1,3,050
02900,年,0675,1,39,051
02903,幸,0676,1,3,051
02899,平,0677,1,10,051
02902,并,0678,1,7,051
02962,康,0679,1,2,053
02999,廬,0680,1,2,053
02992,廢,0681,1,6,053
02944,度,0682,1,6,053
02938,府,0683,1,2,053
02997,廩,0684,1,3,053
02993,廣,0685,1,7,053
02961,庶,0686,1,4,053
03005,延,0687,1,2,054
03006,建,0688,1,4,054
03027,弊,0689,1,4,055
03064,弱,0690,1,4,057
03084,彌,0691,1,3,057
03065,張,0692,1,3,057
03145,得,0693,1,37,060
03159,復,0694,1,10,060
03148,徙,0695,1,10,060
03151,從,0696,1,11,060
03143,徒,0697,1,3,060
03123,役,0698,1,6,060
03137,律,0699,1,2,060
03160,循,0700,1,2,060
03141,徐,0701,1,3,060
03128,往,0702,1,3,060
03132,待,0703,1,3,060
03138,後,0704,1,22,060
03179,心,0705,1,5,061
03395,意,0706,1,3,061
03243,急,0707,1,4,061
03550,應,0708,1,2,061
03298,息,0709,1,4,061
03194,志,0710,1,2,061
03267,恆,0711,1,5,061
03355,惑,0712,1,2,061
03366,惠,0713,1,2,061
03245,怨,0714,1,2,061
03312,悉,0715,1,4,061
03180,必,0716,1,3,061
03365,惟,0717,1,14,061
03607,戎,0718,1,7,062
03617,或,0719,1,9,062
03610,成,0720,1,5,062
03647,所,0721,1,32,063
03640,戸,0722,1,6,063
03661,才,0723,1,2,064
03690,承,0724,1,2,064
03872,採,0725,1,3,064
03939,損,0726,1,3,064
04069,播,0727,1,3,064
03855,授,0728,1,7,064
04084,擅,0729,1,2,064
04319,變,0730,1,2,066
04235,政,0731,1,15,066
04298,數,0732,1,17,066
04243,故,0733,1,29,066
04309,斂,0734,1,3,066
04293,敵,0735,1,3,066
04261,教,0736,1,10,066
04224,收,0737,1,3,066
04228,改,0738,1,7,066
04321,文,0739,1,5,067
04349,斛,0740,1,2,068
04373,斯,0741,1,4,069
04385,方,0742,1,10,070
04391,施,0743,1,2,070
04412,族,0744,1,4,070
04389,於,0745,1,44,070
04442,旣,0746,1,12,071
04587,暑,0747,1,2,072
04446,日,0748,1,9,072
04510,昭,0749,1,3,072
04485,明,0750,1,10,072
04503,春,0751,1,6,072
04489,易,0752,1,9,072
04523,時,0753,1,22,072
04512,是,0754,1,23,072
04490,昔,0755,1,2,072
04640,曠,0756,1,3,072
04530,晉,0757,1,5,072
04608,暴,0758,1,5,072
04558,景,0759,1,2,072
04461,旱,0760,1,8,072
04650,曰,0761,1,31,073
04661,曾,0762,1,2,073
04654,更,0763,1,8,073
04664,最,0764,1,2,073
04657,書,0765,1,10,073
04673,月,0766,1,6,074
04679,服,0767,1,3,074
04674,有,0768,1,63,074
04696,朝,0770a,2,2,074
04696b,朝,0770b,2,1,074
04713,本,0771,1,14,075
05420,檢,0772,1,2,075
04933,案,0773,1,2,075
05323,樹,0774,1,3,075
05123,楊,0775,1,2,075
05279,樂,0776,1,8,075
05141,楡,0777,1,5,075
04806,果,0778,1,3,075
05030,棗,0779,1,2,075
04984,條,0780,1,4,075
05529,權,0781,1,2,075
04967,梁,0782,1,2,075
04711,未,0783,1,16,075
04712,末,0784,1,8,075
04765,東,0785,1,5,075
04941,桑,0786,1,22,075
04922,根,0787,1,5,075
04803,林,0788,1,2,075
05558,次,0789,1,9,076
05580,欲,0790,1,8,076
05676,歸,0791,1,4,077
05666,歳,0792,1,15,077
05643,正,0793,1,10,077
05670,歷,0794,1,2,077
05644,此,0795,1,13,077
05649,武,0796,1,9,077
05686,死,0797,1,8,078
05734,殖,0798,1,5,078
05737,殘,0799,1,2,078
05836,每,0800,1,2,080
05841,比,0801,1,5,081
05952,水,0802,1,11,085
06400,準,0803,1,2,085
06151,流,0804,1,6,085
06499,漢,0805,1,7,085
06088,泥,0806,1,2,085
06134,洪,0807,1,3,085
06055,治,0808,1,10,085
06362,湖,0809,1,5,085
06074,法,0810,1,20,085
06045,河,0811,1,4,085
05985,江,0812,1,2,085
06313,減,0813,1,4,085
06182,海,0814,1,4,085
06340,游,0815,1,3,085
06381,湯,0816,1,2,085
06023,沒,0817,1,2,085
05986,池,0818,1,2,085
06285,深,0819,1,5,085
06603,澤,0820,1,7,085
06437,滋,0821,1,2,085
06517,漸,0822,1,2,085
06230,涼,0823,1,2,085
06933,熂,0824,1,2,086
06861,焉,0825,1,6,086
06792,災,0826,1,2,086
06885,然,0827,1,12,086
06872,無,0828,1,46,086
07032,爲,0829,1,73,087
07028,爭,0831,1,2,087
07035,父,0832,1,3,088
07072,牛,0833,1,17,093
07080,物,0834,1,2,093
07079,牧,0835,1,5,093
07091,犂,0836,1,3,093
07112,犯,0837,1,2,094
07162,狹,0838,1,4,094
07203,猶,0839,1,6,094
07241,獲,0840,1,3,094
07208,猾,0841,1,2,094
07259,率,0842,1,7,095
07262,王,0843,1,14,096
07261,玉,0844,1,2,096
07307,理,0845,1,6,096
07457,甚,0846,1,4,099
07461,生,0847,1,18,100
07469,用,0848,1,11,101
07478,田,0849,1,145,102
07481,申,0852,1,3,102
07479,由,0853,1,4,102
07550,疇,0854,1,2,102
07501,界,0855,1,6,102
07522,略,0856,1,3,102
07485,甸,0857,1,4,102
07546,畿,0858,1,4,102
07502,畎,0859,1,6,102
07483,男,0860,1,10,102
07535,當,0861,1,4,102
07513,畜,0862,1,11,102
07530,異,0863,1,3,102
07554,疋,0864,1,5,103
07591,疾,0865,1,3,104
07613,痛,0866,1,2,104
07706,登,0867,1,3,105
07707,發,0868,1,2,105
07709,白,0869,1,4,106
07717,皆,0870,1,18,106
07710,百,0871,1,37,106
07718,皇,0872,1,2,106
07758,盈,0873,1,7,108
07779,盡,0874,1,9,108
07770,盛,0875,1,3,108
07771,盜,0876,1,2,108
07759,益,0877,1,5,108
07801,相,0878,1,14,109
07882,瞑,0879,1,3,109
07844,眾,0880,1,16,109
07941,知,0881,1,10,111
07938,矣,0882,1,13,111
07948,短,0883,1,2,111
07954,石,0884,1,5,112
08067,磽,0885,1,4,112
08143,禁,0886,1,5,113
08141,祿,0887,1,2,113
08135,祭,0888,1,2,113
08165,禮,0889,1,5,113
08172,禹,0890,1,4,114
08177,禾,0891,1,2,115
08244,種,0892,1,21,115
08269,積,0893,1,8,115
08252,稷,0894,1,2,115
08217,税,0895,1,8,115
08213,稀,0896,1,3,115
08192,科,0897,1,3,115
08200,租,0898,1,3,115
08212,移,0899,1,3,115
08180,私,0900,1,4,115
08204,秦,0901,1,11,115
08258,稽,0902,1,2,115
08248,稱,0903,1,3,115
08224,稍,0904,1,5,115
08187,秋,0905,1,7,115
08261,穀,0906,1,12,115
08186x,秄,0907,1,2,115
08296,空,0908,1,3,116
08354,立,0909,1,11,117
08361,竝,0910,1,4,117
08569,簡,0911,1,2,118
08412,第,0912,1,14,118
08592,簿,0913,1,4,118
08493,節,0914,1,3,118
08664,粟,0915,1,4,119
08972,縣,0916,1,9,120
08795,終,0917,1,7,120
08856,經,0918,1,8,120
08735,紀,0919,1,6,120
08809,絶,0920,1,5,120
09052,纂,0921,1,2,120
08924,緣,0922,1,3,120
08822,給,0923,1,14,120
08779,細,0924,1,2,120
08778,累,0925,1,2,120
08884,綱,0926,1,2,120
09130,罰,0927,1,2,122
09125,罪,0928,1,3,122
09128,置,0929,1,7,122
09150,羊,0930,1,2,123
09177,義,0931,1,2,123
09214,習,0932,1,2,124
09250,老,0933,1,7,125
09255,者,0934,1,104,125
09264,而,0937,1,70,126
09273,耗,0939,1,2,127
09286,耨,0940,1,3,127
09285,耦,0941,1,3,127
09274,耘,0942,1,3,127
09272,耕,0943,1,13,127
09315,聞,0944,1,3,128
09308,聖,0945,1,8,128
09335,聽,0946,1,7,128
09314,聚,0947,1,2,128
09332,職,0948,1,6,128
09345,肆,0949,1,4,129
09462,脩,0950,1,3,130
09429,能,0951,1,13,130
09366,肥,0952,1,3,130
09394,背,0953,1,2,130
09411,胡,0954,1,2,130
09602,自,0955,1,10,132
09610,至,0956,1,12,133
09611,致,0957,1,6,133
09629,與,0958,1,11,134
09632,擧,0959,1,4,134
09633,舊,0960,1,6,134
09643,舒,0961,1,3,135
09714,良,0962,1,5,138
09846,草,0963,1,6,140
09781,苞,0964,1,3,140
10086,蔭,0965,1,2,140
10187,藉,0966,1,2,140
10201,藝,0967,1,2,140
09763,芸,0968,1,2,140
09778,苗,0969,1,4,140
09891,莽,0970,1,3,140
10191,藏,0971,1,2,140
10164,薪,0972,1,3,140
