カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0206,鹿,198,0,,,,14621
0207,黎,202,0,,,,14700
0208,黨,203,0,,,,14730
0209,龍,212,0,,,,14876
0210,龜,213,0,,,,14887
0211,丈,001,1,2,,,00006
0212-0217,一,001,1,291,,,00001
0218-0221,三,001,1,179,,,00007
0222-0223,上,001,1,64,,,00008
0224,七,001,1,39,,,00004
0225,下,001,1,22,,,00009
0226-0227,世,001,1,80,,,00025
0228-0233,不,001,1,299,,,00013
0234-0235,中,002,1,81,,,00051
0236,久,004,1,3,,,00085
0237-0239,之,004,1,118,,,00088
0240,乃,004,1,28,,,00078
0241,九,005,1,25,,,00107
0242-0243,也,005,1,63,,,00109
0244,了,006,1,27,,,00125
0245,互,007,1,20,,,00134
0246-0247,五,007,1,74,,,00135
0248-0250,二,007,1,129,,,00129
0251-0252,云,007,1,76,,,00133
0253-0254,亦,008,1,59,,,00154
0255,住,009,1,43,,,00245
0256,他,009,1,8,,,00183
0257-0258,作,009,1,60,,,00256
0259-0261,以,009,1,125,,,00194
0262,來,009,1,47,,,00282
0263-0264,依,009,1,99,,,00301
0265,使,009,1,3,,,00279
0266,伴,009,1,2,,,00230
0267,伽,009,1,10,,,00236
0268,伎,009,1,3,,,00216
0269,儀,009,1,13,,,00516
0270,但,009,1,16,,,00240
0271,僧,009,1,6,,,00503
0272,倶,009,1,25,,,00350
0273-0275,何,009,1,135,,,00250
0276,億,009,1,3,,,00520
0277,件,009,1,17,,,00203
0278,便,009,1,11,,,00321
0279,仍,009,1,5,,,00177
0280,俗,009,1,7,,,00338
0281-0282,佛,009,1,68,,,00255
0283,信,009,1,4,,,00345
0284,伏,009,1,3,,,00217
0285,倒,009,1,5,,,00373
0286,偈,009,1,4,,,00406
0287,位,009,1,32,,,00243
0288,似,009,1,15,,,00235
0289,人,009,1,39,,,00168
0290,令,009,1,15,,,00193
0291,脩,130,1,21,,,09462
0292,光,010,1,6,,,00567
0293,兒,010,1,2,,,00574
0294,先,010,1,8,,,00566
0295,入,011,1,20,,,00582
0296,内,011,1,21,,,00585
0297,兩,011,1,3,,,00591
0298,共,012,1,14,,,00599
0299,八,012,1,47,,,00594
0300-0301,六,012,1,58,,,00597
0302-0304,其,012,1,103,,,00605
0305,具,012,1,25,,,00606
0306,准,015,1,26,,,00678
0307,冷,015,1,2,,,00672
0308,出,017,1,26,,,00723
0309-0312,別,018,1,153,,,00763
0313,切,018,1,75,,,00735
0315,剋,018,1,2,,,00792
