統合ID,文字,光武帝紀,字体数,用例数,部首
06568,潰,0216,0,1,085
06290,清,0217,0,1,085
06023,沒,0218,0,1,085
06058,況,0219,0,1,085
06238,淆,0220,0,1,085
05985,江,0221,0,1,085
06487,漏,0222,0,1,085
06055,治,0223,0,1,085
05956,氷,0224,0,1,085
06411,溪,0225,0,1,085
06076,泗,0226,0,1,085
06340,游,0227,0,1,085
06534,潘,0228,0,1,085
06326,温,0229,0,1,085
06517,漸,0230,0,1,085
06641,濟,0231,0,1,085
06400,準,0232,0,1,085
06031,沙,0233,0,1,085
06817,炭,0234,0,1,086
06981,燕,0235,0,1,086
06792,災,0236,0,1,086
06867,焚,0237,0,1,086
07043,爾,0238,0,1,089
07088,犀,0239,0,1,093
07250,獻,0240,0,1,094
07230,獨,0241,0,1,094
07248,獸,0242,0,1,094
07256,玄,0243,0,1,095
07306,琅,0245,0,1,096
07346,瑞,0246,0,1,096
07307,理,0247,0,1,096
07415,瓦,0248,0,1,098
07469,用,0249,0,1,101
07514,畝,0250,0,1,102
07503,畏,0251,0,1,102
07525,畫,0252,0,1,102
07520,畢,0253,0,1,102
07501,界,0254,0,1,102
07483,男,0255,0,1,102
07559,疑,0256,0,1,103
07839,眷,0257,0,1,109
07799,直,0258,0,1,109
07902,瞰,0259,0,1,109
07948,短,0260,0,1,111
07938,矣,0261,0,1,111
08159,禦,0262,0,1,113
08145,禋,0263,0,1,113
08109,祉,0264,0,1,113
08107,祇,0265,0,1,113
08123,祝,0266,0,1,113
08139,祼,0267,0,1,113
08103,祀,0268,0,1,113
08141,祿,0269,0,1,113
08258,稽,0270,0,1,115
08289,穰,0271,0,1,115
08278,穡,0272,0,1,115
08180,私,0273,0,1,115
08257,稼,0274,0,1,115
08222,程,0275,0,1,115
08244,種,0276,0,1,115
08200,租,0277,0,1,115
08353,竊,0278,0,1,116
08351,竇,0279,0,1,116
08291,穴,0280,0,1,116
08519,簒,0281,0,1,118
08603,籍,0282,0,1,118
08468,箕,0283,0,1,118
08469,算,0284,0,1,118
08718,糧,0285,0,1,119
