統合ID,文字,光武帝紀,字体数,用例数,部首
08172,禹,0949,1,11,114
08248,稱,0950,1,7,115
08252,稷,0951,1,4,115
08187,秋,0952,1,8,115
08212,移,0953,1,3,115
08261,穀,0954,1,5,115
08224,稍,0955,1,2,115
08206,秩,0956,1,2,115
08269,積,0957,1,2,115
08179,秀,0958,1,6,115
08204,秦,0959,1,5,115
08329,窮,0960,1,2,116
08303,突,0961,1,3,116
08296,空,0962,1,5,116
08361,竝,0963,1,3,117
08354,立,0964,1,17,117
08366,章,0965,1,4,117
08493,節,0966,1,5,118
08426,等,0967,1,15,118
08437,答,0968a,2,1,118
08437b,答,0968b,2,1,118
08438,策,0969,1,2,118
08408,符,0970,1,3,118
08412,第,0971,1,3,118
08741,紆,0972,1,4,120
08765,素,0973,1,2,120
08759,級,0974,1,5,120
08753,純,0975,1,5,120
09030,繋,0976,1,2,120
08807,結,0977,1,2,120
08972,縣,0978,1,8,120
08747,納,0979,1,2,120
08809,絶,0980,1,4,120
08878,綬,0981,1,4,120
08994,績,0982,1,2,120
08982,縱,0983,1,2,120
08767,索,0984,1,2,120
09128,置,0985,1,3,122
09125,罪,0986,1,3,122
09130,罰,0987,1,2,122
09155,美,0988,1,2,123
09175,羣,0989,1,7,123
09177,義,0990,1,8,123
09255,者,0991,1,34,125
09250,老,0992,1,4,125
09251,考,0993,1,2,125
09264,而,0994,1,43,126
09298,耿,0995,1,12,128
09335,聽,0996,1,2,128
09315,聞,0997,1,6,128
09308,聖,0998,1,2,128
09562,膽,0999,1,2,130
09429,能,1000,1,5,130
09379,育,1001,1,4,130
09601,臨,1002,1,7,131
09596,臣,1003,1,5,131
09602,自,1004,1,41,132
09610,至,1005,1,26,133
09633,舊,1006,1,2,134
09626,舂,1007,1,6,134
09630,興,1008,1,2,134
09629,與,1009,1,31,134
09632,擧,1010,1,5,134
09638,舍,1011,1,3,135
09714,良,1012,1,4,138
09716,色,1013,1,2,139
10008,蒙,1014,1,3,140
10251,蘭,1015,1,2,140
09941,萌,1016,1,6,140
10143,薊,1017,1,7,140
09954,萬,1018,1,19,140
09979,董,1019,1,8,140
09808,范,1020,1,2,140
10040,蓋,1021,1,7,140
09886,莫,1022,1,2,140
09789,苦,1023,1,2,140
10080,蔡,1024,1,2,140
10162,薨,1025,1,2,140
09759,芳,1026,1,2,140
09807,茂,1027,1,14,140
10128,蕭,1028,1,2,140
09788,若,1029,1,2,140
09891,莽,1030,1,16,140
10459,蝗,1031,1,3,142
10603,蠻,1032,1,2,142
10630,衞,1033,1,2,144
10628,衝,1034,1,2,144
10614,行,1035,1,8,144
10637,衣,1036,1,3,145
10820,西,1037,1,16,146
10831,見,1038,1,15,147
10848,親,1039,1,3,147
10890,言,1040,1,9,149
10902,討,1041,1,6,149
10959,詔,1042,1,12,149
11170,譙,1043,1,2,149
11094,謁,1044,1,2,149
11195,議,1045,1,7,149
11018,誠,1046,1,2,149
11025,説,1047,1,3,149
11095,謂,1048,1,3,149
11085,諸,1049,1,31,149
11049,請,1050,1,5,149
11017,語,1051,1,3,149
10999,誅,1052,1,5,149
10896,計,1053,1,5,149
11121,謝,1054,1,3,149
11117,謙,1055,1,2,149
11234,谷,1056,1,3,150
11092,謀,1057,1,2,149
11058,論,1058,1,2,149
11225,讖,1059,1,2,149
11222,讓,1060,1,3,149
11261,豐,1061,1,8,151
11282,豪,1062,1,2,152
11293,豹,1063,1,2,153
11342,貪,1064,1,2,154
11334,財,1065,1,6,154
11398,賣,1066,1,2,154
11377,賊,1067,1,22,154
11335,貢,1068,1,2,154
11393,賜,1069,1,6,154
11356,買,1070,1,2,154
11374,賈,1071,1,3,154
11366,賁,1072,1,2,154
11445,赤,1073,1,17,155
11447,赦,1074,1,7,155
11485,趣,1075,1,2,156
11461,起,1076,1,14,156
11457,赴,1077,1,2,156
11454,走,1078,1,6,156
11479,趙,1079,1,3,156
11495,足,1080,1,4,157
11715,身,1081,1,2,158
11716,躬,1082,1,2,158
11799,輒,1083,1,3,159
11740,車,1084,1,11,159
11801,輔,1085,1,5,159
11856,轉,1086,1,3,159
11814,輜,1087,1,3,159
11783,軼,1088,1,3,159
11745,軍,1089,1,103,159
11802,輕,1092,1,4,159
11893,辛,1093,1,8,160
11914,辭,1094a,2,2,160
11914b,辭,1094b,2,1,160
12091,遵,1095,1,6,162
11968,述,1096,1,3,162
12037,遂,1097,1,14,162
12000,通,1098,1,4,162
12051,道,1099,1,9,162
11982,退,1100,1,2,162
12108,還,1101,1,15,162
12022,進,1102,1,28,162
12074,遣,1103,1,38,162
12010,連,1104,1,8,162
12046,過,1105,1,6,162
11947,迎,1106,1,5,162
11979,追,1107,1,4,162
11986,逆,1108,1,4,162
12040,遇,1109,1,3,162
11984,逃,1110,1,3,162
12102,遽,1111,1,2,162
12123,邑,1112,1,16,163
12207,鄗,1113,1,3,163
12236,鄲,1114,1,9,163
12176,部,1115,1,10,163
12168,郞,1116,1,15,163
12141,邯,1117,1,9,163
12139,邪,1118,1,3,163
12221,鄢,1119,1,3,163
12179,郭,1120,1,2,163
12180,郯,1121,1,2,163
12145,邳,1122,1,2,163
12239,鄴,1123,1,3,163
12223,鄧,1124,1,16,163
12205,鄕,1125,1,5,163
12188,都,1126,1,7,163
12170,郡,1127,1,14,163
12259,酉,1128,1,4,164
12266,酒,1129,1,2,164
12372,里,1130,1,8,166
12374,野,1131,1,8,166
12373,重,1132,1,6,166
12380,金,1133,1,4,167
12453,銅,1134,1,6,167
12425,鉅,1135,1,3,167
12698,長,1136,1,19,168
12709,門,1137,1,6,169
12714,閉,1138,1,2,169
12724,間,1139,1,3,169
12802,阜,1140,1,5,170
12869,陷,1141,1,3,170
12838,降,1142,1,27,170
12876,陽,1143,1,57,170
12867,陵,1145,1,17,170
12864,陳,1146,1,13,170
12834,附,1147,1,4,170
12886,隆,1148,1,5,170
12901,隗,1149,1,3,170
12945,隸,1150,1,2,171
13002,難,1151,1,3,172
12991,雖,1152,1,3,172
13012,雨,1153,1,2,173
13020,雲,1154,1,3,173
13092,靈,1155,1,2,173
13078,霸,1156,1,4,173
13023,雷,1157,1,2,173
13036,震,1158,1,2,173
13095,青,1159,1,6,174
13104,非,1160,1,4,175
13108,面,1161,1,3,176
13409,顧,1162,1,2,181
13304,須,1163,1,3,181
13316,頓,1164,1,2,181
13327,領,1165,1,2,181
13503,食,1166,1,8,184
13551,養,1167,1,2,184
13641,饒,1168,1,2,184
13640,饑,1169,1,2,184
13565,餘,1170,1,15,184
13661,首,1171,1,7,185
13680,馬,1172,1,22,187
13849,驗,1173,1,2,187
13852,驚,1174,1,3,187
13724,駕,1175,1,8,187
13837,驃,1176,1,5,187
13688,馳,1177,1,5,187
13682,馮,1178,1,8,187
13787,騎,1179,1,16,187
13940,高,1180,1,16,189
14101,魚,1181,1,2,195
14116,魯,1182,1,2,195
14169,鮪,1183,1,4,195
14621,鹿,1184,1,3,198
14693,黃,1185,1,3,201
14775,鼓,1186,1,3,207
14828,齊,1187,1,2,210
14876,龍,1188,1,2,212
14878,龐,1189,1,4,212
00175,今,1190a,2,8,009
00175b,今,1190b,2,5,009
00585,内,1191a,2,4,011
00585b,内,1191b,2,1,011
01641,圍,1192a,2,13,031
01641b,圍,1192b,2,3,031
02326,宛,1193a,2,11,040
02326b,宛,1193b,2,1,040
02541,岑,1194a,2,10,046
02541b,岑,1194b,2,3,046
03047,弘,1195a,2,1,057
03047b,弘,1195b,2,1,057
03585,懷,1196a,2,5,061
03585b,懷,1196b,2,2,061
04554,晨,1197a,2,1,072
04554b,晨,1197b,2,1,072
06984,營,1198a,2,4,086
06984b,營,1198b,2,3,086
07717,皆,1199a,2,23,106
07717b,皆,1199b,2,1,106
07827,眞,1200a,2,4,109
07827b,眞,1200b,2,1,109
08396,笑,1201a,2,4,118
08396b,笑,1201b,2,2,118
10231,蘇,1202a,2,4,140
10231b,蘇,1202b,2,2,140
10264,虎,1203a,2,5,141
10264b,虎,1203b,2,2,141
10273,虜,1204a,2,9,141
10273b,虜,1204b,2,2,141
10276,號,1205a,2,8,141
10276b,號,1205b,2,1,141
10974,詣,1206a,2,2,149
10974b,詣,1206b,2,1,149
11142,謹,1207a,2,1,149
11142b,謹,1207b,2,1,149
11917,辰,1208a,2,4,161
11917b,辰,1208b,2,2,161
12790,關,1209a,2,6,169
12790b,關,1209b,2,1,169
13841,驍,1210a,2,1,187
13841b,驍,1210b,2,1,187
14378,鳳,1211a,2,3,196
14378b,鳳,1211b,2,2,196
14700,黎,1212a,2,4,202
14700b,黎,1212b,2,2,202
