カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0176,旅,0,,,,04402,070
0177,旌,0,,,,04408,070
0178,曄,0,,,,04619,072
0179,晝,0,,,,04542,072
0180,曉,0,,,,04623,072
0181,昭,0,,,,04510,072
0182,易,0,,,,04489,072
0183,曠,0,,,,04640,072
0184,昔,0,,,,04490,072
0185,晦,0,,,,04552,072
0186,臾,0,,,,09621,134
0187,曹,0,,,,04659,073
0188,柔,0,,,,04849,075
0189,束,0,,,,04750,075
0190,横,0,,,,05381,075
0191,松,0,,,,04780,075
0192,樓,0,,,,05293,075
0193,栢,0,,,,04905,075
0194,枝,0,,,,04807,075
0195,椎,0,,,,05081,075
0196,橦,0,,,,05374,075
0197,歙,0,,,,05626,076
0198,歡,0,,,,05639,076
0199,殪,0,,,,05767,078
0200,殊,0,,,,05717,078
0201,殘,0,,,,05737,078
0202,毀,0,,,,05812,079
0203,殿,0,,,,05809,079
0204,淵,0,,,,06310,085
0205,注,0,,,,06091,085
0206,06030,0,,,,06030,085
0207,渠,0,,,,06317,085
0208,沱,0,,,,06043,085
0209,汲,0,,,,05996,085
0210,決,0,,,,06003,085
0211,涜,0,,,,06681,085
0212,灌,0,,,,06748,085
0213,溺,0,,,,06422,085
0214,M18025,0,,,,,085
0215,涕,0,,,,06202,085
0216,潰,0,,,,06568,085
0217,清,0,,,,06290,085
0218,沒,0,,,,06023,085
0219,況,0,,,,06058,085
0220,淆,0,,,,06238,085
0221,江,0,,,,05985,085
0222,漏,0,,,,06487,085
0223,治,0,,,,06055,085
0224,氷,0,,,,05956,085
0225,溪,0,,,,06411,085
0226,泗,0,,,,06076,085
0227,游,0,,,,06340,085
0228,潘,0,,,,06534,085
0229,温,0,,,,06326,085
0230,漸,0,,,,06517,085
0231,濟,0,,,,06641,085
0232,準,0,,,,06400,085
0233,沙,0,,,,06031,085
0234,炭,0,,,,06817,086
0235,燕,0,,,,06981,086
0236,災,0,,,,06792,086
0237,焚,0,,,,06867,086
0238,爾,0,,,,07043,089
0239,犀,0,,,,07088,093
0240,獻,0,,,,07250,094
0241,獨,0,,,,07230,094
0242,獸,0,,,,07248,094
0243,玄,0,,,,07256,095
0245,琅,0,,,,07306,096
0246,瑞,0,,,,07346,096
0247,理,0,,,,07307,096
0248,瓦,0,,,,07415,098
0249,用,0,,,,07469,101
0250,畝,0,,,,07514,102
0251,畏,0,,,,07503,102
0252,畫,0,,,,07525,102
0253,畢,0,,,,07520,102
0254,界,0,,,,07501,102
0255,男,0,,,,07483,102
0256,疑,0,,,,07559,103
0257,眷,0,,,,07839,109
0258,直,0,,,,07799,109
0259,瞰,0,,,,07902,109
0260,短,0,,,,07948,111
0261,矣,0,,,,07938,111
0262,禦,0,,,,08159,113
0263,08145,0,,,,08145,113
0264,祉,0,,,,08109,113
0265,祇,0,,,,08107,113
0266,祝,0,,,,08123,113
0267,08139,0,,,,08139,113
0268,祀,0,,,,08103,113
0269,祿,0,,,,08141,113
0270,稽,0,,,,08258,115
0271,穰,0,,,,08289,115
0272,穡,0,,,,08278,115
0273,私,0,,,,08180,115
0274,稼,0,,,,08257,115
0275,程,0,,,,08222,115
0276,種,0,,,,08244,115
0277,租,0,,,,08200,115
0278,竊,0,,,,08353,116
0279,竇,0,,,,08351,116
0280,穴,0,,,,08291,116
0281,簒,0,,,,08519,118
0282,籍,0,,,,08603,118
0283,箕,0,,,,08468,118
0284,算,0,,,,08469,118
0285,糧,0,,,,08718,119
0286,粟,0,,,,08664,119
0287,精,0,,,,08685,119
0288,紀,0,,,,08735,120
0289,紹,0,,,,08787,120
0290,累,0,,,,08778,120
0291,紿,0,,,,08792,120
0292,繍,0,,,,09022,120
0293,經,0,,,,08856,120
0294,練,0,,,,08938,120
0295,絳,0,,,,08835,120
0296,統,0,,,,08833,120
0297,縛,0,,,,08963,120
0298,繭,0,,,,09031,120
0299,終,0,,,,08795,120
0300,繆,0,,,,09002,120
0301,綱,0,,,,08884,120
0302,罷,0,,,,09133,122
0303,09162,0,,,,09162,123
