,,mam_P2160,mam_P2160,mam_P2160,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
11914,辭,0319,0,1,160
11968,述,0320,0,1,162
11947,迎,0321,0,1,162
12022,進,0322,0,1,162
12040,遇,0323,0,1,162
12115,邊,0324,0,1,162
11993,逐,0325,0,1,162
11937,迅,0326,0,1,162
12019,逮,0327,0,1,162
11982,退,0328,0,1,162
12010,連,0329,0,1,162
12123,邑,0330,0,1,163
12345,醯,0331,0,1,164
12573,鎖,0332,0,1,167
12451,銀,0333,0,1,167
12453,銅,0334,0,1,167
12714,閉,0335,0,1,169
12768,闇,0336,0,1,169
12864,陳,0337,0,1,170
12822,防,0338,0,1,170
12903,隘,0339,0,1,170
12914,障,0340,0,1,170
13036,震,0341,0,1,173
13026,電,0342,0,1,173
13012,雨,0343,0,1,173
13179,鞠,0344,0,1,177
13176,鞞,0345,0,1,177
13325,頗,0346,0,1,181
13395,顚,0347,0,1,181
13409,顧,0348,0,1,181
13297,頃,0349,0,1,181
13495,飛,0350,0,1,183
13542,飾,0351,0,1,184
13820,騰,0352,0,1,187
13934,體,0353,0,1,188
13873,骨,0354,0,1,188
13999,鬘,0355,0,1,190
13959,髮,0356,0,1,190
14087,魑,0357,0,1,194
14082,魍,0358,0,1,194
14083,魎,0359,0,1,194
14088,魔,0360,0,1,194
14542,鷄,0361,0,1,196
14379,鳴,0362,0,1,196
14645,麗,0363,0,1,198
14709,黑,0364,0,1,203
14754,黿,0365,0,1,205
14767,鼉,0366,0,1,205
14776,鼔,0367,0,1,207
14829,齋,0368,0,1,210
14853,齧,0369,0,1,211
00001,一,0370,1,33,001
00007,三,0371,1,23,001
00013,不,0372,1,54,001
00025,世,0373,1,54,001
00026,丘,0374,1,6,001
00006,丈,0375,1,2,001
00004,七,0376,1,4,001
00008,上,0377,1,14,001
00009,下,0378,1,17,001
00051,中,0379,1,15,002
00070,主,0380,1,5,003
00078,乃,0381,1,5,004
00085,久,0382,1,7,004
00088,之,0383,1,45,004
00121,亂,0384,1,5,005
00118,乾,0385,1,4,005
00113,乳,0386,1,7,005
00128,事,0387,1,2,006
00135,五,0388,1,19,007
00134,互,0389,1,3,007
00132,于,0390,1,3,007
00133,云,0391,1,3,007
00154,亦,0392a,2,28,008
00154b,亦,0392b,2,1,008
00385,値,0393,1,4,009
00175,今,0394,1,30,009
00193,令,0395,1,17,009
00417,停,0396,1,3,009
00170,仁,0397,1,2,009
00245,住,0398,1,3,009
00240,但,0399,1,2,009
00216,伎,0400,1,2,009
00244,低,0401,1,2,009
00183,他,0402,1,2,009
00218,伐,0403,1,2,009
00233,伺,0404,1,2,009
00199,仰,0405,1,2,009
00503,僧,0406,1,4,009
00282,來,0407,1,28,009
00301,依,0408,1,3,009
00350,倶,0409,1,5,009
00194,以,0410,1,24,009
00186,仙,0411,1,11,009
00168,人,0412,1,55,009
00255,佛,0413,1,38,009
00236,伽,0414,1,11,009
00250,何,0415,1,12,009
00542,優,0416,1,7,009
00217,伏,0417,1,4,009
00321,便,0418,1,11,009
00279,使,0419,1,7,009
00520,億,0420,1,5,009
00256,作,0421,1,21,009
00406,偈,0422,1,20,009
00288,侍,0423,1,2,009
00373,倒,0424,1,2,009
00421,健,0425,1,2,009
00299,供,0426,1,2,009
00562,充,0427,1,2,010
00561,兄,0428,1,2,010
00567,光,0429,1,10,010
00570,免,0430,1,2,010
00579,兜,0431,1,2,010
00574,兒,0432,1,3,010
00566,先,0433,1,2,010
00582,入,0434,1,13,011
00585,内,0435,1,3,011
00591,兩,0436,1,3,011
00605,其,0437,1,21,012
00599,共,0438,1,7,012
00597,六,0439,1,7,012
00594,八,0440,1,8,012
00613,兼,0441,1,2,012
00606,具,0442,1,9,012
00602,兵,0443,1,6,012
00701,凡,0444,1,4,016
00723,出,0445,1,15,017
00781,刹,0446,1,5,018
00735,切,0447,1,21,018
00767,利,0448,1,21,018
00794,前,0449,1,12,018
00789,則,0450,1,18,018
00759,初,0451,1,4,018
00729,刀,0452,1,2,018
00865,劫,0453,1,9,019
00879,勅,0454,1,2,019
00857,功,0455,1,4,019
00856,力,0456,1,15,019
00863,助,0457,1,2,019
00887,動,0458,1,5,019
00893,勝,0459,1,2,019
00919,勿,0460,1,4,020
00938,化,0461,1,5,021
00941,北,0462,1,2,021
00983,匿,0463,1,4,023
00985,十,0464,1,4,024
00987,千,0465,1,5,024
01010,南,0466,1,12,024
01016,博,0467,1,3,024
01049,卽,0468,1,21,026
01101,去,0469,1,5,028
01108,又,0470,1,17,029
01109,叉,0471,1,8,029
01116,反,0472,1,2,029
01111,及,0473,1,29,029
01127,取,0474,1,5,029
01128,受,0475,1,12,029
01180,吒,0476,1,2,030
01158,右,0477,1,2,030
01369,問,0478,1,2,030
01363,商,0479,1,2,030
01197,含,0480,1,2,030
01410,喚,0481,1,3,030
01236,呪,0482,1,12,030
01168,各,0483,1,6,030
01170,合,0484,1,5,030
01349,唯,0485a,1,6,030
01349b,唯,0485b,1,5,030
01600,囑,0486,1,2,030
01503,噉,0487,1,4,030
01252,命,0488,1,10,030
01154,可,0489,1,15,030
01175,名,0490,1,27,030
01412,喜,0491a,2,3,030
01412b,喜,0491b,2,1,030
01395,善,0492,1,14,030
01523,器,0493,1,2,030
01187,呑,0494,1,3,030
01466,嘆,0495,1,2,030
01141,口,0496,1,4,030
01174,同,0497,1,2,030
01242,味,0498,1,3,030
01581,嚴,0499,1,4,030
01176,后,0500,1,9,030
01639,國,0501,1,12,031
01611,因,0502,1,4,031
01607,四,0503,1,15,031
01641,圍,0504,1,3,031
01818,塗,0505,1,2,032
01853,增,0506,1,3,032
01659,在,0507,1,32,032
01755,執,0508a,2,3,032
01755b,執,0508b,2,2,032
01666,地,0509,1,8,032
01710,垂,0510,1,4,032
01740,城,0511,1,6,032
01796,報,0512,1,4,032
01823,塞,0513,1,5,032
01903,士,0514,1,7,033
01913,壽,0515,1,3,033
01939,夜,0516,1,12,036
01938,多,0517,1,20,036
01949,夫,0518,1,5,037
01961,夷,0519,1,3,037
01947,天,0520,1,49,037
01946,大,0521,1,51,037
01973,奈,0523,1,2,037
02022,女,0524,1,2,038
02033,妄,0525,1,2,038
02029,好,0526,1,3,038
02105,威,0527,1,2,038
02142,婆,0528,1,30,038
02110,娑,0529,1,6,038
02069,始,0530,1,2,038
02045,妙,0531,1,8,038
02061,妻,0532,1,2,038
02031,如,0533,1,68,038
02262,子,0535,1,23,039
02333,宣,0536,1,2,040
02390,實,0537,1,5,040
02407,寶,0538,1,9,040
02342,宮,0539,1,2,040
02327,宜,0540,1,8,040
02355,宿,0541,1,3,040
02395,審,0542,1,2,040
02366,富,0543,1,3,040
02325,定,0544,1,5,040
02309,安,0545,1,7,040
02349,家,0546,1,3,040
02346,害,0547,1,3,040
02352,容,0548,1,4,040
02429,尊,0549,1,30,041
02430,尋,0550,1,2,041
02436,導,0551,1,5,041
02426,專,0552,1,2,041
02440,少,0553,1,3,042
02439,小,0554,1,3,042
02464,就,0555,1,6,043
02502,屠,0556,1,3,044
02515,屬,0557,1,2,044
02473,尼,0558,1,10,044
02482,居,0559,1,5,044
02508,履,0560,1,2,044
02469,尸,0561,1,3,044
02528,山,0562,1,6,046
02775,巧,0563,1,2,048
02776,巨,0564,1,2,048
02774,左,0565,1,2,048
02782,己,0566,1,4,049
02783,已,0567,1,31,049
02882,幢,0568,1,2,050
02820,帝,0569,1,5,050
02835,師,0570,1,16,050
02847,常,0571,1,23,050
02902,并,0572,1,10,051
02993,廣,0573,1,8,053
02944,度,0574,1,3,053
03008,廻,0575,1,2,054
03084,彌,0576,1,6,057
03046,弗,0577,1,3,057
03066,強,0578,1,2,057
03052,弟,0579,1,4,057
03101,形,0580,1,2,059
03124,彼,0581,1,14,060
03138,後,0582a,2,3,060
03138b,後,0582b,2,1,060
03172,德,0583,1,5,060
03159,復,0584,1,24,060
03165,微,0585,1,3,060
03153,御,0586,1,2,060
03128,往,0587,1,5,060
03145,得,0588,1,30,060
03151,從,0589,1,12,060
03373,想,0590,1,6,061
03405,愛,0591,1,9,061
03335,悲,0592,1,12,061
03297,恭,0593,1,2,061
03219,忽,0594,1,2,061
03286,恣,0595,1,2,061
03466,慮,0596,1,2,061
03179,心,0597,1,12,061
03550,應,0598,1,12,061
03366,惠,0599,1,2,061
03486,憂,0600,1,7,061
03395,意,0601,1,8,061
03585,懷,0602,1,3,061
03292,恩,0603,1,3,061
03180,必,0604,1,4,061
03309,悦,0605,1,2,061
03544,懃,0606,1,5,061
03595,戀,0607,1,2,061
03278,恚,0608,1,2,061
03312,悉,0609,1,11,061
13845,驕,0610,1,3,187
03404,愚,0611,1,3,061
03233,怖,0612,1,3,061
03182,忉,0613,1,6,061
03320,悔,0614,1,2,061
03589,懼,0615,1,2,061
03458,慢,0616,1,2,061
03462,慧,0617,1,6,061
03362,惚,0618,1,11,061
03439,慈,0619,1,10,061
03214,念,0620,1,13,061
03239,思,0621,1,2,061
03267,恆,0622,1,13,061
03329,患,0623,1,7,061
03617,或,0624,1,15,062
03610,成,0625,1,8,062
03611,我,0626,1,42,062
03612,戒,0627,1,3,062
03636,戲,0628a,2,1,062
03636b,戲,0628b,2,1,062
03647,所,0629,1,49,063
03780,持,0630,1,6,064
03835,捨,0631,1,6,064
03896,提,0632,1,23,064
04009,摩,0633,1,68,064
03858,掌,0635,1,5,064
03947,搖,0636,1,2,064
03783,指,0637,1,2,064
03750,拔,0638a,2,1,064
03750b,拔,0638b,2,1,064
03659,手,0639,1,2,064
12972,雍,0640,1,2,172
04216,支,0641,1,2,065
04228,改,0642,1,2,066
04298,數,0643,1,4,066
04233,放,0644,1,4,066
04286,敬,0645,1,5,066
04280,散,0646,1,6,066
04243,故,0647,1,23,066
04321,文,0648,1,2,067
04381,斷,0649,1,10,069
04373,斯,0650,1,10,069
04391,施,0651,1,5,070
04398,旃,0652a,2,3,070
04398b,旃,0652b,2,1,070
04385,方,0653,1,17,070
04389,於,0654,1,57,070
04442,旣,0656,1,4,071
04446,日,0657,1,9,072
04485,明,0658a,2,10,072
04485b,明,0658b,2,1,072
04490,昔,0659,1,2,072
04523,時,0660,1,60,072
04480,昇,0662,1,2,072
04640,曠,0663,1,2,072
04557,普,0664,1,8,072
04603,暫,0665,1,2,072
04569,智,0666,1,6,072
04447,旦,0667,1,2,072
04512,是,0668,1,28,072
04650,曰,0669,1,11,073
04654,更,0670,1,3,073
04661,曾,0671,1,7,073
04664,最,0672a,2,2,073
04664b,最,0672b,2,1,073
04486,昏,0673,1,2,072
04674,有,0674,1,42,074
04699,期,0675,1,2,074
04679,服,0676,1,4,074
04673,月,0677,1,5,074
05279,樂,0678,1,15,075
05014,棄,0679,1,3,075
05010,梵,0680,1,6,075
04922,根,0681,1,6,075
05161,極,0682,1,6,075
04806,果,0683,1,6,075
04711,未,0684,1,9,075
05228,槃,0685,1,9,075
04765,東,0686,1,4,075
04713,本,0687,1,11,075
04993,梨,0688,1,2,075
04817,枳,0689,1,3,075
05293,樓,0690,1,11,075
05152,業,0691,1,4,075
04813,枯,0692,1,2,075
04743,杖,0693,1,2,075
05391,檀,0694,1,2,075
05612,歎,0695,1,2,076
05609,歌,0696,1,2,076
05558,次,0697,1,3,076
05580,欲,0698,1,22,076
05645,步,0699,1,3,077
05643,正,0700,1,13,077
05676,歸,0701a,2,8,077
05676b,歸,0701b,2,2,077
05644,此,0702,1,48,077
05686,死,0703,1,27,078
05717,殊,0704,1,3,078
05737,殘,0705,1,2,078
05796,殺,0706a,2,3,079
05796b,殺,0706b,2,1,079
05812,毀,0707,1,2,079
05834,母,0708,1,11,080
05839,毒,0709,1,6,080
05841,比,0710,1,11,081
05845,毗,0711,1,14,081
05935,民,0712,1,4,083
06086,波,0713,1,24,085
05983,汝,0714,1,16,085
06192,消,0715,1,7,085
06074,法,0716,1,31,085
05964,求,0717,1,11,085
06031,沙,0718,1,4,085
05952,水,0719,1,5,085
06058,況,0720,1,3,085
06641,濟,0721,1,2,085
06189,涅,0722,1,7,085
06476,滿,0723a,2,2,085
06476b,滿,0723b,2,1,085
06023,沒,0724,1,2,085
06015,沈,0725,1,2,085
06182,海,0726,1,8,085
06088,泥,0727,1,5,085
06285,深,0728,1,3,085
06175,浮,0729,1,16,085
06313,減,0730,1,2,085
06432,滅,0731,1,35,085
06548,潛,0732,1,2,085
06045,河,0733,1,5,085
06144,洹,0734,1,8,085
06499,漢,0735,1,2,085
06487,漏,0736,1,2,085
06091,注,0737,1,2,085
06003,決,0738,1,2,085
06290,清,0739,1,2,085
06151,流,0740,1,3,085
06517,漸,0741,1,3,085
06437,滋,0742,1,2,085
05963,汁,0743,1,3,085
06338,渴,0744,1,3,085
05957,永,0745a,2,2,085
05957b,永,0745b,2,1,085
06272,淨,0746,1,4,085
06490,演,0747a,2,1,085
06490b,演,0747b,2,1,085
06776,火,0748,1,8,086
06921,煩,0749,1,2,086
06949,熟,0750,1,4,086
06872,無,0751,1,73,086
06885,然,0753,1,4,086
06978,燒,0754,1,6,086
06965,熾,0755,1,3,086
06918,照,0756,1,5,086
07032,爲,0757,1,31,087
07065,牙,0758,1,2,092
07079,牧,0759,1,2,093
07072,牛,0760,1,2,093
07241,獲,0761,1,8,094
07212,獄,0762,1,5,094
07203,猶,0763,1,15,094
07180,猛,0764,1,2,094
07262,王,0765,1,52,096
07287,珍,0767,1,3,096
07304,現,0768,1,3,096
07457,甚,0769,1,2,099
07456,甘,0770,1,7,099
07461,生,0771,1,67,100
07469,用,0773,1,5,101
07478,田,0774,1,4,102
07530,異,0775,1,3,102
07479,由,0776,1,8,102
07501,界,0777,1,6,102
07513,畜,0778,1,2,102
07483,男,0779,1,2,102
07503,畏,0780,1,2,102
07535,當,0781,1,11,102
07598,病,0782,1,8,104
07574,疧,0783,1,3,104
07668,療,0784,1,3,104
07591,疾,0785,1,6,104
07685,癡,0786,1,7,104
07717,皆,0787,1,26,106
07709,白,0788,1,15,106
07710,百,0789,1,3,106
07739,皮,0790,1,3,107
07779,盡,0791,1,9,108
07759,益,0792,1,4,108
07771,盜,0793,1,2,108
07844,眾,0794,1,51,109
07790,目,0796,1,4,109
07843,眼,0797,1,5,109
07799,直,0798,1,2,109
07801,相,0799,1,17,109
07828,眠,0800,1,2,109
M23523,睺,0801,1,5,109
07941,知,0802,1,16,111
07954,石,0803,1,2,112
08097,示,0804,1,7,113
08165,禮,0805,1,8,113
08148,福,0806,1,6,113
08124,神,0807,1,22,113
08244,種,0808,1,19,115
08248,稱,0809,1,15,115
08269,積,0810,1,5,115
08212,移,0811,1,3,115
08296,空,0812,1,3,116
08329,窮,0813,1,6,116
08293,究,0814,1,3,116
08354,立,0815,1,3,117
08380,競,0816,1,3,117
08365,竟,0817,1,3,117
08371,童,0818,1,2,117
08376,端,0819,1,3,117
08437,答,0820,1,2,118
08426,等,0821,1,35,118
08412,第,0822,1,5,118
08685,精,0823,1,2,119
09020,繞,0824,1,3,120
08809,絶,0825,1,4,120
08906,緊,0826,1,4,120
08856,經,0827,1,4,120
08795,終,0828,1,4,120
09064,纏,0829,1,2,120
08924,緣,0830,1,17,120
08753,純,0831,1,5,120
08807,結,0832,1,5,120
08963,縛,0833,1,5,120
08833,統,0834,1,5,120
09125,罪,0835,1,3,122
09144,羅,0836,1,81,122
09177,義,0838,1,2,123
09175,羣,0839,1,2,123
09204,翅,0840,1,2,124
09257,耆,0841,1,2,125
09255,者,0842,1,37,125
09250,老,0843a,2,5,125
09250b,老,0843b,2,3,125
09264,而,0844,1,46,126
09308,聖,0845,1,6,128
09326,聰,0846,1,3,128
09335,聽,0847a,2,5,128
09335b,聽,0847b,2,1,128
09328,聲,0848,1,5,128
09314,聚,0849,1,6,128
09315,聞,0850,1,19,128
09292,耶,0851,1,28,128
09463,脱,0852,1,12,130
09462,脩,0853,1,13,130
09429,能,0854,1,24,130
09348,肉,0855a,2,2,130
09348b,肉,0855b,2,1,130
09501,腦,0856a,2,2,130
09501b,腦,0856b,2,1,130
09596,臣,0857,1,11,131
09601,臨,0858,1,2,131
09599,臥,0859,1,4,131
09602,自,0860,1,21,132
09611,致,0861,1,2,133
09610,至,0862,1,20,133
09629,與,0863,1,5,134
09621,臾,0864,1,5,134
09632,擧,0865,1,4,134
09638,舍,0866,1,12,135
09714,良,0867,1,3,138
09716,色,0868,1,14,139
09789,苦,0869,1,25,140
09788,若,0870,1,23,140
10163,薩,0871,1,4,140
09869,莊,0872,1,2,140
09954,萬,0873,1,2,140
09886,莫,0874,1,5,140
10050,蓮,0875,1,2,140
09966,葉,0876,1,2,140
10204,藥,0877,1,5,140
09846,草,0878,1,2,140
10191,藏,0879,1,2,140
09807,茂,0880,1,2,140
09921,華,0881,1,4,140
09919,菩,0882,1,2,140
10192,藐,0883,1,6,140
10189,藍,0884,1,5,140
10040,蓋,0885,1,2,140
10270,處,0886,1,6,141
10272,虛,0887,1,2,141
10414,蜜,0888,1,2,142
10614,行,0889,1,19,144
10618,術,0890,1,2,144
10637,衣,0891,1,4,145
10683,被,0892,1,2,145
10820,西,0893,1,4,146
10831,見,0894,1,12,147
10837,視,0895,1,2,147
10848,親,0896,1,3,147
10834,覓,0897,1,2,147
10859,觀,0898,1,3,147
10856,覺,0899,1,4,147
10875,解,0900,1,11,148
11049,請,0901,1,2,149
11207,讀,0902,1,3,149
11229,讚,0903,1,6,149
11017,語,0904,1,21,149
11072,諦,0905,1,11,149
10930,許,0906,1,2,149
10896,計,0907,1,5,149
11038,調,0908,1,2,149
10890,言,0909,1,33,149
11095,謂,0910,1,3,149
10936,訶,0911,1,26,149
11085,諸,0912,1,56,149
11200,護,0914,1,4,149
11023,誦,0915,1,3,149
11171,識,0916,1,9,149
11155,證,0917,1,2,149
11025,虔,0918,1,30,149
11018,誠,0919,1,2,149
11253,豈,0920,1,2,151
11275,象,0921,1,3,152
11306,貇,0922,1,3,153
11404,質,0923,1,5,154
11338,貧,0924,1,2,154
11402,賤,0925,1,2,154
11342,貪,0926,1,5,154
11344,責,0927,1,3,154
11377,賊,0928,1,3,154
11334,財,0929,1,2,154
11445,赤,0930,1,3,155
11485,趣,0931,1,3,156
11467,超,0932,1,2,156
11454,走,0933,1,3,156
11461,起,0934,1,3,156
11495,足,0935,1,10,157
11542,跪,0936a,2,1,157
