カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号,,
0287,袢,,,,0,145,10678,,
0288,襠,,,,0,145,10794,,
0289,要,,,,0,146,10822,,
0290,訐,,,,0,149,10905,,
0291,設,,,,0,149,10928,,
0292,論,,,,0,149,11058,,
0293,討,,,,0,149,10902,,
0294,訖,,,,0,149,10912,,
0295,試,,,,0,149,10975,,
0296,詰,,,,0,149,10985,,
0297,谷,,,,0,150,11234,,
0298,豐,,,,0,151,11261,,
0299,豪,,,,0,152,11282,,
0300,資,,,,0,154,11373,,
0301,賓,,,,0,154,11386,,
0302,貴,,,,0,154,11355,,
0303,賢,,,,0,154,11397,,
0304,頼,,,,0,154,11411,,
0305,越,,,,0,156,11471,,
0306,躁,,,,0,157,11675,,
0307,迹,,,,0,162,11976,,
0308,踰,,,,0,157,11593,,
0309,躡,,,,0,157,11708,,
0310,踉,,,,0,157,11564,,
0311,蹈,,,,0,157,11618,,
0312,跳,,,,0,157,11553,,
0313,蹤,,,,0,157,11646,,
0314,蹉,,,,0,157,11619,,
0315,躬,,,,0,158,11716,,
0316,載,,,,0,159,11795,,
0317,辟,,,,0,160,11898,,
0318,辯,,,,0,160,11916,,
0319,辭,,,,0,160,11914,,
0320,述,,,,0,162,11968,,
0321,迎,,,,0,162,11947,,
0322,進,,,,0,162,12022,,
0323,遇,,,,0,162,12040,,
0324,邊,,,,0,162,12115,,
0325,逐,,,,0,162,11993,,
0326,迅,,,,0,162,11937,,
0327,逮,,,,0,162,12019,,
0328,退,,,,0,162,11982,,
0329,連,,,,0,162,12010,,
0330,邑,,,,0,163,12123,,
0331,醯,,,,0,164,12345,,
0332,鎖,,,,0,167,12573,,
0333,銀,,,,0,167,12451,,
0334,銅,,,,0,167,12453,,
0335,閉,,,,0,169,12714,,
0336,闇,,,,0,169,12768,,
0337,陳,,,,0,170,12864,,
0338,防,,,,0,170,12822,,
0339,隘,,,,0,170,12903,,
0340,障,,,,0,170,12914,,
0341,震,,,,0,173,13036,,
0342,電,,,,0,173,13026,,
0343,雨,,,,0,173,13012,,
0344,鞠,,,,0,177,13179,,
0345,13176,,,,0,177,13176,,
0346,頗,,,,0,181,13325,,
0347,顛,,,,0,181,13395,,
0348,顧,,,,0,181,13409,,
0349,頃,,,,0,181,13297,,
0350,飛,,,,0,183,13495,,
0351,飾,,,,0,184,13542,,
0352,騰,,,,0,187,13820,,
0353,體,,,,0,188,13934,,
0354,骨,,,,0,188,13873,,
0355,鬘,,,,0,190,13999,,
0356,髪,,,,0,190,13959,,
0357,魑,,,,0,194,14087,,
0358,魍,,,,0,194,14082,,
0359,魎,,,,0,194,14083,,
0360,魔,,,,0,194,14088,,
0361,鷄,,,,0,196,14542,,
0362,鳴,,,,0,196,14379,,
0363,麗,,,,0,198,14645,,
0364,黒,,,,0,203,14709,,
0365,14754,,,,0,205,14754,,
0366,14767,,,,0,205,14767,,
0367,鼓,,,,0,207,14776,,
0368,齋,,,,0,210,14829,,
0369,齧,,,,0,211,14853,,
0370,一,33,,,1,001,00001,,
0371,三,23,,,1,001,00007,,
0372,不,54,,,1,001,00013,,
0373,世,54,,,1,001,00025,,
0374,丘,6,,,1,001,00026,,
0375,丈,2,,,1,001,00006,,
0376,七,4,,,1,001,00004,,
0377,上,14,,,1,001,00008,,
0378,下,17,,,1,001,00009,,
0379,中,15,,,1,002,00051,,
0380,主,5,,,1,003,00070,,
0381,乃,5,,,1,004,00078,,
0382,久,7,,,1,004,00085,,
0383,之,45,,,1,004,00088,,
0384,亂,5,,,1,005,00121,,
0385,乾,4,,,1,005,00118,,
0386,乳,7,,,1,005,00113,,
0387,事,2,,,1,006,00128,,
0388,五,19,,,1,007,00135,,
0389,互,3,,,1,007,00134,,
0390,于,3,,,1,007,00132,,
0391,云,3,,,1,007,00133,,
0392,亦,28,1,,2,008,00154,,
0393,値,4,,,1,009,00385,,
0394,今,30,,,1,009,00175,,
0395,令,17,,,1,009,00193,,
0396,停,3,,,1,009,00417,,
0397,仁,2,,,1,009,00170,,
0398,住,3,,,1,009,00245,,
0399,但,2,,,1,009,00240,,
0400,伎,2,,,1,009,00216,,
0401,低,2,,,1,009,00244,,
0402,他,2,,,1,009,00183,,
0403,伐,2,,,1,009,00218,,
0404,伺,2,,,1,009,00233,,
0405,仰,2,,,1,009,00199,,
0406,僧,4,,,1,009,00503,,
0407,來,28,,,1,009,00282,,
0408,依,3,,,1,009,00301,,
0409,倶,5,,,1,009,00350,,
0410,以,24,,,1,009,00194,,
0411,仙,11,,,1,009,00186,,
0412,人,55,,,1,009,00168,,
0413,佛,38,,,1,009,00255,,
0414,伽,11,,,1,009,00236,,
0415,何,12,,,1,009,00250,,
0416,優,7,,,1,009,00542,,
0417,伏,4,,,1,009,00217,,
0418,便,11,,,1,009,00321,,
0419,使,7,,,1,009,00279,,
0420,億,5,,,1,009,00520,,
0421,作,21,,,1,009,00256,,
0422,偈,20,,,1,009,00406,,
0423,侍,2,,,1,009,00288,,
0424,倒,2,,,1,009,00373,,
0425,健,2,,,1,009,00421,,
0426,供,2,,,1,009,00299,,
0427,充,2,,,1,010,00562,,
0428,兄,2,,,1,010,00561,,
0429,光,10,,,1,010,00567,,
0430,免,2,,,1,010,00570,,
0431,兜,2,,,1,010,00579,,
0432,兒,3,,,1,010,00574,,
0433,先,2,,,1,010,00566,,
0434,入,13,,,1,011,00582,,
0435,内,3,,,1,011,00585,,
0436,兩,3,,,1,011,00591,,
0437,其,21,,,1,012,00605,,
0438,共,7,,,1,012,00599,,
0439,六,7,,,1,012,00597,,
0440,八,8,,,1,012,00594,,
0441,兼,2,,,1,012,00613,,
0442,具,9,,,1,012,00606,,
0443,兵,6,,,1,012,00602,,
0444,凡,4,,,1,016,00701,,
0445,出,15,,,1,017,00723,,
0446,刹,5,,,1,018,00781,,
0447,切,21,,,1,018,00735,,
0448,利,21,,,1,018,00767,,
0449,前,12,,,1,018,00794,,
0450,則,18,,,1,018,00789,,
0451,初,4,,,1,018,00759,,
0452,刀,2,,,1,018,00729,,
0453,劫,9,,,1,019,00865,,
0454,勅,2,,,1,019,00879,,
0455,功,4,,,1,019,00857,,
0456,力,15,,,1,019,00856,,
0457,助,2,,,1,019,00863,,
0458,動,5,,,1,019,00887,,
0459,勝,2,,,1,019,00893,,
0460,勿,4,,,1,020,00919,,
0461,化,5,,,1,021,00938,,
0462,北,2,,,1,021,00941,,
0463,匿,4,,,1,023,00983,,
0464,十,4,,,1,024,00985,,
0465,千,5,,,1,024,00987,,
0466,南,12,,,1,024,01010,,
0467,博,3,,,1,024,01016,,
0468,即,21,,,1,026,01049,,
0469,去,5,,,1,028,01101,,
0470,又,17,,,1,029,01108,,
0471,叉,8,,,1,029,01109,,
0472,反,2,,,1,029,01116,,
0473,及,29,,,1,029,01111,,
0474,取,5,,,1,029,01127,,
0475,受,12,,,1,029,01128,,
0476,01180,2,,,1,030,01180,,
0477,右,2,,,1,030,01158,,
0478,問,2,,,1,030,01369,,
0479,商,2,,,1,030,01363,,
0480,含,2,,,1,030,01197,,
0481,喚,3,,,1,030,01410,,
0482,呪,12,,,1,030,01236,,
0483,各,6,,,1,030,01168,,
0484,合,5,,,1,030,01170,,
0485,唯,6,5,,2,030,01349,,
0486,囑,2,,,1,030,01600,,
0487,01503,4,,,1,030,01503,,
0488,命,10,,,1,030,01252,,
0489,可,15,,,1,030,01154,,
0490,名,27,,,1,030,01175,,
0491,喜,3,1,,2,030,01412,,
0492,善,14,,,1,030,01395,,
0493,器,2,,,1,030,01523,,
0494,呑,3,,,1,030,01187,,
0495,嘆,2,,,1,030,01466,,
0496,口,4,,,1,030,01141,,
0497,同,2,,,1,030,01174,,
0498,味,3,,,1,030,01242,,
0499,嚴,4,,,1,030,01581,,
0500,后,9,,,1,030,01176,,
0501,國,12,,,1,031,01639,,
0502,因,4,,,1,031,01611,,
0503,四,15,,,1,031,01607,,
0504,圍,3,,,1,031,01641,,
0505,塗,2,,,1,032,01818,,
0506,増,3,,,1,032,01853,,
0507,在,32,,,1,032,01659,,
0508,執,3,2,,2,032,01755,,
0509,地,8,,,1,032,01666,,
0510,垂,4,,,1,032,01710,,
0511,城,6,,,1,032,01740,,
0512,報,4,,,1,032,01796,,
0513,塞,5,,,1,032,01823,,
0514,士,7,,,1,033,01903,,
0515,壽,3,,,1,033,01913,,
0516,夜,12,,,1,036,01939,,
0517,多,20,,,1,036,01938,,
0518,夫,5,,,1,037,01949,,
0519,夷,3,,,1,037,01961,,
0520,天,49,,,1,037,01947,,
0521-0522,大,51,,,1,037,01946,,
0523,奈,2,,,1,037,01973,,
0524,女,2,,,1,038,02022,,
0525,妄,2,,,1,038,02033,,
0526,好,3,,,1,038,02029,,
0527,威,2,,,1,038,02105,,
0528,婆,30,,,1,038,02142,,
0529,娑,6,,,1,038,02110,,
0530,始,2,,,1,038,02069,,
0531,妙,8,,,1,038,02045,,
0532,妻,2,,,1,038,02061,,
0533-0534,如,68,,,1,038,02031,,
0535,子,23,,,1,039,02262,,
0536,宣,2,,,1,040,02333,,
0537,實,5,,,1,040,02390,,
0538,寶,9,,,1,040,02407,,
0539,宮,2,,,1,040,02342,,
0540,宜,8,,,1,040,02327,,
0541,宿,3,,,1,040,02355,,
0542,審,2,,,1,040,02395,,
0543,富,3,,,1,040,02366,,
0544,定,5,,,1,040,02325,,
0545,安,7,,,1,040,02309,,
0546,家,3,,,1,040,02349,,
0547,害,3,,,1,040,02346,,
0548,容,4,,,1,040,02352,,
0549,尊,30,,,1,041,02429,,
0550,尋,2,,,1,041,02430,,
0551,導,5,,,1,041,02436,,
0552,專,2,,,1,041,02426,,
0553,少,3,,,1,042,02440,,
0554,小,3,,,1,042,02439,,
0555,就,6,,,1,043,02464,,
0556,屠,3,,,1,044,02502,,
0557,屬,2,,,1,044,02515,,
0558,尼,10,,,1,044,02473,,
0559,居,5,,,1,044,02482,,
0560,履,2,,,1,044,02508,,
0561,尸,3,,,1,044,02469,,
0562,山,6,,,1,046,02528,,
0563,巧,2,,,1,048,02775,,
0564,巨,2,,,1,048,02776,,
0565,左,2,,,1,048,02774,,
0566,己,4,,,1,049,02782,,
0567,已,31,,,1,049,02783,,
0568,幢,2,,,1,050,02882,,
0569,帝,5,,,1,050,02820,,
0570,師,16,,,1,050,02835,,
0571,常,23,,,1,050,02847,,
0572,并,10,,,1,051,02902,,
0573,廣,8,,,1,053,02993,,
0574,度,3,,,1,053,02944,,
0575,廻,2,,,1,054,03008,,
0576,彌,6,,,1,057,03084,,
0577,弗,3,,,1,057,03046,,
0578,強,2,,,1,057,03066,,
0579,弟,4,,,1,057,03052,,
0580,形,2,,,1,059,03101,,
0581,彼,14,,,1,060,03124,,
0582,後,3,1,,2,060,03138,,
0583,徳,5,,,1,060,03172,,
0584,復,24,,,1,060,03159,,
0585,微,3,,,1,060,03165,,
0586,御,2,,,1,060,03153,,
0587,往,5,,,1,060,03128,,
0588,得,30,,,1,060,03145,,
0589,從,12,,,1,060,03151,,
0590,想,6,,,1,061,03373,,
0591,愛,9,,,1,061,03405,,
0592,悲,12,,,1,061,03335,,
0593,恭,2,,,1,061,03297,,
0594,忽,2,,,1,061,03219,,
0595,恣,2,,,1,061,03286,,
0596,慮,2,,,1,061,03466,,
0597,心,12,,,1,061,03179,,
0598,應,12,,,1,061,03550,,
0599,惠,2,,,1,061,03366,,
0600,憂,7,,,1,061,03486,,
0601,意,8,,,1,061,03395,,
0602,懷,3,,,1,061,03585,,
0603,恩,3,,,1,061,03292,,
0604,必,4,,,1,061,03180,,
0605,悦,2,,,1,061,03309,,
0606,懃,5,,,1,061,03544,,
0607,戀,2,,,1,061,03595,,
0608,恚,2,,,1,061,03278,,
0609,悉,11,,,1,061,03312,,
0610,驕,3,,,1,187,13845,,
0611,愚,3,,,1,061,03404,,
0612,怖,3,,,1,061,03233,,
0613,03182,6,,,1,061,03182,,
0614,悔,2,,,1,061,03320,,
0615,懼,2,,,1,061,03589,,
0616,慢,2,,,1,061,03458,,
0617,慧,6,,,1,061,03462,,
0618,惚,11,,,1,061,03362,,
0619,慈,10,,,1,061,03439,,
0620,念,13,,,1,061,03214,,
0621,思,2,,,1,061,03239,,
0622,恆,13,,,1,061,03267,,
0623,患,7,,,1,061,03329,,
0624,或,15,,,1,062,03617,,
0625,成,8,,,1,062,03610,,
0626,我,42,,,1,062,03611,,
0627,戒,3,,,1,062,03612,,
0628,戲,1,1,,2,062,03636,,
0629,所,49,,,1,063,03647,,
0630,持,6,,,1,064,03780,,
0631,捨,6,,,1,064,03835,,
0632,提,23,,,1,064,03896,,
0633-0634,摩,68,,,1,064,04009,,
0635,掌,5,,,1,064,03858,,
0636,搖,2,,,1,064,03947,,
0637,指,2,,,1,064,03783,,
0638,拔,1,1,,2,064,03750,,
0639,手,2,,,1,064,03659,,
0640,雍,2,,,1,172,12972,,
0641,支,2,,,1,065,04216,,
0642,改,2,,,1,066,04228,,
0643,數,4,,,1,066,04298,,
0644,放,4,,,1,066,04233,,
0645,敬,5,,,1,066,04286,,
0646,散,6,,,1,066,04280,,
0647,故,23,,,1,066,04243,,
0648,文,2,,,1,067,04321,,
0649,斷,10,,,1,069,04381,,
0650,斯,10,,,1,069,04373,,
0651,施,5,,,1,070,04391,,
0652,旃,3,1,,2,070,04398,,
0653,方,17,,,1,070,04385,,
0654-0655,於,57,,,1,070,04389,,
0656,既,4,,,1,071,04442,,
0657,日,9,,,1,072,04446,,
0658,明,10,1,,2,072,04485,,
0659,昔,2,,,1,072,04490,,
0660-0661,時,60,,,1,072,04523,,
0662,昇,2,,,1,072,04480,,
0663,曠,2,,,1,072,04640,,
0664,普,8,,,1,072,04557,,
0665,暫,2,,,1,072,04603,,
0666,智,6,,,1,072,04569,,
0667,旦,2,,,1,072,04447,,
0668,是,28,,,1,072,04512,,
0669,曰,11,,,1,073,04650,,
0670,更,3,,,1,073,04654,,
0671,曾,7,,,1,073,04661,,
0672,最,2,1,,2,073,04664,,
0673,昏,2,,,1,072,04486,,
0674,有,42,,,1,074,04674,,
0675,期,2,,,1,074,04699,,
0676,服,4,,,1,074,04679,,
0677,月,5,,,1,074,04673,,
0678,樂,15,,,1,075,05279,,
0679,棄,3,,,1,075,05014,,
0680,梵,6,,,1,075,05010,,
0681,根,6,,,1,075,04922,,
0682,極,6,,,1,075,05161,,
0683,果,6,,,1,075,04806,,
0684,未,9,,,1,075,04711,,
0685,槃,9,,,1,075,05228,,
0686,東,4,,,1,075,04765,,
0687,本,11,,,1,075,04713,,
0688,梨,2,,,1,075,04993,,
0689,枳,3,,,1,075,04817,,
0690,樓,11,,,1,075,05293,,
0691,業,4,,,1,075,05152,,
0692,枯,2,,,1,075,04813,,
0693,杖,2,,,1,075,04743,,
0694,檀,2,,,1,075,05391,,
0695,歎,2,,,1,076,05612,,
0696,歌,2,,,1,076,05609,,
0697,次,3,,,1,076,05558,,
0698,欲,22,,,1,076,05580,,
0699,歩,3,,,1,077,05645,,
0700,正,13,,,1,077,05643,,
0701,歸,8,2,,2,077,05676,,
0702,此,48,,,1,077,05644,,
0703,死,27,,,1,078,05686,,
0704,殊,3,,,1,078,05717,,
0705,殘,2,,,1,078,05737,,
0706,殺,3,1,,2,079,05796,,
0707,毀,2,,,1,079,05812,,
0708,母,11,,,1,080,05834,,
0709,毒,6,,,1,080,05839,,
0710,比,11,,,1,081,05841,,
0711,毘,14,,,1,081,05845,,
0712,民,4,,,1,083,05935,,
0713,波,24,,,1,085,06086,,
0714,汝,16,,,1,085,05983,,
0715,消,7,,,1,085,06192,,
0716,法,31,,,1,085,06074,,
0717,求,11,,,1,085,05964,,
0718,沙,4,,,1,085,06031,,
0719,水,5,,,1,085,05952,,
0720,況,3,,,1,085,06058,,
0721,濟,2,,,1,085,06641,,
0722,涅,7,,,1,085,06189,,
0723,滿,2,1,,2,085,06476,,
0724,沒,2,,,1,085,06023,,
0725,沈,2,,,1,085,06015,,
0726,海,8,,,1,085,06182,,
0727,泥,5,,,1,085,06088,,
0728,深,3,,,1,085,06285,,
0729,浮,16,,,1,085,06175,,
0730,減,2,,,1,085,06313,,
0731,滅,35,,,1,085,06432,,
0732,潛,2,,,1,085,06548,,
0733,河,5,,,1,085,06045,,
0734,06144,8,,,1,085,06144,,
0735,漢,2,,,1,085,06499,,
0736,漏,2,,,1,085,06487,,
0737,注,2,,,1,085,06091,,
0738,決,2,,,1,085,06003,,
0739,清,2,,,1,085,06290,,
0740,流,3,,,1,085,06151,,
0741,漸,3,,,1,085,06517,,
0742,滋,2,,,1,085,06437,,
0743,汁,3,,,1,085,05963,,
0744,渇,3,,,1,085,06338,,
0745,永,2,1,,2,085,05957,,
0746,淨,4,,,1,085,06272,,
0747,演,1,1,,2,085,06490,,
0748,火,8,,,1,086,06776,,
0749,煩,2,,,1,086,06921,,
0750,熟,4,,,1,086,06949,,
0751-0752,無,73,,,1,086,06872,,
0753,然,4,,,1,086,06885,,
0754,燒,6,,,1,086,06978,,
0755,熾,3,,,1,086,06965,,
0756,照,5,,,1,086,06918,,
0757,爲,31,,,1,087,07032,,
0758,牙,2,,,1,092,07065,,
0759,牧,2,,,1,093,07079,,
0760,牛,2,,,1,093,07072,,
0761,獲,8,,,1,094,07241,,
0762,獄,5,,,1,094,07212,,
0763,猶,15,,,1,094,07203,,
0764,猛,2,,,1,094,07180,,
0765-0766,王,52,,,1,096,07262,,
0767,珍,3,,,1,096,07287,,
0768,現,3,,,1,096,07304,,
0769,甚,2,,,1,099,07457,,
0770,甘,7,,,1,099,07456,,
0771-0772,生,67,,,1,100,07461,,
