統合ID,文字,S.2577,字体数,用例数,部首
13346,頭,0753,1,6,181
13559,餓,0754,1,2,184
13551,養,0755,1,11,184
13641,饒,0756,1,2,184
13667,香,0757,1,5,186
13940,高,0758,1,3,189
14088,魔,0759,1,6,194
14061,鬼,0760,1,6,194
14366,鳩,0761,1,3,196
14775,鼓,0762,1,2,207
14833,齒,0763,1,5,211
00025,世,0764a,2,50,001
00025b,世,0764b,2,10,001
00118,乾,0766a,2,4,005
00118b,乾,0766b,2,1,005
00121,亂,0767a,2,1,005
00121b,亂,0767b,2,1,005
00317,侵,0768a,2,5,009
00317b,侵,0768b,2,1,009
00608,典,0769a,2,3,012
00608b,典,0769b,2,1,012
01427,單,0770a,2,2,030
01427b,單,0770b,2,1,030
01395,善,0771a,2,23,030
01395b,善,0771b,2,10,030
01611,因,0772a,2,1,031
01611b,因,0772b,2,1,031
01831,塵,0773a,2,1,032
01831b,塵,0773b,2,1,032
02346,害,0774a,2,3,040
02346b,害,0774b,2,1,040
02473,尼,0775a,2,34,044
02473b,尼,0775b,2,2,044
13845,驕,0776a,2,2,187
13845b,驕,0776b,2,1,187
03367,惡,0777a,2,12,061
03367b,惡,0777b,2,3,061
04838,柅,0778a,2,3,075
04838b,柅,0778b,2,2,075
05935,民,0779a,2,1,083
05935b,民,0779b,2,1,083
07535,當,0780a,2,22,102
07535b,當,0780b,2,12,102
07799,直,0781a,2,1,109
07799b,直,0781b,2,1,109
08856,經,0782a,2,38,120
08856b,經,0782b,2,2,120
08944,緻,0783a,2,2,120
08944b,緻,0783b,2,1,120
09257,耆,0784a,2,2,125
09257b,耆,0784b,2,1,125
09629,與,0785a,2,9,134
09629b,與,0785b,2,7,134
09869,莊,0786a,2,12,140
09869b,莊,0786b,2,5,140
10859,觀,0787a,2,14,147
10859b,觀,0787b,2,12,147
11275,象,0788a,2,2,152
11275b,象,0788b,2,1,152
12945,隸,0789a,2,10,171
12945b,隸,0789b,2,6,171
13708,駄,0790a,2,3,187
13708b,駄,0790b,2,1,187
13934,體,0791a,2,1,188
13934b,體,0791b,2,1,188
14876,龍,0792a,2,5,212
14876b,龍,0792b,2,2,212
04280,散,0793a,3,1,066
04280b,散,0793b,3,1,066
04280c,散,0793c,3,1,066
10875,解,0794a,4,4,148
10875b,解,0794b,4,3,148
10875c,解,0794c,4,2,148
10875d,解,0794d,4,1,148
06801,炎,0795,0,1,086
04711,未,0796,1,2,075
