カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,用例数4,大字典,,,,,,
0271,七,001,1,11,,,,00004,,,,,,
0272,中,002,1,26,,,,00051,,,,,,
0273,乘,004,1,3,,,,00102,,,,,,
0274,之,004,1,28,,,,00088,,,,,,
0275,乃,004,1,5,,,,00078,,,,,,
0276,久,004,1,4,,,,00085,,,,,,
0277,事,006,1,4,,,,00128,,,,,,
0278,二,007,1,26,,,,00129,,,,,,
0279,云,007,1,3,,,,00133,,,,,,
0280,五,007,1,5,,,,00135,,,,,,
0281,亦,008,1,22,,,,00154,,,,,,
0282-0283,人,009,1,70,,,,00168,,,,,,
0284,億,009,1,14,,,,00520,,,,,,
0285,來,009,1,14,,,,00282,,,,,,
0286,作,009,1,18,,,,00256,,,,,,
0287-0289,佛,009,1,101,,,,00255,,,,,,
0290,優,009,1,5,,,,00542,,,,,,
0291,信,009,1,4,,,,00345,,,,,,
0292,任,009,1,2,,,,00206,,,,,,
0293,僧,009,1,9,,,,00503,,,,,,
0294,伎,009,1,3,,,,00216,,,,,,
0295,伊,009,1,5,,,,00213,,,,,,
0296,使,009,1,4,,,,00279,,,,,,
0297,便,009,1,9,,,,00321,,,,,,
0298,脩,130,1,21,,,,09462,,,,,,
0299,値,009,1,8,,,,00385,,,,,,
0300,偈,009,1,7,,,,00406,,,,,,
0301,價,009,1,2,,,,00513,,,,,,
0302,以,009,1,33,,,,00194,,,,,,
0303,伺,009,1,3,,,,00233,,,,,,
0304,但,009,1,2,,,,00240,,,,,,
0305,侍,009,1,2,,,,00288,,,,,,
0306,伽,009,1,18,,,,00236,,,,,,
0307,倶,009,1,8,,,,00350,,,,,,
0308,供,009,1,12,,,,00299,,,,,,
0309,何,009,1,10,,,,00250,,,,,,
0310,住,009,1,5,,,,00245,,,,,,
0311,他,009,1,3,,,,00183,,,,,,
0312,令,009,1,17,,,,00193,,,,,,
0313,今,009,1,12,,,,00175,,,,,,
0314,仁,009,1,2,,,,00170,,,,,,
0315,兜,010,1,3,,,,00579,,,,,,
0316,光,010,1,8,,,,00567,,,,,,
0317,菟,140,1,3,,,,09911,,,,,,
0318,入,011,1,3,,,,00582,,,,,,
0319,内,011,1,2,,,,00585,,,,,,
0320,八,012,1,8,,,,00594,,,,,,
0321,六,012,1,6,,,,00597,,,,,,
0322,其,012,1,41,,,,00605,,,,,,
0323,具,012,1,8,,,,00606,,,,,,
0324,共,012,1,6,,,,00599,,,,,,
0325,況,085,1,2,,,,06058,,,,,,
0326,冶,015,1,2,,,,00671,,,,,,
0327,出,017,1,13,,,,00723,,,,,,
0328,刀,018,1,2,,,,00729,,,,,,
0329,則,018,1,3,,,,00789,,,,,,
0330,分,018,1,4,,,,00734,,,,,,
0331,剃,018,1,2,,,,00787,,,,,,
0332,剛,018,1,2,,,,00803,,,,,,
0333,利,018,1,17,,,,00767,,,,,,
0334,刹,018,1,10,,,,00781,,,,,,
0335,切,018,1,10,,,,00735,,,,,,
0336,到,018,1,4,,,,00769,,,,,,
0337,前,018,1,11,,,,00794,,,,,,
0338,勒,019,1,3,,,,00885,,,,,,
0339,力,019,1,25,,,,00856,,,,,,
0340,功,019,1,13,,,,00857,,,,,,
0341,劫,019,1,5,,,,00865,,,,,,
0342,助,019,1,3,,,,00863,,,,,,
0343,化,021,1,4,,,,00938,,,,,,
0344,千,024,1,24,,,,00987,,,,,,
0345,十,024,1,10,,,,00985,,,,,,
0346,卷,026,1,2,,,,01040,,,,,,
0347,卽,026,1,30,,,,01049,,,,,,
0348,厄,027,1,2,,,,01058,,,,,,
0349,去,028,1,3,,,,01101,,,,,,
0350,受,029,1,32,,,,01128,,,,,,
0351,及,029,1,13,,,,01111,,,,,,
0352,叉,029,1,14,,,,01109,,,,,,
0353,又,029,1,3,,,,01108,,,,,,
0354,名,030,1,25,,,,01175,,,,,,
0355,向,030,1,2,,,,01179,,,,,,
0356,吉,030,1,7,,,,01172,,,,,,
0357,右,030,1,2,,,,01158,,,,,,
0358,可,030,1,6,,,,01154,,,,,,
0359,句,030,1,2,,,,01143,,,,,,
0360,各,030,1,2,,,,01168,,,,,,
0361,合,030,1,8,,,,01170,,,,,,
0362,吿,030,1,11,,,,01219,,,,,,
0363,呪,030,1,15,,,,01236,,,,,,
0364,命,030,1,2,,,,01252,,,,,,
0365,01302,030,1,6,,,,01302,,,,,,
0366,品,030,1,5,,,,01296,,,,,,
0367,哉,030,1,8,,,,01305,,,,,,
0368,問,030,1,2,,,,01369,,,,,,
0369,唯,030,1,2,,,,01349,,,,,,
0370,喜,030,1,11,,,,01412,,,,,,
0371,嘆,030,1,2,,,,01466,,,,,,
0372,嚴,030,1,18,,,,01581,,,,,,
0373,四,031,1,16,,,,01607,,,,,,
0374,國,031,1,8,,,,01639,,,,,,
0375,圍,031,1,4,,,,01641,,,,,,
0376,坐,032,1,5,,,,01682,,,,,,
0377,地,032,1,14,,,,01666,,,,,,
0378,在,032,1,8,,,,01659,,,,,,
0379,坑,032,1,2,,,,01683,,,,,,
0380,垢,032,1,2,,,,01726,,,,,,
0381,壞,032,1,2,,,,01895,,,,,,
0382,墮,032,1,3,,,,01863,,,,,,
0383,堪,032,1,2,,,,01789,,,,,,
0384,01837,032,1,2,,,,01837,,,,,,
0385,執,032,1,3,,,,01755,,,,,,
0386,報,032,1,3,,,,01796,,,,,,
0387,外,036,1,2,,,,01934,,,,,,
0388,多,036,1,28,,,,01938,,,,,,
0389,夜,036,1,9,,,,01939,,,,,,
0390,大,037,1,36,,,,01946,,,,,,
0391,夫,037,1,6,,,,01949,,,,,,
0392,天,037,1,17,,,,01947,,,,,,
0393,夷,037,1,3,,,,01961,,,,,,
0394,女,038,1,23,,,,02022,,,,,,
0395,婆,038,1,37,,,,02142,,,,,,
0396,娑,038,1,10,,,,02110,,,,,,
0397,好,038,1,3,,,,02029,,,,,,
0398,如,038,1,45,,,,02031,,,,,,
0399,妙,038,1,21,,,,02045,,,,,,
0400,婦,038,1,2,,,,02155,,,,,,
0401,子,039,1,36,,,,02262,,,,,,
0402,密,040,1,2,,,,02361,,,,,,
0403,宮,040,1,2,,,,02342,,,,,,
0404,宿,040,1,9,,,,02355,,,,,,
0405,家,040,1,9,,,,02349,,,,,,
0406,寶,040,1,8,,,,02407,,,,,,
0407,寫,040,1,4,,,,02396,,,,,,
0408,官,040,1,2,,,,02323,,,,,,
0409,安,040,1,8,,,,02309,,,,,,
0410,寧,040,1,2,,,,02392,,,,,,
0411,富,040,1,3,,,,02366,,,,,,
0412,守,040,1,7,,,,02308,,,,,,
0413,實,040,1,2,,,,02390,,,,,,
0414,導,041,1,2,,,,02436,,,,,,
0415,尋,041,1,2,,,,02430,,,,,,
0416,尊,041,1,27,,,,02429,,,,,,
0417,小,042,1,3,,,,02439,,,,,,
0418,少,042,1,2,,,,02440,,,,,,
0419,就,043,1,8,,,,02464,,,,,,
0420,屬,044,1,7,,,,02515,,,,,,
0421,履,044,1,22,,,,02508,,,,,,
0422,居,044,1,2,,,,02482,,,,,,
0423,山,046,1,2,,,,02528,,,,,,
0424,差,048,1,2,,,,02780,,,,,,
0425,已,049,1,18,,,,02783,,,,,,
0426,帝,050,1,11,,,,02820,,,,,,
0427,常,050,1,9,,,,02847,,,,,,
0428,師,050,1,17,,,,02835,,,,,,
0429,希,050,1,2,,,,02806,,,,,,
0430,平,051,1,2,,,,02899,,,,,,
0431,并,051,1,2,,,,02902,,,,,,
0432,座,053,1,4,,,,02946,,,,,,
0433,度,053,1,6,,,,02944,,,,,,
0434,廣,053,1,5,,,,02993,,,,,,
0435,底,053,1,3,,,,02932,,,,,,
0436,弟,057,1,6,,,,03052,,,,,,
0437,彌,057,1,3,,,,03084,,,,,,
0438,形,059,1,5,,,,03101,,,,,,
0439,後,060,1,13,,,,03138,,,,,,
0440,往,060,1,7,,,,03128,,,,,,
0441,復,060,1,13,,,,03159,,,,,,
0442,彼,060,1,21,,,,03124,,,,,,
0443,得,060,1,43,,,,03145,,,,,,
0444,從,060,1,9,,,,03151,,,,,,
0445,德,060,1,25,,,,03172,,,,,,
0446,微,060,1,3,,,,03165,,,,,,
0447,悉,061,1,6,,,,03312,,,,,,
0448,心,061,1,19,,,,03179,,,,,,
0449,念,061,1,31,,,,03214,,,,,,
0450,愍,061,1,8,,,,03402,,,,,,
0451,必,061,1,2,,,,03180,,,,,,
0452,意,061,1,11,,,,03395,,,,,,
0453,患,061,1,4,,,,03329,,,,,,
0454,恭,061,1,2,,,,03297,,,,,,
0455,應,061,1,21,,,,03550,,,,,,
0456,慧,061,1,4,,,,03462,,,,,,
0457,恆,061,1,5,,,,03267,,,,,,
0458,思,061,1,6,,,,03239,,,,,,
0459,悲,061,1,4,,,,03335,,,,,,
0460,怨,061,1,2,,,,03245,,,,,,
0461,惱,061,1,5,,,,03372,,,,,,
0462,怖,061,1,3,,,,03233,,,,,,
0463,慈,061,1,6,,,,03439,,,,,,
0464,慢,061,1,4,,,,03458,,,,,,
0465,快,061,1,2,,,,03208,,,,,,
0466,憶,061,1,5,,,,03534,,,,,,
0467,惚,061,1,3,,,,03362,,,,,,
0468,我,062,1,46,,,,03611,,,,,,
0469,成,062,1,10,,,,03610,,,,,,
0470,或,062,1,10,,,,03617,,,,,,
0471,威,038,1,5,,,,02105,,,,,,
0472,所,063,1,44,,,,03647,,,,,,
0473,旋,070,1,3,,,,04406,,,,,,
0474,手,064,1,6,,,,03659,,,,,,
0475,抓,064,1,2,,,,03706,,,,,,
0476,拜,064,1,2,,,,03761,,,,,,
0477,指,064,1,2,,,,03783,,,,,,
0478,持,064,1,30,,,,03780,,,,,,
0479,推,064,1,2,,,,03880,,,,,,
0480,提,064,1,15,,,,03896,,,,,,
0481,摩,064,1,17,,,,04009,,,,,,
0482,掌,064,1,8,,,,03858,,,,,,
0483,擁,064,1,11,,,,04082,,,,,,
0484,敬,066,1,3,,,,04286,,,,,,
0485,故,066,1,22,,,,04243,,,,,,
0486,救,066,1,2,,,,04263,,,,,,
0487,放,066,1,2,,,,04233,,,,,,
0488,教,066,3,2,2,1,,04261,,,,,,
0489,數,066,1,2,,,,04298,,,,,,
0490,方,070,1,6,,,,04385,,,,,,
0491-0492,於,070,1,51,,,,04389,,,,,,
0493,施,070,1,2,,,,04391,,,,,,
0494,無,086,1,39,,,,06872,,,,,,
0495,曇,072,1,2,,,,04621,,,,,,
0496,普,072,1,20,,,,04557,,,,,,
0497,智,072,1,12,,,,04569,,,,,,
0498,時,072,1,39,,,,04523,,,,,,
0499,昧,072,1,13,,,,04505,,,,,,
0500,明,072,1,7,,,,04485,,,,,,
0501,日,072,1,11,,,,04446,,,,,,
0502-0504,是,072,1,103,,,,04512,,,,,,
0505,旨,072,1,2,,,,04450,,,,,,
0506,曾,073,1,3,,,,04661,,,,,,
0507,曼,073,1,3,,,,04660,,,,,,
0508,會,073,1,2,,,,04667,,,,,,
0509,書,073,1,7,,,,04657,,,,,,
0510,曰,073,1,8,,,,04650,,,,,,
0511,有,074,1,41,,,,04674,,,,,,
0512,梵,075,1,2,,,,05010,,,,,,
0513,枳,075,1,2,,,,04817,,,,,,
0514,末,075,0,,,,,04712,,,,,,
0515,本,075,1,4,,,,04713,,,,,,
0516,根,075,1,3,,,,04922,,,,,,
0517,樹,075,1,6,,,,05323,,,,,,
0518,槃,075,2,1,1,,,05228,,,,,,
0519,樂,075,1,8,,,,05279,,,,,,
0520,壇,032,1,6,,,,01878,,,,,,
0521,樓,075,1,10,,,,05293,,,,,,
0522,欲,076,1,10,,,,05580,,,,,,
0523,歡,076,2,3,1,,,05639,,,,,,
0524,正,077,1,8,,,,05643,,,,,,
0525,此,077,1,31,,,,05644,,,,,,
0526,歳,077,1,4,,,,05666,,,,,,
0527,死,078,1,2,,,,05686,,,,,,
0528,殃,078,1,2,,,,05699,,,,,,
0529,殖,078,1,2,,,,05734,,,,,,
0530,毀,079,3,5,1,1,,05812,,,,,,
0531,段,079,1,2,,,,05792,,,,,,
0532,母,080,2,13,3,,,05834,,,,,,
0533,毒,080,1,5,,,,05839,,,,,,
0534,比,081,1,6,,,,05841,,,,,,
0535,氣,084,1,3,,,,05947,,,,,,
0536,水,085,1,5,,,,05952,,,,,,
0537,求,085,1,5,,,,05964,,,,,,
0538,汝,085,1,19,,,,05983,,,,,,
0539,沙,085,1,10,,,,06031,,,,,,
0540-0541,法,085,1,73,,,,06074,,,,,,
0542,油,085,1,7,,,,06052,,,,,,
0543,泥,085,1,5,,,,06088,,,,,,
0544,河,085,1,5,,,,06045,,,,,,
0545,波,085,1,19,,,,06086,,,,,,
0546,海,085,1,4,,,,06182,,,,,,
0547,浮,085,1,4,,,,06175,,,,,,
0548,淨,085,1,23,,,,06272,,,,,,
0549,消,085,1,2,,,,06192,,,,,,
0550,流,085,1,2,,,,06151,,,,,,
0551,涅,085,1,6,,,,06189,,,,,,
0552,清,085,1,4,,,,06290,,,,,,
0553,滅,085,1,9,,,,06432,,,,,,
0554,深,085,1,5,,,,06285,,,,,,
0555,滿,085,1,2,,,,06476,,,,,,
0556,06571,085,1,2,,,,06571,,,,,,
0557,濁,085,1,2,,,,06617,,,,,,
0558,燈,086,1,8,,,,06971,,,,,,
0559,火,086,1,6,,,,06776,,,,,,
0560,然,086,1,3,,,,06885,,,,,,
0561,熱,086,1,2,,,,06957,,,,,,
0562,照,086,1,4,,,,06918,,,,,,
0563,爲,087,1,39,,,,07032,,,,,,
0564,父,088,1,14,,,,07035,,,,,,
0565,爾,089,1,24,,,,07043,,,,,,
0566,牙,092,1,3,,,,07065,,,,,,
0567,牟,093,1,9,,,,07074,,,,,,
0568,犂,093,1,7,,,,07091,,,,,,
0569,獲,094,1,2,,,,07241,,,,,,
0570-0571,王,096,1,51,,,,07262,,,,,,
0572,珞,096,1,6,,,,07290,,,,,,
0573,瓔,096,1,5,,,,07397,,,,,,
0574,現,096,1,26,,,,07304,,,,,,
0575,珠,096,1,2,,,,07291,,,,,,
0576,甚,099,1,5,,,,07457,,,,,,
0577,生,100,1,26,,,,07461,,,,,,
0578,略,102,1,4,,,,07522,,,,,,
0579,畜,102,1,2,,,,07513,,,,,,
0580,05845,081,1,10,,,,05845,,,,,,
0581,界,102,1,6,,,,07501,,,,,,
0582,畏,102,1,3,,,,07503,,,,,,
0583,由,102,1,4,,,,07479,,,,,,
0584,男,102,1,10,,,,07483,,,,,,
0585,07618x4,104,1,2,,,,07618x4,,,,,,
0586,病,104,1,5,,,,07598,,,,,,
0587,發,105,1,8,,,,07707,,,,,,
0588,白,106,1,27,,,,07709,,,,,,
0589,百,106,1,17,,,,07710,,,,,,
0590,皆,106,1,10,,,,07717,,,,,,
0591,盧,108,1,3,,,,07785,,,,,,
0592,盡,108,1,7,,,,07779,,,,,,
0593,益,108,1,4,,,,07759,,,,,,
0594,相,109,1,5,,,,07801,,,,,,
0595,目,109,1,4,,,,07790,,,,,,
0596,瞿,109,1,2,,,,07910,,,,,,
0597,瞻,109,1,2,,,,07907,,,,,,
0598,衆,109,1,35,,,,07844,,,,,,
0599,眷,109,1,7,,,,07839,,,,,,
0600,眞,109,1,2,,,,07827,,,,,,
0601,07868,109,1,2,,,,07868,,,,,,
0602,眼,109,1,10,,,,07843,,,,,,
0603,M23523,109,1,3,,,,M23523,,,,,,
0604,知,111,1,15,,,,07941,,,,,,
0605,短,111,1,3,,,,07948,,,,,,
0606,破,112,1,5,,,,07986,,,,,,
