カード番号,文字,部首番号,字体数,用例数1,用例数2,用例数3,大字典
0302,繞,120,0,,,,09020
0303,罵,122,0,,,,09132
0304,羊,123,0,,,,09150
0305,義,123,0,,,,09177
0306,羹,123,0,,,,09191
0307,考,125,0,,,,09251
0308,脱,130,0,,,,09463
0309,膽,130,0,,,,09562
0310,臂,130,0,,,,09568
0311,舟,137,0,,,,09657
0312,舫,137,0,,,,09664
0313,舸,137,0,,,,09674
0314,艘,137,0,,,,09694
0315,芝,140,0,,,,09742
0316,若,140,0,,,,09788
0317,茅,140,0,,,,09810
0318,莫,140,0,,,,09886
0319,菜,140,0,,,,09910
0320,菩,140,0,,,,09919
0321,萼,140,0,,,,09960
0322,落,140,0,,,,09961
0323,著,140,0,,,,09972
0324,蓮,140,0,,,,10050
0325,蓐,140,0,,,,10043
0326,蕃,140,0,,,,10093
0327,薩,140,0,,,,10163
0328,藍,140,0,,,,10189
0329,藝,140,0,,,,10201
0330,處,141,0,,,,10270
0331,蜂,142,0,,,,10391
0332,蜜,142,0,,,,10414
0333,蝕,142,0,,,,10457
0334,蠶,142,0,,,,10599
0335,袍,145,0,,,,10667
0336,裂,145,0,,,,10698
0337,裏,145,0,,,,10703
0338,要,146,0,,,,10822
0339,覓,147,0,,,,10834
0340,覺,147,0,,,,10856
0341,觸,148,0,,,,10887
0342,計,149,0,,,,10896
0343,託,149,0,,,,10913
0344,詐,149,0,,,,10957
0345,試,149,0,,,,10975
0346,話,149,0,,,,10986
0347,誤,149,0,,,,11020
0348,課,149,0,,,,11029
0349,識,149,0,,,,11171
0350,讓,149,0,,,,11222
0351,豎,151,0,,,,11258
0352,貌,153,0,,,,11311
0353,貧,154,0,,,,11338
0354,費,154,0,,,,11359
0355,赤,155,0,,,,11445
0356,迹,162,0,,,,11976
0357,躬,158,0,,,,11716
0358,輔,159,0,,,,11801
0359,辭,160,0,,,,11914
0360,逃,162,0,,,,11984
0361,通,162,0,,,,12000
0362,逸,162,0,,,,12027
0363,遇,162,0,,,,12040
0364,遊,162,0,,,,12042
0365,運,162,0,,,,12043
0366,道,162,2,1,1,,12051
0367,違,162,0,,,,12054
0368,遠,162,0,,,,12070
0369,遷,162,0,,,,12093
0370,遺,162,0,,,,12097
0371,避,162,0,,,,12103
0372,那,163,0,,,,12134
0373,鄰,163,0,,,,12234
0374,鄙,163,0,,,,12212
0375,酒,164,0,,,,12266
0376,鋪,167,0,,,,12494
0377,鎖,167,0,,,,12573
0378,鐵,167,0,,,,12654
0379,鑪,167,0,,,,12680
0380,鉤,167,0,,,,12441
0381,里,166,0,,,,12372
0382,銀,167,0,,,,12451
0383,12482,167,0,,,,12482
0384,闢,169,0,,,,12797
0385,12788,169,0,,,,12788
0386,開,169,0,,,,12716
0387,12767,169,0,,,,12767
0388,闕,169,0,,,,12783
0389,障,170,0,,,,12914
0390,阜,170,0,,,,12802
0391,陣,170,0,,,,12854
0392,陪,170,0,,,,12859
0393,雜,172,0,,,,12997
0394,霜,173,0,,,,13052
0395,霧,173,0,,,,13063
0396,靡,175,0,,,,13107
0397,鞋,177,0,,,,13158
0398,響,180,0,,,,13293
0399,頃,181,0,,,,13297
0400,領,181,0,,,,13327
0401,飛,183,0,,,,13495
0402,食,184,0,,,,13503
0403,飫,184,0,,,,13521
0404,飮,184,0,,,,13526
0405,飯,184,0,,,,13527
0406,館,184,0,,,,13584
0407,首,185,0,,,,13661
0408,髮,190,0,,,,13959
0409,魚,195,0,,,,14101
0410,鳥,196,0,,,,14361
0411,鷄,196,0,,,,14542
0412,點,203,0,,,,14725
0413,黨,203,0,,,,14730
0414,鼠,208,0,,,,14790
0415,一,001,1,28,,,00001
0416,丁,001,1,14,,,00002
0417,七,001,1,3,,,00004
0418,三,001,1,23,,,00007
0419,上,001,1,14,,,00008
0420,下,001,1,8,,,00009
0421,不,001,1,50,,,00013
0422,丙,001,1,10,,,00027
0423,丑,001,1,9,,,00017
0424,中,002,1,43,,,00051
0425,主,003,1,4,,,00070
0426-0427,之,004,1,69,,,00088
0428,乃,004,1,5,,,00078
0429,乎,004,1,3,,,00092
0430,乘,004,1,5,,,00102
0431,乙,005,1,14,,,00104
0432,九,005,1,3,,,00107
0433,也,005,1,20,,,00109
0434,乳,005,1,2,,,00113
0435,亂,005,1,2,,,00121
0436,事,006,1,4,,,00128
0437,二,007,1,17,,,00129
0438,于,007,1,13,,,00132
0439,五,007,1,9,,,00135
0440,云,007,1,4,,,00133
0441,亡,008,2,2,1,,00150
0442,亥,008,2,8,7,,00153
0443,亦,008,1,8,,,00154
0444-0445,人,009,1,57,,,00168
0446,仁,009,1,2,,,00170
0447,今,009,1,6,,,00175
0448,仍,009,1,5,,,00177
0449,代,009,1,4,,,00192
0450,令,009,1,7,,,00193
0451,以,009,1,37,,,00194
0452,仰,009,1,3,,,00199
0453,任,009,1,3,,,00206
0454,伊,009,1,8,,,00213
0455,伏,009,1,2,,,00217
0456,休,009,1,2,,,00219
0457,伯,009,1,6,,,00228
0458,伴,009,1,5,,,00230
0459,伺,009,1,2,,,00233
0460,似,009,1,2,,,00235
0461,位,009,1,7,,,00243
0462,何,009,1,6,,,00250
0463,余,009,1,4,,,00253
0464,佛,009,1,3,,,00255
0465,作,009,1,16,,,00256
0466-0467,使,009,1,54,,,00279
0468,來,009,1,12,,,00282
0469,例,009,1,8,,,00287
0470,侍,009,1,6,,,00288
0471,00260,009,1,9,,,00260
0472,便,009,1,9,,,00321
0473,俗,009,1,2,,,00338
0474,倶,009,1,11,,,00350
0475,倉,009,1,9,,,00365
0476,候,009,1,2,,,00369
0477,倭,009,1,9,,,00393
0478,健,009,1,2,,,00421
0479,側,009,1,3,,,00429
0480,傍,009,1,3,,,00449
0481,傷,009,1,5,,,00473
0482,像,009,1,2,,,00489
0483,僧,009,1,2,,,00503
0484,舞,136,1,2,,,09656
0485,先,010,1,2,,,00566
0486,兄,010,1,30,,,00561
0487,入,011,1,43,,,00582
0488,内,011,1,7,,,00585
0489,全,011,1,3,,,00589
0490,八,012,1,6,,,00594
0491,六,012,1,8,,,00597
0492,共,012,1,3,,,00599
0493,兵,012,1,6,,,00602
0494,其,012,1,50,,,00605
0495,具,012,1,3,,,00606
0496,冬,015,1,5,,,00662
0497,凡,016,1,2,,,00701
0498,出,017,1,7,,,00723
0499,別,018,1,2,,,00763
0500,制,018,1,3,,,00776
0501,削,018,1,2,,,00791
0502,前,018,1,8,,,00794
0503,力,019,1,3,,,00856
0504,功,019,1,2,,,00857
0505,助,019,1,2,,,00863
0506,努,019,1,4,,,00864
0507,勝,019,1,8,,,00893
0508,勞,019,1,2,,,00894
0509,勸,019,1,4,,,00913
0510,勿,020,1,4,,,00919
0511,北,021,1,4,,,00941
0512,匿,023,1,2,,,00983
0513,十,024,1,20,,,00985
0514,千,024,1,2,,,00987
0515,午,024,1,11,,,00992
0516,半,024,1,2,,,00994
0517,南,024,1,4,,,01010
0518,郷,163,1,5,,,12205
0519,去,028,1,8,,,01101
0520,參,028,1,3,,,01104
0521,及,029,1,4,,,01111
0522,取,029,1,12,,,01127
0523,古,030,1,9,,,01142
0524,召,030,1,3,,,01150
0525,可,030,1,14,,,01154
0526,各,030,1,3,,,01168
0527,合,030,1,2,,,01170
0528,同,030,1,4,,,01174
0529,名,030,1,4,,,01175
0530,后,030,1,2,,,01176
0531,吐,030,1,2,,,01178
0532,向,030,1,5,,,01179
0533,吾,030,1,6,,,01217
0534,呂,030,1,16,,,01222
0535,周,030,1,2,,,01235
0536,味,030,1,2,,,01242
0537,呼,030,1,2,,,01251
0538,命,030,1,7,,,01252
0539,唱,030,1,3,,,01350
0540,問,030,1,7,,,01369
0541,喚,030,1,2,,,01410
0542,喩,030,1,6,,,01421
0543,喫,030,2,2,1,,01422
0544,嗚,030,1,3,,,01448
0545,嗣,030,1,2,,,01452
0546,嘗,030,1,2,,,01479
0547,喪,030,1,6,,,01430
0548,四,031,1,12,,,01607
0549,因,031,1,2,,,01611
0550,固,031,1,2,,,01627
0551,國,031,1,34,,,01639
0552,圍,031,1,3,,,01641
0553,圖,031,1,2,,,01647
0554,土,032,1,3,,,01654
0555,在,032,1,2,,,01659
0556,地,032,1,8,,,01666
0557,坂,032,1,5,,,01672
0558,垂,032,1,2,,,01710
0559,城,032,1,5,,,01740
0560,執,032,1,5,,,01755
0561,基,032,1,2,,,01758
0562,堂,032,1,2,,,01765
0563,塞,032,1,2,,,01823
0564,墓,032,1,5,,,01850
0565,壁,032,1,2,,,01873
0566,士,033,1,7,,,01903
0567,壬,033,1,12,,,01904
0568,外,036,1,2,,,01934
0569,多,036,1,9,,,01938
0570,夜,036,1,8,,,01939
0571-0573,大,037,1,116,,,01946
0574,天,037,1,44,,,01947
0575,太,037,1,9,,,01948
0576,夫,037,1,10,,,01949
0577,失,037,1,2,,,01957
0578,奉,037,1,8,,,01974
0579,奏,037,1,3,,,01981
0580,女,038,1,9,,,02022
0581,如,038,1,13,,,02031
0582,妃,038,1,4,,,02032
0583,妄,038,1,2,,,02033
0584,妹,038,1,3,,,02059
0585,妻,038,1,2,,,02061
0586,始,038,1,15,,,02069
0587,姓,038,1,4,,,02077
0588,威,038,1,3,,,02105
0589,姫,038,1,3,,,02108
0590,娑,038,1,3,,,02110
0591,婆,038,1,5,,,02142
0592,學,039,1,4,,,02293
0593,孫,039,1,3,,,02282
0594,孺,039,1,5,,,02294
0595,守,040,1,3,,,02308
0596,安,040,1,3,,,02309
0597,宗,040,1,2,,,02322
0598,官,040,1,3,,,02323
0599,宜,040,1,2,,,02327
0600,客,040,1,4,,,02331
0601,室,040,1,2,,,02332
0602,宰,040,1,2,,,02344
0603,害,040,1,2,,,02346
0604,家,040,1,14,,,02349
0605,寅,040,1,8,,,02359
0606,密,040,1,2,,,02361
0607,富,040,1,3,,,02366
0608,寒,040,1,2,,,02371
0609,寶,040,1,2,,,02407
0610,寸,041,1,4,,,02413
0611,寺,041,1,12,,,02415
0612,專,041,1,2,,,02426
0613,對,041,1,4,,,02435
0614,小,042,1,8,,,02439
0615,少,042,1,5,,,02440
0616,就,043,1,4,,,02464
0617,尺,044,1,2,,,02471
0618,居,044,1,2,,,02482
0619,屋,044,1,4,,,02488
0620,屍,044,1,3,,,02489
0621,屯,045,1,2,,,02518
0622,山,046,1,32,,,02528
0623,岐,046,1,17,,,02540
0624,崩,046,1,2,,,02640
0625,島,046,1,5,,,02594
0626,巨,048,1,5,,,02776
0627,巫,048,1,6,,,02779
0628,差,048,1,3,,,02780
0629,己,049,1,13,,,02782
0630,巳,049,1,8,,,02784
0631,師,050,1,4,,,02835
0632,常,050,1,4,,,02847
0633,幡,050,1,2,,,02881
0634,平,051,1,3,,,02899
0635,年,051,1,15,,,02900
0636,并,051,1,4,,,02902
0637,幸,051,1,2,,,02903
0638,底,053,1,7,,,02932
0639,庚,053,1,13,,,02936
0640,府,053,1,2,,,02938
0641,庫,053,1,2,,,02949
0642,庭,053,1,3,,,02952
0643,廣,053,1,5,,,02993
0644,弓,057,1,4,,,03042
0645,弔,057,1,7,,,03043
0646,弟,057,1,8,,,03052
0647,役,060,1,4,,,03123
0648,彼,060,1,3,,,03124
0649,後,060,1,5,,,03138
0650,得,060,1,6,,,03145
0651,從,060,1,7,,,03151
0652,御,060,1,3,,,03153
0653,復,060,1,6,,,03159
0654,微,060,1,7,,,03165
0655,徳,060,1,10,,,03172
0656,心,061,1,4,,,03179
0657,必,061,1,3,,,03180
0658,忌,061,1,2,,,03183
0659,志,061,1,4,,,03194
0660,怪,061,1,3,,,03248
0661,恆,061,1,4,,,03267
0662,恐,061,1,7,,,03272
0663,息,061,1,9,,,03298
0664,悦,061,1,3,,,03309
0665,悉,061,1,5,,,03312
0666,惡,061,1,3,,,03367
0667,惶,061,1,3,,,03376
0668,意,061,1,4,,,03395
0669,憂,061,1,4,,,03486
0670,應,061,1,3,,,03550
0671,懷,061,1,2,,,03585
0672,懸,061,1,2,,,03586
0673,憤,061,1,2,,,03518
0674,戊,062,1,12,,,03604
0675,戌,062,1,9,,,03605
0676,成,062,1,5,,,03610
0677,我,062,1,27,,,03611
0678,戮,062,1,2,,,03632
0679,或,062,1,13,,,03617
0680,戰,062,1,5,,,03633
0681,所,063,1,35,,,03647
0682,手,064,1,5,,,03659
0683,打,064,1,2,,,03666
0684,投,064,1,4,,,03708
0685,折,064,1,3,,,03711
0686,押,064,1,7,,,03729
0687,持,064,1,4,,,03780
0688,指,064,1,2,,,03783
0689,捨,064,1,5,,,03835
0690,授,064,1,5,,,03855
0691,接,064,1,3,,,03878
0692,提,064,1,2,,,03896
0693,損,064,1,2,,,03939
0694,播,064,1,4,,,04069
0695,放,066,1,2,,,04233
0696,政,066,1,3,,,04235
0697,故,066,1,9,,,04243
0698,教,066,1,3,,,04261
0699,敬,066,1,3,,,04286
0700,變,066,1,5,,,04319
0701,文,067,1,6,,,04321
0702,斬,069,1,4,,,04369
0703,斯,069,1,4,,,04373
0704,新,069,1,11,,,04376
0705,方,070,1,5,,,04385
0706-0708,於,070,1,104,,,04389
0709,既,071,2,2,1,,04442
0710,日,072,1,24,,,04446
0711,明,072,1,2,,,04485
0712,春,072,1,8,,,04503
0713,是,072,1,49,,,04512
0714,時,072,1,16,,,04523
0715,晝,072,1,3,,,04542
0716,智,072,1,6,,,04569
0717,暖,072,1,4,,,04590
0718,曇,072,1,3,,,04621
0719-0720,曰,073,1,63,,,04650
0721,曲,073,1,2,,,04651
0722,更,073,1,4,,,04654
0723,書,073,1,2,,,04657
0724-0725,月,074,1,51,,,04673
0726,有,074,1,19,,,04674
0727,朔,074,1,27,,,04686
0728,望,074,1,3,,,04693
0729,朝,074,1,10,,,04696
0730,木,075,1,6,,,04707
0731,未,075,1,12,,,04711
0732,本,075,1,3,,,04713
0733,東,075,1,7,,,04765
0734,杯,075,1,2,,,04776
0735,果,075,1,2,,,04806
0736,枝,075,1,2,,,04807
0737,枳,075,1,7,,,04817
0738,柯,075,1,7,,,04869
0739,柱,075,1,2,,,04871
0740,栖,075,1,3,,,04888
0741,梨,075,1,3,,,04993
0742,棄,075,1,2,,,05014
0743,極,075,1,5,,,05161
0744,樹,075,1,2,,,05323
0745,村,075,1,2,,,04739
0746,橋,075,1,2,,,05348
0747,檢,075,1,2,,,05420
0748,權,075,1,2,,,05529
0749,次,076,1,2,,,05558
0750,欲,076,1,7,,,05580
0751,歌,076,1,13,,,05609
0752,歟,076,1,2,,,05633
0753,止,077,1,2,,,05641
0754,正,077,1,6,,,05643
0755,此,077,1,11,,,05644
0756,武,077,1,2,,,05649
0757,歴,077,1,2,,,05670
0758,死,078,1,11,,,05686
0759,殿,079,1,6,,,05809
0760,母,080,1,24,,,05834
0761,毎,080,1,2,,,05836
0762,毒,080,1,2,,,05839
0763,比,081,1,9,,,05841
0764,鞠,177,1,2,,,13179
0765,氏,083,1,3,,,05932
0766,民,083,1,8,,,05935
0767,氣,084,1,7,,,05947
0768,水,085,1,11,,,05952
0769,氷,085,1,2,,,05956
0770,求,085,1,4,,,05964
0771,汗,085,1,2,,,05978
0772,江,085,1,3,,,05985
0773,池,085,1,6,,,05986
0774,河,085,1,6,,,06045
0775,治,085,1,3,,,06055
0776,泊,085,1,4,,,06064
0777,法,085,1,3,,,06074
0778,波,085,1,14,,,06086
0779,泥,085,1,2,,,06088
0780,流,085,1,5,,,06151
0781,浦,085,1,2,,,06169
0782,海,085,1,3,,,06182
0783,深,085,1,3,,,06285
0784,清,085,1,2,,,06290
0785,淵,085,1,2,,,06310
0786,渟,085,1,2,,,06316
0787,滿,085,1,2,,,06476
0788,漢,085,1,4,,,06499
0789,濟,085,1,26,,,06641
0790,災,086,1,2,,,06792
0791,烏,086,1,8,,,06835
0792,焉,086,1,5,,,06861
0793,無,086,1,18,,,06872
0794,然,086,1,7,,,06885
0795,燒,086,1,5,,,06978
0796,營,086,1,2,,,06984
0797,爭,087,1,2,,,07028
0798,爲,087,1,27,,,07032
0799,父,088,1,7,,,07035
0800,爾,089,1,3,,,07043
0801,物,093,1,10,,,07080
0802,犬,094,1,5,,,07110
0803,猿,094,1,4,,,07207
0804,獨,094,1,2,,,07230
0805,獲,094,1,3,,,07241
0806,茲,095,1,4,,,07258
0807,王,096,1,29,,,07262
0808,甚,099,1,5,,,07457
0809,生,100,1,7,,,07461
0810,田,102,1,20,,,07478
0811,由,102,1,13,,,07479
0812,甲,102,1,10,,,07480
0813,申,102,1,10,,,07481
0814,畏,102,1,2,,,07503
0815,留,102,1,2,,,07508
0816,畢,102,1,2,,,07520
0817,異,102,1,2,,,07530
0818,當,102,1,3,,,07535
0819,疾,104,1,2,,,07591
0820,病,104,1,4,,,07598
0821,白,106,1,5,,,07709
0822,百,106,1,31,,,07710
0823,皇,106,1,45,,,07718
0824,盡,108,1,5,,,07779
0825,目,109,1,2,,,07790
0826,瞻,109,1,2,,,07907
0827,相,109,1,6,,,07801
0828,知,111,1,9,,,07941
0829,矩,111,1,2,,,07944
0830,石,112,1,2,,,07954
0831,礙,112,2,1,1,,08077
0832,示,113,1,2,,,08097
0833,社,113,1,2,,,08101
0834,祈,113,1,3,,,08108
0835,祖,113,1,8,,,08117
0836,神,113,1,9,,,08124
0837,禰,113,1,3,,,08166
0838,祭,113,1,5,,,08135
0839,福,113,1,2,,,08148
0840,私,115,1,2,,,08180
0841,秋,115,1,4,,,08187
0842,移,115,1,6,,,08212
0843,稚,115,1,4,,,08233
0844,種,115,1,3,,,08244
0845,稱,115,1,5,,,08248
0846,積,115,1,3,,,08269
0847,穴,116,1,2,,,08291
0848,空,116,1,2,,,08296
0849,立,117,1,6,,,08354
0850,竝,117,1,2,,,08361
0851,童,117,1,5,,,08371
0852,第,118,1,3,,,08412
0853,筑,118,1,4,,,08434
0854,箭,118,1,2,,,08479
0855,納,120,1,2,,,08747
0856,紫,120,1,6,,,08773
0857,終,120,1,2,,,08795
0858,結,120,1,2,,,08807
0859,給,120,1,2,,,08822
0860,網,120,1,5,,,08885
0861,罪,122,1,2,,,09125
0862,置,122,1,6,,,09128
0863,羅,122,2,19,1,,09144
0864,罷,122,1,6,,,09133
0865,翹,124,1,12,,,09240
0866,老,125,1,2,,,09250
0867-0868,而,126,1,76,,,09264
0869,耶,128,1,4,,,09292
