,,k24_寛文紀24,k24_寛文紀24,k24_寛文紀24,
04805,枚,0189,0,1,075
04813,枯,0190,0,1,075
04875,柵,0191,0,1,075
04929,桂,0192,0,1,075
04930,桃,0193,0,1,075
M14784,桙,0194,0,1,075
05087,椒,0195,0,1,075
05237,槍,0196,0,1,075
05272,槻,0197,0,1,075
05279,樂,0198,0,1,075
05361,橘,0199,0,1,075
05391,檀,0200,0,1,075
05428,檮,0201,0,1,075
05557,欠,0202,0,1,076
05561,欣,0203,0,1,076
05612,歎,0204,0,1,076
05707,殆,0205,0,1,078
05717,殊,0206,0,1,078
05737,殘,0207,0,1,078
05845,毗,0208,0,1,081
05850,毛,0209,0,1,082
05957,永,0210,0,1,085
05963,汁,0211,0,1,085
06003,決,0212,0,1,085
06087,泣,0213,0,1,085
06149,派,0214,0,1,085
06192,消,0215,0,1,085
06272,淨,0216,0,1,085
06291,淹,0217,0,1,085
06318,渡,0218,0,1,085
06404,溝,0219,0,1,085
06408,溢,0220,0,1,085
06409,溥,0221,0,1,085
06432,滅,0222,0,1,085
06445,滑,0223,0,1,085
06517,漸,0224,0,1,085
06541,潦,0225,0,1,085
06548,潛,0226,0,1,085
06553,潤,0227,0,1,085
06603,澤,0228,0,1,085
06681,瀆,0229,0,1,085
06009,沃,0230,0,1,085
06776,火,0231,0,1,086
06784,灰,0232,0,1,086
06791,灼,0233,0,1,086
06895,煮,0234,0,1,086
06918,照,0235,0,1,086
06921,煩,0236,0,1,086
06949,熟,0237,0,1,086
07017,爛,0238,0,1,086
07072,牛,0239,0,1,093
07086,特,0240,0,1,093
07112,犯,0241,0,1,094
07122,狀,0242,0,1,094
07192,猪,0243,0,1,094
07203,猶,0244,0,1,094
07244,獵,0245,0,1,094
07248,獸,0246,0,1,094
07291,珠,0247,0,1,096
07346,瑞,0248,0,1,096
07456,甘,0249,0,1,099
07464,産,0250,0,1,100
07483,男,0251,0,1,102
07487,町,0252,0,1,102
07513,畜,0253,0,1,102
07514,畝,0254,0,1,102
07554,疋,0255,0,1,103
07557,疏,0256,0,1,103
07613,痛,0257,0,1,104
07685,癡,0258,0,1,104
07706,登,0259,0,1,105
07717,皆,0260,0,1,106
07739,皮,0261,0,1,107
07759,益,0262,0,1,108
07771,盜,0263,0,1,108
07770,盛,0264,0,1,108
07817,看,0265,0,1,109
07827,眞,0266,0,1,109
07839,眷,0267,0,1,109
07843,眼,0268,0,1,109
07860,睡,0269,0,1,109
07870,睹,0270,0,1,109
07937,矢,0271,0,1,111
07986,破,0272,0,1,112
08047,磐,0273,0,1,112
08057,磨,0274,0,1,112
08165,禮,0275,0,1,113
08107,祇,0276,0,1,113
08123,祝,0277,0,1,113
08141,祿,0278,0,1,113
08167,禱,0279,0,1,113
08172,禹,0280,0,1,114
08176,禽,0281,0,1,114
08204,秦,0282,0,1,115
08235,稜,0283,0,1,115
08252,稷,0284,0,1,115
08256,稻,0285,0,1,115
08273,穗,0286,0,1,115
08293,究,0287,0,1,116
08300,穿,0288,0,1,116
08353,竊,0289,0,1,116
08365,竟,0290,0,1,117
08408,符,0291,0,1,118
08437,答,0292,0,1,118
08483,箱,0293,0,1,118
08619,籠,0294,0,1,118
08664,粟,0295,0,1,119
08870,綠,0296,0,1,120
08735,紀,0297,0,1,120
08759,級,0298,0,1,120
08779,細,0299,0,1,120
08924,緣,0300,0,1,120
08972,縣,0301,0,1,120
09020,繞,0302,0,1,120
09132,罵,0303,0,1,122
09150,羊,0304,0,1,123
09177,義,0305,0,1,123
09191,羹,0306,0,1,123
09251,考,0307,0,1,125
09463,脱,0308,0,1,130
09562,膽,0309,0,1,130
09568,臂,0310,0,1,130
09657,舟,0311,0,1,137
09664,舫,0312,0,1,137
09674,舸,0313,0,1,137
09694,艘,0314,0,1,137
09742,芝,0315,0,1,140
09788,若,0316,0,1,140
09810,茅,0317,0,1,140
09886,莫,0318,0,1,140
09910,菜,0319,0,1,140
09919,菩,0320,0,1,140
09960,萼,0321,0,1,140
09961,落,0322,0,1,140
09972,著,0323,0,1,140
10050,蓮,0324,0,1,140
10043,蓐,0325,0,1,140
10093,蕃,0326,0,1,140
10163,薩,0327,0,1,140
10189,藍,0328,0,1,140
10201,藝,0329,0,1,140
10270,處,0330,0,1,141
10391,蜂,0331,0,1,142
10414,蜜,0332,0,1,142
10457,蝕,0333,0,1,142
10599,蠶,0334,0,1,142
10667,袍,0335,0,1,145
10698,裂,0336,0,1,145
10703,裏,0337,0,1,145
10822,要,0338,0,1,146
10834,覓,0339,0,1,147
10856,覺,0340,0,1,147
10887,觸,0341,0,1,148
10896,計,0342,0,1,149
10913,託,0343,0,1,149
10957,詐,0344,0,1,149
10975,試,0345,0,1,149
10986,話,0346,0,1,149
11020,誤,0347,0,1,149
11029,課,0348,0,1,149
11171,識,0349,0,1,149
11222,讓,0350,0,1,149
11258,豎,0351,0,1,151
11311,貌,0352,0,1,153
11338,貧,0353,0,1,154
11359,費,0354,0,1,154
11445,赤,0355,0,1,155
11976,迹,0356,0,1,162
11716,躬,0357,0,1,158
11801,輔,0358,0,1,159
11914,辭,0359,0,1,160
11984,逃,0360,0,1,162
12000,通,0361,0,1,162
12027,逸,0362,0,1,162
12040,遇,0363,0,1,162
12042,遊,0364,0,1,162
12043,運,0365,0,1,162
12051,道,0366a,2,1,162
12051b,道,0366b,2,1,162
12054,違,0367,0,1,162
12070,遠,0368,0,1,162
12093,遷,0369,0,1,162
12097,遺,0370,0,1,162
12103,避,0371,0,1,162
12134,那,0372,0,1,163
12234,鄰,0373,0,1,163
12212,鄙,0374,0,1,163
12266,酒,0375,0,1,164
12494,鋪,0376,0,1,167
12573,鎖,0377,0,1,167
12654,鐵,0378,0,1,167
12680,鑪,0379,0,1,167
12441,鉤,0380,0,1,167
12372,里,0381,0,1,166
12451,銀,0382,0,1,167
12482,鋌,0383,0,1,167
12797,闢,0384,0,1,169
12788,闚,0385,0,1,169
12716,開,0386,0,1,169
12767,𨵦,0387,0,1,169
12783,闕,0388,0,1,169
12914,障,0389,0,1,170
12802,阜,0390,0,1,170
12854,陣,0391,0,1,170
12859,陪,0392,0,1,170
12997,雜,0393,0,1,172
13052,霜,0394,0,1,173
13063,霧,0395,0,1,173
13107,靡,0396,0,1,175
13158,鞋,0397,0,1,177
13293,響,0398,0,1,180
13297,頃,0399,0,1,181
13327,領,0400,0,1,181
13495,飛,0401,0,1,183
13503,食,0402,0,1,184
13521,飫,0403,0,1,184
13526,飮,0404,0,1,184
13527,飯,0405,0,1,184
13584,館,0406,0,1,184
13661,首,0407,0,1,185
13959,髮,0408,0,1,190
14101,魚,0409,0,1,195
14361,鳥,0410,0,1,196
14542,鷄,0411,0,1,196
14725,點,0412,0,1,203
14730,黨,0413,0,1,203
14790,鼠,0414,0,1,208
00001,一,0415,1,28,001
00002,丁,0416,1,14,001
00004,七,0417,1,3,001
00007,三,0418,1,23,001
00008,上,0419,1,14,001
00009,下,0420,1,8,001
00013,不,0421,1,50,001
00027,丙,0422,1,10,001
00017,丑,0423,1,9,001
00051,中,0424,1,43,002
00070,主,0425,1,4,003
00088,之,0426,1,69,004
00078,乃,0428,1,5,004
00092,乎,0429,1,3,004
00102,乘,0430,1,5,004
00104,乙,0431,1,14,005
00107,九,0432,1,3,005
00109,也,0433,1,20,005
00113,乳,0434,1,2,005
00121,亂,0435,1,2,005
00128,事,0436,1,4,006
00129,二,0437,1,17,007
00132,于,0438,1,13,007
00135,五,0439,1,9,007
00133,云,0440,1,4,007
00150,亡,0441a,2,2,008
00150b,亡,0441b,2,1,008
00153,亥,0442a,2,8,008
00153b,亥,0442b,2,7,008
00154,亦,0443,1,8,008
00168,人,0444,1,57,009
00170,仁,0446,1,2,009
00175,今,0447,1,6,009
00177,仍,0448,1,5,009
00192,代,0449,1,4,009
00193,令,0450,1,7,009
00194,以,0451,1,37,009
00199,仰,0452,1,3,009
00206,任,0453,1,3,009
00213,伊,0454,1,8,009
00217,伏,0455,1,2,009
00219,休,0456,1,2,009
00228,伯,0457,1,6,009
00230,伴,0458,1,5,009
00233,伺,0459,1,2,009
00235,似,0460,1,2,009
00243,位,0461,1,7,009
00250,何,0462,1,6,009
00253,余,0463,1,4,009
00255,佛,0464,1,3,009
00256,作,0465,1,16,009
00279,使,0466,1,54,009
00282,來,0468,1,12,009
00287,例,0469,1,8,009
00288,侍,0470,1,6,009
00260,伱,0471,1,9,009
00321,便,0472,1,9,009
00338,俗,0473,1,2,009
00350,倶,0474,1,11,009
00365,倉,0475,1,9,009
00369,候,0476,1,2,009
00393,倭,0477,1,9,009
00421,健,0478,1,2,009
00429,側,0479,1,3,009
00449,傍,0480,1,3,009
00473,傷,0481,1,5,009
00489,像,0482,1,2,009
00503,僧,0483,1,2,009
09656,舞,0484,1,2,136
00566,先,0485,1,2,010
00561,兄,0486,1,30,010
00582,入,0487,1,43,011
00585,内,0488,1,7,011
00589,全,0489,1,3,011
00594,八,0490,1,6,012
00597,六,0491,1,8,012
00599,共,0492,1,3,012
00602,兵,0493,1,6,012
00605,其,0494,1,50,012
00606,具,0495,1,3,012
00662,冬,0496,1,5,015
00701,凡,0497,1,2,016
00723,出,0498,1,7,017
00763,別,0499,1,2,018
00776,制,0500,1,3,018
00791,削,0501,1,2,018
00794,前,0502,1,8,018
00856,力,0503,1,3,019
00857,功,0504,1,2,019
00863,助,0505,1,2,019
00864,努,0506,1,4,019
00893,勝,0507,1,8,019
00894,勞,0508,1,2,019
00913,勸,0509,1,4,019
00919,勿,0510,1,4,020
00941,北,0511,1,4,021
00983,匿,0512,1,2,023
00985,十,0513,1,20,024
00987,千,0514,1,2,024
00992,午,0515,1,11,024
00994,半,0516,1,2,024
01010,南,0517,1,4,024
12205,鄕,0518,1,5,163
01101,去,0519,1,8,028
01104,參,0520,1,3,028
01111,及,0521,1,4,029
01127,取,0522,1,12,029
01142,古,0523,1,9,030
01150,召,0524,1,3,030
01154,可,0525,1,14,030
01168,各,0526,1,3,030
01170,合,0527,1,2,030
01174,同,0528,1,4,030
01175,名,0529,1,4,030
01176,后,0530,1,2,030
01178,吐,0531,1,2,030
01179,向,0532,1,5,030
01217,吾,0533,1,6,030
01222,呂,0534,1,16,030
01235,周,0535,1,2,030
01242,味,0536,1,2,030
01251,呼,0537,1,2,030
01252,命,0538,1,7,030
01350,唱,0539,1,3,030
01369,問,0540,1,7,030
01410,喚,0541,1,2,030
01421,喩,0542,1,6,030
01422,喫,0543a,2,2,030
01422b,喫,0543b,2,1,030
01448,嗚,0544,1,3,030
01452,嗣,0545,1,2,030
01479,嘗,0546,1,2,030
01430,喪,0547,1,6,030
01607,四,0548,1,12,031
01611,因,0549,1,2,031
01627,固,0550,1,2,031
01639,國,0551,1,34,031
01641,圍,0552,1,3,031
01647,圖,0553,1,2,031
01654,土,0554,1,3,032
01659,在,0555,1,2,032
01666,地,0556,1,8,032
01672,坂,0557,1,5,032
01710,垂,0558,1,2,032
01740,城,0559,1,5,032
01755,執,0560,1,5,032
01758,基,0561,1,2,032
01765,堂,0562,1,2,032
01823,塞,0563,1,2,032
01850,墓,0564,1,5,032
01873,壁,0565,1,2,032
01903,士,0566,1,7,033
01904,壬,0567,1,12,033
01934,外,0568,1,2,036
01938,多,0569,1,9,036
01939,夜,0570,1,8,036
01946,大,0571,1,116,037
01947,天,0574,1,44,037
01948,太,0575,1,9,037
01949,夫,0576,1,10,037
01957,失,0577,1,2,037
01974,奉,0578,1,8,037
01981,奏,0579,1,3,037
02022,女,0580,1,9,038
02031,如,0581,1,13,038
02032,妃,0582,1,4,038
02033,妄,0583,1,2,038
02059,妹,0584,1,3,038
02061,妻,0585,1,2,038
02069,始,0586,1,15,038
02077,姓,0587,1,4,038
02105,威,0588,1,3,038
02108,姫,0589,1,3,038
02110,娑,0590,1,3,038
02142,婆,0591,1,5,038
02293,學,0592,1,4,039
02282,孫,0593,1,3,039
02294,孺,0594,1,5,039
02308,守,0595,1,3,040
02309,安,0596,1,3,040
02322,宗,0597,1,2,040
02323,官,0598,1,3,040
02327,宜,0599,1,2,040
02331,客,0600,1,4,040
02332,室,0601,1,2,040
02344,宰,0602,1,2,040
02346,害,0603,1,2,040
02349,家,0604,1,14,040
02359,寅,0605,1,8,040
02361,密,0606,1,2,040
02366,富,0607,1,3,040
02371,寒,0608,1,2,040
02407,寶,0609,1,2,040
02413,寸,0610,1,4,041
02415,寺,0611,1,12,041
02426,專,0612,1,2,041
02435,對,0613,1,4,041
02439,小,0614,1,8,042
02440,少,0615,1,5,042
02464,就,0616,1,4,043
02471,尺,0617,1,2,044
02482,居,0618,1,2,044
02488,屋,0619,1,4,044
02489,屍,0620,1,3,044
02518,屯,0621,1,2,045
02528,山,0622,1,32,046
02540,岐,0623,1,17,046
02640,崩,0624,1,2,046
02594,島,0625,1,5,046
02776,巨,0626,1,5,048
02779,巫,0627,1,6,048
02780,差,0628,1,3,048
02782,己,0629,1,13,049
02784,巳,0630,1,8,049
02835,師,0631,1,4,050
02847,常,0632,1,4,050
02881,幡,0633,1,2,050
02899,平,0634,1,3,051
02900,年,0635,1,15,051
02902,并,0636,1,4,051
02903,幸,0637,1,2,051
02932,底,0638,1,7,053
02936,庚,0639,1,13,053
02938,府,0640,1,2,053
02949,庫,0641,1,2,053
02952,庭,0642,1,3,053
02993,廣,0643,1,5,053
03042,弓,0644,1,4,057
03043,弔,0645,1,7,057
03052,弟,0646,1,8,057
03123,役,0647,1,4,060
03124,彼,0648,1,3,060
03138,後,0649,1,5,060
03145,得,0650,1,6,060
03151,從,0651,1,7,060
03153,御,0652,1,3,060
03159,復,0653,1,6,060
03165,微,0654,1,7,060
03172,德,0655,1,10,060
03179,心,0656,1,4,061
03180,必,0657,1,3,061
03183,忌,0658,1,2,061
03194,志,0659,1,4,061
03248,怪,0660,1,3,061
03267,恆,0661,1,4,061
03272,恐,0662,1,7,061
03298,息,0663,1,9,061
03309,悦,0664,1,3,061
03312,悉,0665,1,5,061
03367,惡,0666,1,3,061
03376,惶,0667,1,3,061
03395,意,0668,1,4,061
03486,憂,0669,1,4,061
03550,應,0670,1,3,061
03585,懷,0671,1,2,061
03586,懸,0672,1,2,061
03518,憤,0673,1,2,061
03604,戊,0674,1,12,062
03605,戌,0675,1,9,062
03610,成,0676,1,5,062
03611,我,0677,1,27,062
03632,戮,0678,1,2,062
03617,或,0679,1,13,062
03633,戰,0680,1,5,062
03647,所,0681,1,35,063
03659,手,0682,1,5,064
03666,打,0683,1,2,064
03708,投,0684,1,4,064
03711,折,0685,1,3,064
03729,押,0686,1,7,064
03780,持,0687,1,4,064
03783,指,0688,1,2,064
03835,捨,0689,1,5,064
03855,授,0690,1,5,064
03878,接,0691,1,3,064
03896,提,0692,1,2,064
03939,損,0693,1,2,064
04069,播,0694,1,4,064
04233,放,0695,1,2,066
04235,政,0696,1,3,066
04243,故,0697,1,9,066
04261,教,0698,1,3,066
04286,敬,0699,1,3,066
04319,變,0700,1,5,066
04321,文,0701,1,6,067
04369,斬,0702,1,4,069
04373,斯,0703,1,4,069
04376,新,0704,1,11,069
04385,方,0705,1,5,070
04389,於,0706,1,104,070
04442,旣,0709a,2,2,071
04442b,旣,0709b,2,1,071
04446,日,0710,1,24,072
04485,明,0711,1,2,072
04503,春,0712,1,8,072
04512,是,0713,1,49,072
04523,時,0714,1,16,072
04542,晝,0715,1,3,072
04569,智,0716,1,6,072
04590,暖,0717,1,4,072
04621,曇,0718,1,3,072
04650,曰,0719,1,63,073
04651,曲,0721,1,2,073
04654,更,0722,1,4,073
04657,書,0723,1,2,073
04673,月,0724,1,51,074
04674,有,0726,1,19,074
04686,朔,0727,1,27,074
04693,望,0728,1,3,074
04696,朝,0729,1,10,074
04707,木,0730,1,6,075
04711,未,0731,1,12,075
04713,本,0732,1,3,075
04765,東,0733,1,7,075
04776,杯,0734,1,2,075
04806,果,0735,1,2,075
04807,枝,0736,1,2,075
04817,枳,0737,1,7,075
04869,柯,0738,1,7,075
04871,柱,0739,1,2,075
04888,栖,0740,1,3,075
04993,梨,0741,1,3,075
05014,棄,0742,1,2,075
05161,極,0743,1,5,075
05323,樹,0744,1,2,075
04739,村,0745,1,3,075
05348,橋,0746,1,2,075
05420,檢,0747,1,2,075
05529,權,0748,1,2,075
05558,次,0749,1,2,076
05580,欲,0750,1,7,076
05609,歌,0751,1,13,076
05633,歟,0752,1,2,076
05641,止,0753,1,2,077
05643,正,0754,1,6,077
05644,此,0755,1,11,077
05649,武,0756,1,2,077
05670,歷,0757,1,2,077
05686,死,0758,1,11,078
05809,殿,0759,1,6,079
05834,母,0760,1,24,080
05836,每,0761,1,2,080
05839,毒,0762,1,2,080
05841,比,0763,1,9,081
13179,鞠,0764,1,2,177
05932,氏,0765,1,3,083
05935,民,0766,1,8,083
05947,氣,0767,1,7,084
05952,水,0768,1,11,085
05956,氷,0769,1,2,085
05964,求,0770,1,4,085
05978,汗,0771,1,2,085
05985,江,0772,1,3,085
05986,池,0773,1,6,085
06045,河,0774,1,6,085
06055,治,0775,1,3,085
06064,泊,0776,1,4,085
06074,法,0777,1,3,085
06086,波,0778,1,14,085
06088,泥,0779,1,2,085
06151,流,0780,1,5,085
06169,浦,0781,1,2,085
06182,海,0782,1,3,085
06285,深,0783,1,3,085
06290,清,0784,1,2,085
06310,淵,0785,1,2,085
06316,渟,0786,1,2,085
06476,滿,0787,1,2,085
06499,漢,0788,1,4,085
06641,濟,0789,1,26,085
06792,災,0790,1,2,086
06835,烏,0791,1,8,086
06861,焉,0792,1,5,086
06872,無,0793,1,18,086
06885,然,0794,1,7,086
06978,燒,0795,1,5,086
06984,營,0796,1,2,086
07028,爭,0797,1,2,087
07032,爲,0798,1,27,087
07035,父,0799,1,7,088
07043,爾,0800,1,3,089
07080,物,0801,1,10,093
07110,犬,0802,1,5,094
07207,猿,0803,1,4,094
07230,獨,0804,1,2,094
07241,獲,0805,1,3,094
07258,玆,0806,1,4,095
07262,王,0807,1,29,096
07457,甚,0808,1,5,099
07461,生,0809,1,7,100
07478,田,0810,1,20,102
07479,由,0811,1,13,102
07480,甲,0812,1,10,102
07481,申,0813,1,10,102
07503,畏,0814,1,2,102
07508,留,0815,1,2,102
07520,畢,0816,1,2,102
07530,異,0817,1,2,102
07535,當,0818,1,3,102
07591,疾,0819,1,2,104
07598,病,0820,1,4,104
07709,白,0821,1,5,106
07710,百,0822,1,31,106
07718,皇,0823,1,45,106
07779,盡,0824,1,5,108
07790,目,0825,1,2,109
07907,瞻,0826,1,2,109
07801,相,0827,1,6,109
07941,知,0828,1,9,111
07944,矩,0829,1,2,111
07954,石,0830,1,2,112
08077,礙,0831a,2,1,112
08077b,礙,0831b,2,1,112
08097,示,0832,1,2,113
08101,社,0833,1,2,113
08108,祈,0834,1,3,113
08117,祖,0835,1,8,113
08124,神,0836,1,9,113
08166,禰,0837,1,3,113
08135,祭,0838,1,5,113
08148,福,0839,1,2,113
08180,私,0840,1,2,115
08187,秋,0841,1,4,115
08212,移,0842,1,6,115
08233,稚,0843,1,4,115
08244,種,0844,1,3,115
08248,稱,0845,1,5,115
08269,積,0846,1,3,115
08291,穴,0847,1,2,116
08296,空,0848,1,2,116
08354,立,0849,1,6,117
08361,竝,0850,1,2,117
08371,童,0851,1,5,117
08412,第,0852,1,3,118
08434,筑,0853,1,4,118
08479,箭,0854,1,2,118
08747,納,0855,1,2,120
08773,紫,0856,1,6,120
08795,終,0857,1,2,120
08807,結,0858,1,2,120
08822,給,0859,1,2,120
08885,網,0860,1,5,120
09125,罪,0861,1,2,122
09128,置,0862,1,6,122
09144,羅,0863a,2,19,122
09144b,羅,0863b,2,1,122
09133,罷,0864,1,6,122
09240,翹,0865,1,12,124
09250,老,0866,1,2,125
09264,而,0867,1,76,126
09292,耶,0869,1,4,128
09315,聞,0870,1,6,128
09328,聲,0871,1,2,128
09335,聽,0872,1,3,128
09370,肩,0873,1,2,130
09429,能,0874,1,20,130
09447,脚,0875,1,2,130
09596,臣,0876,1,86,131
09599,臥,0878,1,3,131
09602,自,0879,1,17,132
09605,臭,0880,1,3,132
09610,至,0881,1,2,133
09611,致,0882,1,2,133
09629,與,0883,1,18,134
09632,擧,0884,1,8,134
09638,舍,0885,1,4,135
09672,舶,0886,1,2,137
09675,船,0887,1,10,137
09714,良,0888,1,2,138
09716,色,0889,1,6,139
09921,華,0890,1,4,140
09823,茨,0891,1,4,140
09846,草,0892,1,6,140
09874,莖,0893,1,2,140
09901,菌,0894,1,3,140
10162,薨,0895,1,3,140
09954,萬,0896,1,2,140
09966,葉,0897,1,4,140
09985,葬,0898,1,6,140
10381x2,蛦,0899,1,10,142
10475,蝦,0900a,2,9,142
10475b,蝦,0900b,2,2,142
10549,蟲,0901,1,6,142
10614,行,0902,1,6,144
10618,術,0903,1,2,144
10630,衞,0904,1,3,144
10643,表,0905,1,3,145
10683,被,0906,1,5,145
10820,西,0907,1,5,146
10831,見,0908,1,13,147
10837,視,0909,1,3,147
10843,覡,0910,1,3,147
10848,親,0911,1,2,147
10860,角,0912a,2,3,148
10860b,角,0912b,2,1,148
10875,解,0913,1,4,148
10890,言,0914,1,14,149
10912,訖,0915,1,2,149
10914,記,0916,1,3,149
10928,設,0917,1,2,149
10930,許,0918,1,8,149
10959,詔,0919,1,6,149
10974,詣,0920,1,2,149
10998,誄,0921,1,4,149
10999,誅,0922,1,3,149
11017,語,0923,1,6,149
11028,誰,0924,1,2,149
11038,調,0925,1,7,149
11049,請,0926,1,4,149
11076,諮,0927,1,2,149
11085,諸,0928,1,7,149
11092,謀,0929,1,12,149
11095,謂,0930,1,13,149
11123,謠,0931,1,6,149
11207,讀,0932,1,5,149
11234,谷,0933,1,2,150
11250,豆,0934,1,2,151
11253,豈,0935,1,4,151
11261,豐,0936,1,4,151
11335,貢,0937,1,2,154
11334,財,0938,1,4,154
11364,賀,0939,1,2,154
11404,質,0940,1,2,154
11377,賊,0941,1,3,154
11454,走,0942,1,3,156
11461,起,0943,1,12,156
11471,越,0944,1,2,156
11495,足,0945,1,6,157
11542,跪,0946,1,3,157
11548,路,0947,1,4,157
11715,身,0948,1,10,158
11745,軍,0949,1,9,159
11827,輪,0950,1,5,159
11856,轉,0951,1,2,159
