文字,カード番号,字体数,用例数1,用例数2,部首,大字典,,
象,0170,0,,,152,11275,,
資,0171,0,,,154,11373,,
財,0172,0,,,154,11334,,
貴,0173,0,,,154,11355,,
超,0174,0,,,156,11467,,
車,0175,0,,,159,11740,,
輒,0176,0,,,159,11799,,
速,0177,0,,,162,12003,,
送,0178,0,,,162,11983,,
近,0179,0,,,162,11948,,
造,0180,0,,,162,12004,,
進,0181,0,,,162,12022,,
違,0182,0,,,162,12054,,
邑,0183,0,,,163,12123,,
都,0184,0,,,163,12188,,
酢,0185,0,,,164,12282,,
鹹,0186,0,,,197,14614,,
重,0187,0,,,166,12373,,
銀,0188,0,,,167,12451,,
12791,0189,0,,,169,12791,,
陋,0190,0,,,170,12836,,
降,0191,0,,,170,12838,,
集,0192,0,,,172,12963,,
靜,0193,0,,,174,13103,,
須,0194,0,,,181,13304,,
顯,0195,0,,,181,13416,,
顛,0196,0,,,181,13395,,
頭,0197,0,,,181,13346,,
饒,0198,0,,,184,13641,,
13586y2,0199,0,,,184,13586y2,,
膳,0200,0,,,130,09554,,
飾,0201,0,,,,13542,,
馬,0202,0,,,187,13680,,
髓,0203,0,,,188,13933,,
骨,0204,0,,,188,13873,,
髮,0205,0,,,190,13959,,
鮮,0206,0,,,195,14174,,
鼻,0207,0,,,209,14809,,
齊,0208,0,,,210,14828,,
齒,0209,0,,,211,14833,,
一,0212-0218,1,316,,001,00001,,
上,0219,1,29,,001,00008,,
下,0220,1,4,,001,00009,,
不,0221-0223,1,109,,001,00013,,
三,0224,1,31,,001,00007,,
七,0225,1,2,,001,00004,,
世,0226-0227,1,69,,001,00025,,
丘,0228,1,2,,001,00026,,
中,0229,1,23,,002,00051,,
乃,0230,1,4,,004,00078,,
之,0231,1,34,,004,00088,,
乘,0232,1,19,,004,00102,,
亂,0233,2,2,1,005,00121,,
事,0234,1,2,,006,00128,,
了,0235,1,23,,006,00125,,
二,0236,1,7,,007,00129,,
五,0237,1,4,,007,00135,,
亦,0238,1,23,,008,00154,,
以,0239,1,45,,009,00194,,
何,0240,1,3,,009,00250,,
人,0241,1,11,,009,00168,,
來,0242,1,37,,009,00282,,
作,0243,1,7,,009,00256,,
佛,0244-0246,1,149,,009,00255,,
令,0247-0248,1,72,,009,00193,,
使,0249,1,2,,009,00279,,
供,0250,1,10,,009,00299,,
便,0251,1,8,,009,00321,,
偈,0252,1,2,,009,00406,,
伽,0253,1,2,,009,00236,,
伏,0254,1,7,,009,00217,,
僧,0255,1,23,,009,00503,,
儒,0256,1,5,,009,00530,,
光,0257,1,7,,010,00567,,
充,0258,1,20,,010,00562,,
入,0259,1,23,,011,00582,,
内,0260,1,3,,011,00585,,
具,0261,1,44,,012,00606,,
六,0262,1,2,,012,00597,,
其,0263,1,11,,012,00605,,
出,0264,1,18,,017,00723,,
利,0265,1,2,,018,00767,,
切,0266-0271,1,292,,018,00735,,
分,0272,1,18,,018,00734,,
刹,0273-0274,1,76,,018,00781,,
別,0275,1,17,,018,00763,,
初,0276,1,2,,018,00759,,
到,0277,1,2,,018,00769,,
剛,0278,1,2,,018,00803,,
力,0279,1,24,,019,00856,,
勳,0280,1,11,,019,00910,,
功,0281-0282,1,53,,019,00857,,
勝,0283,1,22,,019,00893,,
劫,0284,1,7,,019,00865,,
化,0285,1,12,,021,00938,,
十,0286,1,20,,024,00985,,
厭,0287,1,8,,027,01088,,
去,0288,1,2,,028,01101,,
及,0289,1,16,,029,01111,,
又,0290,1,2,,029,01108,,
取,0291-0292,1,53,,029,01127,,
受,0293,1,16,,029,01128,,
各,0294,1,2,,030,01168,,
名,0295,1,5,,030,01175,,
合,0296,1,2,,030,01170,,
可,0297,1,32,,030,01154,,
向,0298-0299,1,84,,030,01179,,
和,0300,1,3,,030,01263,,
喜,0301,1,10,,030,01412,,
嚴,0302-0303,1,70,,030,01581,,
周,0304,1,5,,030,01235,,
同,0305,1,3,,030,01174,,
善,0306-0308,1,139,,030,01395,,
味,0309,1,16,,030,01242,,
命,0310,1,4,,030,01252,,
四,0311,1,6,,031,01607,,
國,0312,1,6,,031,01639,,
因,0313,1,9,,031,01611,,
圓,0314,1,2,,031,01645,,
園,0315,1,2,,031,01644,,
囚,0316,1,2,,031,01606,,
固,0317,1,16,,031,01627,,
在,0318,1,17,,032,01659,,
地,0319,1,8,,032,01666,,
坐,0320,1,14,,032,01682,,
壞,0321,1,20,,032,01895,,
城,0322,1,3,,032,01740,,
増,0323,1,2,,032,01853,,
土,0324,2,5,1,032,01654,,
境,0325,1,17,,032,01839,,
報,0326,2,8,1,032,01796,,
塗,0327,1,3,,032,01818,,
壽,0328,1,3,,033,01913,,
外,0329,1,2,,036,01934,,
大,0330,1,29,,037,01946,,
天,0331,1,6,,037,01947,,
如,0332-0334,1,104,,038,02031,,
好,0335,1,2,,038,02029,,
婆,0336,1,3,,038,02142,,
妻,0337,1,3,,038,02061,,
威,0338,1,3,,038,02105,,
女,0339,1,2,,038,02022,,
妙,0340,1,26,,038,02045,,
妄,0341,1,19,,038,02033,,
子,0342,1,10,,039,02262,,
學,0343,1,2,,039,02293,,
定,0344,1,6,,040,02325,,
寂,0345,1,8,,040,02357,,
宮,0346,1,3,,040,02342,,
容,0347,1,2,,040,02352,,
實,0348,1,8,,040,02390,,
安,0349,1,26,,040,02309,,
寶,0350,1,36,,040,02407,,
害,0351,1,2,,040,02346,,
察,0352,1,5,,040,02383,,
守,0353,1,3,,040,02308,,
尊,0354,1,3,,041,02429,,
導,0355,1,2,,041,02436,,
礙,0357,1,14,,112,08077,,
少,0358,1,2,,042,02440,,
就,0359,1,32,,043,02464,,
尼,0360,1,19,,044,02473,,
屬,0361,1,5,,044,02515,,
岸,0362,1,3,,046,02564,,
差,0363,1,2,,048,02780,,
巧,0364,1,4,,048,02775,,
已,0365,1,8,,049,02783,,
己,0366,1,3,,049,02782,,
師,0367,1,4,,050,02835,,
幡,0368,1,2,,050,02881,,
常,0369,1,15,,050,02847,,
布,0370,1,15,,050,02800,,
幢,0371,1,6,,050,02882,,
帳,0372,1,2,,050,02843,,
平,0373,1,8,,051,02899,,
廟,0374,1,2,,053,02989,,
弟,0375,1,7,,057,3052,,
彌,0376,1,3,,057,03084,,
得,0377-0378,1,85,,060,03145,,
彼,0379,1,14,,060,03124,,
從,0380,1,8,,060,03151,,
復,0381,1,12,,060,03159,,
微,0382,1,5,,060,03165,,
徳,0383-0384,1,54,,060,03172,,
心,0385,1,38,,061,03179,,
念,0386,1,21,,061,03214,,
悉,0387-0388,1,64,,061,03312,,
惚,0389,1,5,,061,03362,,
意,0390,1,5,,061,03395,,
性,0391,1,24,,061,03244,,
思,0392,1,12,,061,03239,,
想,0393,1,7,,061,03373,,
愛,0394,1,6,,061,03405,,
惠,0395,1,21,,061,03366,,
慳,0396,1,2,,061,03471,,
恭,0397,1,2,,061,03297,,
惡,0398,1,4,,061,03367,,
應,0399,1,6,,061,03550,,
悲,0400,1,4,,061,03335,,
愚,0401,1,6,,061,03404,,
度,0402,1,6,,053,02944,,
怨,0403,1,2,,061,03245,,
憶,0404,1,2,,061,03534,,
懃,0405,1,2,,061,03544,,
成,0406,1,43,,062,03610,,
或,0407,1,11,,062,03617,,
我,0408,1,7,,062,03611,,
戒,0409,1,16,,062,03612,,
所,0410-0411,1,64,,063,03647,,
房,0412,1,2,,063,03646,,
提,0413,1,9,,064,03896,,
捨,0414,1,14,,064,03835,,
持,0415,1,15,,064,03780,,
才,0416,1,3,,064,03661,,
摩,0417-0418,1,77,,064,04009,,
指,0419,1,2,,064,03783,,
攝,0420,1,40,,064,04192,,
擲,0421,1,2,,064,04130,,
支,0422,1,2,,065,04216,,
教,0423,1,4,,066,04261,,
敬,0424,1,2,,066,04286,,
故,0425,1,35,,066,04243,,
散,0426,1,3,,066,04280,,
數,0427,1,4,,066,04298,,
變,0428,1,5,,066,04319,,
救,0429,1,5,,066,04263,,
敵,0430,2,1,1,066,04293,,
斷,0431,1,3,,069,04381,,
方,0432,1,24,,070,04385,,
於,0433,1,28,,070,04389,,
施,0434,2,27,11,070,04391,,
無,0435-0439,1,220,,086,06872,,
是,0440-0441,1,71,,072,04512,,
時,0442,1,24,,072,04523,,
昧,0443,1,7,,072,04505,,
智,0444,1,39,,072,04569,,
明,0445,1,18,,072,04485,,
日,0446,1,3,,072,04446,,
普,0447,1,32,,072,04557,,
最,0448,1,9,,073,04664,,
曾,0449,1,4,,073,04661,,
曰,0450,1,2,,073,04650,,
月,0451,1,2,,074,04673,,
服,0452,1,2,,074,04679,,
有,0453,1,33,,074,04674,,
未,0454,1,6,,075,04711,,
樂,0455,1,18,,075,05279,,
槃,0456,1,4,,075,05228,,
樓,0457,1,2,,075,05293,,
柔,0458,1,5,,075,04849,,
林,0459,1,2,,075,04803,,
果,0460,1,6,,075,04806,,
業,0461,1,34,,075,05152,,
染,0462,1,5,,075,04848,,
根,0463-0465,1,106,,075,04922,,
樹,0466,1,2,,075,05323,,
楯,0467,1,2,,075,05154,,
歡,0468,1,3,,076,05639,,
欲,0469,1,4,,076,05580,,
此,0470,1,25,,077,05644,,
正,0471,1,12,,077,05643,,
殊,0472,1,6,,078,05717,,
死,0473,1,5,,078,05686,,
毀,0474,1,2,,079,05812,,
殿,0475,1,4,,079,05809,,
毒,0476,1,4,,080,05839,,
母,0477,1,2,,080,05834,,
比,0478,1,2,,081,05841,,
毛,0479,1,2,,082,05850,,
氣,0480,1,2,,084,05947,,
治,0481,1,2,,085,06055,,
演,0482,1,2,,085,06490,,
河,0483,1,2,,085,06045,,
決,0484,1,5,,085,06003,,
涅,0485,1,4,,085,06189,,
深,0486,1,12,,085,06285,,
海,0487,1,6,,085,06182,,
滿,0488,1,31,,085,06476,,
求,0489,1,6,,085,05964,,
清,0490,1,37,,085,06290,,
滅,0491,1,14,,085,06432,,
法,0492-0495,1,156,,085,06074,,
湯,0496,0,,,085,06381,,
淨,0497-0498,1,77,,085,06272,,
永,0499,1,3,,085,05957,,
然,0500,1,3,,086,06885,,
照,0501,1,11,,086,06918,,
燈,0502,1,5,,086,06971,,
煩,0503,1,4,,086,06921,,
爲,0504,1,30,,087,07032,,
父,0505,1,2,,088,07035,,
爾,0506,1,2,,089,07043,,
特,0507,1,3,,093,07086,,
猶,0508,1,5,,094,07203,,
獲,0509,1,2,,094,07241,,
現,0510,1,14,,096,07304,,
王,0511,1,9,,096,07262,,
珠,0512,1,2,,096,07291,,
甘,0513,1,4,,099,07456,,
生,0514-0516,1,144,,100,07461,,
異,0517,1,3,,102,07530,,
畏,0518,1,7,,102,07503,,
田,0519,1,4,,102,07478,,
界,0520-0521,1,71,,102,07501,,
癡,0522,1,8,,104,07685,,
疾,0523,1,2,,104,07591,,
發,0524,1,5,,105,07707,,
皆,0525,1,18,,106,07717,,
白,0526,1,2,,106,07709,,
皮,0527,1,2,,107,07739,,
盡,0528,1,38,,108,07779,,
益,0529,1,2,,108,07759,,
衆,0530-0532,1,136,,109,07844,,
眞,0533,1,8,,109,07827,,
眼,0534,1,4,,109,07843,,
相,0535,1,11,,109,07801,,
眷,0536,1,5,,109,07839,,
直,0537,1,2,,109,07799,,
知,0538,1,24,,111,07941,,
神,0539,1,8,,113,08124,,
示,0540,1,4,,113,08097,,
福,0541,1,5,,113,08148,,
積,0542,1,2,,115,08269,,
種,0543,1,12,,115,08244,,
稱,0544,1,3,,115,08248,,
空,0545,1,15,,116,08296,,
究,0546,1,6,,116,08293,,
窮,0547,1,5,,116,08329,,
竟,0548,1,6,,117,08365,,
端,0549,1,4,,117,08376,,
等,0550,1,45,,118,08426,,
節,0551,1,2,,118,08493,,
精,0552,1,2,,119,08685,,
網,0553,1,2,,120,08885,,
給,0554,1,3,,120,08822,,
縁,0555,1,9,,120,08924,,
羅,0556,1,4,,122,09144,,
羣,0557,1,3,,123,09175,,
義,0558,1,2,,123,09177,,
美,0559,1,2,,123,09155,,
習,0560,1,11,,124,09214,,
者,0561,1,18,,125,09255,,
而,0562,1,8,,126,09264,,
聞,0563,1,11,,128,09315,,
聲,0564,1,6,,128,09328,,
聚,0565,1,2,,128,09314,,
聖,0566,1,3,,128,09308,,
能,0567,1,40,,130,09429,,
脩,0568,1,27,,130,09462,,
肉,0569,1,2,,130,09348,,
膚,0570,1,2,,130,09539,,
脱,0571,1,3,,130,09463,,
自,0572,1,24,,132,09602,,
至,0573,1,22,,133,09610,,
與,0574,1,6,,134,09629,,
興,0575,1,3,,134,09630,,
舍,0576,1,2,,135,09638,,
色,0577,1,7,,139,09716,,
藥,0578,1,2,,140,10204,,
菩,0579-0581,1,123,,140,09919,,
薩,0582-0585,1,176,,140,10163,,
莫,0586,1,2,,140,09886,,
若,0587,1,25,,140,09788,,
苦,0588,1,4,,140,09789,,
莊,0589-0590,1,59,,140,09869,,
藏,0591,1,21,,140,10191,,
華,0592,1,22,,140,09921,,
著,0593,1,19,,140,09972,,
蓋,0594,1,4,,140,10040,,
蘭,0595,1,2,,140,10251,,
處,0596,1,19,,141,10270,,
虚,0597,1,23,,141,10272,,
行,0598,1,24,,144,10614,,
衣,0599,1,6,,145,10637,,
覆,0600,1,6,,146,10826,,
親,0601,1,2,,147,10848,,
觀,0602,1,16,,147,10859,,
睹,0603,1,3,,109,07870,,
見,0604,1,29,,147,10831,,
解,0605,1,18,,148,10875,,
設,0606,1,2,,149,10928,,
訶,0607-0608,1,59,,149,10936,,
調,0609,1,8,,149,11038,,
諸,0610-0613,1,158,,149,11085,,
識,0614,1,7,,149,11171,,
語,0615,1,2,,149,11017,,
説,0616,1,21,,149,11025,,
言,0617,1,2,,149,10890,,
護,0618,1,6,,149,11200,,
諍,0619,1,2,,149,11051,,
讚,0620,1,2,,149,11229,,
諦,0621,1,2,,149,11072,,
議,0622,1,12,,149,11195,,
豐,0623,1,2,,151,11261,,
賢,0624,1,3,,154,11397,,
賤,0625,1,2,,154,11402,,
貪,0626,1,3,,154,11342,,
貧,0627,1,2,,154,11338,,
起,0628,1,12,,156,11461,,
趣,0629,1,7,,156,11485,,
足,0630,1,47,,157,11495,,
身,0631,1,36,,158,11715,,
轉,0632,1,7,,159,11856,,
輪,0633,1,5,,159,11827,,
辯,0634,1,4,,160,11916,,
遠,0635,1,4,,162,12070,,
邊,0636,1,8,,162,12115,,
遊,0637,1,5,,162,12042,,
退,0638,1,4,,162,11982,,
廻,0639-0640,1,84,,054,03008,,
連,0641,1,2,,162,12010,,
過,0642,1,2,,162,12046,,
道,0643,1,10,,162,12051,,
03157,0644,1,6,,060,03157,,
障,0645,1,7,,170,12914,,
那,0646,1,3,,163,12134,,
量,0647-0648,1,53,,166,12376,,
金,0649,1,3,,167,12380,,
長,0650,1,3,,168,12698,,
開,0651,1,3,,169,12716,,
門,0652,1,4,,169,12709,,
閣,0653,1,2,,169,12739,,
間,0654,1,16,,169,12724,,
闇,0655,1,2,,169,12768,,
際,0656,1,4,,170,12913,,
隨,0657,1,34,,170,12927,,
除,0658,1,9,,170,12855,,
阿,0659,1,21,,170,12830,,
隱,0660,1,2,,170,12935,,
離,0661,1,32,,172,13001,,
雜,0662,1,8,,172,12997,,
難,0663,1,2,,172,13002,,
雨,0664,1,4,,173,13012,,
雲,0665,1,5,,173,13020,,
露,0666,1,3,,173,13073,,
非,0667,1,7,,175,13104,,
音,0668,1,5,,180,13281,,
順,0669,1,21,,181,13302,,
願,0670,1,8,,181,13391,,
頌,0671,1,2,,181,13307,,
顏,0672,1,2,,181,13380,,
頂,0673,1,2,,181,13296,,
類,0674,1,3,,181,13398,,
養,0675,1,8,,184,13551,,
餘,0676,1,4,,184,13565,,
食,0677,1,8,,184,13503,,
飮,0678,1,3,,184,13526,,
香,0679,1,23,,186,13667,,
體,0680,1,4,,188,13934,,
鬘,0681,1,4,,190,13999,,
髻,0682,1,2,,190,13970,,
魔,0683,1,3,,194,14088,,
住,0684,2,18,2,009,00245,,
堅,0685,2,14,2,032,01767,,
廣,0686,2,2,1,053,02993,,
床,0687,2,3,1,053,02924,,
獄,0688,2,2,1,094,07212,,
祇,0689,2,10,10,113,08107,,
覺,0690,2,6,1,147,10856,,
達,0691,2,6,3,162,12052,,
陀,0692,2,2,1,170,12831,,
渇,0693,0,,,085,06338,,
手,0694,1,2,,064,03659,,
敷,0695,0,,,066,04296,,
,,,,,,,,
