カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号
0306,捨,11,,,1,064,03835
0307,持,2,,,1,064,03780
0308,摩,9,,,1,064,04009
0309,攝,2,,,1,064,04192
0310,攀,4,,,1,064,04146
0311,捷,2,,,1,064,03844
0312,支,9,,,1,065,04216
0313,教,5,,,1,066,04261
0314-0315,故,80,,,1,066,04243
0316,散,2,,,1,066,04280
0317,數,4,,,1,066,04298
0318-0320,文,158,,,1,067,04321
0321,方,10,,,1,070,04385
0322,於,29,,,1,070,04389
0323,施,2,,,1,070,04391
0324-0326,是,165,,,1,072,04512
0327,時,25,,,1,072,04523
0328,昧,13,,,1,072,04505
0329,普,3,,,1,072,04557
0330,昔,2,,,1,072,04490
0331,智,7,,,1,072,04569
0332,明,18,,,1,072,04485
0333,曾,4,,,1,073,04661
0334,會,2,,,1,073,04667
0335-0336,有,103,,,1,074,04674
0337,未,8,,,1,075,04711
0338,木,2,,,1,075,04707
0339,樂,10,,,1,075,05279
0340,槃,5,,,1,075,05228
0341,樓,5,,,1,075,05293
0342,染,3,,,1,075,04848
0343,根,5,,,1,075,04922
0344,本,20,,,1,075,04713
0345,東,3,,,1,075,04765
0346,歡,4,,,1,076,05639
0347,欲,32,,,1,076,05580
0348,正,7,,,1,077,05643
0349,此,14,,,1,077,05644
0350-0352,殊,159,,,1,078,05717
0353,母,3,,,1,080,05834
0354,比,2,,,1,081,05841
0355,水,4,,,1,085,05952
0356-0359,法,216,,,1,085,06074
0360,清,2,,,1,085,06290
0361,涅,5,,,1,085,06189
0362,汝,18,,,1,085,05983
0363,求,4,,,1,085,05964
0364,滅,12,,,1,085,06432
0365,深,3,,,1,085,06285
0366,淨,15,,,1,085,06272
0367,火,3,,,1,086,06776
0368-0371,無,194,,,1,086,06872
0372,煩,17,,,1,086,06921
0373,熱,2,,,1,086,06957
0374,爲,23,,,1,087,07032
0375,父,3,,,1,088,07035
0376,爾,13,,,1,089,07043
0377,物,4,,,1,093,07080
0378,猶,2,,,1,094,07203
0379,王,2,,,1,096,07262
0380,現,9,,,1,096,07304
0381-0382,生,77,,,1,100,07461
0383,畏,2,,,1,102,07503
0384,畜,2,,,1,102,07513
0385,男,6,,,1,102,07483
0386,界,7,,,1,102,07501
0387,異,12,,,1,102,07530
0388,痛,2,,,1,104,07613
0389,癡,13,,,1,104,07685
0390,發,5,,,1,105,07707
0391,皆,3,,,1,106,07717
0392,白,15,,,1,106,07709
0393,盡,5,,,1,108,07779
0394,益,2,,,1,108,07759
0395,m23523,3,,,1,109,
0396,衆,26,,,1,109,07844
0397,眞,3,,,1,109,07827
0398,睡,4,,,1,109,07860
0399,眠,4,,,1,109,07828
0400,眷,3,,,1,109,07839
0401,眼,4,,,1,109,07843
0402,相,55,,,1,109,07801
0403,知,22,,,1,111,07941
0404,礙,3,2,,2,112,08077
0405,示,2,,,1,113,08097
0406,禮,2,,,1,113,08165
0407,神,5,,,1,113,08124
0408,種,2,,,1,115,08244
0409,空,25,,,1,116,08296
0410,窟,4,,,1,116,08323
0411,立,4,,,1,117,08354
0412,童,3,,,1,117,08371
0413,競,2,,,1,117,08380
0414,等,48,,,1,118,08426
0415,緊,5,,,1,120,08906
0416,結,3,,,1,120,08807
0417,維,2,,,1,120,08879
0418,經,3,,,1,120,08856
0419,縁,11,,,1,120,08924
0420,縛,4,,,1,120,08963
0421-0422,羅,114,,,1,122,09144
0423,義,7,,,1,123,09177
0424,者,60,,,1,125,09255
0425,而,13,,,1,126,09264
0426,聞,16,,,1,128,09315
0427,聚,5,,,1,128,09314
0428,耳,6,,,1,128,09290
0429,耶,5,,,1,128,09292
0430,聲,23,,,1,128,09328
0431,能,16,,,1,130,09429
0432,脩,10,,,1,130,09462
0433,脱,3,,,1,130,09463
0434,自,10,,,1,132,09602
0435,至,8,,,1,133,09610
0436,與,2,,,1,134,09629
0437,舌,4,,,1,135,09636
0438,色,21,,,1,139,09716
0439,落,5,,,1,140,09961
0440,若,18,,,1,140,09788
0441,莫,2,,,1,140,09886
0442,莊,4,,,1,140,09869
0443,著,12,,,1,140,09972
0444,苦,15,,,1,140,09789
0445,華,4,,,1,140,09921
0446,菩,57,,,1,140,09919
0447,薩,28,,,1,140,10163
0448,萬,7,,,1,140,09954
0449,虚,24,,,1,141,10272
0450,處,34,,,1,141,10270
0451,行,37,,,1,144,10614
0452,衣,2,,,1,145,10637
0453,西,3,,,1,146,10820
0454,見,31,,,1,147,10831
0455,覺,2,,,1,147,10856
0456,觀,3,,,1,147,10859
0457,解,8,,,1,148,10875
0458,觸,20,1,,2,148,10887
0459,護,3,,,1,149,11200
0460-0462,諸,141,,,1,149,11085
0463-0464,言,91,,,1,149,10890
0465,謂,3,,,1,149,11095
0466,譬,2,,,1,149,11189
0467,語,4,,,1,149,11017
0468,證,4,,,1,149,11155
0469,識,9,,,1,149,11171
0470,訶,4,,,1,149,10936
0471,諍,4,,,1,149,11051
0472,調,2,,,1,149,11038
0473,諦,2,,,1,149,11072
0474,誦,2,,,1,149,11023
0475,誰,2,,,1,149,11028
0476,説,42,,,1,149,11025
0477,貪,2,,,1,154,11342
0478,超,3,,,1,156,11467
0479,起,11,,,1,156,11461
0480,足,4,,,1,157,11495
0481,趺,4,,,1,157,11502
0482,跏,4,,,1,157,11519
0483,身,9,,,1,158,11715
0484,辯,14,,,1,160,11916
0485,辟,9,,,1,160,11898
0486,遠,6,,,1,162,12070
0487,還,5,,,1,162,12108
0488,邊,8,,,1,162,12115
0489,迦,5,,,1,162,11960
0490,通,3,,,1,162,12000
0491,過,7,,,1,162,12046
0492,道,2,,,1,162,12051
0493,造,3,,,1,162,12004
0494,那,4,,,1,163,12134
0495,邪,2,,,1,163,12139
0496,釋,2,,,1,165,12371
0497,量,2,,,1,166,12376
0498,金,27,,,1,167,12380
0499,鉢,2,,,1,167,12440
0500-0501,門,87,,,1,169,12709
0502,闥,6,,,1,169,12800
0503,間,4,,,1,169,12724
0504,阿,6,,,1,170,12830
0505,障,3,,,1,170,12914
0506,際,9,,,1,170,12913
0507,離,11,,,1,172,13001
0508,雜,2,,,1,172,12997
0509,雨,2,,,1,173,13012
0510,非,42,,,1,175,13104
0511,頂,2,,,1,181,13296
0512,頗,4,,,1,181,13325
0513,須,2,,,1,181,13304
0514,顛,8,,,1,181,13395
0515,願,4,,,1,181,13391
0516,顯,2,,,1,181,13416
0517,風,2,,,1,182,13423
0518,食,2,,,1,184,13503
0519,餓,2,,,1,184,13559
0520,首,2,,,1,185,13661
0521,香,7,,,1,186,13667
0522,體,6,,,1,188,13934
0523,魔,3,,,1,194,14088
0524,鬼,2,,,1,194,14061
0525,默,2,,,1,203,14720
0526,鼻,3,,,1,209,14809
0527,龍,6,,,1,212,14876
0528,剛,18,3,,2,018,00803
0529,寂,3,2,,2,040,02357
0530,然,5,4,,2,086,06885
0531,獄,15,3,,2,094,07212
0532,當,5,2,,2,102,07535
0533-0534,陀,101,1,,2,170,12831
