,,okd_金剛小川,okd_金剛小川,okd_金剛小川,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
03233,怖,0299,1,2,061
03405,愛,0300,1,11,061
03610,成,0301,1,5,062
03617,或,0302,1,7,062
03611,我,0303,1,30,062
03647,所,0304,1,43,063
03896,提,0305,1,35,064
03835,捨,0306,1,11,064
03780,持,0307,1,2,064
04009,摩,0308,1,9,064
04192,攝,0309,1,2,064
04146,攀,0310,1,4,064
03844,捷,0311,1,2,064
04216,支,0312,1,9,065
04261,教,0313,1,5,066
04243,故,0314,1,80,066
04280,散,0316,1,2,066
04298,數,0317,1,4,066
04321,文,0318,1,158,067
04385,方,0321,1,10,070
04389,於,0322,1,29,070
04391,施,0323,1,2,070
04512,是,0324,1,165,072
04523,時,0327,1,25,072
04505,昧,0328,1,13,072
04557,普,0329,1,3,072
04490,昔,0330,1,2,072
04569,智,0331,1,7,072
04485,明,0332,1,18,072
04661,曾,0333,1,4,073
04667,會,0334,1,2,073
04674,有,0335,1,103,074
04711,未,0337,1,8,075
04707,木,0338,1,2,075
05279,樂,0339,1,10,075
05228,槃,0340,1,5,075
05293,樓,0341,1,5,075
04848,染,0342,1,3,075
04922,根,0343,1,5,075
04713,本,0344,1,20,075
04765,東,0345,1,3,075
05639,歡,0346,1,4,076
05580,欲,0347,1,32,076
05643,正,0348,1,7,077
05644,此,0349,1,14,077
05717,殊,0350,1,159,078
05834,母,0353,1,3,080
05841,比,0354,1,2,081
05952,水,0355,1,4,085
06074,法,0356,1,216,085
06290,清,0360,1,2,085
06189,涅,0361,1,5,085
05983,汝,0362,1,18,085
05964,求,0363,1,4,085
06432,滅,0364,1,12,085
06285,深,0365,1,3,085
06272,淨,0366,1,15,085
06776,火,0367,1,3,086
06872,無,0368,1,194,086
06921,煩,0372,1,17,086
06957,熱,0373,1,2,086
07032,爲,0374,1,23,087
07035,父,0375,1,3,088
07043,爾,0376,1,13,089
07080,物,0377,1,4,093
07203,猶,0378,1,2,094
07262,王,0379,1,2,096
07304,現,0380,1,9,096
07461,生,0381,1,77,100
07503,畏,0383,1,2,102
07513,畜,0384,1,2,102
07483,男,0385,1,6,102
07501,界,0386,1,7,102
07530,異,0387,1,12,102
07613,痛,0388,1,2,104
07685,癡,0389,1,13,104
07707,發,0390,1,5,105
07717,皆,0391,1,3,106
07709,白,0392,1,15,106
07779,盡,0393,1,5,108
07759,益,0394,1,2,108
M23523,睺,0395,1,3,109
07844,眾,0396,1,26,109
07827,眞,0397,1,3,109
07860,睡,0398,1,4,109
07828,眠,0399,1,4,109
07839,眷,0400,1,3,109
07843,眼,0401,1,4,109
07801,相,0402,1,55,109
07941,知,0403,1,22,111
08077,礙,0404a,2,3,112
08077b,礙,0404b,2,2,112
08097,示,0405,1,2,113
08165,禮,0406,1,2,113
08124,神,0407,1,5,113
08244,種,0408,1,2,115
08296,空,0409,1,25,116
08323,窟,0410,1,4,116
08354,立,0411,1,4,117
08371,童,0412,1,3,117
08380,競,0413,1,2,117
08426,等,0414,1,48,118
08906,緊,0415,1,5,120
08807,結,0416,1,3,120
08879,維,0417,1,2,120
08856,經,0418,1,3,120
08924,緣,0419,1,11,120
08963,縛,0420,1,4,120
09144,羅,0421,1,114,122
09177,義,0423,1,7,123
09255,者,0424,1,60,125
09264,而,0425,1,13,126
09315,聞,0426,1,16,128
09314,聚,0427,1,5,128
09290,耳,0428,1,6,128
09292,耶,0429,1,5,128
09328,聲,0430,1,23,128
09429,能,0431,1,16,130
09462,脩,0432,1,10,130
09463,脱,0433,1,3,130
09602,自,0434,1,10,132
09610,至,0435,1,8,133
09629,與,0436,1,2,134
09636,舌,0437,1,4,135
09716,色,0438,1,21,139
09961,落,0439,1,5,140
09788,若,0440,1,18,140
09886,莫,0441,1,2,140
09869,莊,0442,1,4,140
09972,著,0443,1,12,140
09789,苦,0444,1,15,140
09921,華,0445,1,4,140
09919,菩,0446,1,57,140
10163,薩,0447,1,28,140
09954,萬,0448,1,7,140
10272,虛,0449,1,24,141
10270,處,0450,1,34,141
10614,行,0451,1,37,144
10637,衣,0452,1,2,145
10820,西,0453,1,3,146
10831,見,0454,1,31,147
10856,覺,0455,1,2,147
10859,觀,0456,1,3,147
10875,解,0457,1,8,148
10887,觸,0458a,2,20,148
10887b,觸,0458b,2,1,148
11200,護,0459,1,3,149
11085,諸,0460,1,141,149
10890,言,0463,1,91,149
11095,謂,0465,1,3,149
11189,譬,0466,1,2,149
11017,語,0467,1,4,149
11155,證,0468,1,4,149
11171,識,0469,1,9,149
10936,訶,0470,1,4,149
11051,諍,0471,1,4,149
11038,調,0472,1,2,149
11072,諦,0473,1,2,149
11023,誦,0474,1,2,149
11028,誰,0475,1,2,149
11025,虔,0476,1,42,149
11342,貪,0477,1,2,154
11467,超,0478,1,3,156
11461,起,0479,1,11,156
11495,足,0480,1,4,157
11502,趺,0481,1,4,157
11519,跏,0482,1,4,157
11715,身,0483,1,9,158
11916,辯,0484,1,14,160
11898,辟,0485,1,9,160
12070,遠,0486,1,6,162
12108,還,0487,1,5,162
12115,邊,0488,1,8,162
11960,迦,0489,1,5,162
12000,通,0490,1,3,162
12046,過,0491,1,7,162
12051,道,0492,1,2,162
12004,造,0493,1,3,162
12134,那,0494,1,4,163
12139,邪,0495,1,2,163
12371,釋,0496,1,2,165
12376,量,0497,1,2,166
12380,金,0498,1,27,167
12440,鉢,0499,1,2,167
12709,門,0500,1,87,169
12800,闥,0502,1,6,169
12724,間,0503,1,4,169
12830,阿,0504,1,6,170
12914,障,0505,1,3,170
12913,際,0506,1,9,170
13001,離,0507,1,11,172
12997,雜,0508,1,2,172
13012,雨,0509,1,2,173
13104,非,0510,1,42,175
13296,頂,0511,1,2,181
13325,頗,0512,1,4,181
13304,須,0513,1,2,181
13395,顚,0514,1,8,181
13391,願,0515,1,4,181
13416,顯,0516,1,2,181
13423,風,0517,1,2,182
13503,食,0518,1,2,184
13559,餓,0519,1,2,184
13661,首,0520,1,2,185
13667,香,0521,1,7,186
13934,體,0522,1,6,188
14088,魔,0523,1,3,194
14061,鬼,0524,1,2,194
14720,默,0525,1,2,203
14809,鼻,0526,1,3,209
14876,龍,0527,1,6,212
00803,剛,0528a,2,18,018
00803b,剛,0528b,2,3,018
02357,寂,0529a,2,3,040
02357b,寂,0529b,2,2,040
06885,然,0530a,2,5,086
06885b,然,0530b,2,4,086
07212,獄,0531a,2,15,094
07212b,獄,0531b,2,3,094
07535,當,0532a,2,5,102
07535b,當,0532b,2,2,102
12831,陀,0533a,2,101,170
12831b,陀,0533b,2,1,170
