,,kyu_初麗瑜5,kyu_初麗瑜5,kyu_初麗瑜5,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
05834,母,0422,1,3,080
05839,毒,0423,1,5,080
05947,氣,0424,1,5,084
06750,灑,0425,1,3,085
06189,涅,0426,1,2,085
06023,沒,0427,1,2,085
06285,深,0428,1,4,085
06553,潤,0429,1,6,085
06074,法,0430,1,74,085
06151,流,0432,1,9,085
06272,淨,0433,1,15,085
05952,水,0434,1,2,085
05964,求,0435,1,36,085
06432,滅,0436,1,15,085
06476,滿,0437,1,4,085
06487,漏,0438,1,5,085
06517,漸,0439,1,7,085
06031,沙,0440,1,4,085
06138,洲,0441,1,3,085
06290,清,0442,1,8,085
06145,活,0443,1,2,085
05979,汙,0444,1,2,085
06748,灌,0445,1,3,085
06086,波,0446,1,2,085
06437,滋,0447,1,2,085
06003,決,0448,1,5,085
06957,熱,0449,1,14,086
06792,災,0450,1,3,086
06921,煩,0451,1,3,086
06776,火,0452,1,2,086
06885,然,0453,1,8,086
06978,燒,0454,1,4,086
07032,爲,0455,1,96,087
07035,父,0457,1,2,088
07043,爾,0458,1,12,089
07080,物,0459,1,2,093
07087,牽,0460,1,6,093
07230,獨,0461,1,4,094
07203,猶,0462,1,3,094
07241,獲,0463,1,2,094
07180,猛,0464,1,3,094
07262,王,0465,1,5,096
07304,現,0466,1,5,096
07307,理,0467,1,7,096
07461,生,0468,1,109,100
07469,用,0471,1,57,101
07530,異,0473,1,9,102
07522,略,0474,1,4,102
07501,界,0475,1,33,102
07503,畏,0476,1,4,102
07535,當,0477,1,15,102
07483,男,0478,1,5,102
07479,由,0479,1,53,102
07559,疑,0481,1,2,103
07696,癰,0482,1,4,104
07598,病,0483,1,2,104
07685,癡,0484,1,3,104
07717,皆,0485,1,7,106
07770,盛,0486,1,3,108
07779,盡,0487,1,2,108
07759,益,0488,1,11,108
07844,眾,0489,1,19,109
07843,眼,0490,1,5,109
07878,瞋,0491,1,5,109
07827,眞,0492,1,9,109
07801,相,0493,1,64,109
07941,知,0495,1,28,111
08148,福,0496,1,5,113
08244,種,0497,1,65,115
08248,稱,0499,1,3,115
08354,立,0500,1,30,117
08365,竟,0501,1,2,117
08412,第,0502,1,12,118
08426,等,0503,1,33,118
08493,節,0504,1,2,118
08569,簡,0505,1,3,118
08396,笑,0506,1,2,118
08437,答,0507,1,6,118
08718,糧,0508,1,5,119
08856,經,0509,1,2,120
08779,細,0510,1,2,120
08924,緣,0511,1,49,120
09144,羅,0512,1,9,122
09125,罪,0513,1,3,122
09182,羯,0514,1,2,123
09177,義,0515,1,9,123
09214,習,0516,1,5,124
09255,者,0517,1,102,125
09264,而,0520,1,7,126
09326,聰,0521,1,2,128
09292,耶,0522,1,11,128
09315,聞,0523,1,8,128
09296,耽,0524,1,3,128
09308,聖,0525,1,41,128
09463,脱,0526,1,5,130
09429,能,0527,1,46,130
09462,脩,0528,1,3,130
09602,自,0529,1,42,132
09610,至,0530,1,2,133
09629,與,0531,1,12,134
09716,色,0532,1,33,139
09919,菩,0533,1,2,140
09961,落,0534,1,8,140
09869,莊,0535,1,2,140
10139,薄,0536,1,2,140
10189,藍,0537,1,2,140
10191,藏,0538,1,3,140
09789,苦,0539,1,37,140
09972,著,0540,1,5,140
09788,若,0541,1,20,140
10270,處,0542,1,67,141
10414,蜜,0544,1,2,142
10521,螺,0545,1,2,142
10614,行,0546,1,34,144
10637,衣,0547,1,2,145
10826,覆,0548,1,3,146
10856,覺,0549,1,5,147
10831,見,0550,1,13,147
10859,觀,0551,1,11,147
10837,視,0552,1,3,147
10887,觸,0553,1,12,148
10875,解,0554,1,6,148
11155,證,0555,1,3,149
10914,記,0556,1,5,149
11017,語,0557,1,7,149
10890,言,0558,1,3,149
11028,誰,0559,1,15,149
11051,諍,0560,1,2,149
11171,識,0561,1,5,149
11025,虔,0562,1,19,149
11085,諸,0563,1,64,149
11095,謂,0565,1,67,149
11355,貴,0567,1,5,154
11373,資,0568,1,15,154
11334,財,0569,1,33,154
11342,貪,0570,1,6,154
11461,起,0571,1,22,156
11485,趣,0572,1,4,156
11495,足,0573,1,5,157
11715,身,0574,1,16,158
11763,軟,0575,1,2,159
11856,轉,0576,1,33,159
11908,辨,0577,1,9,160
12079,適,0578,1,2,162
11993,逐,0579,1,2,162
12046,過,0580,1,2,162
11979,追,0581,1,3,162
03157,徧,0582,1,2,060
12042,遊,0583,1,2,162
12108,還,0584,1,2,162
11960,迦,0585,1,8,162
12115,邊,0586,1,3,162
12070,遠,0587,1,4,162
12040,遇,0588,1,3,162
12134,那,0589,1,9,163
12139,邪,0590,1,3,163
12709,門,0591,1,9,169
12724,間,0592,1,15,169
12373,重,0593,1,2,166
12376,量,0594,1,2,166
12698,長,0595,1,7,168
12914,障,0596,1,11,170
12927,隨,0597,1,34,170
12855,除,0598,1,3,170
12929,險,0599,1,2,170
13001,離,0600,1,25,172
13103,靜,0601,1,12,174
13104,非,0602,1,44,175
13302,順,0603,1,13,181
13391,願,0604,1,2,181
13327,領,0605,1,3,181
13398,類,0606,1,3,181
13423,風,0607,1,3,182
13503,食,0608,1,14,184
13565,餘,0609,1,14,184
13559,餓,0610,1,4,184
13526,飮,0611,1,2,184
13551,養,0612,1,2,184
13667,香,0613,1,2,186
13934,體,0614,1,13,188
14061,鬼,0615,1,7,194
14088,魔,0616,1,4,194
14659,麤,0617,1,3,198
03617,或,0618a,2,41,062
03617b,或,0618b,2,1,062
05792,段,0619a,2,4,079
05792b,段,0619b,2,2,079
06949,熟,0620a,2,2,086
06949b,熟,0620b,2,1,086
06872,無,0621a,2,65,086
06872b,無,0621b,2,16,086
07707,發,0623a,2,8,105
07707b,發,0623b,2,2,105
09030,繋,0624a,2,38,120
09030b,繋,0624b,2,15,120
09328,聲,0626a,2,3,128
09328b,聲,0626b,2,1,128
10928,設,0627a,2,20,149
10928b,設,0627b,2,13,149
12054,違,0628a,1,10,162
12991,雖,0629a,2,7,172
12991b,雖,0629b,2,1,172
02366,富,0630a,3,4,040
02366b,富,0630b,3,1,040
02366c,富,0630c,3,1,040
