カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,,
0227,以,1,28,,,00194,009,,
0228,人,1,8,,,00168,009,,
0229,兇,1,2,,,00565,010,,
0230,充,1,4,,,00562,010,,
0231,先,1,15,,,00566,010,,
0232,内,1,7,,,00585,011,,
0233,共,1,2,,,00599,012,,
0234,其,1,10,,,00605,012,,
0235,具,1,20,,,00606,012,,
0236,八,1,8,,,00594,012,,
0237,六,1,17,,,00597,012,,
0238,冷,1,2,,,00672,015,,
0239,出,1,6,,,00723,017,,
0240,切,1,15,,,00735,018,,
0241,利,1,3,,,00767,018,,
0242,初,1,4,,,00759,018,,
0243,分,1,44,,,00734,018,,
0244,制,1,2,,,00776,018,,
0245,則,1,5,,,00789,018,,
0246,別,1,23,,,00763,018,,
0247,前,1,3,,,00794,018,,
0248,動,1,3,,,00887,019,,
0249,力,1,11,,,00856,019,,
0250,勝,1,26,,,00893,019,,
0251,功,1,8,,,00857,019,,
0252,化,1,23,,,00938,021,,
0253,匱,1,3,,,00968,022,,
0254,南,1,3,,,01010,024,,
0255,十,1,14,,,00985,024,,
0256,即,1,19,,,01049,026,,
0257,及,1,31,,,01111,029,,
0258-0259,受,1,83,,,01128,029,,
0260,又,1,40,,,01108,029,,
0261,友,1,3,,,01112,029,,
0262,命,1,14,,,01252,030,,
0263,喜,1,19,,,01412,030,,
0264,可,1,11,,,01154,030,,
0265,向,1,6,,,01179,030,,
0266,味,1,3,,,01242,030,,
0267,唯,1,10,,,01349,030,,
0268,嚴,1,2,,,01581,030,,
0269,名,1,16,,,01175,030,,
0270,善,1,32,,,01395,030,,
0271,各,1,3,,,01168,030,,
0272,合,1,18,,,01170,030,,
0273,同,1,4,,,01174,030,,
0274,和,1,18,,,01263,030,,
0275,問,1,6,,,01369,030,,
0276,01455,1,2,,,01455,030,,
0277,四,1,47,,,01607,031,,
0278-0280,因,1,106,,,01611,031,,
0281,増,1,17,,,01853,032,,
0282,地,1,18,,,01666,032,,
0283,執,1,2,,,01755,032,,
0284,墮,1,5,,,01863,032,,
0285,塵,1,15,,,01831,032,,
0286,塗,1,2,,,01818,032,,
0287,在,1,12,,,01659,032,,
0288,堅,1,2,,,01767,032,,
0289,境,1,11,,,01839,032,,
0290,士,1,7,,,01903,033,,
0291,壽,1,3,,,01913,033,,
0292,外,1,8,,,01934,036,,
0293,多,1,15,,,01938,036,,
0294,天,1,44,,,01947,037,,
0295,失,1,3,,,01957,037,,
0296,大,1,14,,,01946,037,,
0297,奪,1,2,,,02013,037,,
0298-300,如,1,108,,,02031,038,,
0301,妙,1,4,,,02045,038,,
0302,妻,1,2,,,02061,038,,
0303,婆,1,4,,,02142,038,,
0304,嫁,1,2,,,02196,038,,
0305,娶,1,2,,,02134,038,,
0306,婬,1,4,,,02159,038,,
0307,女,1,6,,,02022,038,,
0308,妾,1,2,,,02062,038,,
0309,02231,1,4,,,02231,038,,
0310,學,1,4,,,02293,039,,
0311,子,1,10,,,02262,039,,
0312,安,1,5,,,02309,040,,
0313,定,1,12,,,02325,040,,
0314,實,1,9,,,02390,040,,
0315,害,1,8,,,02346,040,,
0316,寂,1,3,,,02357,040,,
0317,對,1,3,,,02435,041,,
0318,礙,1,8,,,08077,041,,
0319,尋,1,30,,,02430,041,,
0320,將,1,3,,,02425,041,,
0321,小,1,2,,,02439,042,,
0322,少,1,12,,,02440,042,,
0323,尸,1,2,,,02469,044,,
0324,展,1,3,,,02496,044,,
0325,差,1,15,,,02780,048,,
0326,工,1,3,,,02773,048,,
0327,巧,1,3,,,02775,048,,
0328,已,1,10,,,02783,049,,
0329,常,1,7,,,02847,050,,
0330,幻,1,2,,,02907,052,,
0331,廣,1,10,,,02993,053,,
0332,度,1,2,,,02944,053,,
0333,建,1,27,,,03006,054,,
0334,引,1,39,,,03044,057,,
0335,彼,1,35,,,03124,060,,
0336,得,1,33,,,03145,060,,
0337,後,1,11,,,03138,060,,
0338,往,1,3,,,03128,060,,
0339,復,2,26,1,,03159,060,,
0340,微,1,4,,,03165,060,,
0341,從,1,6,,,03151,060,,
0342,待,1,7,,,03132,060,,
0343,心,1,11,,,03179,061,,
0344,息,1,7,,,03298,061,,
0345,感,1,3,,,03409,061,,
0346,意,1,12,,,03395,061,,
0347,慧,1,16,,,03462,061,,
0348,慮,1,9,,,03466,061,,
0349,憂,1,7,,,03486,061,,
0350,情,1,15,,,03348,061,,
0351,應,1,34,,,03550,061,,
0352,惱,1,23,,,03372,061,,
0353,性,1,13,,,03244,061,,
0354,思,1,4,,,03239,061,,
0355,愛,1,23,,,03405,061,,
0356,怖,1,4,,,03233,061,,
0357,怨,1,7,,,03245,061,,
0358,慢,1,2,,,03458,061,,
0359,憤,1,3,,,03518,061,,
0360,悦,1,2,,,03309,061,,
0361,念,1,4,,,03214,061,,
0362,忘,1,2,,,03196,061,,
0363,想,1,5,,,03373,061,,
0364,恚,1,2,,,03278,061,,
0365,惡,1,4,,,03367,061,,
0366,必,1,3,,,03180,061,,
0367,03481,1,3,,,03481,061,,
0368,戲,1,2,,,03636,062,,
0369,成,1,21,,,03610,062,,
0370,我,1,4,,,03611,062,,
0371,戒,1,4,,,03612,062,,
0372-0374,所,1,131,,,03647,063,,
0375,捨,1,7,,,03835,064,,
0376,持,1,7,,,03780,064,,
0377,攝,1,30,,,04192,064,,
0378,擇,1,6,,,04085,064,,
0379,損,1,11,,,03939,064,,
0380,推,1,2,,,03880,064,,
0381,03751,1,2,,,03751,064,,
0382-0383,故,1,99,,,04243,066,,
0384,變,1,9,,,04319,066,,
0385,斷,1,4,,,04381,069,,
0386,方,1,15,,,04385,070,,
0387,於,1,33,,,04389,070,,
0388,施,1,43,,,04391,070,,
0389,智,1,5,,,04569,072,,
0390,時,1,28,,,04523,072,,
0391-0392,是,1,75,,,04512,072,,
0393,曰,1,3,,,04650,073,,
0394,會,1,3,,,04667,073,,
0395,更,1,4,,,04654,073,,
0396-0398,有,1,124,,,04674,074,,
0399,服,1,2,,,04679,074,,
0400,槃,1,2,,,05228,075,,
0401,業,1,20,,,05152,075,,
0402,根,1,9,,,04922,075,,
0403-0404,樂,1,90,,,05279,075,,
0405,染,1,4,,,04848,075,,
0406,柔,1,2,,,04849,075,,
0407,未,1,5,,,04711,075,,
0408,本,1,4,,,04713,075,,
0409,果,1,17,,,04806,075,,
0410,梵,1,7,,,05010,075,,
0411,横,1,3,,,05381,075,,
0412,極,1,4,,,05161,075,,
0413-0414,欲,1,87,,,05580,076,,
0415,次,1,11,,,05558,076,,
0416,欣,1,3,,,05561,076,,
0417,此,1,38,,,05644,077,,
0418,止,1,4,,,05641,077,,
0419,正,1,17,,,05643,077,,
0420,歳,1,6,,,05666,077,,
0421,殊,1,16,,,05717,078,,
0422,母,1,3,,,05834,080,,
0423,毒,1,5,,,05839,080,,
0424,氣,1,5,,,05947,084,,
0425,灑,1,3,,,06750,085,,
0426,涅,1,2,,,06189,085,,
0427,沒,1,2,,,06023,085,,
0428,深,1,4,,,06285,085,,
0429,潤,1,6,,,06553,085,,
0430-0431,法,1,74,,,06074,085,,
0432,流,1,9,,,06151,085,,
0433,淨,1,15,,,06272,085,,
0434,水,1,2,,,05952,085,,
0435,求,1,36,,,05964,085,,
0436,滅,1,15,,,06432,085,,
0437,滿,1,4,,,06476,085,,
0438,漏,1,5,,,06487,085,,
0439,漸,1,7,,,06517,085,,
0440,沙,1,4,,,06031,085,,
0441,洲,1,3,,,06138,085,,
0442,清,1,8,,,06290,085,,
0443,活,1,2,,,06145,085,,
0444,汚,1,2,,,05979,085,,
0445,灌,1,3,,,06748,085,,
0446,波,1,2,,,06086,085,,
0447,滋,1,2,,,06437,085,,
0448,決,1,5,,,06003,085,,
0449,熱,1,14,,,06957,086,,
0450,災,1,3,,,06792,086,,
0451,煩,1,3,,,06921,086,,
0452,火,1,2,,,06776,086,,
0453,然,1,8,,,06885,086,,
0454,燒,1,4,,,06978,086,,
0455-0456,爲,1,96,,,07032,087,,
0457,父,1,2,,,07035,088,,
0458,爾,1,12,,,07043,089,,
0459,物,1,2,,,07080,093,,
0460,牽,1,6,,,07087,093,,
0461,獨,1,4,,,07230,094,,
0462,猶,1,3,,,07203,094,,
0463,獲,1,2,,,07241,094,,
0464,猛,1,3,,,07180,094,,
0465,王,1,5,,,07262,096,,
0466,現,1,5,,,07304,096,,
0467,理,1,7,,,07307,096,,
0468-0470,生,1,109,,,07461,100,,
0471-0472,用,1,57,,,07469,101,,
0473,異,1,9,,,07530,102,,
0474,略,1,4,,,07522,102,,
0475,界,1,33,,,07501,102,,
0476,畏,1,4,,,07503,102,,
0477,當,1,15,,,07535,102,,
0478,男,1,5,,,07483,102,,
0479-0480,由,1,53,,,07479,102,,
0481,疑,1,2,,,07559,103,,
0482,癰,1,4,,,07696,104,,07679
0483,病,1,2,,,07598,104,,
0484,癡,1,3,,,07685,104,,
0485,皆,1,7,,,07717,106,,
0486,盛,1,3,,,07770,108,,
0487,盡,1,2,,,07779,108,,
0488,益,1,11,,,07759,108,,
0489,衆,1,19,,,07844,109,,
0490,眼,1,5,,,07843,109,,
0491,瞋,1,5,,,07878,109,,
0492,眞,1,9,,,07827,109,,
0493-0494,相,1,64,,,07801,109,,
0495,知,1,28,,,07941,111,,
0496,福,1,5,,,08148,113,,
0497-0498,種,1,65,,,08244,115,,
0499,稱,1,3,,,08248,115,,
0500,立,1,30,,,08354,117,,
0501,竟,1,2,,,08365,117,,
0502,第,1,12,,,08412,118,,
0503,等,1,33,,,08426,118,,
0504,節,1,2,,,08493,118,,
0505,簡,1,3,,,08569,118,,
0506,笑,1,2,,,08396,118,,
0507,答,1,6,,,08437,118,,
0508,糧,1,5,,,08718,119,,
0509,經,1,2,,,08856,120,,
0510,細,1,2,,,08779,120,,
0511,縁,1,49,,,08924,120,,
0512,羅,1,9,,,09144,122,,
0513,罪,1,3,,,09125,122,,
0514,羯,1,2,,,09182,123,,
0515,義,1,9,,,09177,123,,
0516,習,1,5,,,09214,124,,
0517-0519,者,1,102,,,09255,125,,
0520,而,1,7,,,09264,126,,
0521,聰,1,2,,,09326,128,,
0522,耶,1,11,,,09292,128,,
0523,聞,1,8,,,09315,128,,
0524,耽,1,3,,,09296,128,,
0525,聖,1,41,,,09308,128,,
0526,脱,1,5,,,09463,130,,
0527,能,1,46,,,09429,130,,
0528,脩,1,3,,,09462,130,,
0529,自,1,42,,,09602,132,,
0530,至,1,2,,,09610,133,,
0531,與,1,12,,,09629,134,,
0532,色,1,33,,,09716,139,,
0533,菩,1,2,,,09919,140,,
0534,落,1,8,,,09961,140,,
0535,莊,1,2,,,09869,140,,
0536,薄,1,2,,,10139,140,,
0537,藍,1,2,,,10189,140,,
0538,藏,1,3,,,10191,140,,
0539,苦,1,37,,,09789,140,,
0540,著,1,5,,,09972,140,,
0541,若,1,20,,,09788,140,,
0542-0543,處,1,67,,,10270,141,,
0544,蜜,1,2,,,10414,142,,
0545,螺,1,2,,,10521,142,,
0546,行,1,34,,,10614,144,,
0547,衣,1,2,,,10637,145,,
0548,覆,1,3,,,10826,146,,
0549,覺,1,5,,,10856,147,,
0550,見,1,13,,,10831,147,,
0551,觀,1,11,,,10859,147,,
0552,視,1,3,,,10837,147,,
0553,觸,1,12,,,10887,148,,
0554,解,1,6,,,10875,148,,
0555,證,1,3,,,11155,149,,
0556,記,1,5,,,10914,149,,
0557,語,1,7,,,11017,149,,
0558,言,1,3,,,10890,149,,
0559,誰,1,15,,,11028,149,,
0560,諍,1,2,,,11051,149,,
0561,識,1,5,,,11171,149,,
0562,説,1,19,,,11025,149,,
0563-0564,諸,1,64,,,11085,149,,
0565-0566,謂,1,67,,,11095,149,,
0567,貴,1,5,,,11355,154,,
0568,資,1,15,,,11373,154,,
0569,財,1,33,,,11334,154,,
0570,貪,1,6,,,11342,154,,
0571,起,1,22,,,11461,156,,
0572,趣,1,4,,,11485,156,,
0573,足,1,5,,,11495,157,,
0574,身,1,16,,,11715,158,,
0575,軟,1,2,,,11763,159,,
0576,轉,1,33,,,11856,159,,
0577,辨,1,9,,,11908,160,,
0578,適,1,2,,,12079,162,,
0579,逐,1,2,,,11993,162,,
0580,過,1,2,,,12046,162,,
0581,追,1,3,,,11979,162,,
0582,03157,1,2,,,03157,060,,
0583,遊,1,2,,,12042,162,,
0584,還,1,2,,,12108,162,,
0585,迦,1,8,,,11960,162,,
0586,邊,1,3,,,12115,162,,
0587,遠,1,4,,,12070,162,,
0588,遇,1,3,,,12040,162,,
0589,那,1,9,,,12134,163,,
0590,邪,1,3,,,12139,163,,
0591,門,1,9,,,12709,169,,
0592,間,1,15,,,12724,169,,
0593,重,1,2,,,12373,166,,
0594,量,1,2,,,12376,166,,
0595,長,1,7,,,12698,168,,
0596,障,1,11,,,12914,170,,
0597,隨,1,34,,,12927,170,,
0598,除,1,3,,,12855,170,,
0599,險,1,2,,,12929,170,,
0600,離,1,25,,,13001,172,,
0601,靜,1,12,,,13103,174,,
0602,非,1,44,,,13104,175,,
0603,順,1,13,,,13302,181,,
0604,願,1,2,,,13391,181,,
0605,領,1,3,,,13327,181,,
0606,類,1,3,,,13398,181,,
0607,風,1,3,,,13423,182,,
0608,食,1,14,,,13503,184,,
0609,餘,1,14,,,13565,184,,
0610,餓,1,4,,,13559,184,,
0611,飮,1,2,,,13526,184,,
0612,養,1,2,,,13551,184,,
0613,香,1,2,,,13667,186,,
0614,體,1,13,,,13934,188,,
0615,鬼,1,7,,,14061,194,,
0616,魔,1,4,,,14088,194,,
0617,14659,1,3,,,14659,198,,
0618,或,2,41,1,,03617,062,,
0619,段,2,4,2,,05792,079,,
0620,熟,2,2,1,,06949,086,,
0621,無,2,65,16,,06872,086,,
0623,發,2,8,2,,07707,105,,
0624,繋,2,38,15,,09030,120,,
0626,聲,2,3,1,,09328,128,,
0627,設,2,20,13,,10928,149,,
0628,違,1,10,,,12054,162,,
0629,雖,2,7,1,,12991,172,,
0630,富,3,4,1,1,02366,040,,
