統合ID,文字,カード番号,字体数,用例数,部首,枚数
06290,清,0078,0 ,1 ,085,1 
06630,澀,0079,0 ,1 ,085,1 
06641,濟,0080,0 ,1 ,085,1 
06750,灑,0081,0 ,1 ,085,1 
06882,焔,0082,0 ,1 ,086,1 
06918,照,0083,0 ,1 ,086,1 
06971,燈,0084,0 ,1 ,086,1 
07091,犂,0085,0 ,1 ,093,1 
07481,申,0086,0 ,1 ,102,1 
07503,畏,0087,0 ,1 ,102,1 
07717,皆,0088,0 ,1 ,106,1 
07827,眞,0089,0 ,1 ,109,1 
07941,知,0090,0 ,1 ,111,1 
07944,矩,0091,0 ,1 ,111,1 
08097,示,0092,0 ,1 ,113,1 
08116,祕,0093,0 ,1 ,113,1 
08412,第,0094,0 ,1 ,118,1 
08479,箭,0095,0 ,1 ,118,1 
08795,終,0096,0 ,1 ,120,1 
08817,絡,0097,0 ,1 ,120,1 
08889,綵,0098,0 ,1 ,120,1 
09011,09011,0099,0 ,1 ,120,1 
09249,耀,0100,0 ,1 ,124,1 
09308,聖,0101,0 ,1 ,128,1 
09315,聞,0102,0 ,1 ,128,1 
09716,色,0103,0 ,1 ,139,1 
10204,藥,0104,0 ,1 ,140,1 
10683,被,0105,0 ,1 ,145,1 
10714,補,0106,0 ,1 ,145,1 
10820,西,0107,0 ,1 ,146,1 
10837,視,0108,0 ,1 ,147,1 
10860,角,0109,0 ,1 ,148,1 
10896,計,0110,0 ,1 ,149,1 
10928,設,0111,0 ,1 ,149,1 
10974,詣,0112,0 ,1 ,149,1 
11084,諷,0113,0 ,1 ,149,1 
11185,警,0114,0 ,1 ,149,1 
11261,豐,0115,0 ,1 ,151,1 
11355,貴,0116,0 ,1 ,154,1 
11471,越,0117,0 ,1 ,156,1 
11495,足,0118,0 ,1 ,157,1 
11960,迦,0119,0 ,1 ,162,1 
12120,邏,0120,0 ,1 ,162,1 
M53244,M53244,0121,0 ,1 ,030,1 
12421,鈿,0122,0 ,1 ,167,1 
M55984,鑁,0123,0 ,1 ,167,1 
12724,間,0124,0 ,1 ,169,1 
12742,12742,0125,0 ,1 ,169,1 
12830,阿,0126,0 ,1 ,170,1 
12838,降,0127,0 ,1 ,170,1 
13047,霓,0128,0 ,1 ,173,1 
13108,面,0129,0 ,1 ,176,1 
13293,響,0130,0 ,1 ,180,1 
13297,頃,0131,0 ,1 ,181,1 
13304,須,0132,0 ,1 ,181,1 
13376,題,0133,0 ,1 ,181,1 
13409,顧,0134,0 ,1 ,181,1 
13849,驗,0135,0 ,1 ,187,1 
00001,一,0136,1 ,286 ,001,6 
00007,三,0142,1 ,86 ,001,2 
00008,上,0144,1 ,2 ,001,1 
00009,下,0145,1 ,4 ,001,1 
00013,不,0146,1 ,14 ,001,1 
00025,世,0147,1 ,83 ,001,2 
00051,中,0149,1 ,18 ,002,1 
00070,主,0150,1 ,6 ,003,1 
00078,乃,0151,1 ,5 ,004,1 
00088,之,0152,1 ,2 ,004,1 
00102,乘,0153,1 ,2 ,004,1 
00108,乞,0154,1 ,2 ,005,1 
00128,事,0155,1 ,3 ,006,1 
00154,亦,0156,1 ,2 ,008,1 
00184,仗,0157,1 ,4 ,009,1 
00193,令,0158,1 ,15 ,009,1 
00194,以,0159,1 ,20 ,009,1 
00217,伏,0160,1 ,7 ,009,1 
00236,伽,0161,1 ,27 ,009,1 
00245,住,0162,1 ,30 ,009,1 
00255,佛,0163,1 ,53 ,009,2 
00256,作,0165,1 ,22 ,009,1 
00279,使,0166,1 ,4 ,009,1 
00282,來,0167,1 ,198 ,009,4 
00299,供,0171,1 ,40 ,009,1 
00301,依,0172,1 ,21 ,009,1 
00321,便,0173,1 ,6 ,009,1 
00493,僕,0174,1 ,2 ,009,1 
00506,僮,0175,1 ,2 ,009,1 
00516,儀,0176,1 ,11 ,009,1 
00567,光,0177,1 ,19 ,010,1 
00582,入,0178,1 ,48 ,011,1 
00594,八,0179,1 ,5 ,012,1 
00606,具,0180,1 ,4 ,012,1 
00723,出,0181,1 ,83 ,017,2 
00734,分,0183,1 ,2 ,018,1 
00735,切,0184,1 ,257 ,018,6 
00767,利,0190,1 ,7 ,018,1 
00781,刹,0191,1 ,3 ,018,1 
00789,則,0192,1 ,28 ,018,1 
00794,前,0193,1 ,2 ,018,1 
