カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0152,之,1 ,2 ,,,,00088,004,1 
0153,乘,1 ,2 ,,,,00102,004,1 
0154,乞,1 ,2 ,,,,00108,005,1 
0155,事,1 ,3 ,,,,00128,006,1 
0156,亦,1 ,2 ,,,,00154,008,1 
0157,仗,1 ,4 ,,,,00184,009,1 
0158,令,1 ,15 ,,,,00193,009,1 
0159,以,1 ,20 ,,,,00194,009,1 
0160,伏,1 ,7 ,,,,00217,009,1 
0161,伽,1 ,27 ,,,,00236,009,1 
0162,住,1 ,30 ,,,,00245,009,1 
0163-0164,佛,1 ,53 ,,,,00255,009,2 
0165,作,1 ,22 ,,,,00256,009,1 
0166,使,1 ,4 ,,,,00279,009,1 
0167-0170,來,1 ,198 ,,,,00282,009,4 
0171,供,1 ,40 ,,,,00299,009,1 
0172,依,1 ,21 ,,,,00301,009,1 
0173,便,1 ,6 ,,,,00321,009,1 
0174,僕,1 ,2 ,,,,00493,009,1 
0175,僮,1 ,2 ,,,,00506,009,1 
0176,儀,1 ,11 ,,,,00516,009,1 
0177,光,1 ,19 ,,,,00567,010,1 
0178,入,1 ,48 ,,,,00582,011,1 
0179,八,1 ,5 ,,,,00594,012,1 
0180,具,1 ,4 ,,,,00606,012,1 
0181-0182,出,1 ,83 ,,,,00723,017,2 
0183,分,1 ,2 ,,,,00734,018,1 
0184-0189,切,1 ,257 ,,,,00735,018,6 
0190,利,1 ,7 ,,,,00767,018,1 
0191,刹,1 ,3 ,,,,00781,018,1 
0192,則,1 ,28 ,,,,00789,018,1 
0193,前,1 ,2 ,,,,00794,018,1 
0194,加,1 ,14 ,,,,00858,019,1 
0195,勅,1 ,2 ,,,,00879,019,1 
0196,勇,1 ,2 ,,,,00881,019,1 
0197,動,1 ,4 ,,,,00887,019,1 
0198,勝,1 ,15 ,,,,00893,019,1 
0199,南,1 ,26 ,,,,01010,024,1 
0200,印,1 ,44 ,,,,01034,026,1 
0201,即,1 ,12 ,,,,01049,026,1 
0202,友,1 ,5 ,,,,01112,029,1 
0203,受,1 ,6 ,,,,01128,029,1 
0204,口,1 ,2 ,,,,01141,030,1 
0205,右,1 ,2 ,,,,01158,030,1 
0206,各,1 ,2 ,,,,01168,030,1 
0207,合,1 ,2 ,,,,01170,030,1 
0208,名,1 ,44 ,,,,01175,030,1 
0209,周,1 ,2 ,,,,01235,030,1 
0210,哉,1 ,19 ,,,,01305,030,1 
0211,善,1 ,7 ,,,,01395,030,1 
0212,01455,1 ,26 ,,,,01455,030,1 
0213,器,1 ,5 ,,,,01523,030,1 
0214,01569,1 ,27 ,,,,01569,030,1 
0215,嚴,1 ,17 ,,,,01581,030,1 
0216,01594,1 ,17 ,,,,01594,030,1 
0217,四,1 ,8 ,,,,01607,031,1 
0218,固,1 ,9 ,,,,01627,031,1 
0219,圍,1 ,2 ,,,,01641,031,1 
0220,在,1 ,3 ,,,,01659,032,1 
0221,地,1 ,36 ,,,,01666,032,1 
0222,01748,1 ,23 ,,,,01748,032,1 
0223,場,1 ,2 ,,,,01798,032,1 
0224,境,2 ,2 ,1 ,,,01839,032,1 
0225,壇,2 ,10 ,1 ,,,01878,032,1 
0226,外,1 ,3 ,,,,01934,036,1 
0227,多,1 ,5 ,,,,01938,036,1 
0228-0229,大,1 ,92 ,,,,01946,037,2 
0230,天,1 ,14 ,,,,01947,037,1 
0231,奇,1 ,23 ,,,,01972,037,1 
0232,奉,1 ,5 ,,,,01974,037,1 
0233,女,1 ,17 ,,,,02022,038,1 
0234-0238,如,1 ,214 ,,,,02031,038,5 
0239,妙,1 ,9 ,,,,02045,038,1 
0240,始,1 ,2 ,,,,02069,038,1 
0241,威,1 ,5 ,,,,02105,038,1 
0242,婆,1 ,26 ,,,,02142,038,1 
0243,婢,1 ,2 ,,,,02151,038,1 
0244,守,1 ,3 ,,,,02308,040,1 
0245,宰,1 ,3 ,,,,02344,040,1 
0246,寂,1 ,2 ,,,,02357,040,1 
0247,密,1 ,6 ,,,,02361,040,1 
0248,寶,1 ,31 ,,,,02407,040,1 
0249-0250,尊,1 ,53 ,,,,02429,041,2 
0251,就,1 ,8 ,,,,02464,043,1 
0252,尼,2 ,8 ,1 ,,,02473,044,1 
0253,峰,1 ,10 ,,,,02589,046,1 
0254,左,1 ,10 ,,,,02774,048,1 
0255,巧,1 ,2 ,,,,02775,048,1 
0256,已,1 ,43 ,,,,02783,049,1 
0257,帝,1 ,2 ,,,,02820,050,1 
0258,師,1 ,3 ,,,,02835,050,1 
0259,幢,1 ,2 ,,,,02882,050,1 
0260,平,1 ,3 ,,,,02899,051,1 
0261,并,1 ,2 ,,,,02902,051,1 
0262,廣,1 ,8 ,,,,02993,053,1 
0263,引,1 ,7 ,,,,03044,057,1 
0264,彈,1 ,3 ,,,,03079,057,1 
0265,形,1 ,18 ,,,,03101,059,1 
0266-0267,彼,1 ,58 ,,,,03124,060,2 
0268,後,1 ,2 ,,,,03138,060,1 
0269,得,1 ,6 ,,,,03145,060,1 
0270-0271,從,1 ,65 ,,,,03151,060,2 
0272,03157,1 ,19 ,,,,03157,060,1 
0273,微,2 ,22 ,1 ,,,03165,060,1 
0274-0275,心,1 ,64 ,,,,03179,061,2 
0276,怒,1 ,6 ,,,,03229,061,1 
0277,怖,1 ,2 ,,,,03233,061,1 
0278,性,1 ,7 ,,,,03244,061,1 
0279,悦,2 ,6 ,3 ,,,03309,061,1 
0280,悉,1 ,4 ,,,,03312,061,1 
0281,情,1 ,8 ,,,,03348,061,1 
0282,意,1 ,9 ,,,,03395,061,1 
0283,愍,1 ,2 ,,,,03402,061,1 
0284,愛,1 ,2 ,,,,03405,061,1 
0285,慈,1 ,8 ,,,,03439,061,1 
0286,慧,1 ,2 ,,,,03462,061,1 
0287,應,1 ,19 ,,,,03550,061,1 
0288,成,1 ,19 ,,,,03610,062,1 
0289,我,1 ,36 ,,,,03611,062,1 
0290,所,1 ,18 ,,,,03647,063,1 
0291,手,1 ,5 ,,,,03659,064,1 
0292,承,1 ,2 ,,,,03690,064,1 
0293,03713,1 ,3 ,,,,03713,064,1 
0294,拳,1 ,10 ,,,,03770,064,1 
0295,持,1 ,39 ,,,,03780,064,1 
0296,指,1 ,3 ,,,,03783,064,1 
0297,授,1 ,6 ,,,,03855,064,1 
0298,掌,1 ,5 ,,,,03858,064,1 
0299,摧,1 ,7 ,,,,04008,064,1 
0300-0301,摩,1 ,53 ,,,,04009,064,2 
0302,播,1 ,2 ,,,,04069,064,1 
0303,故,2 ,21 ,16 ,,,04243,066,1 
0304,教,1 ,10 ,,,,04261,066,1 
0305,方,1 ,9 ,,,,04385,070,1 
0306,於,1 ,19 ,,,,04389,070,1 
0307,日,1 ,22 ,,,,04446,072,1 
0308,旨,1 ,2 ,,,,04450,072,1 
0309,明,1 ,17 ,,,,04485,072,1 
0310-0311,昧,1 ,51 ,,,,04505,072,2 
0312,時,1 ,36 ,,,,04523,072,1 
0313,普,1 ,3 ,,,,04557,072,1 
0314,智,1 ,20 ,,,,04569,072,1 
0315,曼,1 ,17 ,,,,04660,073,1 
0316,最,1 ,5 ,,,,04664,073,1 
0317,會,1 ,5 ,,,,04667,073,1 
0318,月,1 ,20 ,,,,04673,074,1 
0319,有,1 ,12 ,,,,04674,074,1 
0320,果,1 ,4 ,,,,04806,075,1 
0321,染,1 ,3 ,,,,04848,075,1 
0322,柱,1 ,2 ,,,,04871,075,1 
0323,梵,1 ,27 ,,,,05010,075,1 
0324,業,1 ,16 ,,,,05152,075,1 
0325,極,1 ,5 ,,,,05161,075,1 
0326,樂,1 ,8 ,,,,05279,075,1 
0327,樓,1 ,10 ,,,,05293,075,1 
0328,次,1 ,2 ,,,,05558,076,1 
0329,歌,1 ,4 ,,,,05609,076,1 
0330,此,1 ,39 ,,,,05644,077,1 
0331,比,1 ,2 ,,,,05841,081,1 
0332,毘,1 ,35 ,,,,05845,081,1 
0333,法,1 ,12 ,,,,06074,085,1 
0334,波,1 ,6 ,,,,06086,085,1 
0335,海,1 ,3 ,,,,06182,085,1 
0336,淨,1 ,4 ,,,,06272,085,1 
0337,滿,1 ,3 ,,,,06476,085,1 
0338,澤,1 ,2 ,,,,06603,085,1 
0339,無,1 ,21 ,,,,06872,086,1 
0340,燒,1 ,3 ,,,,06978,086,1 
0341-0342,爲,1 ,62 ,,,,07032,087,2 
0343,爾,1 ,24 ,,,,07043,089,1 
0344,牢,1 ,4 ,,,,07076,093,1 
0345,獲,1 ,5 ,,,,07241,094,1 
0346,王,1 ,8 ,,,,07262,096,1 
0347,現,1 ,3 ,,,,07304,096,1 
0348,理,1 ,3 ,,,,07307,096,1 
0349,生,1 ,39 ,,,,07461,100,1 
0350,由,1 ,19 ,,,,07479,102,1 
0351,甲,1 ,9 ,,,,07480,102,1 
0352,畫,1 ,5 ,,,,07525,102,1 
0353,當,1 ,2 ,,,,07535,102,1 
0354,疾,1 ,3 ,,,,07591,104,1 
0355,百,1 ,4 ,,,,07710,106,1 
0356,益,1 ,2 ,,,,07759,108,1 
0357,盡,1 ,8 ,,,,07779,108,1 
0358,盧,1 ,28 ,,,,07785,108,1 
0359,相,1 ,2 ,,,,07801,109,1 
0360,眼,1 ,4 ,,,,07843,109,1 
