カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0265,止,077,1,2,,,05641
0266,正,077,1,3,,,05643
0267-0268,漏,085,1,63,,,06487
0269-0272,法,085,1,160,,,06074
0273,滅,085,1,36,,,06432
0274,漢,085,1,12,,,06499
0275,淨,085,1,5,,,06272
0276,治,085,1,7,,,06055
0277,減,085,1,2,,,06313
0278,況,085,1,9,,,06058
0279,汚,085,1,3,,,05979
0280,決,085,1,3,,,06003
0281,然,086,1,3,,,06885
0282,熟,086,1,2,,,06949
0283-0286,無,086,1,194,,,06872
0287-0288,爲,087,1,65,,,07032
0289,爾,089,1,13,,,07043
0290,厭,027,1,5,,,01088
0291,猛,094,1,6,,,07180
0292-0294,現,096,1,117,,,07304
0295,理,096,1,3,,,07307
0296,王,096,1,2,,,07262
0297,生,100,1,25,,,07461
0298,用,101,1,15,,,07469
0299,略,102,1,2,,,07522
0300-0302,界,102,1,113,,,07501
0303,異,102,1,15,,,07530
0304,由,102,1,4,,,07479
0305,疑,103,1,3,,,07559
0306,發,105,1,5,,,07707
0307,皆,106,1,4,,,07717
0308,益,108,1,2,,,07759
0309,盡,108,1,2,,,07779
0310,相,109,1,21,,,07801
0311,知,111,1,9,,,07941
0312,礙,112,1,9,,,08077
0313,種,115,1,11,,,08244
0314,空,116,1,7,,,08296
0315,竟,117,1,2,,,08365
0316,答,118,1,17,,,08437
0317,等,118,1,26,,,08426
0318,第,118,1,18,,,08412
0319-0321,縁,120,1,105,,,08924
0322,細,120,1,5,,,08779
0323,練,120,1,7,,,08938
0324-0325,結,120,1,97,,,08807
0326,續,120,1,5,,,09061
0327,繋,120,1,14,,,09030
0328,納,120,1,2,,,08747
0329,羅,122,1,13,,,09144
0330,義,123,1,13,,,09177
0331,羸,123,1,4,,,09192
0332,習,124,1,2,,,09214
0333-0334,者,125,1,101,,,09255
0336,而,126,1,6,,,09264
0337,聖,128,1,14,,,09308
0338,耶,128,1,18,,,09292
0339-0341,能,130,1,101,,,09429
0342,脱,130,1,52,,,09463
0344-0348,脩,130,1,237,,,09462
0349,自,132,1,13,,,09602
0350,至,133,1,14,,,09610
0351,與,134,1,39,,,09629
0352-0353,色,139,1,78,,,09716
0354,若,140,1,46,,,09788
0355,草,140,1,2,,,09846
0356,蘊,140,1,7,,,10232
0357,苦,140,1,36,,,09789
0358,處,141,1,32,,,10270
0359-0360,行,144,1,76,,,10614
0361,要,146,1,6,,,10822
0362,觀,147,1,22,,,10859
0363,見,147,1,39,,,10831
0364-0365,解,148,1,63,,,10875
0366,訶,149,1,2,,,10936
0367,設,149,1,2,,,10928
0368,諸,149,1,34,,,11085
0369,説,149,1,43,,,11025
0370-0371,謂,149,1,74,,,11095
0372,記,149,1,8,,,10914
0373,諦,149,1,7,,,11072
0374,證,149,1,2,,,11155
0375,言,149,1,2,,,10890
0376,諍,149,1,2,,,11051
0377,論,149,1,6,,,11058
0378,豈,151,1,3,,,11253
0379,財,154,1,3,,,11334
0380,起,156,1,49,,,11461
0381,足,157,1,4,,,11495
0382,身,158,1,2,,,11715
0383,辯,160,1,2,,,11916
0384,11907,160,1,2,,,11907
0386,遮,162,1,2,,,12083
0387,迹,162,1,11,,,11976
0388,遊,162,1,2,,,12042
0389,逼,162,1,2,,,12030
0390,過,162,1,3,,,12046
0391,邊,162,1,6,,,12115
0392,通,162,1,4,,,12000
0393,近,162,1,2,,,11948
0394-0396,道,162,1,145,,,12051
0397,那,163,1,5,,,12134
0398,邪,163,1,2,,,12139
0399,重,166,1,2,,,12373
0400,量,166,1,8,,,12376
0401,間,169,1,38,,,12724
0402,除,170,1,43,,,12855
0403,鐵,167,1,2,,,12654
0404,阿,170,1,12,,,12830
0405,障,170,1,3,,,12914
0406,集,172,1,30,,,12963
0407,離,172,1,37,,,13001
0408,靜,174,1,17,,,13103
0409,非,175,1,50,,,13104
0410-0412,類,181,1,116,,,13398
0413,願,181,1,6,,,13391
0414,頂,181,1,3,,,13296
0415,顯,181,1,7,,,13416
0416,頃,181,1,4,,,13297
0417,餘,184,1,18,,,13565
0418,體,188,1,4,,,13934
0419,14659,198,1,3,,,14659
0420,倶,009,2,11,1,,00350
0421,慧,061,2,2,1,,03462
0422,戲,062,2,1,1,,03636
0423-0426,斷,069,2,132,21,,04381
0427,際,170,2,1,1,,12913
0428,隨,170,2,25,4,,12927
0429,雜,172,2,3,2,,12997
0430,慮,061,3,11,5,1,03466
