統合ID,文字,和寧華38,字体数,用例数,部首
09308,聖,0501,1,8,128
09463,脱,0502,1,11,130
09429,能,0503,1,54,130
09596,臣,0505,1,2,131
09602,自,0506,1,31,132
09610,至,0507,1,30,133
09630,興,0508,1,2,134
09629,與,0509,1,17,134
09716,色,0510,1,13,139
10163,薩,0511,1,100,140
09919,菩,0513,1,94,140
09788,若,0515,1,21,140
10191,藏,0516,1,8,140
09972,著,0517,1,4,140
10414,蜜,0518,1,10,142
10630,衞,0519,1,2,144
10614,行,0520,1,51,144
10643,表,0522,1,2,145
10826,覆,0523,1,2,146
10831,見,0524,1,19,147
10859,觀,0525,1,11,147
10848,親,0526,1,3,147
10875,解,0527a,2,23,148
10875b,解,0527b,2,7,148
11085,諸,0528,1,74,149
11017,語,0530,1,7,149
11095,謂,0531,1,11,149
11200,護,0532,1,6,149
11171,識,0533,1,3,149
10974,詣,0534,1,2,149
10890,言,0535,1,17,149
11025,説,0536,1,84,149
11038,調,0538,1,3,149
10936,訶,0539,1,7,149
11195,議,0540,1,6,149
11229,讚,0541,1,4,149
10914,記,0542,1,4,149
10967,詞,0543,1,11,149
11134,謬,0544,1,2,149
11155,證,0545,1,2,149
11334,財,0546,1,2,154
11404,質,0547,1,2,154
11461,起,0548,1,12,156
11495,足,0549,1,3,157
11715,身,0550,1,92,158
11856,轉,0552,1,19,159
11827,輪,0553,1,4,159
11831,輭,0554,1,4,159
12000,通,0555,1,10,162
03157,徧,0556,1,5,060
12046,過,0557,1,13,162
12070,遠,0558,1,6,162
12115,邊,0559,1,17,162
12051,道,0560,1,16,162
12003,速,0561,1,2,162
12022,進,0562,1,5,162
11948,近,0563,1,3,162
12134,那,0564,1,8,163
12139,邪,0565,1,9,163
12371,釋,0566,1,3,165
12376,量,0567,1,50,166
12373,重,0568,1,4,166
12380,金,0569,1,10,167
12528,錯,0570,1,2,167
12709,門,0571,1,21,169
12724,間,0572,1,14,169
12716,開,0573,1,3,169
12855,除,0574,1,4,170
12927,隨,0575,1,69,170
12830,阿,0577,1,10,170
12913,際,0578,1,9,170
12831,陀,0579,1,19,170
12963,集,0580,1,4,172
13001,離,0581,1,25,172
13002,難,0582,1,14,172
12991,雖,0583,1,2,172
13012,雨,0584,1,3,173
13020,雲,0585,1,2,173
13103,靜,0586,1,2,174
13104,非,0587,1,11,175
13107,靡,0588,1,2,175
13281,音,0589,1,28,180
13302,順,0590,1,5,181
13304,須,0591,1,2,181
13391,願,0592,1,18,181
13307,頌,0593,1,2,181
13296,頂,0594,1,5,181
13297,頃,0595,1,4,181
13327,領,0596,1,4,181
13423,風,0597,1,2,182
13551,養,0598,1,9,184
13565,餘,0599,1,5,184
13641,饒,0600,1,3,184
13661,首,0601,1,5,185
14088,魔,0602,1,4,194
14709,黑,0603,1,5,203
14720,默,0604,1,2,203
14876,龍,0605,1,2,212
00154,亦,0606a,2,19,008
00154b,亦,0606b,2,2,008
00256,作,0607a,2,34,009
00256b,作,0607b,2,2,009
00646,冠,0608a,2,2,014
00646b,冠,0608b,2,1,014
00781,刹,0609a,2,13,018
00781b,刹,0609b,2,3,018
01349,唯,0610a,2,2,030
01349b,唯,0610b,2,2,030
01831,塵,0611a,2,15,032
01831b,塵,0611b,2,1,032
02473,尼,0612a,2,18,044
02473b,尼,0612b,2,1,044
02780,差,0613a,2,48,048
02780b,差,0613b,2,10,048
02993,廣,0615,1,11,053
03116,影,0616a,2,1,059
03116b,影,0616b,2,1,059
04389,於,0617a,2,53,070
04389b,於,0617b,2,6,070
04512,是,0619a,2,54,072
04512b,是,0619b,2,3,072
05643,正,0621a,2,8,077
05643b,正,0621b,2,4,077
06003,決,0622a,2,4,085
06003b,決,0622b,2,1,085
08412,第,0623a,2,14,118
08412b,第,0623b,2,1,118
09175,羣,0624a,2,1,123
09175b,羣,0624b,2,1,123
09462,脩,0625a,2,10,130
09462b,脩,0625b,2,1,130
09954,萬,0626a,2,13,140
09954b,萬,0626b,2,10,140
09869,莊,0627a,2,4,140
09869b,莊,0627b,2,1,140
10272,虛,0628a,2,11,141
10272b,虛,0628b,2,1,141
10270,處,0629a,2,18,141
10270b,處,0629b,2,1,141
10856,覺,0630a,3,7,147
10856b,覺,0630b,3,3,147
10856c,覺,0630c,3,2,147
11189,譬,0631a,2,7,149
11189b,譬,0631b,2,3,149
11485,趣,0632,1,11,156
11467,超,0633a,2,2,156
11467b,超,0633b,2,1,156
11898,辟,0634a,2,4,160
11898b,辟,0634b,2,1,160
11916,辯,0635a,2,5,160
11916b,辯,0635b,2,1,160
11914,辭,0636a,2,1,160
11914b,辭,0636b,2,1,160
11982,退,0637a,2,5,162
11982b,退,0637b,2,1,162
