カード番号,文字,字体数,用例数1,用例数2,用例数3,部首,大字典
0309,後,1,7,,,060,03138
0310,彼,1,8,,,060,03124
0311,微,1,17,,,060,03165
0312,念,1,29,,,061,03214
0313,慧,1,24,,,061,03462
0314,性,1,17,,,061,03244
0315-0316,心,1,60,,,061,03179
0317,悟,1,2,,,061,03326
0318,恆,1,10,,,061,03267
0319,恭,1,2,,,061,03297
0320,忍,1,3,,,061,03184
0321,忘,1,3,,,061,03196
0322,悉,1,37,,,061,03312
0323,愛,1,6,,,061,03405
0324,惑,1,4,,,061,03355
0325,愍,1,2,,,061,03402
0326,惱,1,14,,,061,03372
0327,應,1,13,,,061,03550
0328,悲,1,8,,,061,03335
0329,思,1,10,,,061,03239
0330,想,1,5,,,061,03373
0331,意,1,7,,,061,03395
0332,慈,1,8,,,061,03439
0333,成,1,27,,,062,03610
0334,我,1,5,,,062,03611
0335,或,1,11,,,062,03617
0336-0337,所,1,76,,,063,03647
0338,摩,1,9,,,064,04009
0339,拔,1,2,,,064,03750
0340,才,1,4,,,064,03661
0341,捨,1,12,,,064,03835
0342,承,1,4,,,064,03690
0343,攝,1,3,,,064,04192
0344,提,1,2,,,064,03896
0345,持,1,12,,,064,03780
0346,支,1,5,,,065,04216
0347,數,1,17,,,066,04298
0348,敬,1,3,,,066,04286
0349,教,1,4,,,066,04261
0350,變,1,3,,,066,04319
0351,放,1,5,,,066,04233
0352,故,1,26,,,066,04243
0353,斷,1,4,,,069,04381
0354,施,1,3,,,070,04391
0355,方,1,10,,,070,04385
0356,昧,1,12,,,072,04505
0357,暗,1,4,,,072,04591
0358,時,1,22,,,072,04523
0359,普,1,24,,,072,04557
0360,明,1,22,,,072,04485
0361-0363,智,1,120,,,072,04569
0364,曜,1,2,,,072,04636
0365,日,1,2,,,072,04446
0366,更,1,6,,,073,04654
0367,會,1,9,,,073,04667
0368,曾,1,2,,,073,04661
0369,最,1,6,,,073,04664
0370,有,1,48,,,074,04674
0371,月,1,6,,,074,04673
0372,本,1,4,,,075,04713
0373,果,1,4,,,075,04806
0374,梵,1,10,,,075,05010
0375,業,1,28,,,075,05152
0376,樂,1,40,,,075,05279
0377,根,1,17,,,075,04922
0378,柔,1,2,,,075,04849
0379,林,1,12,,,075,04803
0380,未,1,5,,,075,04711
0381,欲,1,31,,,076,05580
0382,歎,1,3,,,076,05612
0383,歡,1,5,,,076,05639
0384,次,1,13,,,076,05558
0385,歌,1,2,,,076,05609
0386-0387,此,1,64,,,077,05644
0388,止,1,2,,,077,05641
0389,殊,1,3,,,078,05717
0390,比,1,3,,,081,05841
0391,毛,1,7,,,082,05850
0392,民,1,2,,,083,05935
0393,氣,1,3,,,084,05947
0394-0396,法,1,118,,,085,06074
0397,漏,1,4,,,085,06487
0398,水,1,3,,,085,05952
0399,滅,1,14,,,085,06432
0400,潤,1,2,,,085,06553
0401,滿,1,5,,,085,06476
0402,汝,1,3,,,085,05983
0403,淨,1,11,,,085,06272
0404,演,1,15,,,085,06490
0405,深,1,13,,,085,06285
0406,波,1,10,,,085,06086
0407,清,1,6,,,085,06290
0408,海,1,5,,,085,06182
0409,沙,1,2,,,085,06031
0410,求,1,4,,,085,05964
0411,治,1,3,,,085,06055
0412-0416,無,1,216,,,086,06872
0417,然,1,8,,,086,06885
0418,熟,1,2,,,086,06949
0419,照,1,9,,,086,06918
0420,火,1,3,,,086,06776
0421,煩,1,14,,,086,06921
0422,熏,1,9,,,086,06941
0423-0424,爲,1,56,,,087,07032
0425,爾,1,5,,,089,07043
0426,牙,1,2,,,092,07065
0427,物,1,2,,,093,07080
0428,猶,1,3,,,094,07203
0429,獨,1,6,,,094,07230
0430,獲,1,8,,,094,07241
0431,王,1,21,,,096,07262
0432,現,1,37,,,096,07304
0433,甚,1,6,,,099,07457
0434-0436,生,1,102,,,100,07461
0437,用,1,4,,,101,07469
0438,田,1,3,,,102,07478
0439,略,1,7,,,102,07522
0440,當,1,5,,,102,07535
0441,由,1,6,,,102,07479
0442,畢,1,2,,,102,07520
0443,異,1,5,,,102,07530
0444,畏,1,4,,,102,07503
0445-0446,界,1,57,,,102,07501
0447,癡,1,2,,,104,07685
0448,發,1,6,,,105,07707
0449,皆,1,37,,,106,07717
0450,百,1,25,,,106,07710
0451,盡,1,9,,,108,07779
0452,益,1,8,,,108,07759
0453,眷,1,2,,,109,07839
0454-0456,相,1,150,,,109,07801
0457,眠,1,5,,,109,07828
0458,眞,1,4,,,109,07827
0459-0461,衆,1,107,,,109,07844
0462-0463,知,1,70,,,111,07941
0464-0465,礙,1,52,,,112,08077
0466,禪,1,2,,,113,08162
0467,祕,1,2,,,113,08116
0468,示,1,15,,,113,08097
0469,祇,1,8,,,113,08107
0470,禮,1,2,,,113,08165
0471,神,1,13,,,113,08124
0472,福,1,2,,,113,08148
0473,稠,1,12,,,115,08239
0474-0475,種,1,60,,,115,08244
0476,空,1,12,,,116,08296
0477,窮,1,2,,,116,08329
0478,端,1,5,,,117,08376
0479,立,1,2,,,117,08354
0480,竟,1,3,,,117,08365
0481,等,1,23,,,118,08426
0482,精,1,4,,,119,08685
0483,縁,1,3,,,120,08924
0484,續,1,6,,,120,09061
0485,縛,1,5,,,120,08963
0486,繋,1,2,,,120,09030
0487,網,1,2,,,120,08885
0488,絶,1,4,,,120,08809
0489,經,1,3,,,120,08856
0490,總,1,3,,,120,08993
0491,羅,1,30,,,122,09144
0492,美,1,2,,,123,09155
0493,義,1,22,,,123,09177
0494,習,1,20,,,124,09214
0495,者,1,21,,,125,09255
0496,而,1,22,,,126,09264
0497,聲,1,22,,,128,09328
0498,聞,1,22,,,128,09315
0499,聽,1,2,,,128,09335
0500,聚,1,4,,,128,09314
0501,聖,1,8,,,128,09308
0502,脱,1,11,,,130,09463
0503-0504,能,1,54,,,130,09429
0505,臣,1,2,,,131,09596
0506,自,1,31,,,132,09602
0507,至,1,30,,,133,09610
0508,興,1,2,,,134,09630
0509,與,1,17,,,134,09629
0510,色,1,13,,,139,09716
0511-0512,薩,1,100,,,140,10163
0513-0514,菩,1,94,,,140,09919
0515,若,1,21,,,140,09788
0516,藏,1,8,,,140,10191
0517,著,1,4,,,140,09972
0518,蜜,1,10,,,142,10414
0519,衞,1,2,,,144,10630
0520-0521,行,1,51,,,144,10614
0522,表,1,2,,,145,10643
0523,覆,1,2,,,146,10826
0524,見,1,19,,,147,10831
0525,觀,1,11,,,147,10859
0526,親,1,3,,,147,10848
0527,解,2,23,7,,148,10875
0528-0529,諸,1,74,,,149,11085
0530,語,1,7,,,149,11017
0531,謂,1,11,,,149,11095
0532,護,1,6,,,149,11200
0533,識,1,3,,,149,11171
0534,詣,1,2,,,149,10974
0535,言,1,17,,,149,10890
0536-0537,説,1,84,,,149,11025
0538,調,1,3,,,149,11038
0539,訶,1,7,,,149,10936
0540,議,1,6,,,149,11195
0541,讚,1,4,,,149,11229
0542,記,1,4,,,149,10914
0543,詞,1,11,,,149,10967
0544,謬,1,2,,,149,11134
0545,證,1,2,,,149,11155
0546,財,1,2,,,154,11334
0547,質,1,2,,,154,11404
0548,起,1,12,,,156,11461
0549,足,1,3,,,157,11495
0550-0551,身,1,92,,,158,11715
0552,轉,1,19,,,159,11856
0553,輪,1,4,,,159,11827
0554,11831,1,4,,,159,11831
0555,通,1,10,,,162,12000
0556,03157,1,5,,,060,03157
0557,過,1,13,,,162,12046
0558,遠,1,6,,,162,12070
0559,邊,1,17,,,162,12115
0560,道,1,16,,,162,12051
0561,速,1,2,,,162,12003
0562,進,1,5,,,162,12022
0563,近,1,3,,,162,11948
0564,那,1,8,,,163,12134
0565,邪,1,9,,,163,12139
0566,釋,1,3,,,165,12371
0567,量,1,50,,,166,12376
0568,重,1,4,,,166,12373
0569,金,1,10,,,167,12380
0570,錯,1,2,,,167,12528
0571,門,1,21,,,169,12709
0572,間,1,14,,,169,12724
0573,開,1,3,,,169,12716
0574,除,1,4,,,170,12855
0575-0576,隨,1,69,,,170,12927
0577,阿,1,10,,,170,12830
0578,際,1,9,,,170,12913
0579,陀,1,19,,,170,12831
0580,集,1,4,,,172,12963
0581,離,1,25,,,172,13001
0582,難,1,14,,,172,13002
0583,雖,1,2,,,172,12991
0584,雨,1,3,,,173,13012
0585,雲,1,2,,,173,13020
0586,靜,1,2,,,174,13103
0587,非,1,11,,,175,13104
0588,靡,1,2,,,175,13107
0589,音,1,28,,,180,13281
0590,順,1,5,,,181,13302
0591,須,1,2,,,181,13304
0592,願,1,18,,,181,13391
0593,頌,1,2,,,181,13307
0594,頂,1,5,,,181,13296
0595,頃,1,4,,,181,13297
0596,領,1,4,,,181,13327
0597,風,1,2,,,182,13423
0598,養,1,9,,,184,13551
0599,餘,1,5,,,184,13565
0600,饒,1,3,,,184,13641
0601,首,1,5,,,185,13661
0602,魔,1,4,,,194,14088
0603,黒,1,5,,,203,14709
0604,默,1,2,,,203,14720
0605,龍,1,2,,,212,14876
0606,亦,2,19,2,,008,00154
0607,作,2,34,2,,009,00256
0608,冠,2,2,1,,014,00646
0609,刹,2,13,3,,018,00781
0610,唯,2,2,2,,030,01349
0611,塵,2,15,1,,032,01831
0612,尼,2,18,1,,044,02473
0613,差,2,48,10,,048,02780
0615,廣,1,11,,,053,02993
0616,影,2,1,1,,059,03116
0617,於,2,53,6,,070,04389
0619,是,2,54,3,,072,04512
0621,正,2,8,4,,077,05643
0622,決,2,4,1,,085,06003
0623,第,2,14,1,,118,08412
0624,羣,2,1,1,,123,09175
0625,脩,2,10,1,,130,09462
0626,萬,2,13,10,,140,09954
0627,莊,2,4,1,,140,09869
0628,虚,2,11,1,,141,10272
0629,處,2,18,1,,141,10270
0630,覺,3,7,3,2,147,10856
0631,譬,2,7,3,,149,11189
0632,趣,1,11,,,156,11485
0633,超,2,2,1,,156,11467
0634,辟,2,4,1,,160,11898
0635,辯,2,5,1,,160,11916
0636,辭,2,1,1,,160,11914
0637,退,2,5,1,,162,11982
