カード番号,文字,字体数,用例数,用例数2,用例数3,用例数4,大字典番号,部首番号
0356,餓,0,,,,,13559,184
0357,飫,0,,,,,13521,184
0358,饉,0,,,,,13630,184
0360,騰,0,,,,,13820,187
0361,驗,0,,,,,13849,187
0362,魔,0,,,,,14088,194
0363,鯔,0,,,,,14207,195
0364,鷲,0,,,,,14576,196
0365,麻,0,,,,,14681,200
0366,黨,0,,,,,14730,203
0367,龍,0,,,,,14876,212
0368,龜,0,,,,,14887,213
0369-0370,一,1,64,,,,00001,001
0371,上,1,29,,,,00008,001
0372,下,1,16,,,,00009,001
0373-0374,不,1,72,,,,00013,001
0375,三,1,19,,,,00007,001
0376,且,1,12,,,,00020,001
0377,丈,1,2,,,,00006,001
0378,世,1,9,,,,00025,001
0379,丘,1,5,,,,00026,001
0380,七,1,3,,,,00004,001
0381,中,1,36,,,,00051,002
0382,主,1,22,,,,00070,003
0383-0390,之,1,355,,,,00088,004
0391,久,2,11,1,,,00085,004
0392,乎,1,20,,,,00092,004
0393,乘,1,4,,,,00102,004
0394-0395,乃,1,64,,,,00078,004
0396-0397,也,1,67,,,,00109,005
0398,乞,1,3,,,,00108,005
0399,乳,1,4,,,,00113,005
0400,事,2,22,1,,,00128,006
0401,井,1,12,,,,00136,007
0402,于,1,20,,,,00132,007
0403,五,1,14,,,,00135,007
0404,二,1,23,,,,00129,007
0405-0406,云,1,54,,,,00133,007
0407,亦,1,33,,,,00154,008
0408,亡,1,3,,,,00150,008
0409,優,1,3,,,,00542,009
0410,伏,1,7,,,,00217,009
0411,俳,1,4,,,,00351,009
0412,倚,1,2,,,,00378,009
0413,他,1,2,,,,00183,009
0414,供,1,4,,,,00299,009
0415,傾,2,2,1,,,00475,009
0416,侍,1,6,,,,00288,009
0417,令,1,8,,,,00193,009
0418,休,1,2,,,,00219,009
0419,似,1,2,,,,00235,009
0420,伊,2,4,3,,,00213,009
0421,代,1,10,,,,00192,009
0422,儀,1,2,,,,00516,009
0423,倒,1,3,,,,00373,009
0424,俯,1,2,,,,00349,009
0425,候,1,2,,,,00369,009
0426-0428,以,1,138,,,,00194,009
0429,人,1,37,,,,00168,009
0430,來,1,39,,,,00282,009
0431,僉,1,4,,,,00483,009
0432,何,1,27,,,,00250,009
0433,便,1,8,,,,00321,009
0434,使,1,21,,,,00279,009
0435,住,1,8,,,,00245,009
0436,仍,1,4,,,,00177,009
0437,佐,1,2,,,,00246,009
0438,企,1,5,,,,00209,009
0439,今,1,28,,,,00175,009
0440,作,1,26,,,,00256,009
0441,但,1,3,,,,00240,009
0442,依,1,11,,,,00301,009
0443,傍,1,2,,,,00449,009
0445,余,1,6,,,,00253,009
0446,光,1,4,,,,00567,010
0447,先,1,19,,,,00566,010
0448-0449,兒,1,64,,,,00574,010
0450-0451,兄,1,55,,,,00561,010
0452,兩,1,3,,,,00591,011
0453,全,1,2,,,,00589,011
0454,入,1,25,,,,00582,011
0455,内,1,12,,,,00585,011
0456,共,1,6,,,,00599,012
0457,兼,1,4,,,,00613,012
0458,具,1,5,,,,00606,012
0459-0460,其,1,100,,,,00605,012
0461,八,1,38,,,,00594,012
0462,凡,1,6,,,,00701,016
0463-0464,出,2,65,6,,,00723,017
0465,分,1,3,,,,00734,018
0466,別,1,8,,,,00763,018
0467,利,1,12,,,,00767,018
0468,前,1,13,,,,00794,018
0469,制,1,2,,,,00776,018
0470,副,1,3,,,,00818,018
0471,到,1,21,,,,00769,018
0472,刀,1,4,,,,00729,018
0473-0474,則,1,71,,,,00789,018
0475,加,1,4,,,,00858,019
0476,勢,1,3,,,,00898,019
0477,勝,1,21,,,,00893,019
0478,勅,1,19,,,,00879,019
0479,勿,1,10,,,,00919,020
0480,化,1,4,,,,00938,021
0481,十,1,18,,,,00985,024
0482,千,1,18,,,,00987,024
0483,占,1,2,,,,01022,025
0484,卜,1,2,,,,01019,025
0485,即,1,36,,,,01049,026
0486,危,1,2,,,,01035,026
0487,原,1,18,,,,01074,027
0488,去,1,19,,,,01101,028
0489,取,1,14,,,,01127,029
0490,及,1,27,,,,01111,029
0491,友,1,4,,,,01112,029
0492,反,1,2,,,,01116,029
0493,又,1,18,,,,01108,029
0494,受,1,6,,,,01128,029
0495-0496,命,1,76,,,,01252,030
0497-0498,吾,1,89,,,,01217,030
0499,告,1,6,,,,01219,030
0500,和,1,5,,,,01263,030
0501,哉,1,6,,,,01305,030
0502,嘯,1,3,,,,01484,030
0503,咫,1,3,,,,01279,030
0504,喧,1,2,,,,01420,030
0505,呼,1,3,,,,01251,030
0506,嘲,2,3,1,,,01487,030
0507,同,1,3,,,,01174,030
0508,嘗,1,3,,,,01479,030
0509,君,2,8,3,,,01185,030
0510,善,1,4,,,,01395,030
0511,唯,1,4,,,,01349,030
0512,名,1,23,,,,01175,030
0513,合,1,9,,,,01170,030
0514,可,1,28,,,,01154,030
0515,問,1,39,,,,01369,030
0516,召,1,10,,,,01150,030
0517,味,1,9,,,,01242,030
0518,向,1,11,,,,01179,030
0519,嗣,1,5,,,,01452,030
0520,口,1,17,,,,01141,030
0521,呑,1,2,,,,01187,030
0522,各,1,2,,,,01168,030
0523,吟,1,4,,,,01188,030
0524,喜,1,3,,,,01412,030
0525,唾,1,2,,,,01359,030
0526,四,1,2,,,,01607,031
0527,固,1,2,,,,01627,031
0528-0529,國,1,62,,,,01639,031
0530,因,1,40,,,,01611,031
0531,困,1,4,,,,01623,031
0532,垢,1,2,,,,01726,032
0533,在,1,29,,,,01659,032
0534,報,1,15,,,,01796,032
0535,地,1,15,,,,01666,032
0536,坂,1,2,,,,01672,032
0537,堅,1,3,,,,01767,032
0538,多,1,11,,,,01938,036
0539,夜,1,15,,,,01939,036
0540-0544,天,1,209,,,,01947,037
0545,奉,1,29,,,,01974,037
0546,失,1,7,,,,01957,037
0547,夫,1,5,,,,01949,037
0548,奇,1,2,,,,01972,037
0549,太,1,9,,,,01948,037
0550,大,1,50,,,,01946,037
0551,婦,1,2,,,,02155,038
0552-0553,女,1,53,,,,02022,038
0554,妃,1,6,,,,02032,038
0555,娜,1,3,,,,02119,038
0556,妻,2,８,2,,,02061,038
0557,妾,1,20,,,,02062,038
0558,娠,1,9,,,,02122,038
0559,如,1,24,,,,02031,038
0560,奴,1,3,,,,02024,038
0561,婢,1,2,,,,02151,038
0562,姉,1,2,,,,02068,038
0563,妹,1,5,,,,02059,038
0564,始,1,4,,,,02069,038
0565,娶,1,10,,,,02134,038
0566,威,1,5,,,,02105,038
0567,委,1,2,,,,02078,038
0568-0569,姫,1,69,,,,02108,038
0570-0571,孫,1,84,,,,02282,039
0572,孕,1,2,,,,02265,039
0573,容,1,7,,,,02352,040
0574,客,1,5,,,,02331,040
0575,安,1,3,,,,02309,040
0576,害,1,5,,,,02346,040
0577,定,1,7,,,,02325,040
0578,肉,1,3,,,,09348,040
0579,實,1,5,,,,02390,040
0580,寶,1,5,,,,02407,040
0581,室,1,8,,,,02332,040
0582,對,1,23,,,,02435,041
0583,尋,1,12,,,,02430,041
0584,射,1,7,,,,02422,041
0585,小,1,9,,,,02439,042
0586,少,1,5,,,,02440,042
0587,就,1,8,,,,02464,043
0588,屋,1,21,,,,02488,044
0589,尾,1,2,,,,02478,044
0590,居,1,14,,,,02482,044
0591,屡,1,5,,,,02504,044
0592,岐,1,3,,,,02540,046
0593,山,1,27,,,,02528,046
0594,崩,1,3,,,,02640,046
0595,崇,1,3,,,,02607,046
0596,峯,1,6,,,,02589,046
0597,川,1,5,,,,02762,047
0598,左,1,2,,,,02774,048
0599,己,1,8,,,,02782,049
0600,已,1,30,,,,02783,049
0601,席,1,2,,,,02839,050
0602,常,1,3,,,,02847,050
0603,幡,1,16,,,,02881,050
0604,帶,1,6,,,,02846,050
0605,帥,1,2,,,,02828,050
0606,幸,1,25,,,,02903,051
0607,年,1,6,,,,02900,051
0609,平,1,20,,,,02899,051
0610,座,1,3,,,,02946,053
0611,廣,1,3,,,,02993,053
0612,庭,1,2,,,,02952,053
0613,床,1,10,,,,02924,053
0614,延,1,4,,,,03005,054
0615,弔,1,4,,,,03043,057
0616,弓,1,10,,,,03042,057
0617,強,1,2,,,,03066,057
0618,引,1,2,,,,03044,057
0619,張,1,2,,,,03065,057
0620,影,1,2,,,,03116,059
0621,彦,1,113,,,,03106,059
0624,徑,1,4,,,,03142,060
0625,徨,1,2,,,,03158,060
0626,彷,1,2,,,,03121,060
0627,徳,1,2,,,,03172,060
0628,得,1,18,,,,03145,060
0629,後,1,21,,,,03138,060
0630,待,1,6,,,,03132,060
0631,復,1,32,,,,03159,060
0632,從,1,17,,,,03151,060
0633,彼,1,14,,,,03124,060
0634,應,1,2,,,,03550,061
0635,忌,1,2,,,,03183,061
0636,悲,1,2,,,,03335,061
0637,愛,1,3,,,,03405,061
0638,惡,1,6,,,,03367,061
0639,憐,1,4,,,,03499,061
0640,惟,1,2,,,,03365,061
0641,恨,1,9,,,,03291,061
0642,慙,1,4,,,,03453,061
0643,慍,1,2,,,,03410,061
0644,慮,1,2,,,,03466,061
0645,懃,1,2,,,,03544,061
0646,必,1,15,,,,03180,061
0647,心,1,10,,,,03179,061
0648,忍,1,12,,,,03184,061
0649,思,1,6,,,,03239,061
0650,意,1,6,,,,03395,061
0651,慇,1,2,,,,03438,061
0652,息,1,6,,,,03298,061
0653,怜,1,4,,,,03238,061
0654,懷,1,3,,,,03585,061
0655,志,1,4,,,,03194,061
0656,怒,1,4,,,,03229,061
0657,急,1,5,,,,03243,061
0658,情,1,4,,,,03348,061
0659,愁,1,4,,,,03387,061
0660,憶,1,3,,,,03534,061
0661,忽,1,6,,,,03219,061
0662,患,1,3,,,,03329,061
0663,憂,1,8,,,,03486,061
0664,惱,1,3,,,,03372,061
0665,悔,1,2,,,,03320,061
0666,成,1,3,,,,03610,062
0667,或,1,3,,,,03617,062
0668,我,1,31,,,,03611,062
0669,所,1,46,,,,03647,063
0670,戸,1,6,,,,03640,063
0671,授,1,10,,,,03855,064
0672,握,1,2,,,,03911,064
0673,抑,1,2,,,,03704,064
0674,03751,1,4,,,,03751,064
0675,播,1,10,,,,04069,064
0676,據,2,3,1,,,04106,064
0677,手,1,15,,,,03659,064
0678,掌,1,3,,,,03858,064
0679,攀,1,2,,,,04146,064
0680,投,1,5,,,,03708,064
0681,探,1,5,,,,03874,064
0682,持,1,13,,,,03780,064
0683,排,1,6,,,,03862,064
0684,折,1,10,,,,03711,064
0685,抱,1,2,,,,03720,064
0686,披,1,2,,,,03715,064
0687,損,1,2,,,,03939,064
0688,數,1,4,,,,04298,066
0689-0690,故,1,83,,,,04243,066
0691,教,1,12,,,,04261,066
0692,救,2,3,1,,,04263,066
0693,敢,1,3,,,,04277,066
0695,放,1,5,,,,04233,066
0696,斫,1,2,,,,04368,069
0697,新,1,4,,,,04376,069
0698-0699,於,1,79,,,,04389,070
0700,方,1,7,,,,04385,070
0701,月,1,3,,,,04673,074
0702,望,1,2,,,,04693,074
0703-0704,有,1,84,,,,04674,074
0705,期,1,3,,,,04699,074
0706,朋,1,2,,,,04676,074
0707-0710,曰,1,176,,,,04650,073
0711,書,1,16,,,,04657,073
0712,會,1,4,,,,04667,073
0713,曲,1,4,,,,04651,073
0714,更,1,4,,,,04654,073
0715,昇,1,5,,,,04480,072
0716,昔,1,3,,,,04490,072
0717,映,1,3,,,,04500,072
0718,智,1,5,,,,04569,072
0719,易,1,4,,,,04489,072
0720,日,1,44,,,,04446,072
0721,明,1,13,,,,04485,072
0722-0723,是,1,97,,,,04512,072
0724-0726,時,1,117,,,,04523,072
0727,林,1,2,,,,04803,075
0728,本,1,11,,,,04713,075
0729,末,1,3,,,,04712,075
0730,未,1,6,,,,04711,075
0731,柁,1,2,,,,04833,075
0732,槌,1,5,,,,05236,075
0733,木,1,11,,,,04707,075
0734,橋,1,7,,,,05348,075
0735,05266,1,6,,,,05266,075
0736,樓,1,2,,,,05293,075
0738,04915,2,3,3,,,04915,075
0739,横,1,3,,,,05381,075
0740,枝,1,2,,,,04807,075
0741,櫛,1,3,,,,05471,075
0742,樂,1,3,,,,05279,075
0743,條,1,2,,,,04984,075
0744,果,1,5,,,,04806,075
0745,杜,1,8,,,,04747,075
0746,杪,1,3,,,,04758,075
0747,机,1,2,,,,04723,075
0748,根,1,16,,,,04922,075
0749,植,1,2,,,,05080,075
0750,杵,1,19,,,,04769,075
0751,氣,1,2,,,,05947,084
0752,民,1,2,,,,05935,083
0753,毛,1,5,,,,05850,082
0754,比,1,6,,,,05841,081
0755,毘,1,2,,,,05845,081
0756,母,1,10,,,,05834,080
0757,毎,1,2,,,,05836,080
0758,殿,1,4,,,,05809,079
0759,殯,1,2,,,,05777,078
0760,死,1,6,,,,05686,078
0761,正,1,6,,,,05643,077
0762,武,1,10,,,,05649,077
0763-0764,此,1,87,,,,05644,077
0765,次,1,30,,,,05558,076
0766,歟,1,10,,,,05633,076
0767,欲,1,20,,,,05580,076
0768,歌,1,13,,,,05609,076
0769,活,1,3,,,,06145,085
0770,汲,1,5,,,,05996,085
0771,06150,1,2,,,,06150,085
0772,漬,1,3,,,,06507,085
0773,水,1,6,,,,05952,085
0774,涸,1,10,,,,06227,085
0775,法,1,2,,,,06074,085
0776-0777,海,1,74,,,,06182,085
0778,渉,1,2,,,,06193,085
0779,溢,1,5,,,,06408,085
0780,瀲,1,7,,,,06723,085
0781,滿,1,7,,,,06476,085
0782,渚,1,3,,,,06312,085
0783,汝,1,48,,,,05983,085
0784,泣,1,2,,,,06087,085
0785,瀬,1,7,,,,06713,085
0786,湯,1,6,,,,06381,085
0787,汀,1,7,,,,05962,085
0788,治,1,9,,,,06055,085
0789,添,1,2,,,,06294,085
0790,浪,1,2,,,,06173,085
0791,濃,1,2,,,,06611,085
0792,滅,2,1,1,,,06432,085
0793,永,1,4,,,,05957,085
0794,沒,1,5,,,,06023,085
0795,溺,1,8,,,,06422,085
0796,濱,1,8,,,,06658,085
0797,潮,1,23,,,,06554,085
0798,浮,1,8,,,,06175,085
0799,沈,2,2,1,,,06015,085
0800,波,1,12,,,,06086,085
0801,深,1,3,,,,06285,085
0802,求,2,2,1,,,05964,085
0803,爾,2,9,3,,,07043,089
0804,父,1,13,,,,07035,088
0805-0806,爲,1,58,,,,07032,087
0807,焉,1,25,,,,06861,086
0808,06956,1,2,,,,06956,086
0809,焚,1,2,,,,06867,086
0810,然,1,21,,,,06885,086
0811,熱,1,2,,,,06957,086
0812,炎,1,3,,,,06801,086
0813,06947,1,2,,,,06947,086
0814,無,1,22,,,,06872,086
0815-0818,火,1,157,,,,06776,086
0819,特,1,2,,,,07086,093
0820,物,1,5,,,,07080,093
0821,獨,1,3,,,,07230,094
0822,獸,1,3,,,,07248,094
0823,狗,1,2,,,,07139,094
0824,王,1,7,,,,07262,096
0825,理,1,3,,,,07307,096
0826-0827,玉,1,53,,,,07261,096
0828,珥,1,2,,,,07294,096
0829,瓏,1,2,,,,07395,096
0830,瑞,1,2,,,,07346,096
0831,玲,1,2,,,,07275,096
0832,甕,1,6,,,,07452,098
0833,甍,1,2,,,,07444,098
0834,甚,1,5,,,,07457,099
0835,産,1,41,,,,07464,100
0836,生,1,44,,,,07461,100
0837,用,1,7,,,,07469,101
0838,由,1,3,,,,07479,102
0839,田,1,34,,,,07478,102
0840,留,1,9,,,,07508,102
0841,男,1,4,,,,07483,102
0842,畏,1,2,,,,07503,102
0843-0844,當,1,51,,,,07535,102
0845,疑,1,5,,,,07559,103
0846,疾,1,5,,,,07591,104
0847,癡,1,2,,,,07685,104
0848,登,1,6,,,,07706,105
0849,白,1,9,,,,07709,106
0850,皆,1,7,,,,07717,106
0851-0852,皇,1,69,,,,07718,106
0853,百,1,8,,,,07710,106
0854,益,1,3,,,,07759,108
0855,盧,1,2,,,,07785,108
