統合ID,文字,カード番号,字体数,用例数,部首,枚数
08807,結,0378,1 ,26 ,120,1 
08822,給,0379,1 ,24 ,120,1 
08924,縁,0380,1 ,47 ,120,1 
08963,縛,0381,1 ,2 ,120,1 
09064,纏,0382,1 ,24 ,120,1 
09144,羅,0383,1 ,147 ,122,3 
09155,美,0386,1 ,3 ,123,1 
09175,羣,0387,1 ,86 ,123,2 
09177,義,0389,1 ,43 ,123,1 
09255,者,0390,1 ,138 ,125,3 
09264,而,0393,1 ,28 ,126,1 
09315,聞,0394,1 ,25 ,128,1 
09328,聲,0395,1 ,13 ,128,1 
09335,聽,0396,1 ,2 ,128,1 
09357,肘,0397,1 ,2 ,130,1 
09508,腰,0398,1 ,9 ,130,1 
09596,臣,0399,1 ,2 ,131,1 
09602,自,0400,1 ,71 ,132,2 
09610,至,0402,1 ,51 ,133,2 
09629,與,0404,1 ,36 ,134,1 
09632,擧,0405,1 ,2 ,134,1 
09638,舍,0406,1 ,83 ,135,2 
09788,若,0408,1 ,83 ,140,2 
09904,菓,0410,1 ,2 ,140,1 
09966,葉,0411,1 ,2 ,140,1 
09972,著,0412,1 ,19 ,140,1 
10270,處,0413,1 ,37 ,141,1 
10614,行,0414,1 ,122 ,144,3 
10630,衞,0417,1 ,24 ,144,1 
10637,衣,0418,1 ,81 ,145,2 
10683,被,0420,1 ,3 ,145,1 
10826,覆,0421,1 ,15 ,146,1 
10831,見,0422,1 ,21 ,147,1 
10837,視,0423,1 ,18 ,147,1 
10887,觸,0424,1 ,2 ,148,1 
10890,言,0425,1 ,104 ,149,3 
10974,詣,0428,1 ,8 ,149,1 
11017,語,0429,1 ,8 ,149,1 
11025,説,0430,1 ,52 ,149,2 
11028,誰,0432,1 ,2 ,149,1 
11049,請,0433,1 ,20 ,149,1 
11085,諸,0434,1 ,105 ,149,3 
11095,謂,0437,1 ,25 ,149,1 
11162,譏,0438,1 ,18 ,149,1 
11275,象,0439,1 ,3 ,152,1 
11344,責,0440,1 ,70 ,154,2 
11377,賊,0442,1 ,3 ,154,1 
11454,走,0443,1 ,2 ,156,1 
11473,11473,0444,1 ,3 ,156,1 
11495,足,0445,1 ,48 ,157,1 
11553,跳,0446,1 ,11 ,157,1 
11662,蹲,0447,1 ,7 ,157,1 
11715,身,0448,1 ,23 ,158,1 
11734,躯,0449,1 ,2 ,158,1 
11960,迦,0450,1 ,29 ,162,1 
11984,逃,0451,1 ,2 ,162,1 
12009,逢,0452,1 ,2 ,162,1 
12046,過,0453,1 ,11 ,162,1 
12051,道,0454,1 ,2 ,162,1 
12062,遙,0455,1 ,3 ,162,1 
12097,遺,0456,1 ,2 ,162,1 
12103,避,0457,1 ,3 ,162,1 
12108,還,0458,1 ,7 ,162,1 
12115,邊,0459,1 ,2 ,162,1 
12134,那,0460,1 ,19 ,163,1 
12262,酌,0461,1 ,15 ,164,1 
12371,釋,0462,1 ,22 ,165,1 
12440,鉢,0463,1 ,44 ,167,1 
12709,門,0464,1 ,25 ,169,1 
12768,闇,0465,1 ,2 ,169,1 
12927,隨,0466,1 ,22 ,170,1 
12963,集,0467,1 ,48 ,172,1 
13002,難,0468,1 ,18 ,172,1 
13073,露,0469,1 ,3 ,173,1 
13104,非,0470,1 ,112 ,175,3 
13108,面,0473,1 ,45 ,176,1 
13302,順,0474,1 ,22 ,181,1 
13304,須,0475,1 ,7 ,181,1 
13346,頭,0476,1 ,46 ,181,1 
13409,顧,0477,1 ,11 ,181,1 
13503,食,0478,1 ,130 ,184,3 
13508,飢,0481,1 ,5 ,184,1 
13526,飮,0482,1 ,15 ,184,1 
13527,飯,0483,1 ,79 ,184,2 
13551,養,0485,1 ,3 ,184,1 
13559,餓,0486,1 ,5 ,184,1 
13732,駝,0487,1 ,5 ,187,1 
13755,駱,0488,1 ,5 ,187,1 
13864,驢,0489,1 ,5 ,187,1 
13934,體,0490,1 ,2 ,188,1 
13940,高,0491,1 ,12 ,189,1 
14361,鳥,0492a,2 ,6 ,196,1 
14361b,鳥,0492b,2 ,1 ,196,1 
14720,默,0493,1 ,3 ,203,1 
14833,齒,0494,1 ,2 ,211,1 
00121,亂,0495a,2 ,23 ,005,1 
00121b,亂,0495b,2 ,1 ,005,1 
00154,亦,0496a,2 ,6 ,008,1 
00154b,亦,0496b,2 ,5 ,008,1 
01128,受,0497a,2 ,40 ,029,2 
01128b,受,0497b,2 ,22 ,029,2 
01410,喚,0499a,2 ,5 ,030,1 
01410b,喚,0499b,2 ,1 ,030,1 
03008,廻,0500a,2 ,2 ,054,1 
03008b,廻,0500b,2 ,1 ,054,1 
03367,惡,0501a,2 ,2 ,061,1 
03367b,惡,0501b,2 ,2 ,061,1 
03636,戲,0502a,2 ,4 ,062,1 
03636b,戲,0502b,2 ,3 ,062,1 
03645,戻,0503a,2 ,2 ,063,1 
03645b,戻,0503b,2 ,2 ,063,1 
04664,最,0504a,2 ,31 ,073,1 
04664b,最,0504b,2 ,2 ,073,1 
04930,桃,0505a,2 ,7 ,075,1 
04930b,桃,0505b,2 ,2 ,075,1 
07535,當,0506a,2 ,31 ,102,1 
07535b,當,0506b,2 ,1 ,102,1 
09030,繋,0507a,2 ,3 ,120,1 
09030b,繋,0507b,2 ,1 ,120,1 
09128,置,0508a,2 ,1 ,122,1 
09128b,置,0508b,2 ,1 ,122,1 
09191,羹,0509a,2 ,63 ,123,2 
09191b,羹,0509b,2 ,3 ,123,2 
09292,耶,0511a,2 ,12 ,128,1 
09292b,耶,0511b,2 ,1 ,128,1 
09568,臂,0512a,2 ,6 ,130,1 
09568b,臂,0512b,2 ,2 ,130,1 
09961,落,0513a,2 ,2 ,140,1 
09961b,落,0513b,2 ,2 ,140,1 
11342,貪,0514a,2 ,2 ,154,1 
11342b,貪,0514b,2 ,1 ,154,1 
12083,遮,0515a,2 ,1 ,162,1 
12083b,遮,0515b,2 ,1 ,162,1 
12831,陀,0516a,2 ,18 ,170,1 
12831b,陀,0516b,2 ,5 ,170,1 
10928,設,0517a,3 ,12 ,149,1 
10928b,設,0517b,3 ,3 ,149,1 
10928c,設,0517c,3 ,1 ,149,1 
11908,辨,0518a,4 ,13 ,160,1 
11908b,辨,0518b,4 ,1 ,160,1 
11908c,辨,0518c,4 ,1 ,160,1 
11908d,辨,0518d,4 ,1 ,160,1 
