統合ID,文字,正毘178,字体数,用例数,部首
01128,受,0639a,2,9,029
01128b,受,0639b,2,2,029
01349,唯,0640a,2,20,030
01349b,唯,0640b,2,7,030
01395,善,0641a,2,19,030
01395b,善,0641b,2,1,030
01645,圓,0642a,2,24,031
01645b,圓,0642b,2,1,031
01984,契,0643a,2,2,037
01984b,契,0643b,2,2,037
02425,將,0644a,2,2,041
02425b,將,0644b,2,1,041
02429,尊,0645a,2,13,041
02429b,尊,0645b,2,1,041
03439,慈,0646a,2,34,061
03439b,慈,0646b,2,1,061
03612,戒,0647a,2,6,062
03612b,戒,0647b,2,1,062
03633,戰,0648a,2,1,062
03633b,戰,0648b,2,1,062
04298,數,0649a,2,3,066
04298b,數,0649b,2,1,066
05932,氏,0650a,2,36,083
05932b,氏,0650b,2,2,083
06003,決,0651a,2,4,085
06003b,決,0651b,2,3,085
06031,沙,0652a,2,2,085
06031b,沙,0652b,2,2,085
06885,然,0653a,2,9,086
06885b,然,0653b,2,1,086
07535,當,0654a,2,23,102
07535b,當,0654b,2,11,102
08325,窣,0655a,2,3,116
08325b,窣,0655b,2,2,116
08432,筏,0656a,2,3,118
08432b,筏,0656b,2,2,118
09429,能,0657a,2,39,130
09429b,能,0657b,2,1,130
09665,般,0658a,2,10,137
09665b,般,0658b,2,2,137
09919,菩,0659a,2,50,140
09919b,菩,0659b,2,10,140
09954,萬,0661a,2,7,140
09954b,萬,0661b,2,3,140
10192,藐,0662a,2,2,140
10192b,藐,0662b,2,2,140
10928,設,0663a,2,3,149
10928b,設,0663b,2,1,149
11018,誠,0664a,2,1,149
11018b,誠,0664b,2,1,149
11433,贍,0665a,2,8,154
11433b,贍,0665b,2,1,154
11461,起,0666a,2,28,156
11461b,起,0666b,2,11,156
11485,趣,0667a,2,13,156
11485b,趣,0667b,2,3,156
12115,邊,0668a,2,12,162
12115b,邊,0668b,2,2,162
12371,釋,0669a,2,5,165
12371b,釋,0669b,2,3,165
13526,飮,0670a,2,1,184
13526b,飮,0670b,2,1,184
13549,餉,0671a,2,4,184
13549b,餉,0671b,2,1,184
13565,餘,0672a,2,9,184
13565b,餘,0672b,2,6,184
13641,饒,0673a,2,7,184
13641b,饒,0673b,2,7,184
14828,齊,0674a,2,6,210
14828b,齊,0674b,2,2,210
