統合ID,文字,カード番号,字体数,用例数,部首,枚数,
11342,貪,0185,0 ,1 ,154,1 ,
11402,賤,0186,0 ,1 ,154,1 ,
11542,跪,0187,0 ,1 ,157,1 ,
11740,車,0188,0 ,1 ,159,1 ,
11918,辱,0189,0 ,1 ,161,1 ,
11937,迅,0190,0 ,1 ,162,1 ,
11982,退,0191,0 ,1 ,162,1 ,
12001,逝,0192,0 ,1 ,162,1 ,
12003,速,0193,0 ,1 ,162,1 ,
12004,造,0194,0 ,1 ,162,1 ,
12037,遂,0195,0 ,1 ,162,1 ,
12054,違,0196,0 ,1 ,162,1 ,
12092,遶,0197,0 ,1 ,162,1 ,
12108,還,0198,0 ,1 ,162,1 ,
12123,邑,0199,0 ,1 ,163,1 ,
12317,醍,0200,0 ,1 ,164,1 ,
12319,醐,0201,0 ,1 ,164,1 ,
12783,闕,0202,0 ,1 ,169,1 ,
12838,降,0203,0 ,1 ,170,1 ,
12853,院,0204,0 ,1 ,170,1 ,
12997,雜,0205,0 ,1 ,172,1 ,
13313,預,0206,0 ,1 ,181,1 ,
13346,頭,0207,0 ,1 ,181,1 ,
13398,類,0208,0 ,1 ,181,1 ,
13508,飢,0209,0 ,1 ,184,1 ,
13680,馬,0210,0 ,1 ,187,1 ,
13933,髓,0211,0 ,1 ,188,1 ,
13934,體,0212,0 ,1 ,188,1 ,
13940,高,0213,0 ,1 ,189,1 ,
13959,髮,0214,0 ,1 ,190,1 ,
14002,鬚,0215,0 ,1 ,190,1 ,
14379,鳴,0216,0 ,1 ,196,1 ,
14542,鷄,0217,0 ,1 ,196,1 ,
14809,鼻,0218,0 ,1 ,209,1 ,
00001,一,0219,1 ,29 ,001,1 ,
00004,七,0220,1 ,10 ,001,1 ,
00007,三,0221,1 ,43 ,001,1 ,
00008,上,0222,1 ,24 ,001,1 ,
00009,下,0223,1 ,9 ,001,1 ,
00013,不,0224,1 ,80 ,001,2 ,
00025,世,0226,1 ,54 ,001,2 ,
00051,中,0228,1 ,62 ,002,2 ,
00070,主,0230,1 ,5 ,003,1 ,
00078,乃,0231,1 ,20 ,004,1 ,
00085,久,0232,1 ,5 ,004,1 ,
00088,之,0233,1 ,19 ,004,1 ,
00107,九,0234,1 ,2 ,005,1 ,
00125,了,0235,1 ,4 ,006,1 ,
00128,事,0236,1 ,23 ,006,1 ,
00129,二,0237,1 ,31 ,007,1 ,
00133,云,0238,1 ,3 ,007,1 ,
00135,五,0239,1 ,6 ,007,1 ,
00154,亦,0240,1 ,22 ,008,1 ,
00168,人,0241,1 ,40 ,009,1 ,
00170,仁,0242,1 ,2 ,009,1 ,
00175,今,0243,1 ,12 ,009,1 ,
00183,他,0244,1 ,11 ,009,1 ,
00193,令,0245,1 ,8 ,009,1 ,
00194,以,0246,1 ,23 ,009,1 ,
00209,企,0247,1 ,5 ,009,1 ,
00217,伏,0248,1 ,4 ,009,1 ,
00236,伽,0249,1 ,7 ,009,1 ,
00240,但,0250,1 ,5 ,009,1 ,
00243,位,0251,1 ,6 ,009,1 ,
00245,住,0252,1 ,7 ,009,1 ,
00250,何,0253,1 ,45 ,009,1 ,
00255,佛,0254,1 ,58 ,009,2 ,
00256,作,0256,1 ,38 ,009,1 ,
00261,00261,0257,1 ,5 ,009,1 ,
00282,來,0258,1 ,41 ,009,1 ,
00288,侍,0259,1 ,5 ,009,1 ,
00299,供,0260,1 ,3 ,009,1 ,
00301,依,0261,1 ,20 ,009,1 ,
00321,便,0262,1 ,9 ,009,1 ,
00338,俗,0263,1 ,4 ,009,1 ,
00345,信,0264,1 ,2 ,009,1 ,
00350,倶,0265,1 ,11 ,009,1 ,
00503,僧,0266,1 ,13 ,009,1 ,
00566,先,0267,1 ,5 ,010,1 ,
00582,入,0268,1 ,13 ,011,1 ,
00594,八,0269,1 ,8 ,012,1 ,
00597,六,0270,1 ,10 ,012,1 ,
00599,共,0271,1 ,2 ,012,1 ,
00602,兵,0272,1 ,3 ,012,1 ,
00605,其,0273,1 ,7 ,012,1 ,
00606,具,0274,1 ,5 ,012,1 ,
00723,出,0275,1 ,11 ,017,1 ,
00734,分,0276a,2 ,13 ,018,1 ,
00734b,分,0276b,2 ,9 ,018,1 ,
00735,切,0277,1 ,4 ,018,1 ,
00763,別,0278,1 ,7 ,018,1 ,
00767,利,0279,1 ,12 ,018,1 ,
00789,則,0280,1 ,3 ,018,1 ,
00794,前,0281,1 ,16 ,018,1 ,
00820,割,0282,1 ,2 ,018,1 ,
00856,力,0283,1 ,9 ,019,1 ,
00857,功,0284,1 ,6 ,019,1 ,
00858,加,0285,1 ,7 ,019,1 ,
00859,劣,0286,1 ,2 ,019,1 ,
00865,劫,0287,1 ,13 ,019,1 ,
00881,勇,0288,1 ,2 ,019,1 ,
00893,勝,0289,1 ,17 ,019,1 ,
00938,化,0290,1 ,13 ,021,1 ,
00985,十,0291,1 ,15 ,024,1 ,
00987,千,0292,1 ,8 ,024,1 ,
01034,印,0293,1 ,5 ,026,1 ,
01038,却,0294,1 ,3 ,026,1 ,
01049,即,0295,1 ,40 ,026,1 ,
01101,去,0296,1 ,6 ,028,1 ,
01111,及,0297,1 ,19 ,029,1 ,
01127,取,0298,1 ,5 ,029,1 ,
01154,可,0299,1 ,11 ,030,1 ,
01157,史,0300,1 ,17 ,030,1 ,
01170,合,0301,1 ,3 ,030,1 ,
01175,名,0302,1 ,63 ,030,2 ,
01219,告,0304,1 ,7 ,030,1 ,
01252,命,0305,1 ,6 ,030,1 ,
01305,哉,0306,1 ,2 ,030,1 ,
01369,問,0307,1 ,22 ,030,1 ,
01414,喝,0308,1 ,2 ,030,1 ,
01523,器,0309,1 ,4 ,030,1 ,
01607,四,0310,1 ,40 ,031,1 ,
01611,因,0311,1 ,23 ,031,1 ,
01639,國,0312,1 ,8 ,031,1 ,
01654,土,0313,1 ,2 ,032,1 ,
01659,在,0314,1 ,24 ,032,1 ,
01666,地,0315,1 ,8 ,032,1 ,
01740,城,0316,1 ,6 ,032,1 ,
01789,堪,0317,1 ,2 ,032,1 ,
01796,報,0318,1 ,2 ,032,1 ,
01839,境,0319,1 ,3 ,032,1 ,
01853,增,0320,1 ,7 ,032,1 ,
01863,墮,0321,1 ,2 ,032,1 ,
01903,士,0322,1 ,2 ,033,1 ,
01913,壽,0323,1 ,17 ,033,1 ,
01938,多,0324,1 ,61 ,036,2 ,
01939,夜,0326,1 ,4 ,036,1 ,
01946,大,0327,1 ,19 ,037,1 ,
01947,天,0328,1 ,58 ,037,2 ,
01957,失,0330,1 ,4 ,037,1 ,
01974,奉,0331,1 ,2 ,037,1 ,
02013,奪,0332,1 ,2 ,037,1 ,
02022,女,0333,1 ,8 ,038,1 ,
02031,如,0334,1 ,76 ,038,2 ,
02045,妙,0336,1 ,9 ,038,1 ,
02077,姓,0337,1 ,7 ,038,1 ,
02105,威,0338,1 ,2 ,038,1 ,
02142,婆,0339,1 ,2 ,038,1 ,
02262,子,0340,1 ,16 ,039,1 ,
02293,學,0341,1 ,11 ,039,1 ,
02309,安,0342,1 ,6 ,040,1 ,
02325,定,0343,1 ,32 ,040,1 ,
02333,宣,0344,1 ,2 ,040,1 ,
02349,家,0345,1 ,2 ,040,1 ,
02383,察,0346,1 ,8 ,040,1 ,
02390,實,0347,1 ,3 ,040,1 ,
02395,審,0348,1 ,4 ,040,1 ,
02397,寛,0349,1 ,2 ,040,1 ,
02407,寶,0350,1 ,11 ,040,1 ,
02430,尋,0351,1 ,6 ,041,1 ,
02439,小,0352,1 ,2 ,042,1 ,
02464,就,0353,1 ,2 ,043,1 ,
02473,尼,0354,1 ,2 ,044,1 ,
02783,已,0355,1 ,34 ,049,1 ,
02800,布,0356,1 ,2 ,050,1 ,
02835,師,0357,1 ,4 ,050,1 ,
02915,幾,0358,1 ,2 ,052,1 ,
02944,度,0359,1 ,5 ,053,1 ,
02946,座,0360,1 ,3 ,053,1 ,
02974,廊,0361,1 ,2 ,053,1 ,
02993,廣,0362,1 ,18 ,053,1 ,
03044,引,0363,1 ,2 ,057,1 ,
03052,弟,0364,1 ,9 ,057,1 ,
03084,彌,0365,1 ,3 ,057,1 ,
03124,彼,0366,1 ,52 ,060,2 ,
03128,往,0368,1 ,6 ,060,1 ,
03138,後,0369,1 ,29 ,060,1 ,
03143,徒,0370,1 ,2 ,060,1 ,
03145,得,0371,1 ,50 ,060,1 ,
03151,從,0372,1 ,16 ,060,1 ,
03157,03157,0373,1 ,2 ,060,1 ,
03159,復,0374,1 ,26 ,060,1 ,
03172,德,0375,1 ,6 ,060,1 ,
03179,心,0376,1 ,12 ,061,1 ,
03180,必,0377,1 ,9 ,061,1 ,
03184,忍,0378,1 ,6 ,061,1 ,
03214,念,0379,1 ,9 ,061,1 ,
03233,怖,0380,1 ,2 ,061,1 ,
03239,思,0381,1 ,2 ,061,1 ,
03244,性,0382,1 ,14 ,061,1 ,
03267,恆,0383,1 ,3 ,061,1 ,
03297,恭,0384,1 ,2 ,061,1 ,
03329,患,0385,1 ,2 ,061,1 ,
03348,情,0386,1 ,5 ,061,1 ,
03367,惡,0387,1 ,3 ,061,1 ,
03372,惱,0388,1 ,7 ,061,1 ,
03395,意,0389,1 ,5 ,061,1 ,
03462,慧,0390,1 ,6 ,061,1 ,
03466,慮,0391,1 ,20 ,061,1 ,左上用例は異体字としない
03549,懈,0392,1 ,2 ,061,1 ,
03550,應,0393,1 ,32 ,061,1 ,
03610,成,0394,1 ,13 ,062,1 ,
03611,我,0395,1 ,22 ,062,1 ,
03617,或,0396,1 ,13 ,062,1 ,
03628,截,0397,1 ,2 ,062,1 ,
03647,所,0398,1 ,60 ,063,2 ,
03780,持,0400,1 ,12 ,064,1 ,
03835,捨,0401,1 ,5 ,064,1 ,
03858,掌,0402,1 ,3 ,064,1 ,
03896,提,0403,1 ,20 ,064,1 ,
04009,摩,0404,1 ,3 ,064,1 ,
04192,攝,0405,1 ,8 ,064,1 ,
04216,支,0406,1 ,11 ,065,1 ,
04233,放,0407,1 ,2 ,066,1 ,
04243,故,0408,1 ,99 ,066,2 ,
04261,教,0410,1 ,3 ,066,1 ,
04286,敬,0411,1 ,6 ,066,1 ,
04293,敵,0412,1 ,2 ,066,1 ,
04373,斯,0413,1 ,3 ,069,1 ,
04376,新,0414,1 ,2 ,069,1 ,
04381,斷,0415,1 ,4 ,069,1 ,
04385,方,0416,1 ,9 ,070,1 ,
04389,於,0417,1 ,73 ,070,2 ,
04391,施,0419,1 ,11 ,070,1 ,
04446,日,0420,1 ,5 ,072,1 ,
04450,旨,0421,1 ,3 ,072,1 ,
04512,是,0422,1 ,57 ,072,2 ,
04523,時,0424,1 ,62 ,072,2 ,
04542,晝,0426,1 ,2 ,072,1 ,
04569,智,0427,1 ,97 ,072,2 ,
04650,曰,0429,1 ,5 ,073,1 ,
04661,曾,0430,1 ,3 ,073,1 ,
04664,最,0431,1 ,16 ,073,1 ,
04674,有,0432,1 ,106 ,074,3 ,
04699,期,0435,1 ,2 ,074,1 ,
04711,未,0436,1 ,22 ,075,1 ,
04713,本,0437,1 ,4 ,075,1 ,
04803,林,0438,1 ,3 ,075,1 ,
04806,果,0439,1 ,3 ,075,1 ,
04845,某,0440,1 ,3 ,075,1 ,
04922,根,0441,1 ,20 ,075,1 ,
05010,梵,0442,1 ,10 ,075,1 ,
05152,業,0443,1 ,22 ,075,1 ,
05161,極,0444,1 ,5 ,075,1 ,
05228,槃,0445,1 ,7 ,075,1 ,
05279,樂,0446,1 ,11 ,075,1 ,
05323,樹,0447,1 ,3 ,075,1 ,
05558,次,0448,1 ,18 ,076,1 ,
05580,欲,0449,1 ,24 ,076,1 ,
05643,正,0450,1 ,20 ,077,1 ,
05644,此,0451,1 ,104 ,077,3 ,
05666,歳,0454,1 ,10 ,077,1 ,
05686,死,0455,1 ,3 ,078,1 ,
05692,歿,0456,1 ,5 ,078,1 ,
05717,殊,0457,1 ,2 ,078,1 ,
05841,比,0458,1 ,4 ,081,1 ,
05845,毘,0459,1 ,2 ,081,1 ,
05935,民,0460,1 ,2 ,083,1 ,
05957,永,0461,1 ,3 ,085,1 ,
05964,求,0462,1 ,14 ,085,1 ,
05983,汝,0463,1 ,14 ,085,1 ,
06074,法,0464,1 ,34 ,085,1 ,
06086,波,0465,1 ,33 ,085,1 ,
06138,洲,0466,1 ,15 ,085,1 ,
06189,涅,0467,1 ,7 ,085,1 ,
06272,淨,0468,1 ,3 ,085,1 ,
06290,清,0469,1 ,2 ,085,1 ,
06476,滿,0470,1 ,33 ,085,1 ,
06487,漏,0471,1 ,11 ,085,1 ,
06499,漢,0472,1 ,10 ,085,1 ,
06633,濕,0473,1 ,2 ,085,1 ,
06872,無,0474,1 ,51 ,086,2 ,
06921,煩,0476,1 ,7 ,086,1 ,
06949,熟,0477,1 ,19 ,086,1 ,
06969,燃,0478,1 ,2 ,086,1 ,
06971,燈,0479,1 ,2 ,086,1 ,
07032,爲,0480,1 ,60 ,087,2 ,
07043,爾,0482,1 ,14 ,089,1 ,
07080,物,0483,1 ,2 ,093,1 ,
07180,猛,0484,1 ,6 ,094,1 ,
07203,猶,0485,1 ,3 ,094,1 ,
07259,率,0486,1 ,2 ,095,1 ,
07262,王,0487,1 ,25 ,096,1 ,
07304,現,0488,1 ,12 ,096,1 ,
07461,生,0489,1 ,43 ,100,1 ,
07469,用,0490,1 ,2 ,101,1 ,
07479,由,0491,1 ,14 ,102,1 ,
07480,甲,0492,1 ,3 ,102,1 ,
07483,男,0493,1 ,3 ,102,1 ,
07501,界,0494,1 ,12 ,102,1 ,
07503,畏,0495,1 ,2 ,102,1 ,
07530,異,0496,1 ,17 ,102,1 ,
07559,疑,0497,1 ,3 ,103,1 ,
07591,疾,0498,1 ,2 ,104,1 ,
07707,發,0499,1 ,8 ,105,1 ,
07709,白,0500,1 ,3 ,106,1 ,
07710,百,0501,1 ,8 ,106,1 ,
07717,皆,0502,1 ,19 ,106,1 ,
07759,益,0503,1 ,14 ,108,1 ,
07779,盡,0504,1 ,14 ,108,1 ,
07801,相,0505,1 ,39 ,109,1 ,
07844,衆,0506,1 ,11 ,109,1 ,
07870,睹,0507,1 ,21 ,109,1 ,
07910,瞿,0508,1 ,2 ,109,1 ,
07941,知,0509,1 ,68 ,111,2 ,
08124,神,0511,1 ,3 ,113,1 ,
08148,福,0512,1 ,3 ,113,1 ,
08239,稠,0513,1 ,3 ,115,1 ,
08244,種,0514,1 ,28 ,115,1 ,
08248,稱,0515,1 ,5 ,115,1 ,
08354,立,0516,1 ,4 ,117,1 ,
08361,竝,0517,1 ,2 ,117,1 ,
08376,端,0518,1 ,2 ,117,1 ,
08412,第,0519,1 ,27 ,118,1 ,
08426,等,0520,1 ,35 ,118,1 ,
08437,答,0521,1 ,25 ,118,1 ,
08685,精,0522,1 ,5 ,119,1 ,
08795,終,0523,1 ,3 ,120,1 ,
08856,經,0524,1 ,13 ,120,1 ,
08924,縁,0525,1 ,19 ,120,1 ,
08963,縛,0526,1 ,2 ,120,1 ,
09030,繋,0527,1 ,5 ,120,1 ,
09061,續,0528,1 ,10 ,120,1 ,
09144,羅,0529,1 ,55 ,122,2 ,
09177,義,0531,1 ,13 ,123,1 ,1字体のまま
09192,羸,0532,1 ,2 ,123,1 ,
09255,者,0533,1 ,69 ,125,2 ,
09264,而,0535,1 ,31 ,126,1 ,
09286,耨,0536,1 ,4 ,127,1 ,
09308,聖,0537,1 ,12 ,128,1 ,
09315,聞,0538,1 ,9 ,128,1 ,
09328,聲,0539,1 ,6 ,128,1 ,
09395,胎,0540,1 ,2 ,130,1 ,
09462,脩,0541,1 ,15 ,130,1 ,
09463,脱,0542,1 ,9 ,130,1 ,
09596,臣,0543,1 ,3 ,131,1 ,
09602,自,0544,1 ,27 ,132,1 ,
09610,至,0545,1 ,28 ,133,1 ,
09629,與,0546,1 ,6 ,134,1 ,
09716,色,0547,1 ,14 ,139,1 ,
09765,芻,0548,1 ,7 ,140,1 ,
09788,若,0549,1 ,27 ,140,1 ,
09804,09804,0550,1 ,7 ,140,1 ,
09966,葉,0551,1 ,2 ,140,1 ,
09972,著,0552,1 ,2 ,140,1 ,
10137,薀,0553,1 ,2 ,140,1 ,
10139,薄,0554,1 ,2 ,140,1 ,
10163,薩,0555,1 ,40 ,140,1 ,
10189,藍,0556,1 ,2 ,140,1 ,
10191,藏,0557,1 ,2 ,140,1 ,
10270,處,0558,1 ,18 ,141,1 ,
10414,蜜,0559,1 ,30 ,142,1 ,
10614,行,0560,1 ,26 ,144,1 ,
10630,衞,0561,1 ,5 ,144,1 ,
10637,衣,0562,1 ,6 ,145,1 ,
10643,表,0563,1 ,3 ,145,1 ,
10683,被,0564,1 ,2 ,145,1 ,
10714,補,0565,1 ,4 ,145,1 ,
10822,要,0566,1 ,4 ,146,1 ,
10831,見,0567,1 ,10 ,147,1 ,
10856,覺,0568,1 ,13 ,147,1 ,
10859,觀,0569,1 ,35 ,147,1 ,
10875,解,0570,1 ,11 ,148,1 ,
10890,言,0571,1 ,18 ,149,1 ,
10930,許,0572,1 ,2 ,149,1 ,
10936,訶,0573,1 ,5 ,149,1 ,
11017,語,0574,1 ,3 ,149,1 ,
11025,説,0575,1 ,115 ,149,3 ,
11058,論,0578,1 ,10 ,149,1 ,
11085,諸,0579,1 ,23 ,149,1 ,
11090,諾,0580,1 ,3 ,149,1 ,
11095,謂,0581,1 ,26 ,149,1 ,
11155,證,0582,1 ,2 ,149,1 ,
11229,讚,0583,1 ,6 ,149,1 ,
11261,豐,0584,1 ,2 ,151,1 ,
11373,資,0585,1 ,2 ,154,1 ,
11495,足,0586,1 ,6 ,157,1 ,
11593,踰,0587,1 ,2 ,157,1 ,
11715,身,0588,1 ,22 ,158,1 ,
11827,輪,0589,1 ,9 ,159,1 ,
11856,轉,0590,1 ,20 ,159,1 ,
11908,辨,0591,1 ,10 ,160,1 ,
11948,近,0592,1 ,10 ,162,1 ,
11960,迦,0593,1 ,13 ,162,1 ,
12000,通,0594,1 ,6 ,162,1 ,
12009,逢,0595,1 ,5 ,162,1 ,
12022,進,0596,1 ,5 ,162,1 ,
12027,逸,0597,1 ,2 ,162,1 ,
12046,過,0598,1 ,8 ,162,1 ,
12051,道,0599,1 ,18 ,162,1 ,
12052,達,0600,1 ,2 ,162,1 ,
12070,遠,0601,1 ,2 ,162,1 ,
12134,那,0602,1 ,2 ,163,1 ,
12139,邪,0603,1 ,13 ,163,1 ,
12176,部,0604,1 ,9 ,163,1 ,
12188,都,0605,1 ,2 ,163,1 ,
12373,重,0606,1 ,3 ,166,1 ,
12376,量,0607,1 ,17 ,166,1 ,
12380,金,0608,1 ,12 ,167,1 ,
12406,鈍,0609,1 ,2 ,167,1 ,
12674,鑠,0610,1 ,5 ,167,1 ,
12698,長,0611,1 ,2 ,168,1 ,
12709,門,0612,1 ,3 ,169,1 ,
12716,開,0613,1 ,2 ,169,1 ,
12724,間,0614,1 ,18 ,169,1 ,
12830,阿,0615,1 ,30 ,170,1 ,
12831,陀,0616,1 ,3 ,170,1 ,
