統合ID,文字,五一續高,字体数,用例数,部首
12782,闔,0506,0,1,169
12778,闐,0507,0,1,169
12790,關,0508,0,1,169
12862,陰,0509,0,1,170
12874,陻,0510,0,1,170
12802,阜,0511,0,1,170
12855,除,0512,0,1,170
12851,陟,0513,0,1,170
12904,隒,0514,0,1,170
12830,阿,0515,0,1,170
12913,際,0516,0,1,170
12905,隙,0517,0,1,170
12945,隸,0518,0,1,171
12964,雇,0519,1,2,172
12994,雙,0520,0,1,172
13023,雷,0521,0,1,173
13063,霧,0522,0,1,173
13015,雪,0523,0,1,173
13045,霑,0524,0,1,173
13095,青,0525,0,1,174
13107,靡,0526,0,1,175
13108,面,0527,0,1,176
13192,鞭,0528,0,1,177
13290,韻,0529,0,1,180
13293,響,0530,0,1,180
13395,顚,0531,0,1,181
13313,預,0532,0,1,181
13296,頂,0533,0,1,181
11411,賴,0534,0,1,154
13377,額,0535,0,1,181
13508,飢,0536,0,1,184
13552,餌,0537,0,1,184
13542,飾,0538,0,1,184
13661,首,0539,0,1,185
13820,騰,0540,0,1,187
13839,驅,0541,0,1,187
13959,髮,0542,0,1,190
13958,髭,0543,0,1,190
14061,鬼,0544,0,1,194
14084,魏,0545,0,1,194
14378,鳳,0546,0,1,196
14659,麤,0547,0,1,198
14621,鹿,0548,0,1,198
14668,麪,0549,0,1,199
14700,黎,0550,0,1,202
14725,點,0551,0,1,203
14730,黨,0552,0,1,203
14769,鼎,0553,0,1,206
14809,鼻,0554,0,1,209
14833,齒,0555,0,1,211
00001,一,0556,1,34,001
00009,下,0557,1,8,001
00013,不,0558,1,73,001
00007,三,0560,1,11,001
00025,世,0561,1,14,001
09629,與,0562a,2,8,134
09629b,與,0562b,2,2,134
00008,上,0563,1,6,001
00004,七,0564,1,11,001
08361,竝,0565,1,10,117
00020,且,0567,1,2,001
00051,中,0568,1,23,002
00088,之,0569,1,80,004
00078,乃,0571,1,25,004
00085,久,0572,1,5,004
00092,乎,0573,1,3,004
00102,乘,0574,1,9,004
00109,也,0575,1,37,005
00121,亂,0576,1,2,005
00107,九,0577,1,8,005
00128,事,0578,1,19,006
00125,了,0579,1,2,006
00129,二,0580,1,7,007
00135,五,0581,1,18,007
00132,于,0582,1,16,007
00133,云,0583,1,6,007
00150,亡,0584,1,2,008
00157,京,0585,1,8,008
00168,人,0586,1,41,009
00194,以,0587,1,56,009
00345,信,0589,1,9,009
00338,俗,0590,1,19,009
00299,供,0591,1,10,009
00503,僧,0592,1,19,009
00206,任,0593,1,6,009
00245,住,0594,1,19,009
00170,仁,0595,1,4,009
00321,便,0596,1,19,009
00282,來,0597,1,13,009
00255,佛,0598,1,14,009
00250,何,0599,1,7,009
00417,停,0600,1,4,009
00192,代,0601,1,4,009
00235,似,0602,1,2,009
00373,倒,0603,1,4,009
00240,但,0604,1,9,009
00301,依,0605,1,6,009
00279,使,0606,1,3,009
00312,侮,0607,1,2,009
00256,作,0608a,2,2,009
00256b,作,0608b,2,1,009
00180,什,0609,1,2,009
00429,側,0610,1,3,009
00313,侯,0611,1,2,009
00215,伍,0612,1,2,009
00475,傾,0613,1,2,009
00199,仰,0614,1,5,009
00385,値,0615,1,2,009
00532,儔,0616,1,2,009
00193,令,0617,1,3,009
00244,低,0618,1,2,009
00368,倍,0619,1,2,009
00468,傳,0620,1,3,009
00411,偏,0621,1,3,009
00524,儉,0622,1,2,009
00263,佩,0623,1,2,009
00542,優,0624,1,2,009
04984,條,0625,1,2,075
00183,他,0626,1,3,009
00213,伊,0627,1,2,009
00402,偃,0628,1,2,009
00561,兄,0629,1,5,010
00566,先,0630,1,7,010
00562,充,0631,1,2,010
00567,光,0632,1,6,010
00570,免,0633,1,2,010
00560,元,0634,1,2,010
00591,兩,0635,1,9,011
00582,入,0636,1,17,011
00585,内,0637,1,4,011
00605,其,0638,1,43,012
00596,公,0639,1,8,012
00608,典,0640,1,2,012
00599,共,0641,1,3,012
00597,六,0642,1,9,012
00613,兼,0643,1,4,012
00594,八,0644,1,9,012
00651,冥,0645,1,2,014
00646,冠,0646,1,2,014
05558,次,0647,1,4,076
00662,冬,0648,1,2,015
00701,凡,0649,1,3,016
00725,函,0650,1,2,017
00723,出,0651,1,16,017
00761,判,0652,1,2,018
00767,利,0653,1,4,018
00754,列,0654,1,2,018
00787,剃,0655,1,2,018
00789,則,0656,1,5,018
00794,前,0657,1,15,018
00792,剋,0658,1,2,018
00824,創,0659,1,2,018
00763,別,0660,1,4,018
00857,功,0661,1,4,019
00887,動,0662,1,5,019
00911,勵,0663,1,3,019
00913,勸,0664,1,2,019
00879,勅,0665,1,5,019
00890,務,0666,1,6,019
00881,勇,0667,1,3,019
00858,加,0668,1,4,019
00893,勝,0669,1,6,019
00894,勞,0670,1,3,019
00919,勿,0671,1,2,020
00941,北,0672,1,8,021
00938,化,0673,1,6,021
00952,匠,0674,1,2,022
01004,卒,0675,1,2,024
00985,十,0676,1,30,024
00988,廿,0677,1,2,024
00989,卅,0678,1,2,024
00997,卌,0679,1,2,024
01003,卑,0680,1,3,024
00987,千,0681,1,10,024
01010,南,0682,1,6,024
01038,却,0683,1,2,026
01049,卽,0684,1,19,026
01040,卷,0685,1,7,026
01074,原,0686,1,3,027
01068,厚,0687,1,2,027
01101,去,0688,1,2,028
01104,參,0689,1,2,028
01112,友,0690,1,3,029
01128,受,0691,1,12,029
01108,又,0692,1,28,029
01111,及,0693,1,11,029
01263,和,0694,1,3,030
01178,吐,0695,1,3,030
01296,品,0696,1,4,030
01141,口,0697,1,4,030
01427,單,0698,1,3,030
01217,吾,0699,1,9,030
01252,命,0700,1,7,030
01312,咲,0701,1,2,030
01168,各,0702,1,4,030
01242,味,0703,1,3,030
01395,善,0704,1,7,030
01157,史,0705,1,4,030
01479,嘗,0706,1,2,030
01150,召,0707,1,4,030
01373,啓,0708,1,2,030
01305,哉,0709,1,2,030
01412,喜,0710,1,2,030
01466,嘆,0711,1,2,030
01175,名,0712,1,12,030
01154,可,0713,1,7,030
01235,周,0714,1,4,030
01143,句,0715,1,4,030
01342,唐,0716,1,3,030
01451,嗟,0717,1,3,030
01142,古,0718,1,2,030
01523,器,0719,1,2,030
01197,含,0720,1,3,030
01170,合,0721,1,5,030
01219,告,0722,1,4,030
01179,向,0723,1,5,030
01174,同,0724,1,16,030
01369,問,0725,1,8,030
01627,固,0726,1,3,031
01607,四,0727,1,9,031
01639,國,0728,1,3,031
01611,因,0729,1,5,031
01853,增,0730,1,5,032
01818,塗,0731,1,2,032
01666,地,0732,1,6,032
01740,城,0733,1,5,032
01676,坊,0734,1,5,032
01816,塔,0735,1,7,032
01895,壞,0736,1,4,032
01755,執,0737,1,4,032
01758,基,0738,1,2,032
01839,境,0739,1,2,032
01659,在,0740,1,11,032
01765,堂,0741,1,2,032
01831,塵,0742,1,3,032
01738,埋,0743,1,3,032
01903,士,0744,1,4,033
01927,夏,0745,1,7,035
01938,多,0746,1,6,036
01934,外,0747,1,2,036
01939,夜,0748,1,5,036
01932,夕,0749,1,2,036
01936,夙,0750,1,2,036
01946,大,0751,1,22,037
01948,太,0752,1,5,037
01947,天,0753,1,8,037
01957,失,0754,1,2,037
01974,奉,0755,1,11,037
01981,奏,0756,1,5,037
01949,夫,0757,1,8,037
02077,姓,0758,1,6,038
02177,媚,0759,1,2,038
02031,如,0760,1,17,038
02069,始,0761,1,4,038
02105,威,0762,1,2,038
02033,妄,0763,1,5,038
02022,女,0764,1,2,038
02061,妻,0765,1,3,038
02029,好,0766,1,2,038
02268,存,0767,1,11,039
02293,學,0768,1,9,039
02262,子,0769,1,13,039
02352,容,0770,1,3,040
02386,寡,0771,1,3,040
02396,寫,0772,1,9,040
02390,實,0773,1,2,040
02309,安,0774,1,7,040
02358,寄,0775,1,2,040
02325,定,0776,1,11,040
02407,寶,0777,1,6,040
02307,宇,0778,1,2,040
02361,密,0779,1,3,040
02332,室,0780,1,3,040
02342,宮,0781,1,3,040
02322,宗,0782,1,2,040
02366,富,0783,1,3,040
02392,寧,0784,1,3,040
02312,宋,0785,1,3,040
02349,家,0786,1,11,040
02426,專,0787,1,8,041
02429,尊,0788,1,5,041
02415,寺,0789,1,31,041
02430,尋,0790,1,6,041
02435,對,0791,1,4,041
02425,將,0792,1,11,041
11918,辱,0793,1,2,161
02436,導,0794,1,2,041
02420,封,0795,1,3,041
02440,少,0796,1,5,042
02439,小,0797,1,6,042
02446,尚,0798,1,7,042
02464,就,0799,1,7,043
02456,尤,0800,1,2,043
02480,局,0801,1,2,044
02482,居,0802,1,5,044
02489,屍,0803,1,2,044
02515,屬,0804,1,10,044
02469,尸,0805,1,2,044
02528,山,0806,1,25,046
02757,巖,0807,1,6,046
02607,崇,0808,1,2,046
02589,峯,0809,1,2,046
02734,嶺,0810,1,2,046
02640,崩,0811,1,2,046
02564,岸,0812,1,2,046
02764,州,0813,1,14,047
02762,川,0814,1,2,047
02783,已,0815,1,12,049
02847,常,0816,1,19,050
02800,布,0817,1,3,050
02835,師,0818,1,8,050
02820,帝,0819,1,4,050
02900,年,0820,1,34,051
09106,罕,0821,1,5,122
02902,并,0822,1,4,051
02909,幼,0823,1,2,052
02912,幽,0824,1,3,052
02938,府,0825,1,4,053
02980,廓,0826,1,3,053
02944,度,0827,1,8,053
02993,廣,0828,1,8,053
02963,庸,0829,1,3,053
03005,延,0830,1,3,054
03084,彌,0831,1,10,057
03065,張,0832,1,2,057
03047,弘,0833,1,7,057
03052,弟,0834,1,7,057
03064,弱,0835,1,2,057
03044,引,0836,1,4,057
03101,形,0837,1,3,059
03137,律,0838,1,3,060
03138,後,0839,1,23,060
03172,德,0840,1,16,060
03128,往,0841,1,13,060
03124,彼,0842,1,4,060
03171,徵,0843,1,8,060
03143,徒,0844a,2,2,060
03143b,徒,0844b,2,2,060
03151,從,0845,1,6,060
03159,復,0846,1,8,060
03132,待,0847,1,3,060
03179,心,0848,1,20,061
03409,感,0849,1,15,061
03462,慧,0850,1,15,061
03335,悲,0851,1,3,061
03365,惟,0852,1,13,061
03196,忘,0853,1,4,061
03297,恭,0854,1,4,061
03248,怪,0855,1,4,061
03439,慈,0856,1,2,061
03299,恰,0857,1,2,061
03329,患,0858,1,3,061
03366,惠,0859,1,2,061
01016,博,0860,1,3,024
03219,忽,0861,1,2,061
03241,怡,0862,1,3,061
03372,惱,0863,1,2,061
03405,愛,0864,1,3,061
03395,意,0865,1,4,061
03320,悔,0866,1,4,061
03233,怖,0867,1,2,061
03348,情,0868,1,10,061
03272,恐,0869,1,5,061
03239,思,0870,1,5,061
03404,愚,0871,1,2,061
03550,應,0872,1,2,061
03429,愼,0873,1,2,061
03474,慶,0874,1,2,061
03458,慢,0875,1,2,061
03180,必,0876,1,10,061
03194,志,0877,1,10,061
03184,忍,0878,1,2,061
03244,性,0879,1,8,061
03326,悟,0880,1,9,061
03240,怠,0881,1,3,061
03267,恆,0882,1,9,061
03585,懷,0883,1,6,061
03617,或,0884,1,7,062
03611,我,0885,1,4,062
03612,戒,0886,1,5,062
03610,成,0887,1,14,062
03646,房,0888,1,5,063
03647,所,0889,1,28,063
04888,栖,0890,1,3,075
08993,總,0891,1,7,120
03878,接,0892,1,3,064
03768,拱,0893,1,2,064
03799,振,0894,1,3,064
04082,擁,0895,1,2,064
03659,手,0896,1,2,064
03694,抄,0897,1,2,064
03872,採,0898,1,4,064
03690,承,0899,1,5,064
03780,持,0900,1,15,064
04130,擲,0901,1,2,064
04192,攝,0902,1,5,064
03904,揚,0903,1,2,064
09632,擧,0904,1,3,134
03880,推,0905,1,3,064
03708,投,0906,1,3,064
03858,掌,0907,1,2,064
04122,擬,0908,1,2,064
03835,捨,0909,1,2,064
03825,捐,0910,1,2,064
03783,指,0911,1,5,064
03855,授,0912,1,2,064
03761,拜,0913,1,3,064
04261,教,0914,1,8,066
04228,改,0915,1,2,066
04296,敷,0916,1,2,066
04298,數,0917,1,4,066
04280,散,0918,1,4,066
04286,敬,0919,1,7,066
04243,故,0920,1,21,066
04321,文,0921a,2,12,067
04321b,文,0921b,2,1,067
04381,斷,0922,1,3,069
04373,斯,0923,1,14,069
04376,新,0924,1,3,069
04385,方,0925,1,13,070
04406,旋,0926,1,3,070
04389,於,0927,1,24,070
04394,旁,0928,1,3,070
04442,旣,0929,1,16,071
04539,晩,0930,1,2,072
04557,普,0931,1,2,072
04523,時,0932,1,33,072
04640,曠,0933,1,2,072
04512,是,0934,1,13,072
04446,日,0935,1,15,072
04485,明,0936,1,10,072
04450,旨,0937,1,4,072
04542,晝,0938,1,3,072
04484,昌,0939,1,4,072
04503,春,0940,1,6,072
04569,智,0941,1,8,072
04486,昏,0942,1,2,072
04554,晨,0943,1,3,072
04661,曾,0944,1,5,073
04654,更,0945,1,4,073
04657,書,0946,1,6,073
04667,會,0947,1,10,073
04650,曰,0948,1,26,073
04651,曲,0949,1,4,073
04693,望,0950,1,5,074
04696,朝,0951,1,5,074
