カード番号,文字,用例数1,用例数2,字体数,大字典番号,部首番号
0295,度,3,,1,02944,053
0296,廣,17,,1,02993,053
0297,弟,5,,1,03052,057
0298,後,6,,1,03138,060
0299,得,17,,1,03145,060
0300,復,25,,1,03159,060
0301,從,7,5,2,03151,060
0302,心,3,,1,03179,061
0303,忍,15,,1,03184,061
0304,念,9,,1,03214,061
0305,怖,2,,1,03233,061
0306,恐,3,,1,03272,061
0307,悉,9,,1,03312,061
0308,惡,38,,1,03367,061
0309,意,12,,1,03395,061
0310,03545,2,,1,03545,061
0311,我,18,,1,03611,062
0312,截,4,,1,03628,062
0313,所,10,,1,03647,063
0314,手,3,,1,03659,064
0315,抄,8,,1,03694,064
0316,持,7,,1,03780,064
0317,03927,2,,1,03927,064
0318,摩,8,,1,04009,064
0319,撓,4,,1,04047,064
0320,改,5,,1,04228,066
0321-0322,故,61,,1,04243,066
0323,整,2,,1,04303,066
0324,斗,2,,1,04339,068
0325,斛,11,,1,04349,068
0326,斷,4,,1,04381,069
0327,方,6,,1,04385,070
0328,旁,20,,1,04394,070
0329,昔,5,,1,04490,072
0330,是,43,,1,04512,072
0331,時,8,,1,04523,072
0332,最,2,,1,04664,073
0333-0335,有,102,,1,04674,074
0336,木,7,,1,04707,075
0337,未,15,,1,04711,075
0338,東,3,,1,04765,075
0339,梨,3,,1,04993,075
0340,極,2,,1,05161,075
0341,樂,2,,1,05279,075
0342,次,16,,1,05558,076
0343,欲,17,,1,05580,076
0344,止,6,,1,05641,077
0345,此,2,,1,05644,077
0346,歳,10,,1,05666,077
0347,死,25,,1,05686,078
0348,殿,2,1,2,05809,079
0349,母,6,,1,05834,080
0350,毒,31,,1,05839,080
0351,氣,2,,1,05947,084
0352,水,11,,1,05952,085
0353,氷,7,,1,05956,085
0354,求,12,,1,05964,085
0355,汝,18,,1,05983,085
0356,池,2,,1,05986,085
0357,沙,11,,1,06031,085
0358,河,4,,1,06045,085
0359,沸,2,,1,06050,085
0360,法,2,,1,06074,085
0361,波,8,,1,06086,085
0362-0363,泥,89,,1,06088,085
0364,流,7,,1,06151,085
0365,浮,18,,1,06175,085
0366,浴,2,,1,06179,085
0367,消,4,,1,06192,085
0368,06233,3,,1,06233,085
0369,深,6,,1,06285,085
0370,渠,3,,1,06317,085
0371,渇,3,,1,06338,085
0372,湯,2,,1,06381,085
0373,滅,2,,1,06432,085
0374,灌,6,,1,06748,085
0375,火,17,,1,06776,086
0376,炙,15,1,2,06805,086
0377,炎,7,,1,06801,086
0378,烏,2,,1,06835,086
0379,無,6,,1,06872,086
0380,焦,3,,1,06874,086
0381,然,9,,1,06885,086
0382,煮,3,,1,06895,086
0383,06974,3,,1,06974,086
0384,燒,22,,1,06978,086
0385-0386,爲,55,,1,07032,087
0387,父,8,,1,07035,088
0388,爾,3,,1,07043,089
0389,牽,2,,1,07087,093
0390,狗,2,,1,07139,094
0391,狼,4,,1,07165,094
0392,獨,2,,1,07230,094
0393,07198,8,,1,07198,094
0394,王,32,,1,07262,096
0395,珠,4,,1,07291,096
0396,瑙,4,,1,07342,096
0397,瑠,3,,1,07348,096
0398,璃,3,,1,07366,096
0399,甚,27,,1,07457,099
0400,生,11,,1,07461,100
0401,用,7,,1,07469,101
0402,男,2,,1,07483,102
0403,畏,3,,1,07503,102
0404,留,4,,1,07508,102
0405,當,18,,1,07535,102
0406,07574,6,,1,07574,104
0407,病,4,,1,07598,104
0408,痛,32,,1,07613,104
0409,白,15,,1,07709,106
0410,百,31,,1,07710,106
0411,皆,15,,1,07717,106
0412,皮,6,,1,07739,107
0413,盡,24,,1,07779,108
0414,相,7,,1,07801,109
0415,眞,4,,1,07827,109
0416,眼,2,,1,07843,109
0417,知,8,,1,07941,111
0418,破,4,,1,07986,112
0419,祖,5,,1,08117,113
0420,種,16,,1,08244,115
0421,窈,2,,1,08310,116
0422,第,18,,1,08412,118
0423,等,3,,1,08426,118
0424,精,4,,1,08685,119
0425,紅,10,,1,08739,120
0426,縁,10,,1,08924,120
0427,縛,2,,1,08963,120
0428,縱,3,,1,08982,120
0429,繞,6,,1,09020,120
0430,罪,23,,1,09125,122
0431,羅,29,,1,09144,122
0432,老,3,,1,09250,125
0433,者,50,,1,09255,125
0434,而,11,,1,09264,126
0435,耳,16,,1,09290,128
0436,聞,5,,1,09315,128
0437,聲,6,3,1,09328,128
0438,肉,6,,1,09348,130
0439,肌,3,,1,09351,130
0440,胃,3,,1,09386,130
0441,能,3,,1,09429,130
0442,脣,2,,1,09459,130
0443,脩,2,1,2,09462,130
0444,脱,12,,1,09463,130
0445,腦,2,,1,09501,130
0446,腸,3,,1,09515,130
0447,膚,4,,1,09539,130
0448,自,29,,1,09602,132
0449,至,14,,1,09610,133
0450,舌,3,,1,09636,135
0451,舍,4,,1,09638,135
0452,色,13,,1,09716,139
0453,草,2,,1,09846,140
0454,芥,13,,1,09747,140
0455,若,14,,1,09788,140
0456,苦,6,,1,09789,140
0457,華,24,,1,09921,140
0458,萬,45,,1,09954,140
0459,葉,4,,1,09966,140
0460,蓮,16,,1,10050,140
0461,藍,12,,1,10189,140
0462,藏,2,,1,10191,140
0463,蘭,11,,1,10251,140
0464,血,2,,1,10605,143
0465,行,11,,1,10614,144
0466,西,3,,1,10820,146
0467,見,16,,1,10831,147
0468,親,5,,1,10848,147
0469,觀,2,,1,10859,147
0470,言,36,,1,10890,149
0471,訶,2,,1,10936,149
0472,語,2,,1,11017,149
0473,説,5,,1,11025,149
0474,誹,3,,1,11035,149
0475,諦,2,,1,11072,149
0476,諸,3,,1,11085,149
0477,謗,2,,1,11116,149
0478,識,5,,1,11171,149
0479,賢,2,,1,11397,154
0480,赤,5,,1,11445,155
0481,走,8,,1,11454,156
0482,足,3,,1,11495,157
0483,躍,3,,1,11689,157
0484,身,45,,1,11715,158
0485,車,3,,1,11740,159
0486,輪,18,,1,11827,159
0487,逆,5,,1,11986,162
0488-0489,過,60,,1,12046,162
0490,道,2,,1,12051,162
0491,遶,3,,1,12092,162
0492,還,5,,1,12108,162
0493,郭,5,,1,12179,163
0494,酷,2,,1,12301,164
0495,采,4,,1,12367,165
0496,里,43,,1,12372,166
0497,重,33,,1,12373,166
0498,野,3,,1,12374,166
0499,金,8,,1,12380,167
0500,釜,3,,1,12385,167
0501,鉢,2,,1,12440,167
0502,銀,4,,1,12451,167
0503,銅,6,,1,12453,167
0504,鐵,21,,1,12654,167
0505,長,18,,1,12698,168
0506,門,34,,1,12709,169
0507,間,6,,1,12724,169
0508,阿,44,,1,12830,170
0509,陀,6,,1,12831,170
0510,隱,2,,1,12935,170
0511,雨,2,,1,13012,173
0512,雲,2,,1,13020,173
0513,青,10,,1,13095,174
0514,非,31,,1,13104,175
0515,面,5,,1,13108,176
0516,須,20,,1,13304,181
0517,頭,8,,1,13346,181
0518,風,13,,1,13423,182
0519,飛,7,,1,13495,183
0520,食,4,,1,13503,184
0521,飢,4,,1,13508,184
0522,餘,7,,1,13565,184
0523,香,2,,1,13667,186
0524,馬,4,,1,13680,187
0525,骨,6,,1,13873,188
0526,髓,4,,1,13933,188
0527,體,7,,1,13934,188
0528,高,14,,1,13940,189
0529,魄,2,,1,14072,194
0530,鳴,6,,1,14379,196
0531,黄,11,,1,14693,201
0532-0533,黎,85,,1,14700,202
0534,黒,14,,1,14709,203
0535,鼎,2,,1,14769,206
0536,鼻,13,,1,14809,209
0537,今,2,1,2,00175,009
0538,取,17,6,2,01127,029
0539,壁,25,,1,01873,032
0540,對,2,2,2,02435,041
0541,幹,2,1,2,02905,051
0542,文,2,1,2,04321,067
0543,於,3,1,2,04389,070
0544,楯,10,1,2,05154,075
0545,樓,7,1,2,05293,075
0546,樹,30,2,2,05323,075
0547,滿,4,1,2,06476,085
0548,畫,3,1,2,07525,102
0549,碎,1,1,2,08016,112
0550,著,12,2,2,09972,140
0551,裹,,,0,10729,145
0552,解,10,4,2,10875,148
0553,譬,5,1,2,11189,149
0554,起,5,1,2,11461,156
0555,路,1,1,2,11548,157
0556,踊,2,1,2,11565,157
0557,邊,8,2,2,12115,162
0558,隨,4,2,2,12927,170
0559,鳥,8,2,2,14361,196
0560,衰,,,0,10649,145
