,,sys_S5309,sys_S5309,sys_S5309,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
11171,識,0623,1,3,149
11195,議,0624a,2,2,149
11195b,議,0624b,2,1,149
11200,護,0625a,2,3,149
11200b,護,0625b,2,2,149
11229,讚,0626,1,3,149
11234,谷,0627,1,2,150
11342,貪,0628,1,12,154
11373,資,0629,1,5,154
11377,賊,0630,1,2,154
11397,賢,0631,1,2,154
11461,起,0632,1,31,156
11485,趣,0633,1,7,156
11495,足,0634,1,3,157
11502,趺,0635,1,3,157
11689,躍,0636,1,4,157
11715,身,0637,1,30,158
11716,躬,0638a,2,1,158
11716b,躬,0638b,2,1,158
11744,軌,0639,1,2,159
11802,輕,0640,1,2,159
11856,轉,0641,1,17,159
11908,辨,0642,1,2,160
11948,近,0643,1,6,162
11958,迥,0644,1,2,162
11982,退,0645a,2,3,162
11982b,退,0645b,2,1,162
11986,逆,0646,1,2,162
12000,通,0647,1,4,162
12003,速,0648,1,5,162
12004,造,0649,1,2,162
12010,連,0650,1,3,162
12022,進,0651,1,5,162
12043,運,0652,1,10,162
03157,徧,0653,1,10,060
12046,過,0654,1,11,162
12051,道,0655,1,25,162
12052,達,0656,1,7,162
12074,遣,0657,1,5,162
12079,適,0658,1,7,162
12108,還,0659,1,2,162
12027,逸,0660,1,4,162
12134,那,0661,1,26,163
12139,邪,0662,1,11,163
12188,都,0663,1,4,163
12373,重,0664,1,8,166
12374,野,0665,1,2,166
12376,量,0666,1,13,166
12406,鈍,0667,1,4,167
12440,鉢,0668,1,25,167
12499,錄,0669,1,3,167
12698,長,0670,1,8,168
12709,門,0671,1,5,169
12716,開,0672,1,6,169
12722,閑,0673,1,4,169
12724,間,0674,1,10,169
12830,阿,0675,1,4,170
12913,際,0676,1,3,170
12927,隨,0677,1,24,170
12935,隱,0678,1,2,170
12991,雖,0679,1,8,172
12997,雜,0680a,2,1,172
12997b,雜,0680b,2,1,172
13001,離,0681,1,26,172
13002,難,0682a,2,6,172
13002b,難,0682b,2,2,172
13095,青,0683,1,5,174
13104,非,0684,1,6,175
13281,音,0685,1,3,180
13302,順,0686,1,9,181
13327,領,0687,1,5,181
13398,類,0688,1,18,181
13416,顯,0689,1,2,181
13503,食,0690a,2,7,184
13503b,食,0690b,2,2,184
13551,養,0691a,2,4,184
13551b,養,0691b,2,1,184
13565,餘,0692,1,5,184
13641,饒,0693,1,5,184
13873,骨,0694,1,27,188
13890,骸,0695,1,4,188
13906,髀,0696,1,2,188
13914,髆,0697,1,4,188
13923,髏,0698,1,2,188
13929,髑,0699,1,2,188
13934,體,0700,1,2,188
14659,麤,0701,1,4,198
14709,黑,0702,1,8,203
00350,倶,0703a,2,3,009
00350b,倶,0703b,2,1,009
00516,儀,0704a,2,9,009
00516b,儀,0704b,2,3,009
00723,出,0705a,2,3,017
00723b,出,0705b,2,1,017
00759,初,0706a,2,7,018
00759b,初,0706b,2,2,018
00900,勤,0707a,2,7,019
00900b,勤,0707b,2,2,019
00911,勵,0708a,2,4,019
00911b,勵,0708b,2,1,019
01349,唯,0709a,2,12,030
01349b,唯,0709b,2,4,030
01412,喜,0710a,2,9,030
01412b,喜,0710b,2,1,030
02485,屈,0711a,2,1,044
02485b,屈,0711b,2,1,044
02780,差,0712a,2,9,048
02780b,差,0712b,2,8,048
03137,律,0713a,2,2,060
03137b,律,0713b,2,1,060
03245,怨,0714a,2,8,061
03245b,怨,0714b,2,6,061
03278,恚,0715a,2,3,061
03278b,恚,0715b,2,2,061
03297,恭,0716a,2,3,061
03297b,恭,0716b,2,1,061
03367,惡,0717a,2,5,061
03367b,惡,0717b,2,3,061
03402,愍,0718a,2,16,061
03402b,愍,0718b,2,2,061
03611,我,0719a,2,26,062
03611b,我,0719b,2,1,062
04381,斷,0720a,2,12,069
04381b,斷,0720b,2,2,069
04608,暴,0721a,2,1,072
04608b,暴,0721b,2,1,072
04523,時,0722a,2,30,072
04523b,時,0722b,2,4,072
07457,甚,0723a,2,3,099
07457b,甚,0723b,2,2,099
07483,男,0724,1,3,102
07632,瘀,0725a,2,3,104
07632b,瘀,0725b,2,2,104
07878,瞋,0726a,2,7,109
07878b,瞋,0726b,2,3,109
08438,策,0727a,2,1,118
08438b,策,0727b,2,1,118
08718,糧,0728a,2,4,119
08718b,糧,0728b,2,1,119
08856,經,0729a,2,6,120
08856b,經,0729b,2,1,120
08924,緣,0730a,2,45,120
08924b,緣,0730b,2,1,120
08963,縛,0731a,2,4,120
08963b,縛,0731b,2,1,120
09177,義,0732a,2,15,123
09177b,義,0732b,2,12,123
09250,老,0733a,2,7,125
09250b,老,0733b,2,1,125
09394,背,0734,1,6,130
09568,臂,0735a,2,1,130
09568b,臂,0735b,2,1,130
09541,膝,0736a,2,1,130
09541b,膝,0736b,2,1,130
09629,與,0737a,2,15,134
09629b,與,0737b,2,1,134
09716,色,0738a,2,15,139
09716b,色,0738b,2,9,139
10549,蟲,0739a,2,1,142
10549b,蟲,0739b,2,1,142
10683,被,0740a,2,2,145
10683b,被,0740b,2,1,145
11051,諍,0741a,2,2,149
11051b,諍,0741b,2,2,149
11565,踊,0742a,2,3,157
11565b,踊,0742b,2,1,157
12054,違,0743a,2,2,162
12054b,違,0743b,2,1,162
12070,遠,0744a,2,14,162
12070b,遠,0744b,2,4,162
12115,邊,0745a,2,2,162
12115b,邊,0745b,2,2,162
12573,鎖,0746a,2,22,167
12573b,鎖,0746b,2,3,167
12855,除,0747,1,5,170
12929,險,0748a,2,2,170
12929b,險,0748b,2,1,170
13103,靜,0749a,2,10,174
13103b,靜,0749b,2,1,174
13391,願,0750a,2,12,181
13391b,願,0750b,2,1,181
13395,顚,0751a,2,2,181
13395b,顚,0751b,2,1,181
13959,髮,0752a,2,1,190
13959b,髮,0752b,2,1,190
00121,亂,0753a,3,5,005
00121b,亂,0753b,3,2,005
00121c,亂,0753c,3,1,005
04664,最,0754a,3,10,073
04664b,最,0754b,3,5,073
04664c,最,0754c,3,4,073
10875,解,0755a,4,28,148
10875b,解,0755b,4,5,148
10875c,解,0755c,4,3,148
10875d,解,0755d,4,2,148
