統合ID,文字,兼方紀2,字体数,用例数,部首
09364,股,0189,0,1,130
09483,腋,0190,0,1,130
09568,臂,0191,0,1,130
09377,肯,0192,0,1,130
09599,臥,0193,0,1,131
09626,舂,0194,0,1,134
09627,舃,0195,0,1,134
09621,臾,0196,0,1,134
10153,薙,0197,0,1,140
09835,茸,0198,0,1,140
10139,薄,0199,0,1,140
09778,苗,0200,0,1,140
09911,菟,0201,0,1,140
10189,藍,0202,0,1,140
08522,篤,0203,0,1,118
10510,螢,0204,0,1,142
10349,蛇,0205,0,1,142
10605,血,0206,0,1,143
10618,術,0207,0,1,144
10773,襁,0208,0,1,145
10724,裳,0209,0,1,145
10798,襤,0210,0,1,145
10766,褸,0211,0,1,145
10859,觀,0212,0,1,147
11171,識,0213,0,1,149
11092,謀,0214,0,1,149
10974,詣,0215,0,1,149
11109,謎,0216,0,1,149
10987,該,0217,0,1,149
11332,負,0218,1,2,154
11453,赭,0219,0,1,155
11450,赩,0220,0,1,155
11447,赦,0221,0,1,155
11457,赴,0222,0,1,156
11467,超,0223,0,1,156
11580,踞,0224,0,1,157
11553,跳,0225,0,1,157
11593,踰,0226,0,1,157
11716,躬,0227,0,1,158
11856,轉,0228,0,1,159
11893,辛,0229,0,1,160
11896,辜,0230,0,1,160
11982,退,0231,0,1,162
12019,逮,0232,0,1,162
12077,遨,0233,0,1,162
11986,逆,0234,0,1,162
12025,逶,0235,0,1,162
11984,逃,0236,0,1,162
12082,遭,0237,0,1,162
12046,過,0238,0,1,162
12040,遇,0239,0,1,162
03008,廻,0240,0,1,054
11979,追,0241,0,1,162
12054,違,0242,0,1,162
12095,選,0243,0,1,162
11976,迹,0244,0,1,162
12342,醬,0245,0,1,164
12360,釀,0246,0,1,164
12262,酌,0247,0,1,164
12327,醜,0248,0,1,164
12266,酒,0249,0,1,164
12302,酸,0250,0,1,164
12372,里,0251,0,1,166
12485,鋒,0252,0,1,167
12543,鍛,0253,0,1,167
12380,金,0254,0,1,167
12601,鏑,0255,0,1,167
12563,鍾,0256,0,1,167
12722,閑,0257,0,1,169
12800,闥,0258,0,1,169
12883,隅,0259,0,1,170
12847,陛,0260,0,1,170
12886,隆,0261,0,1,170
12859,陪,0262,0,1,170
12955,雀,0263,0,1,172
12951,隼,0264,0,1,172
12971,雌,0265,0,1,172
13002,難,0266,0,1,172
13108,面,0267,0,1,176
13151,鞆,0268,0,1,177
13124,靭,0269,0,1,177
13281,音,0270,0,1,180
13398,類,0271,0,1,181
13327,領,0272,0,1,181
13313,預,0273,0,1,181
13355,頸,0274,0,1,181
13297,頃,0275,0,1,181
13503,食,0276,0,1,184
13526,飮,0277,0,1,184
13521,飫,0278,0,1,184
13630,饉,0279,0,1,184
13552,餌,0280,0,1,184
13559,餓,0281,0,1,184
13508,飢,0282,0,1,184
13849,驗,0283,0,1,187
13820,騰,0284,0,1,187
14088,魔,0285,0,1,194
14207,鯔,0286,0,1,195
14452,鴿,0287,0,1,196
14576,鷲,0288,0,1,196
14681,麻,0289,0,1,200
14730,黨,0290,0,1,203
00001,一,0291,1,65,001
00025,世,0293,1,8,001
00006,丈,0294,1,2,001
00026,丘,0295,1,5,001
00020,且,0296,1,12,001
00013,不,0297,1,73,001
00004,七,0299,1,3,001
00008,上,0300,1,28,001
00009,下,0301,1,16,001
00007,三,0302,1,19,001
00051,中,0303,1,36,002
00070,主,0304,1,21,003
00092,乎,0305,1,19,004
00088,之,0306,1,353,004
00078,乃,0314,1,62,004
00085,久,0316,1,12,004
00102,乘,0317,1,4,004
00109,也,0318,1,67,005
00108,乞,0320,1,3,005
00113,乳,0321,1,4,005
00128,事,0322,1,23,006
03043,弔,0323,1,5,057
00129,二,0324,1,24,007
00133,云,0325,1,53,007
00135,五,0327,1,14,007
00136,井,0328,1,12,007
00132,于,0329,1,20,007
00150,亡,0330,1,3,008
00175,今,0331,1,28,009
00256,作,0332,1,25,009
00213,伊,0333,1,5,009
00194,以,0334,1,136,009
00193,令,0337,1,8,009
00192,代,0338,1,10,009
00250,何,0339,1,27,009
00299,供,0340,1,4,009
00209,企,0341,1,5,009
00177,仍,0342,1,4,009
00321,便,0343,1,8,009
00368,倍,0344,1,2,009
00288,侍,0345,1,6,009
00301,依,0346,1,11,009
00240,但,0347,1,3,009
00183,他,0348,1,2,009
00351,俳,0349,1,4,009
00217,伏,0350,1,7,009
00483,僉,0351,1,4,009
00378,倚,0352,1,2,009
00245,住,0353,1,8,009
00369,候,0354,1,2,009
00168,人,0355,1,36,009
00260,伱,0356,1,3,009
00349,俯,0357,1,2,009
00475,傾,0358,1,3,009
00373,倒,0359,1,3,009
03158,徨,0360,1,2,060
03121,彷,0361,1,2,060
00279,使,0362,1,21,009
00199,仰,0363,1,4,009
00542,優,0364,1,3,009
00449,傍,0365,1,2,009
00235,似,0366,1,2,009
00253,余,0367,1,7,009
00561,兄,0368,1,55,010
00566,先,0370,1,19,010
00585,内,0371,1,12,011
00582,入,0372,1,25,011
00605,其,0373,1,100,012
00594,八,0375,1,38,012
00606,具,0376,1,5,012
00599,共,0377,1,6,012
00613,兼,0378,1,4,012
00723,出,0379,1,71,017
00729,刀,0381,1,4,018
00789,則,0382,1,72,018
00769,到,0384,1,21,018
00763,別,0385,1,8,018
00794,前,0386,1,13,018
00767,利,0387,1,12,018
00843,劍,0388,1,5,018
00818,副,0389,1,3,018
00776,制,0390,1,2,018
00759,初,0391,1,5,018
00884,勑,0393,1,19,019
00858,加,0394,1,4,019
00919,勿,0395,1,10,020
00918,勾,0396,1,2,020
00938,化,0397,1,4,021
00985,十,0398,1,18,024
00987,千,0399,1,18,024
01019,卜,0400,1,2,025
01022,占,0401,1,2,025
01049,卽,0402,1,35,026
01035,危,0403,1,2,026
01101,去,0404,1,19,028
01111,及,0405,1,28,029
01116,反,0406,1,2,029
01108,又,0407,1,18,029
01179,向,0408,1,11,030
01141,口,0409,1,17,030
01170,合,0410,1,9,030
01412,喜,0411,1,3,030
01175,名,0412,1,26,030
01252,命,0413,1,76,030
01395,善,0415,1,4,030
01479,嘗,0416,1,3,030
01295,哀,0417,1,3,030
01174,同,0418,1,3,030
01369,問,0419,1,39,030
01188,吟,0420,1,4,030
01185,君,0421,1,11,030
01251,呼,0422,1,3,030
01168,各,0423,1,2,030
01242,味,0424,1,9,030
01323,哭,0425,1,4,030
01349,唯,0426,1,4,030
01154,可,0427,1,28,030
01305,哉,0428,1,6,030
01219,告,0430,1,6,030
01263,和,0431,1,5,030
01217,吾,0432,1,89,030
01359,唾,0434,1,2,030
01487,嘲,0435,1,4,030
01187,呑,0436,1,2,030
01420,喧,0437,1,2,030
01279,咫,0438,1,3,030
01484,嘯,0439,1,3,030
01430,喪,0440,1,10,030
01627,固,0441,1,2,031
01639,國,0442,1,63,031
01607,四,0444,1,2,031
01623,困,0445,1,4,031
01666,地,0446,1,15,032
01659,在,0447,1,29,032
01796,報,0448,1,14,032
01710,垂,0449,1,2,032
01726,垢,0450,1,2,032
01767,堅,0451,1,3,032
01818,塗,0452,1,2,032
01939,夜,0453,1,15,036
01938,多,0454,1,12,036
01947,天,0455,1,211,037
01946,大,0460,1,50,037
01948,太,0461,1,9,037
01949,夫,0462,1,4,037
01957,失,0463,1,7,037
01974,奉,0464,1,29,037
01972,奇,0465,1,2,037
01973,奈,0466,1,5,037
02022,女,0467,1,53,038
02061,妻,0469,1,10,038
02062,妾,0470,1,20,038
02134,娶,0471,1,10,038
02032,妃,0472,1,6,038
02108,姫,0473,1,69,038
02031,如,0475,1,24,038
02122,娠,0476,1,8,038
02078,委,0477,1,2,038
02068,姉,0478,1,2,038
02059,妹,0479,1,5,038
02024,奴,0480,1,3,038
02151,婢,0481,1,2,038
02105,威,0482,1,5,038
02178,媛,0483,1,2,038
02069,始,0484,1,4,038
