統合ID,文字,兼方紀2,字体数,用例数,部首
02119b,娜,1001b,2,1,038
04915,,1002,1,6,075
05979,汙,1003a,2,2,085
05979b,汙,1003b,2,1,085
07241,獲,1004a,2,1,094
07241b,獲,1004b,2,1,094
09921,華,1005a,2,1,140
09921b,華,1005b,2,1,140
12030,逼,1006a,2,2,162
12030b,逼,1006b,2,1,162
14279,鰭,1007a,2,2,195
14279b,鰭,1007b,2,1,195
00118,乾,2001,0,1,005
00455,備,2002,0,1,009
00493,僕,2003,0,1,009
00258,佞,2004,0,1,009
00405,假,2005,0,1,009
00176,介,2006,0,1,009
00718,凶,2007,0,1,017
00735,切,2008,0,1,018
00857,功,2009,0,1,019
01004,卒,2010,0,1,024
01466,嘆,2011,0,1,030
01595,囊,2012,0,1,030
01373,啓,2013,0,1,030
01908,壷,2014,0,1,033
01961,夷,2015,0,1,037
01984,契,2016,0,1,037
02040,妒,2017,0,1,038
02293,學,2018,0,1,039
02397,寬,2019,0,1,040
02799,市,2020,0,1,050
02915,幾,2021,0,1,052
02992,廢,2022,0,1,053
03143,徒,2023,0,1,060
03292,恩,2024,0,1,061
03372,惱,2025,0,1,061
03289,恥,2026,0,1,061
03645,戾,2027,0,1,063
03758,招,2028,0,1,064
03686,扶,2029,0,1,064
04311,斃,2030,0,1,066
04363,斥,2031,0,1,069
04518,昵,2032,0,1,072
04608,暴,2033,0,1,072
05150,楫,2034,0,1,075
05529,權,2035,0,1,075
04978,梔,2036,0,1,075
14917,桅,2037,0,1,075
04781,板,2038,0,1,075
05591,款,2039,0,1,076
05641,止,2040,0,1,077
05645,步,2041,0,1,077
05932,氏,2042,0,1,083
06151,流,2043,0,1,085
06396,源,2044,0,1,085
06269,淤,2045,0,1,085
06969,燃,2046,0,1,086
06874,焦,2047,0,1,086
06957,熱,2048,0,1,086
06978,燒,2049,0,1,086
06847,烟,2050,0,1,086
07087,牽,2051,0,1,093
07707,發,2052,0,1,105
07817,看,2053,0,1,109
07799,直,2054,0,1,109
07867,睨,2055,0,1,109
08993,總,2056,0,1,120
09030,繋,2057,0,1,120
08976,縫,2058,0,1,120
09064,纏,2059,0,1,120
09133,罷,2060,0,1,122
09177,義,2061,0,1,123
09249,耀,2062,0,1,124
09335,聽,2063,0,1,128
09541,膝,2064,0,1,130
10703,裏,2065,0,1,145
10708,裔,2066,0,1,145
10857,覽,2067,0,1,147
10875,解,2068,0,1,148
10936,訶,2069,0,1,149
11264,豔,2070,0,1,151
11799,輒,2071,0,1,159
12093,遷,2072,0,1,162
12783,闕,2073,0,1,169
12714,閉,2074,0,1,169
12862,陰,2075,0,1,170
14659,麤,2077,0,1,198
14876,龍,2078,0,1,212
14887,龜,2079,0,1,213
00516,儀,2080,1,2,009
00574,兒,2081,1,64,010
00567,光,2083,1,4,010
00591,兩,2084,1,3,011
00589,全,2085,1,2,011
00701,凡,2086,1,6,016
00734,分,2087,1,3,018
00893,勝,2088,1,21,019
00898,勢,2089,1,3,019
01074,原,2090,1,18,027
01128,受,2091,1,6,029
01127,取,2092,1,14,029
01112,友,2093,1,4,029
01150,召,2094,1,10,030
01312,咲,2095,1,2,030
01611,因,2096,1,39,031
01654,土,2097,1,5,032
01682,坐,2098,1,6,032
01672,坂,2099,1,2,032
01905,壯,2100,1,3,033
02346,害,2101,1,5,040
02313,完,2102,1,3,040
02309,安,2103,1,3,040
02325,定,2104,1,7,040
02435,對,2105,1,24,041
02515,屬,2106,1,5,044
02828,帥,2107,1,2,050
02846,帶,2108,1,6,050
02900,年,2109,1,6,051
02924,床,2110,1,10,053
02984x,廗,2111,1,2,053
02952,庭,2112,1,2,053
03005,延,2113,1,4,054
03153,御,2114,1,11,060
03151,從,2115,1,17,060
03312,悉,2116,1,2,061
03367,惡,2117,1,6,061
03438,慇,2118,1,2,061
03499,憐,2119,1,4,061
03238,怜,2120,1,4,061
03585,懷,2121,1,3,061
03248,怪,2122,1,2,061
03617,或,2123,1,3,062
03647,所,2124,1,45,063
03750,拔,2125,1,3,064
04146,攀,2126,1,2,064
04298,數,2127,1,4,066
04713,本,2128,1,12,075
05381,橫,2129,1,3,075
05612,歎,2130,1,2,076
05644,此,2131,1,86,077
05676,歸,2133,1,13,077
05643,正,2134,1,6,077
06432,滅,2135,1,2,085
06882,焰,2136,1,2,086
07122,狀,2137,1,6,094
07248,獸,2138,1,3,094
07162,狹,2139,1,19,094
07395,瓏,2140,1,2,096
07457,甚,2141,1,5,099
07508,留,2142,1,9,102
07557,疏,2143,1,2,103
07559,疑,2144,1,5,103
07759,益,2145,1,3,108
08047,磐,2146,1,21,112
08135,祭,2147,1,2,113
08180,私,2148,1,3,115
08248,稱,2149,1,8,115
08235,稜,2150,1,4,115
08353,竊,2151,1,2,116
08426,等,2152,1,15,118
08438,策,2153,1,2,118
09028,繩,2154,1,2,120
09128,置,2155,1,7,122
09250,老,2156,1,12,125
09292,耶,2157,1,21,128
09617,臺,2158,1,2,133
09629,與,2159,1,21,134
09630,興,2160,1,2,134
09716,色,2161,1,4,139
09972,著,2162,1,3,140
09789,苦,2163,1,6,140
09788,若,2164,1,18,140
09994,葺,2165,1,8,140
10160,薦,2166,1,2,140
10272,虛,2167,1,3,141
10276,號,2168a,2,19,141
10276b,號,2168b,2,12,141
10563,蠅,2169,1,3,142
10649,衰,2170,1,2,145
10774,襃,2171,1,3,145
10834,覓,2172,1,6,147
10912,訖,2173,1,6,149
11311,貌,2174,1,2,153
11454,走,2175,1,3,156
11914,辭,2176,1,6,160
11947,迎,2177,1,4,162
12009,逢,2178,1,2,162
12115,邊,2179,1,10,162
12139,邪,2180,1,2,163
12935,隱,2181,1,4,170
12927,隨,2182,1,7,170
12867,陵,2183,1,3,170
12961,雄,2184,1,2,172
13092,靈,2185,1,28,173
13409,顧,2186,1,2,181
13551,養,2187,1,8,184
13641,饒,2188,1,3,184
13839,驅,2189a,2,2,187
13839b,驅,2189b,2,1,187
12957,雁,2190,1,2,172
14620,鹽,2191,1,2,197
14809,鼻,2192,1,2,209
00219,休,2193a,2,1,009
00219b,休,2193b,2,1,009
01452,嗣,2194,1,5,030
03066,強,2195a,2,1,057
03066b,強,2195b,2,1,057
04389,於,2196a,2,69,070
04389b,於,2196b,2,11,070
07043,爾,2198a,2,8,089
07043b,爾,2198b,2,1,089
07139,狗,2199a,2,1,094
07139b,狗,2199b,2,1,094
09954,萬,2200a,2,7,140
09954b,萬,2200b,2,2,140
11495,足,2201a,2,5,157
11495b,足,2201b,2,1,157
04303,整,2202,0,1,066
04542,晝,2203,0,1,072
