文字,カード番号,用例数1,用例数2,字体数,大字典番号,部首番号
倍,0219,6,,1,00368,009
偈,0220,15,,1,00406,009
像,0221,7,,1,00489,009
僧,0222,9,,1,00503,009
億,0223,19,,1,00520,009
優,0224,5,,1,00542,009
光,0225,3,,1,00567,010
入,0226,3,,1,00582,011
内,0227,3,,1,00585,011
八,0228,5,,1,00594,012
六,0229,4,,1,00597,012
共,0230,2,,1,00599,012
其,0231,50,,1,00605,012
典,0232,3,,1,00608,012
出,0233,4,,1,00723,017
刀,0234,2,,1,00729,018
分,0235,7,,1,00734,018
切,0236,13,,1,00735,018
別,0237,3,,1,00763,018
利,0238,5,,1,00767,018
到,0239,6,,1,00769,018
則,0240,7,,1,00789,018
前,0241,12,,1,00794,018
力,0242,9,,1,00856,019
加,0243,3,,1,00858,019
助,0244,7,,1,00863,019
劫,0245,19,,1,00865,019
勝,0246,2,,1,00893,019
化,0247,22,,1,00938,021
十,0248,14,,1,00985,024
千,0249,23,,1,00987,024
卷,0250,3,,1,01040,026
即,0251,5,,1,01049,026
原,0252,2,,1,01074,027
去,0253,9,,1,01101,028
又,0254,7,,1,01108,029
叉,0255,2,,1,01109,029
及,0256,14,,1,01111,029
友,0257,5,,1,01112,029
受,0258,24,,1,01128,029
句,0259,5,,1,01143,030
可,0260,6,,1,01154,030
各,0261,3,,1,01168,030
合,0262,7,,1,01170,030
同,0263,8,,1,01174,030
名,0264,15,,1,01175,030
告,0265,10,,1,01219,030
周,0266,2,,1,01235,030
命,0267,9,,1,01252,030
和,0268,2,,1,01263,030
咸,0269,5,,1,01288,030
唯,0270,4,,1,01349,030
善,0271,24,,1,01395,030
喜,0272,18,,1,01412,030
嘆,0273,4,,1,01466,030
嚴,0274,11,,1,01581,030
四,0275,11,,1,01607,031
因,0276,5,,1,01611,031
固,0277,3,,1,01627,031
國,0278,23,,1,01639,031
在,0279,24,,1,01659,032
地,0280,3,,1,01666,032
坐,0281,11,,1,01682,032
堅,0282,2,,1,01767,032
塔,0283,4,,1,01816,032
塗,0284,3,,1,01818,032
塞,0285,2,,1,01823,032
塵,0286,3,,1,01831,032
士,0287,6,,1,01903,033
壽,0288,10,,1,01913,033
多,0289,32,,1,01938,036
夜,0290,3,,1,01939,036
大,0291,31,,1,01946,037
天,0292,17,,1,01947,037
夫,0293,6,,1,01949,037
失,0294,3,,1,01957,037
夷,0295,4,,1,01961,037
奉,0296,3,,1,01974,037
女,0297,7,,1,02022,038
如,0298-0299,78,,1,02031,038
妙,0300,10,,1,02045,038
威,0301,2,,1,02105,038
婆,0302,7,,1,02142,038
婬,0303,2,,1,02159,038
子,0304,25,,1,02262,039
學,0305,10,,1,02293,039
安,0306,6,,1,02309,040
定,0307,2,,1,02325,040
室,0308,4,,1,02332,040
宣,0309,17,,1,02333,040
家,0310,7,,1,02349,040
宿,0311,2,,1,02355,040
寂,0312,2,,1,02357,040
富,0313,9,,1,02366,040
實,0314,6,,1,02390,040
寫,0315,2,,1,02396,040
寶,0316,22,,1,02407,040
尊,0317,34,,1,02429,041
礙,0318,6,,1,08077,112
小,0319,3,,1,02439,042
少,0320,7,,1,02440,042
尚,0321,5,,1,02446,042
