統合ID,文字,P2334,字体数,用例数,部首
00503,僧,0222,1,9,009
00520,億,0223,1,19,009
00542,優,0224,1,5,009
00567,光,0225,1,3,010
00582,入,0226,1,3,011
00585,内,0227,1,3,011
00594,八,0228,1,5,012
00597,六,0229,1,4,012
00599,共,0230,1,2,012
00605,其,0231,1,50,012
00608,典,0232,1,3,012
00723,出,0233,1,4,017
00729,刀,0234,1,2,018
00734,分,0235,1,7,018
00735,切,0236,1,13,018
00763,別,0237,1,3,018
00767,利,0238,1,5,018
00769,到,0239,1,6,018
00789,則,0240,1,7,018
00794,前,0241,1,12,018
00856,力,0242,1,9,019
00858,加,0243,1,3,019
00863,助,0244,1,7,019
00865,劫,0245,1,19,019
00893,勝,0246,1,2,019
00938,化,0247,1,22,021
00985,十,0248,1,14,024
00987,千,0249,1,23,024
01040,卷,0250,1,3,026
01049,卽,0251,1,5,026
01074,原,0252,1,2,027
01101,去,0253,1,9,028
01108,又,0254,1,7,029
01109,叉,0255,1,2,029
01111,及,0256,1,14,029
01112,友,0257,1,5,029
01128,受,0258,1,24,029
01143,句,0259,1,5,030
01154,可,0260,1,6,030
01168,各,0261,1,3,030
01170,合,0262,1,7,030
01174,同,0263,1,8,030
01175,名,0264,1,15,030
01219,告,0265,1,10,030
01235,周,0266,1,2,030
01252,命,0267,1,9,030
01263,和,0268,1,2,030
01288,咸,0269,1,5,030
01349,唯,0270,1,4,030
01395,善,0271,1,24,030
01412,喜,0272,1,18,030
01466,嘆,0273,1,4,030
01581,嚴,0274,1,11,030
01607,四,0275,1,11,031
01611,因,0276,1,5,031
01627,固,0277,1,3,031
01639,國,0278,1,23,031
01659,在,0279,1,24,032
01666,地,0280,1,3,032
01682,坐,0281,1,11,032
01767,堅,0282,1,2,032
01816,塔,0283,1,4,032
01818,塗,0284,1,3,032
01823,塞,0285,1,2,032
01831,塵,0286,1,3,032
01903,士,0287,1,6,033
01913,壽,0288,1,10,033
01938,多,0289,1,32,036
01939,夜,0290,1,3,036
01946,大,0291,1,31,037
01947,天,0292,1,17,037
01949,夫,0293,1,6,037
01957,失,0294,1,3,037
01961,夷,0295,1,4,037
01974,奉,0296,1,3,037
02022,女,0297,1,7,038
02031,如,0298,1,78,038
02045,妙,0300,1,10,038
02105,威,0301,1,2,038
02142,婆,0302,1,7,038
02159,婬,0303,1,2,038
02262,子,0304,1,25,039
02293,學,0305,1,10,039
02309,安,0306,1,6,040
02325,定,0307,1,2,040
02332,室,0308,1,4,040
02333,宣,0309,1,17,040
02349,家,0310,1,7,040
02355,宿,0311,1,2,040
02357,寂,0312,1,2,040
02366,富,0313,1,9,040
02390,實,0314,1,6,040
02396,寫,0315,1,2,040
02407,寶,0316,1,22,040
02429,尊,0317,1,34,041
08077,礙,0318,1,6,112
02439,小,0319,1,3,042
02440,少,0320,1,7,042
02446,尚,0321,1,5,042
02464,就,0322,1,9,043
02473,尼,0323,1,5,044
02528,山,0324,1,5,046
02783,已,0325,1,20,049
02806,希,0326,1,2,050
02835,師,0327,1,8,050
02847,常,0328,1,23,050
02881,幡,0329,1,6,050
02882,幢,0330,1,4,050
02944,度,0331,1,15,053
02993,廣,0332,1,9,053
03052,弟,0333,1,8,057
03084,彌,0334,1,2,057
03124,彼,0335,1,5,060
03138,後,0336,1,21,060
03145,得,0337,1,62,060
03151,從,0339,1,7,060
03153,御,0340,1,5,060
03157,徧,0341,1,10,060
03159,復,0342,1,14,060
03165,微,0343,1,2,060
03172,德,0344,1,10,060
03179,心,0345,1,23,061
03180,必,0346,1,3,061
03184,忍,0347,1,3,061
03194,志,0348,1,2,061
03196,忘,0349,1,3,061
