カード番号,文字,部首,字体数,用例数１,用例数２,大字典
0236,印,026,1,3,,01034
0237,即,026,1,12,,01049
0238,叉,029,1,2,,01109
0239,受,029,1,18,,01128
0240,喜,030,1,33,,01412
0241,右,030,1,4,,01158
0242,01594,030,1,16,,01594
0243,善,030,1,15,,01395
0244,周,030,1,2,,01235
0245,01353,030,1,5,,01353
0246,告,030,1,5,,01219
0247,01569,030,1,17,,01569
0248,01455,030,1,22,,01455
0249,咸,030,1,3,,01288
0250,可,030,1,2,,01154
0251-0252,名,030,1,53,,01175
0253,哉,030,1,13,,01305
0254,口,030,1,6,,01141
0255,咤,030,1,2,,01276
0256,嚴,030,1,2,,01581
0257,召,030,1,13,,01150
0258,圓,031,1,8,,01645
0259,固,031,1,6,,01627
0260-0261,地,032,1,55,,01666
0262,堅,032,1,21,,01767
0263,塵,032,2,13,1,01831
0264,在,032,1,13,,01659
0265,増,032,1,2,,01853
0266,場,032,1,6,,01798
0267,01748,032,1,37,,01748
0268,坐,032,1,2,,01682
0269,境,032,1,6,,01839
0270,多,036,1,7,,01938
0271,奇,037,1,16,,01972
0272,天,037,1,3,,01947
0273-0275,大,037,1,109,,01946
0276,娑,038,1,2,,02110
0277,娜,038,1,2,,02119
0278,威,038,1,6,,02105
0279-0284,如,038,1,258,,02031
0285,妙,038,1,17,,02045
0286,婆,038,1,30,,02142
0287,子,039,1,4,,02262
0288,寶,040,1,30,,02407
0289,安,040,1,25,,02309
0290,室,040,1,5,,02332
0291,實,040,1,3,,02390
0292,察,040,1,3,,02383
0293,宰,040,1,2,,02344
0294,密,040,1,4,,02361
0295,宮,040,1,3,,02342
0296,寂,040,1,2,,02357
0297,尊,041,1,50,,02429
0298,就,043,1,17,,02464
0299,尼,044,1,12,,02473
0300,岸,046,1,2,,02564
0301,峯,046,1,2,,02589
0302,左,048,1,4,,02774
0303,已,049,1,33,,02783
0304,幡,050,1,3,,02881
0305,幢,050,1,20,,02882
0306,常,050,1,11,,02847
0307,師,050,1,2,,02835
0308,平,051,1,13,,02899
0309,底,053,1,3,,02932
0310,度,053,1,3,,02944
0311,建,054,1,3,,03006
0312,弓,057,1,2,,03042
0313,弭,057,1,2,,03060
0314,形,059,1,29,,03101
0315-0316,彼,060,1,69,,03124
0317-0318,從,060,1,55,,03151
0319,得,060,1,18,,03145
0320,復,060,1,28,,03159
0321,後,060,1,2,,03138
0322,徴,060,1,22,,03171
0323,往,060,1,3,,03128
0324,念,061,1,7,,03214
0325,03236,061,1,6,,03236
0326,怒,061,1,2,,03229
0327,意,061,1,20,,03395
0328,恆,061,1,3,,03267
0329,性,061,1,17,,03244
0330,惟,061,1,4,,03365
0331,忍,061,1,2,,03184
0332,悟,061,1,2,,03326
0333,思,061,1,4,,03239
0334,情,061,1,22,,03348
0335,悦,061,1,21,,03309
0336,應,061,1,2,,03550
0337,惹,061,1,2,,03379
0338,慧,061,1,12,,03462
0339-0341,心,061,1,102,,03179
0342,戲,062,1,14,,03636
0343,成,062,1,29,,03610
0344,我,062,1,23,,03611
0345,所,063,1,12,,03647
0346,手,064,1,22,,03659
0347,持,064,1,41,,03780
0348,提,064,1,21,,03896
0349,摧,064,1,2,,04008
0350,掌,064,1,15,,03858
0351,承,064,1,2,,03690
0352,授,064,1,14,,03855
0353,拔,064,2,1,1,03750
0354-0356,摩,064,1,100,,04009
0357,教,066,1,14,,04261
0358,數,066,1,3,,04298
0359-0360,故,066,1,62,,04243
0361,斷,069,1,3,,04381
0362,於,070,1,22,,04389
0363,方,070,1,4,,04385
0364,普,072,1,16,,04557
0365-0366,時,072,1,60,,04523
0367,智,072,1,47,,04569
0368,昧,072,1,44,,04505
0369,日,072,1,22,,04446
0370,是,072,1,27,,04512
0371,最,073,1,14,,04664
0372,曼,073,1,9,,04660
0373,月,074,1,19,,04673
0374,有,074,1,24,,04674
0375,果,075,1,6,,04806
0376,檀,075,1,2,,05391
0377,染,075,1,15,,04848
0378,樂,075,1,18,,05279
0379,極,075,1,19,,05161
0380,根,075,1,7,,04922
0381,本,075,1,2,,04713
0382,梵,075,1,29,,05010
0383,業,075,1,7,,05152
0384,歡,076,1,7,,05639
0385,欲,076,1,5,,05580
0386,此,077,1,46,,05644
0387,殊,078,1,7,,05717
0388,殺,079,1,3,,05796
0389,比,081,1,3,,05841
0390,05845,081,1,30,,05845
0391,清,085,1,13,,06290
0392,沙,085,1,2,,06031
0393,流,085,1,2,,06151
0394,濟,085,1,2,,06641
0395,滿,085,1,15,,06476
0396,法,085,1,39,,06074
0397,照,086,1,5,,06918
0398,然,086,1,5,,06885
0399,爲,087,1,45,,07032
0400,爾,089,1,13,,07043
0401,牢,093,1,14,,07076
0402,特,093,1,3,,07086
0403,獲,094,1,5,,07241
0404,理,096,1,4,,07307
0405,現,096,1,14,,07304
