カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0200,吽,1,4,,,01216,030
0201,召,1,2,,,01150,030
0202,句,2,1,1,,01143,030
0203,喩,1,4,,,01421,030
0204,咤,1,6,,,01276,030
0205,01455,1,2,,,01455,030
0206,M04101,1,3,,,,030
0207,M59286,1,14,,,,030
0208,吉,1,5,,,01172,030
0209-0211,01594,1,132,,,01594,030
0212,01556,1,20,,,01556,030
0213,哩,1,40,,,20000,030
0214,喞,1,9,,,01415,030
0215,01237,1,9,,,01237,030
0216,同,1,3,,,01174,030
0217,可,1,2,,,01154,030
0218,哥,1,3,,,05609,076
0219,M61971,1,2,,,,字喃
0220,呪,1,2,,,01236,030
0221,和,1,4,,,01263,030
0222,嚴,1,3,,,01581,030
0223,四,1,2,,,01607,031
0224,地,1,8,,,01666,032
0225,執,1,4,,,01755,032
0226,塗,1,9,,,01818,032
0227,多,1,23,,,01938,036
0228,夜,1,2,,,01939,036
0229,天,1,8,,,01947,037
0230,女,1,2,,,02022,038
0231,娑,1,17,,,02110,038
0232,婆,1,12,,,02142,038
0233,如,1,4,,,02031,038
0234,子,1,12,,,02262,039
0235,室,1,5,,,02332,040
0236,塞,1,2,,,01823,032
0237,尊,1,2,,,02429,041
0238,尾,1,20,,,02478,044
0239,山,1,2,,,02528,046
0240,屹,1,2,,,02531,046
0241,左,1,29,,,02774,048
0242,差,1,3,,,02780,048
0243,己,1,2,,,02782,049
0244,已,1,11,,,02783,049
0245,帝,1,3,,,02820,050
0246,布,1,2,,,02800,050
0247,微,1,3,,,03165,060
0248,後,1,6,,,03138,060
0249,03157,1,36,,,03157,060
0250,得,1,14,,,03145,060
0251,復,1,12,,,03159,060
0252,彼,1,15,,,03124,060
0253,心,1,36,,,03179,061
0254,惹,2,5,1,,03379,061
0255,03236,1,10,,,03236,061
0256,息,1,6,,,03298,061
0257,必,1,2,,,03180,061
0258,悉,1,41,,,03312,061
0259,怖,1,2,,,03233,061
0260,恭,1,2,,,03297,061
0261,意,1,7,,,03395,061
0262,或,1,10,,,03617,062
0263,戍,1,2,,,03606,062
0264,戴,1,3,,,03638,062
0265,戰,1,2,,,03633,062
0266,成,1,15,,,03610,062
0267,所,1,6,,,03647,063
0268,捨,1,5,,,03835,064
0269,拶,1,6,,,03773,064
0270,指,1,2,,,03783,064
0271,捺,1,30,,,03845,064
0272,提,1,2,,,03896,064
0273,038０6,1,2,,,038０6,064
0274,拏,1,45,,,03744,064
0275,擇,1,2,,,04085,064
0276,擁,1,2,,,04082,064
0277,持,1,38,,,03780,064
0278,捫,1,2,,,03837,064
0279,播,1,6,,,04069,064
0280,04198,1,7,,,04198,064
0281,擲,1,6,,,04130,064
0282,摩,1,15,,,04009,064
0283,擔,1,2,,,04099,064
0284,散,1,2,,,04280,066
0285,新,1,2,,,04376,069
0286,方,1,3,,,04385,070
0287,於,1,10,,,04389,070
0288,日,1,5,,,04446,072
0289,是,1,2,,,04512,072
0290,時,1,5,,,04523,072
0291,昧,1,2,,,04505,072
0292,明,1,45,,,04485,072
0293,04670,1,4,,,04670,073
0294,曰,1,2,,,04650,073
0295,曳,1,2,,,04653,073
0296,有,1,6,,,04674,074
0297,本,1,2,,,04713,075
0298,末,1,18,,,04712,075
0299,椿,1,2,,,05110,075
0300,樓,1,2,,,05293,075
0301,枝,1,2,,,04807,075
0302,檀,1,3,,,05391,075
0303,止,1,8,,,05641,077
0304,此,1,13,,,05644,077
0305,母,1,7,,,05834,080
0306,毒,1,2,,,05839,080
0307,毘,1,7,,,05845,081
0308,毛,1,3,,,05850,082
0309,水,1,3,,,05952,085
0310,法,1,42,,,06074,085
0311,波,1,2,,,06086,085
0312,潔,1,4,,,06532,085
0313,沙,1,2,,,06031,085
0314,滿,1,3,,,06476,085
0315,火,1,4,,,06776,086
0316,然,1,10,,,06885,086
0317,燒,1,24,,,06978,086
0318,灰,1,8,,,06784,086
0319,熏,1,14,,,06941,086
0320,焚,1,7,,,06867,086
0321,爲,1,5,,,07032,087
0322,07036,1,3,,,07036,088
0323,特,1,2,,,07086,093
0324,珂,1,3,,,07281,096
0325,瑟,1,2,,,07347,096
0326,現,1,3,,,07304,096
0327,瓶,1,5,,,07426,098
0328,生,1,3,,,07461,100
0329,用,1,33,,,07469,101
0330,當,1,31,,,07535,102
0331,病,1,7,,,07598,104
0332,瘧,1,3,,,07655,104
0333,發,1,2,,,07707,105
0334,白,1,15,,,07709,106
0335,皆,1,5,,,07717,106
0336,盛,1,3,,,07770,108
0337,睹,1,3,,,07870,109
0338,瞿,1,3,,,07910,109
0339,衆,1,2,,,07844,109
0340,相,1,4,,,07801,109
0341,石,1,2,,,07954,112
0342,祖,1,3,,,08117,113
0343,禰,1,3,,,08166,113
0344,祠,1,2,,,08126,113
0345,種,1,2,,,08244,115
0346,空,1,2,,,08296,116
0347,童,1,4,,,08371,117
0348,綱,1,2,,,08884,120
0349,線,1,3,,,08916,120
0350-0351,羅,1,52,,,09144,122
0352,翳,1,2,,,09238,124
0353,者,1,36,,,09255,125
0354,耨,1,2,,,09286,127
0355,能,1,12,,,09429,130
0356,自,1,2,,,09602,132
0357,至,1,3,,,09610,133
0358,致,1,6,,,09611,133
0359,擧,1,9,,,09632,134
0360,舍,1,3,,,09638,135
0361,花,1,3,,,09758,140
0362,蘭,1,3,,,10251,140
0363,藏,1,3,,,10191,140
0364,薩,1,14,,,10163,140
0365,芥,1,10,,,09747,140
0366,藥,1,3,,,10204,140
0367,葛,1,22,,,09976,140
0368,若,2,31,4,,09788,140
0369,虞,1,5,,,10275,141
0370,處,1,7,,,10270,141
0371,行,1,11,,,10614,144
0372,解,1,2,,,10875,148
0373,言,1,4,,,10890,149
0374,11005,1,12,,,11005,149
0375,訖,1,13,,,10912,149
0376,訥,1,4,,,10921,149
0377,諸,1,11,,,11085,149
0378,護,1,5,,,11200,149
0379,誦,1,40,,,11023,149
0380,象,1,2,,,11275,152
0381,賀,1,13,,,11364,154
0382,贊,1,2,,,11432,154
0383,赧,1,4,,,11448,155
0384,11536,1,3,,,11536,157
0385,路,1,18,,,11548,157
0386,蹉,1,2,,,11619,157
0387,身,1,5,,,11715,158
0388,輸,1,2,,,11841,159
0389,遷,1,2,,,12093,162
0390,還,1,4,,,12108,162
0391,遣,2,2,1,,12074,162
0392,迷,1,5,,,11974,162
0393,邪,1,2,,,12139,163
0394,都,1,3,,,12188,163
0395-0396,那,1,53,,,12134,163
0397,部,1,3,,,12176,163
0398,12284,1,30,,,12284,１64
0400,野,1,12,,,12374,166
0401,鉢,1,47,,,12440,167
0402,鑁,1,3,,,M55984,167
0403,閼,1,2,,,12758,169
0404,陣,1,2,,,12854,170
0405,隨,1,11,,,12927,170
0406,阿,1,20,,,12830,170
0407,除,1,8,,,12855,170
0408,離,1,4,,,13001,172
0409,難,2,1,1,,13002,172
0410,13375,1,15,,,13375,181
0411,頂,1,2,,,13296,181
0412,養,1,2,,,13551,184
0413,香,1,35,,,13667,186
0414,龍,1,2,,,14876,212
0415,取,2,1,1,,01127,029
0416,01569,2,43,1,,01569,030
0417,M04549,2,6,1,,,030
0418,嚢,2,4,1,,01595,030
0419,墮,2,1,1,,01863,032
0420,夷,2,1,1,,01961,037
0421,02295,2,9,7,,02295,039
0422,安,2,33,1,,02309,040
0423,尼,2,3,2,,02473,044
0424,數,2,1,1,,04298,066
0425,曼,2,21,1,,04660,073
0426,朗,2,12,1,,04690,074
0427,欲,2,27,3,,05580,076
0428,沒,2,4,3,,06023,085
0429,爾,1,2,,,07043,089
0430,等,2,5,1,,08426,118
0431,繋,2,1,1,,09030,120
0432,臂,2,1,1,,09568,130
0433,與,2,2,1,,09629,134
0434,蘇,2,14,1,,10231,140
0435,設,2,9,7,,10928,149
0436,説,2,8,8,,11025,149
0437,駄,2,24,7,,13708,187
0438,淨,3,3,1,1,06272,085
0439,就,3,13,1,1,02464,043
0440,00260,1,8,,,00260,009
