統合ID,文字,カード番号,字体数,用例数,部首,枚数,,
06487,漏,0327,1 ,22 ,085,1 ,,
06835,烏,0328,1 ,6 ,086,1 ,,
06957,熱,0329,1 ,2 ,086,1 ,,
07032,爲,0330,1 ,91 ,087,2 ,,
07043,爾,0332,1 ,70 ,089,2 ,,
07072,牛,0334,1 ,5 ,093,1 ,,
07112,犯,0335,1 ,194 ,094,4 ,,
07125,狂,0339,1 ,24 ,094,1 ,,
07139,狗,0340,1 ,6 ,094,1 ,,
07192,猪,0341,1 ,6 ,094,1 ,,
07230,獨,0342,1 ,24 ,094,1 ,,
07248,獸,0343,1 ,3 ,094,1 ,,
07262,王,0344,1 ,2 ,096,1 ,,
07456,甘,0345,1 ,3 ,099,1 ,,
07461,生,0346,1 ,2 ,100,1 ,,
07469,用,0347,1 ,7 ,101,1 ,,
07559,疑,0348,1 ,2 ,103,1 ,,
07591,疾,0349,1 ,9 ,104,1 ,,
07598,病,0350,1 ,30 ,104,1 ,,
07613,痛,0351,1 ,25 ,104,1 ,,
07649,瘡,0352,1 ,2 ,104,1 ,,
07685,癡,0353,1 ,46 ,104,1 ,,
07709,白,0354,1 ,99 ,106,2 ,,
07717,皆,0356,1 ,13 ,106,1 ,,
07771,盜,0357,1 ,2 ,108,1 ,,
07779,盡,0358,1 ,12 ,108,1 ,,
07843,眼,0359,1 ,2 ,109,1 ,,
07844,衆,0360,1 ,11 ,109,1 ,,
07907,瞻,0361,1 ,2 ,109,1 ,,
07941,知,0362,1 ,83 ,111,2 ,,
08107,祇,0364,1 ,24 ,113,1 ,,
08244,種,0365,1 ,63 ,115,2 ,,
08248,稱,0367,1 ,16 ,115,1 ,,
08303,突,0368,1 ,113 ,116,3 ,,
08412,第,0371,1 ,6 ,118,1 ,,
08426,等,0372,1 ,46 ,118,1 ,,
08767,索,0373,1 ,15 ,120,1 ,,
08807,結,0374,1 ,26 ,120,1 ,,
08822,給,0375,1 ,24 ,120,1 ,,
08963,縛,0376,1 ,2 ,120,1 ,,
09030,繋,0377,1 ,4 ,120,1 ,,
09064,纏,0378,1 ,24 ,120,1 ,,
09128,置,0379,1 ,2 ,122,1 ,,
09139,09139,0380,1 ,29 ,122,1 ,,
09144,羅,0381,1 ,118 ,122,3 ,,
09155,美,0384,1 ,3 ,123,1 ,,
09175,羣,0385,1 ,85 ,123,2 ,,
09177,義,0387,1 ,43 ,123,1 ,,
09191,羹,0388,1 ,66 ,123,2 ,,
09255,者,0390,1 ,136 ,125,3 ,,
09264,而,0393,1 ,28 ,126,1 ,,
09315,聞,0394,1 ,25 ,128,1 ,,
09328,聲,0395,1 ,13 ,128,1 ,,
09335,聽,0396,1 ,2 ,128,1 ,,
09357,肘,0397,1 ,2 ,130,1 ,,
09508,腰,0398,1 ,9 ,130,1 ,,
09554,膳,0399,1 ,2 ,130,1 ,,
09568,臂,0400,1 ,8 ,130,1 ,,
09596,臣,0401,1 ,2 ,131,1 ,,
09602,自,0402,1 ,71 ,132,2 ,,
09610,至,0404,1 ,51 ,133,2 ,,
09632,擧,0406,1 ,2 ,134,1 ,,
09638,舍,0407,1 ,83 ,135,2 ,,
09788,若,0409,1 ,82 ,140,2 ,,
09961,落,0411,1 ,3 ,140,1 ,,
09966,葉,0412,1 ,2 ,140,1 ,,
