統合ID,文字,カード番号,字体数,用例数,部首
00606,具,0151,1,37,012
00672,冷,0152,1,2,015
00734,分,0153,1,2,018
00759,初,0154,1,48,018
00769,到,0155,1,19,018
00776,制,0156,1,24,018
00782,刺,0157,1,3,018
00794,前,0158,1,2,018
00985,十,0159,1,24,024
00994,半,0160,1,5,024
01038,却,0161,1,3,026
01049,即,0162,1,20,026
01101,去,0163,1,28,028
01109,叉,0164,1,47,029
01111,及,0165,1,2,029
01127,取,0166,1,26,029
01141,口,0167,1,16,030
01143,句,0168,1,24,030
01158,右,0169,1,18,030
01172,吉,0170,1,113,030
01197,含,0173,1,6,030
01219,告,0174,1,24,030
01245,呵,0175,1,49,030
01252,命,0176,1,9,030
01369,問,0177,1,4,030
01410,喚,0178,1,6,030
01503,01503,0179,1,3,030
01600,囑,0180,1,2,030
01639,國,0181,1,26,031
01644,園,0182,1,24,031
01659,在,0183,1,61,032
01666,地,0185,1,2,032
01683,坑,0186,1,3,032
01796,報,0187,1,3,032
01833,塹,0188,1,2,032
01863,墮,0189,1,3,032
01903,士,0190,1,76,033
01934,外,0192,1,17,036
01938,多,0193,1,37,036
01939,夜,0194,1,16,036
01946,大,0195,1,19,037
02029,好,0196,1,15,038
02031,如,0197,1,132,038
02105,威,0200,1,46,038
02142,婆,0201,1,4,038
02203,嫌,0202,1,43,038
02262,子,0203,1,24,039
02277,孤,0204,1,24,039
02293,學,0205,1,23,039
02349,家,0206,1,16,040
02352,容,0207,1,5,040
02429,尊,0208,1,76,041
02439,小,0210,1,3,042
02440,少,0211,1,29,042
02464,就,0212,1,16,043
02469,尸,0213,1,9,044
02472,尻,0214,1,2,044
02473,尼,0215,1,77,044
02482,居,0217,1,76,044
02774,左,0219,1,18,048
02782,己,0220,1,10,049
02783,已,0221,1,87,049
02835,師,0223,1,4,050
02899,平,0224,1,6,051
02944,度,0225,1,6,053
03037,式,0226,1,34,056
03065,張,0227,1,8,057
03084,彌,0228,1,48,057
03101,形,0229,1,2,059
03124,彼,0230,1,14,060
03128,往,0231,1,51,060
03132,待,0233,1,3,060
03145,得,0234,1,32,060
03179,心,0235,1,26,061
03320,悔,0236,1,2,061
03329,患,0237,1,2,061
03367,惡,0238,1,4,061
03372,惱,0239,1,24,061
03373,想,0240,1,4,061
03395,意,0241,1,7,061
03405,愛,0242,1,2,061
03414,愧,0243,1,45,061
03453,慙,0244,1,45,061
03550,應,0245,1,46,061
03587,懺,0246,1,24,061
03611,我,0247,1,22,062
03612,戒,0248,1,125,062
03617,或,0251,1,67,062
03636,戲,0253,1,7,062
03647,所,0254,1,97,063
03659,手,0256,1,30,064
03666,打,0257,1,3,064
03672,扠,0258,1,9,064
03700,把,0259,1,2,064
03780,持,0260,1,16,064
03793,挑,0261,1,4,064
03825,捐,0262,1,2,064
