カード番号,文字,部首,字体数,用例数1,用例数2,大字典
0269,09609,132,0,,,09609
0270,蒼,140,0,,,10031
0271,葦,140,0,,,09982
0272,10042,140,0,,,10042
0273,蔚,140,0,,,10076
0274,茂,140,0,,,09807
0275,09973,140,0,,,09973
0276,09805,140,0,,,09805
0277,蘭,140,0,,,10251
0278,莅,140,0,,,09867
0279,09888,140,0,,,09888
0280,薪,140,0,,,10164
0281,蛇,142,0,,,10349
0282,蠖,142,0,,,10575
0283,蟄,142,0,,,10528
0284,蟹,142,0,,,10555
0285,10562,142,0,,,10562
0286,衞,144,0,,,10630
0287,術,144,0,,,10618
0288,褫,145,0,,,10759
0289,褊,145,0,,,10737
0290,10654,145,0,,,10654
0291,襃,145,0,,,10774
0292,補,145,0,,,10714
0293,睹,109,0,,,07870
0294,諮,149,0,,,11076
0295,詳,149,0,,,10984
0296,講,149,0,,,11119
0297,誥,149,0,,,11022
0299,誣,149,0,,,11021
0300,11291,152,0,,,11291
0301,豹,153,0,,,11293
0302,贍,154,0,,,11433
0303,責,154,0,,,11344
0304,貢,154,0,,,11335
0305,貝,154,0,,,11328
0306,貫,154,0,,,11343
0307,賞,154,0,,,11394
0308,貨,154,0,,,11339
0309,贊,154,0,,,11432
0310,質,154,1,4,,11404
0311,赦,155,0,,,11447
0312,疏,103,0,,,07557
0313,躋,157,0,,,11686
0314,躅,157,0,,,11678
0315,11644,157,0,,,11644
0316,跛,157,1,4,,11531
0317,踰,157,0,,,11593
0318,路,157,0,,,11548
0319,11832,159,0,,,11832
0320,輕,159,0,,,11802
0321,軌,159,0,,,11744
0322,轉,159,0,,,11856
0323,追,162,0,,,11979
0324,遏,162,0,,,12047
0325,遐,162,0,,,12048
0326,遊,162,0,,,12042
0327,12109,162,0,,,12109
0328,遘,162,0,,,12060
0329,迭,162,0,,,11966
0330,酌,164,0,,,12262
0331,酢,164,0,,,12282
0332,酬,164,0,,,12294
0333,醇,164,0,,,12312
0334,量,166,0,,,12376
0335,鉤,167,0,,,12441
0336,闕,169,0,,,12783
0337,關,169,0,,,12790
0338,12759,169,0,,,12759
0339,陂,170,0,,,12833
0340,降,170,0,,,12838
0341,除,170,0,,,12855
0342,陳,170,0,,,12864
0343,阻,170,0,,,12826
0344,12923,170,0,,,12923
0345,隻,172,0,,,12950
0346,鷄,196,0,,,14542
0347,12995,172,0,,,12995
0348,靈,173,0,,,13092
0349,霆,173,0,,,13035
0350,靡,175,0,,,13107
0351,13204,177,0,,,13204
0352,響,180,0,,,13293
0353,煩,086,0,,,06921
0354,頂,181,0,,,13296
0355,13298,181,0,,,13298
0356,13520,184,0,,,13520
0357,飽,184,0,,,13541
0358,饋,184,0,,,13635
0359,13691,187,0,,,13691
0360,驅,187,0,,,13839
0361,馮,187,0,,,13682
0362,驕,187,0,,,13845
0363,馴,187,0,,,13689
0364,髮,190,0,,,13959
0365,鬯,192,0,,,14036
0366,魂,194,0,,,14067
0367,鼈,205,0,,,14766
0368,鹵,197,0,,,14612
0369,黒,203,0,,,14709
0370,黔,203,0,,,14717
0371-0372,一,001,1,63,,00001
0373,丈,001,1,4,,00006
0374,且,001,1,12,,00020
0375,七,001,1,6,,00004
0376-0383,不,001,1,482,,00013
0384-0386,三,001,1,119,,00007
0387,丘,001,1,4,,00026
0388-0390,下,001,1,142,,00009
0391-0394,上,001,1,190,,00008
0395,世,001,1,11,,00025
0396-0398,中,002,1,153,,00051
0399,主,003,1,27,,00070
0400,久,004,1,19,,00085
0401,乃,004,1,48,,00078
0402-0404,乎,004,1,148,,00092
0405,乘,004,1,27,,00102
0406-0416,之,004,1,711,,00088
0417,乖,004,1,6,,00100
0418,亂,005,1,8,,00121
0419-0422,九,005,1,218,,00107
0423,乙,005,1,3,,00104
0424-0425,乾,005,1,62,,00118
0426-0441,也,005,1,1052,,00109
0442,事,006,1,54,,00128
0443-0444,二,007,1,99,,00129
0445-0446,五,007,1,94,,00135
0447-0449,于,007,1,121,,00132
0450,井,007,1,28,,00136
0451,云,007,1,7,,00133
0452-0453,亨,008,1,106,,00155
0454,亦,008,1,26,,00154
0455,亡,008,1,39,,00150
0456,亢,008,1,8,,00151
0457,享,008,1,3,,00156
0458,交,008,1,21,,00152
0459,00167,008,1,4,,00167
0460-0463,人,009,1,208,,00168
0464-0471,以,009,1,512,,00194
0472,但,009,1,2,,00240
0473,例,009,1,2,,00287
0474-0475,位,009,1,119,,00243
0476,何,009,1,51,,00250
0477,介,009,1,8,,00176
0478,作,009,1,19,,00256
0479,係,009,1,9,,00323
0480,侵,009,1,2,,00317
0481,備,009,1,6,,00455
0482,傾,009,1,3,,00475
0483,休,009,1,4,,00219
0484,儉,009,1,2,,00524
0485,伏,009,1,4,,00217
0486,傷,009,1,8,,00473
0487,使,009,1,8,,00279
0488,侯,009,1,11,,00313
0489,偕,009,1,4,,00414
0490,假,009,1,8,,00405
0491,伐,009,1,9,,00218
0492,仁,009,1,10,,00170
0493,仇,009,1,2,,00174
0494,億,009,1,2,,00520
0495,信,009,1,23,,00345
0496,僕,009,1,3,,00493
0497,俯,009,1,2,,00349
0498,仰,009,1,2,,00199
0499,像,009,1,2,,00489
0500,依,009,1,2,,00301
0501-0502,來,009,1,66,,00282
0503,今,009,1,2,,00175
0504,保,009,1,7,,00342
0505,健,009,1,17,,00421
0506,儀,009,1,5,,00516
0507,僞,009,1,6,,00498
0508,伸,009,1,4,,00232
0509,任,009,1,4,,00206
0510,光,010,1,28,,00567
0511,兄,010,1,2,,00561
0512,克,010,1,14,,00568
0513,允,010,1,4,,00559
0514,元,010,1,51,,00560
0515,兌,010,1,25,,00569
0516,先,010,1,32,,00566
0517,免,010,1,4,,00570
0518,内,011,1,22,,00585
0519,兩,011,1,8,,00591
0520,入,011,1,25,,00582
0521,全,011,1,4,,00589
0522-0525,六,012,1,238,,00597
0526,八,012,1,12,,00594
0527,兼,012,1,4,,00613
0528,公,012,1,14,,00596
0529,典,012,1,5,,00608
0530-0537,其,012,1,428,,00605
0538,再,013,1,6,,00629
0539,冥,014,1,3,,00651
0540,冰,015,1,5,,00664
0541,凝,015,1,2,,00696
0542,次,076,1,9,,05558
0543,凡,016,1,9,,00701
0544,出,017,1,46,,00723
0545-0547,凶,017,1,121,,00718
0548,剥,018,1,20,,00805
0549,前,018,1,7,,00794
0550,00753,018,1,2,,00753
0551,刑,018,1,5,,00746
0552,00848,018,1,3,,00848
0553,00811,018,1,2,,00811
0554-0557,利,018,1,212,,00767
0558-0559,剛,018,1,100,,00803
0560-0562,則,018,1,135,,00789
0563,制,018,1,13,,00776
0564,列,018,1,6,,00754
0565,分,018,1,10,,00734
0566,勞,019,1,9,,00894
0567,勸,019,1,2,,00913
0568,務,019,1,3,,00890
0569,助,019,1,3,,00863
0570,加,019,1,2,,00858
0571-0572,動,019,1,72,,00887
0573,功,019,1,27,,00857
0574,勝,019,1,9,,00893
0575,勿,020,1,39,,00919
0576,包,020,1,6,,00924
0577,化,021,1,29,,00938
0578,北,021,1,7,,00941
0579,匪,022,1,20,,00959
0580,匹,023,1,2,,00975
0581,南,024,1,13,,01010
0582,十,024,1,14,,00985
0583,千,024,1,3,,00987
0584,廿,024,1,2,,00988
0585,半,024,1,2,,00994
0586,卑,024,1,11,,01003
0587,博,024,1,3,,01016
0588,占,025,1,5,,01022
0589-0590,卦,025,1,65,,01024
0591,危,026,1,19,,01035
0592,即,026,1,8,,01049
0593,厥,027,1,4,,01079
0594,厚,027,1,6,,01068
0595,01095,027,1,41,,01095
0596,原,027,1,6,,01074
0597,參,028,1,2,,01104
0598,去,028,1,6,,01101
0599,取,029,1,28,,01127
0600,及,029,1,11,,01111
0601-0602,受,029,1,68,,01128
0603,友,029,1,3,,01112
0604,又,029,1,12,,01108
0605,反,029,1,24,,01116
0606-0608,君,030,1,151,,01185
0609,同,030,1,46,,01174
0610,合,030,1,24,,01170
0611,嗟,030,1,7,,01451
0612,咥,030,1,5,,01277
0613,商,030,1,3,,01363
0614,咸,030,1,22,,01288
0615,品,030,1,6,,01296
0616,各,030,1,9,,01168
0617,哉,030,1,21,,01305
0618,右,030,1,4,,01158
0619-0623,吉,030,1,285,,01172
0624-0626,咎,030,1,168,,01265
0627,名,030,1,10,,01175
0628,古,030,1,7,,01142
0629,否,030,1,17,,01190
0630,命,030,1,34,,01252
0631,善,030,1,18,,01395
0632,吝,030,1,37,,01186
0633,唯,030,1,15,,01349
0634-0356,可,030,1,136,,01154
0637,器,030,1,12,,01523
0638,噬,030,1,14,,01525
0639,01445,030,1,8,,01445
0640,喜,030,1,11,,01412
0641,含,030,1,7,,01197
0642,嚴,030,1,2,,01581
0643,咨,030,1,2,,01278
0644,嘉,030,1,8,,01468
0645,01287,030,1,2,,01287
0646,問,030,1,4,,01369
0647,嚢,030,1,3,,01595
0648,01494,030,1,4,,01494
0649,喪,030,1,20,,01430
0650,吾,030,1,2,,01217
0651,唖,030,1,8,,01382
0652,后,030,1,3,,01176
0653,01437,030,1,4,,01437
0654,嚮,030,1,2,,01574
0655,口,030,1,6,,01141
0656,和,030,1,13,,01263
0657,嘗,030,1,2,,01479
0658,召,030,1,2,,01150
0659,告,030,1,12,,01219
0660,周,030,1,3,,01235
0661-0662,四,031,1,100,,01607
0663,困,031,1,29,,01623
0664,國,031,1,14,,01639
0665,圍,031,1,2,,01641
0666,固,031,1,5,,01627
0667,因,031,1,3,,01611
0668-0669,地,032,1,110,,01666
0670,均,032,1,3,,01674
0671,執,032,1,6,,01755
0672-0673,在,032,1,94,,01659
0674,塗,032,1,3,,01818
0675,坎,032,1,26,,01680
0676,垂,032,1,3,,01710
0677,堯,032,1,2,,01793
0678,塞,032,1,2,,01823
0679,坦,032,1,2,,01690
0680,01844,032,1,4,,01844
0681,土,032,1,2,,01654
0682,堅,032,1,6,,01767
0683,坤,032,1,34,,01689
0684,士,033,1,3,,01903
0685,壯,033,1,27,,01905
0686,外,036,1,28,,01934
0687,多,036,1,15,,01938
0688,夜,036,1,4,,01939
0689,夕,036,1,3,,01932
0690,夙,036,1,2,,01936
0691,夷,037,1,17,,01961
0692,夫,037,1,56,,01949
0693-0696,大,037,1,234,,01946
0697-0700,天,037,1,216,,01947
0701,夬,037,1,15,,01950
0702,奇,037,1,2,,01972
0703,奔,037,1,2,,01986
0704,妄,038,1,15,,02033
0705,始,038,1,27,,02069
0706,女,038,1,38,,02022
0707,如,038,1,54,,02031
0708,妻,038,1,9,,02061
0709,好,038,1,8,,02029
0710,妹,038,1,15,,02059
0711,02089,038,1,8,,02089
0712,妾,038,1,4,,02062
0713,姓,038,1,2,,02077
0714,02124,038,1,5,,02124
0715,媾,038,1,6,,02194
0716,婚,038,1,6,,02149
0717,婦,038,1,17,,02155
0718-0721,子,039,1,191,,02262
0722,孰,039,1,6,,02284
0723,存,039,1,43,,02268
0724,孤,039,1,3,,02277
0725,孕,039,1,3,,02265
0726-0727,孚,039,1,63,,02270
0728,容,040,1,9,,02352
0729,定,040,1,18,,02325
0730,寡,040,1,8,,02386
0731,安,040,1,20,,02309
0732,守,040,1,6,,02308
0733,察,040,1,6,,02383
0734,宮,040,1,7,,02342
0735,宗,040,1,9,,02322
0736,宜,040,1,16,,02327
0737,家,040,1,29,,02349
0738,寒,040,1,7,,02371
0739,它,040,1,5,,02304
0740,害,040,1,13,,02346
0741,寧,040,1,6,,02392
0742,官,040,1,2,,02323
0743,寵,040,1,3,,02406
0744,密,040,1,9,,02361
0745,客,040,1,3,,02331
0746,室,040,1,4,,02332
0747,宴,040,1,2,,02347
0748,字,039,1,3,,02267
0749,富,040,1,11,,02366
0750,寇,040,1,13,,02363
0751,實,040,1,13,,02390
0752,宅,040,1,2,,02306
0753,對,041,1,3,,02435
0754,尊,041,1,10,,02429
0755,尋,041,1,4,,02430
0756,射,041,1,8,,02422
0757,將,041,1,5,,02425
0758-0759,小,042,1,94,,02439
0760,尚,042,1,28,,02446
0761,少,042,1,6,,02440
0762,尤,043,1,7,,02456
0763,就,043,1,3,,02464
0764,居,044,1,35,,02482
0765,履,044,1,34,,02508
0766,屈,044,1,7,,02485
0767,02511,044,1,3,,02511
0768,尸,044,1,4,,02469
0769,屋,044,1,2,,02488
0770,尾,044,1,11,,02478
0771,緩,120,1,3,,08929
0772,屯,045,1,12,,02518
0773,山,046,1,23,,02528
0774,崇,046,1,6,,02607
0775,岐,046,1,2,,02540
0776,川,047,1,21,,02762
0777,左,048,1,7,,02774
0778,巫,048,1,2,,02779
0779,巧,048,1,2,,02775
0780,已,049,1,18,,02783
0781,巽,049,1,39,,02795
0782,巷,049,1,2,,02792
0783,常,050,1,17,,02847
0784,帥,050,1,2,,02828
0785,師,050,1,24,,02835
0786,帝,050,1,10,,02820
0787,市,050,1,2,,02799
0788,平,051,1,7,,02899
0789,幹,051,1,10,,02905
0790,年,051,1,7,,02900
0791,幾,052,1,13,,02915
0792,幽,052,1,10,,02912
0793,序,053,1,5,,02928
0794,度,053,1,5,,02944
0795,廢,053,1,2,,02992
0796,庭,053,1,9,,02952
0797,庸,053,1,2,,02963
0798,廟,053,1,6,,02989
0799,康,053,1,2,,02962
0800,廬,053,0,,,02999
0801,庚,053,1,2,,02936
0802,庶,053,1,5,,02961
0803,廣,053,1,6,,02993
0804,建,054,1,6,,03006
0805,弑,056,1,2,,03039
0806,弗,057,1,23,,03046
0807,弱,057,1,5,,03064
0808,彌,057,1,2,,03084
0809,彊,057,1,2,,03081
0810,弟,057,1,4,,03052
0811,弧,057,1,4,,03056
0812,引,057,1,6,,03044
0813,弓,057,1,2,,03042
0814,彙,058,1,2,,03097
0815-0816,彖,058,1,75,,03093
0817,形,059,1,10,,03101
0818,彭,059,1,2,,03113
0819,役,060,1,2,,03123
0820,徒,060,1,2,,03143
0821,徐,060,1,6,,03141
0822,待,060,1,7,,03132
0823,微,060,1,4,,03165
0824,後,060,1,51,,03138
0825,彼,060,1,2,,03124
0826,律,060,1,4,,03137
0827,從,060,1,33,,03151
0828-0829,徳,060,1,82,,03172
0830-0832,得,060,1,134,,03145
0833,復,060,1,44,,03159
0834,征,060,1,29,,03129
0835,御,060,1,4,,03153
0836-0837,往,060,1,106,,03128
0838,惻,061,1,2,,03381
0839,愆,061,1,2,,03390
0840,03188,061,1,2,,03188
0841,恐,061,1,2,,03272
0842,懷,061,1,2,,03585
0843,恭,061,1,3,,03297
0844,慶,061,1,11,,03474
0845,快,061,1,3,,03208
0846,悶,061,1,3,,03339
0847,恤,061,1,9,,03288
0848,恆,061,1,29,,03267
0849,03359,061,1,9,,03359
0850,愼,061,1,10,,03429
0851,悖,061,1,4,,03321
0852,懲,061,1,3,,03579
0853,惠,061,1,4,,03366
0854,惑,061,1,2,,03355
0855,怪,061,1,2,,03248
0856,患,061,1,6,,03329
0857,悔,061,1,59,,03320
0858,應,061,1,45,,03550
0859,愛,061,1,5,,03405
0860,慢,061,1,3,,03458
0861,惡,061,1,13,,03367
0862,思,061,1,16,,03239
0863,意,061,1,21,,03395
0864,懼,061,1,9,,03589
0865,感,061,1,10,,03409
0866,情,061,1,22,,03348
0867,必,061,1,45,,03180
0868,心,061,1,30,,03179
0869,慮,061,1,5,,03466
0870,忌,061,1,2,,03183
0871-0872,志,061,1,70,,03194
0873,忘,061,1,16,,03196
0874,憂,061,1,21,,03486
0875,性,061,1,6,,03244
0876,息,061,1,8,,03298
0877,愬,061,1,4,,03418
0878,憧,061,1,6,,03519
0879,戰,062,1,5,,03633
0880,戎,062,1,8,,03607
0881,戔,062,1,2,,03614
0882,戒,062,1,9,,03612
0883,03616,062,1,2,,03616
0884,我,062,1,26,,03611
0885-0886,成,062,1,61,,03610
0887,威,038,1,7,,02105
0888,或,062,1,47,,03617
0889,戸,063,1,8,,03640
0890-0891,所,063,1,100,,03647
0892,撃,064,1,5,,04087
0893,指,064,1,2,,03783
0894,損,064,1,21,,03939
0895,03908,064,1,2,,03908
0896,拂,064,1,3,,03730
0897,拘,064,1,2,,03757
0898,04054,064,1,2,,04054
0899,揮,064,1,2,,03921
0900,括,064,1,4,,03764
0901,拔,064,1,5,,03750
0902,摧,064,1,2,,04008
0903,拇,064,1,4,,03736
0904,接,064,1,3,,03878
0905,振,064,1,3,,03799
0906,攣,064,1,4,,04204
0907,掛,064,1,2,,03867
0908,03663,064,1,2,,03663
0909,才,064,1,2,,03661
0910,擬,064,1,6,,04122
0911,撰,064,1,3,,04070
0912,推,064,1,8,,03880
0913,據,064,1,6,,04106
0914,折,064,1,9,,03711
0915,拯,064,1,4,,03767
0916,承,064,1,14,,03690
0917,揚,064,1,4,,03904
0918,招,064,1,2,,03758
0919,敬,066,1,7,,04286
0920-0923,故,066,1,207,,04243
0924,改,066,1,7,,04228
0925,攸,066,1,46,,04227
0926,敦,066,1,7,,04281
0927,敝,066,1,2,,04272
0928,敗,066,1,3,,04268
0929,教,066,1,5,,04261
0930,效,066,1,5,,04251
0931,攻,066,1,3,,04231
0932,散,066,1,4,,04280
0933,數,066,1,17,,04298
0934,敵,066,1,4,,04293
0935-0936,變,066,1,65,,04319
0937,救,066,1,2,,04263
0938,文,067,1,30,,04321
0939,斷,069,1,10,,04381
0940,斯,069,1,12,,04373
0941,新,069,1,3,,04376
0942,斧,069,1,4,,04364
0943,旅,070,1,20,,04402
0944,施,070,1,10,,04391
0945,旁,070,1,2,,04394
0946,方,070,1,27,,04385
0947-0948,於,070,1,79,,04389
0949-0954,无,071,1,301,,04439
0955-0956,是,072,1,82,,04512
0957,暑,072,1,4,,04587
0958,昔,072,1,2,,04490
0959,旬,072,1,3,,04453
0960,晦,072,1,4,,04552
0961,晉,072,1,10,,04530
0962,昃,072,1,3,,04476
0963-0964,時,072,1,74,,04523
0965,昧,072,1,6,,04505
0966,暢,072,1,2,,04600
0967-0968,明,072,1,92,,04485
0969,暴,072,1,3,,04608
0970-0971,易,072,1,87,,04489
0972,晝,072,1,5,,04542
0973-0974,日,072,1,61,,04446
0975,最,073,1,3,,04664
0976,曳,073,1,6,,04653
0977,書,073,1,6,,04657
0978-0987,曰,073,1,573,,04650
0988,曲,073,1,3,,04651
0989-0995,有,074,1,361,,04674
0996,望,074,1,5,,04693
0997,期,074,1,5,,04699
0998,朝,074,1,2,,04696
0999,朋,074,1,15,,04676
1000,月,074,1,18,,04673
1001,楫,075,1,2,,05150
1002,杵,075,1,2,,04769
1003,材,075,1,3,,04738
1004,案,075,1,2,,04933
1005,樂,075,1,6,,05279
1006,朶,075,1,2,,04720
1007,枯,075,1,3,,04813
1008,校,075,1,6,,04904
1009,机,075,1,2,,04723
1010,樽,075,1,2,,05327
1011,榮,075,1,2,,05210
1012,機,075,1,2,,05368
1013,樞,075,1,2,,05307
1014,桷,075,1,2,,04961
1015,04838,075,1,2,,04838
1016,木,075,1,25,,04707
1017,東,075,1,9,,04765
1018,桓,075,1,2,,04942
1019,柄,075,1,2,,04836
1020,桑,075,1,2,,04941
1021,楊,075,1,3,,05123
1022,果,075,1,6,,04806
1023,橈,075,1,8,,05343
1024,業,075,1,12,,05152
1025,棟,075,1,8,,05037
1026-1027,未,075,1,68,,04711
1028,末,075,1,5,,04712
1029,極,075,1,12,,05161
1030-1031,柔,075,1,71,,04849
1032,本,075,1,11,,04713
1033,歌,076,1,2,,05609
1034,欲,076,1,2,,05580
1035,歳,077,1,9,,05666
1036,歸,077,1,29,,05676
1037-1038,正,077,1,75,,05643
1039,此,077,1,26,,05644
1040,止,077,1,21,,05641
1041,武,077,1,8,,05649
1042,歴,077,1,3,,05670
1043,死,078,1,6,,05686
1044,殊,078,1,2,,05717
1045,殺,079,1,3,,05796
1046,殷,079,1,2,,05795
1047,毀,079,1,2,,05812
1048,毒,080,1,3,,05839
1049,母,080,1,7,,05834
1050,比,081,1,26,,05841
1051,氏,083,1,5,,05932
1052,民,083,1,41,,05935
1053,氣,084,1,7,,05947
1054,沛,085,1,3,,06034
1055,渝,085,1,6,,06315
1056,浸,085,1,3,,06183
1057,泰,085,1,7,,06098
