,,kar_開成論語,kar_開成論語,kar_開成論語,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
08468,箕,0279,0,1,118
08454,筲,0280,0,1,118
08630,籩,0281,0,1,118
08437,答,0282,0,1,118
08564,簞,0283,0,1,118
08718,糧,0284,0,1,119
08711,糞,0285,0,1,119
08685,精,0286,0,1,119
08856,經,0287,0,1,120
09017,繚,0288,0,1,120
09030,繋,0290,0,1,120
08736,紂,0291,0,1,120
08852,綌,0292,0,1,120
08791,紾,0293,0,1,120
08841,絺,0294,0,1,120
08903,緅,0295,0,1,120
08788,紺,0296,0,1,120
08779,細,0297,0,1,120
08739,紅,0298,0,1,120
08884,綱,0299,0,1,120
08945,緼,0300,0,1,120
08822,給,0301,0,1,120
08879,維,0302,0,1,120
08818,絢,0303,0,1,120
09029,繪,0304,0,1,120
09085,缺,0305,0,1,121
09106,罕,0306,0,1,122
09104,罔,0307,0,1,122
09191,羹,0308,0,1,123
09168,羞,0309,0,1,123
09186,羲,0310,0,1,123
09218,翕,0311,0,1,124
09216,翔,0312,0,1,124
09195,羽,0313,0,1,124
09199,羿,0314,0,1,124
09251,考,0315,0,1,125
09285,耦,0316,0,1,127
09289,耰,0317,0,1,127
09326,聰,0318,0,1,128
09314,聚,0319,0,1,128
09344,肅,0320,0,1,129
09564,膾,0321,0,1,130
09366,肥,0322,0,1,130
09499,腥,0323,0,1,130
09466,脯,0324,0,1,130
09605,臭,0325,0,1,132
09636,舌,0326,0,1,135
09657,舟,0327,0,1,137
09778,苗,0328,0,1,140
09848,荏,0329,0,1,140
09880,莞,0330,0,1,140
09910,菜,0331,0,1,140
10008,蒙,0332,0,1,140
10149,薑,0333,0,1,140
09844,荊,0334,0,1,140
10154,薛,0335,0,1,140
10160,薦,0336,0,1,140
10204,藥,0337,0,1,140
09871,莒,0338,0,1,140
09837,荀,0339,0,1,140
10217,藻,0340,0,1,140
09763,芸,0341,0,1,140
10047,蓧,0342,0,1,140
10119,蕢,0343,0,1,140
09924,菲,0344,0,1,140
10266,虐,0345,0,1,141
10276,號,0346,0,1,141
10603,蠻,0347,0,1,142
10631,衡,0348,0,1,144
10667,袍,0349,0,1,145
10662,袂,0350,0,1,145
10775,襄,0351,0,1,145
10789,襜,0352,0,1,145
10643,表,0353,0,1,145
10773,襁,0354,0,1,145
10720,裨,0355,0,1,145
10683,被,0356,0,1,145
10657,衽,0357,0,1,145
10654,衹,0358,0,1,145
10696,裁,0359,0,1,145
10822,要,0360,0,1,146
10858,覿,0361,0,1,147
10856,覺,0362,0,1,147
10860,角,0363,0,1,148
11083,諶,0364,0,1,149
11207,讀,0365,0,1,149
10969,詠,0366,0,1,149
10999,誅,0367,0,1,149
10914,記,0368,0,1,149
10939,註,0369,0,1,149
10998,誄,0370,0,1,149
10913,託,0371,0,1,149
11012,誘,0372,0,1,149
10905,訐,0373,0,1,149
10911,訕,0374,0,1,149
11116,謗,0375,0,1,149
11021,誣,0376,0,1,149
11155,證,0377,0,1,149
11269,豚,0378,0,1,152
11293,豹,0379,0,1,153
11309,貊,0380,0,1,153
11344,責,0381,0,1,154
11342,貪,0382,0,1,154
11391,賚,0383,0,1,154
11403,賦,0384,0,1,154
11354,貳,0385,0,1,154
11479,趙,0386,0,1,156
11461,起,0387,0,1,156
11675,躁,0388,0,1,157
11569,踐,0389,0,1,157
11801,輔,0390,0,1,159
11792,輅,0391,0,1,159
11807,輗,0392,0,1,159
11817,輟,0393,0,1,159
11917,辰,0394,0,1,161
11979,追,0395,0,1,162
12019,逮,0396,0,1,162
11976,迹,0397,0,1,162
12004,造,0398,0,1,162
11935,迂,0399,0,1,162
11986,逆,0400,0,1,162
12002,逞,0401,0,1,162
11983,送,0402,0,1,162
11937,迅,0403,0,1,162
12112,邇,0404,0,1,162
12000,通,0405,0,1,162
11974,迷,0406,0,1,162
12170,郡,0407,0,1,163
12188,都,0408,0,1,163
12181,郰,0409,0,1,163
12345,醯,0410,0,1,164
12342,醬,0411,0,1,164
12341,醫,0412,0,1,164
12606,鏗,0413,0,1,167
12657,鐸,0414,0,1,167
12385,釜,0415,0,1,167
12388,釣,0416,0,1,167
12563,鍾,0417,0,1,167
12523,錦,0418,0,1,167
12716,開,0419,0,1,169
12760,閾,0420,0,1,169
12722,閑,0421,0,1,169
12859,陪,0422,0,1,170
12927,隨,0423,0,1,170
12883,隅,0424,0,1,170
12913,際,0426,0,1,170
12834,附,0427,0,1,170
12868,陶,0428,0,1,170
12827,阼,0429,0,1,170
12822,防,0430,0,1,170
13001,離,0431,0,1,172
12965,雉,0432,0,1,172
12971,雌,0433,0,1,172
13078,霸,0434,0,1,173
13023,雷,0435,0,1,173
13103,靜,0436,0,1,174
13192,鞭,0437,0,1,177
13237,韋,0438,0,1,178
13261,韞,0439,0,1,178
13327,領,0440,0,1,181
13307,頌,0441,0,1,181
13304,須,0442,0,1,181
13325,頗,0443,0,1,181
13389,顗,0444,0,1,181
13597,餲,0445,0,1,184
13639,饐,0446,0,1,184
13520,飪,0447,0,1,184
13612,餼,0448,0,1,184
13630,饉,0449,0,1,184
13780,駢,0450,0,1,187
13728,駙,0451,0,1,187
13787,騎,0452,0,1,187
13724,駕,0453,0,1,187
13774,騂,0454,0,1,187
13809,騧,0455,0,1,187
13959,髮,0456,0,1,190
14033,鬭,0457,0,1,191
13934,體,0458,0,1,188
10500,融,0459,0,1,142
14084,魏,0460,0,1,194
14080,魋,0461,0,1,194
14641,麑,0462,0,1,198
14681,麻,0463,0,1,200
14693,黃,0464,0,1,201
14699,黍,0465,0,1,202
14720,默,0466,0,1,203
14746,黻,0467,0,1,204
14782,鼗,0468,0,1,207
14833,齒,0469,0,1,211
14887,龜,0470,0,1,213
00001,一,0471,1,30,001
00004,七,0472,1,6,001
00006,丈,0473,1,2,001
00007,三,0474,1,63,001
00008,上,0476,1,25,001
00009,下,0477,1,39,001
00013,不,0478,1,530,001
00020,且,0487,1,10,001
00025,世,0488,1,16,001
00026,丘,0489,1,16,001
00051,中,0490,1,28,002
00070,主,0491,1,4,003
00088,之,0492,1,563,004
00085,久,0502,1,9,004
00078,乃,0503,1,3,004
00102,乘,0504,1,8,004
00109,也,0505,1,456,005
00121,亂,0513,1,13,005
00108,乞,0514,1,2,005
00107,九,0515,1,4,005
00092,乎,0516,1,144,004
00126,予,0519,1,26,006
00128,事,0520,1,55,006
00133,云,0521,1,14,007
00132,于,0522,1,10,007
00129,二,0523,1,15,007
00135,五,0524,1,14,007
00152,交,0525,1,3,008
00154,亦,0526,1,43,008
00150,亡,0527,1,9,008
00524,儉,0528,1,4,009
00175,今,0529,1,22,009
00468,傳,0530,1,5,009
00321,便,0531,1,3,009
00282,來,0532,1,9,009
00194,以,0533,1,185,009
00168,人,0537,1,194,009
00250,何,0541,1,105,009
00313,侯,0543,1,9,009
00243,位,0544,1,6,009
00228,伯,0545,1,19,009
00200,仲,0546,1,31,009
00199,仰,0547,1,2,009
00170,仁,0548,1,94,009
00218,伐,0550,1,5,009
00183,他,0551,1,4,009
00182,仕,0552,1,8,009
00402,偃,0553,1,3,009
00288,侍,0554,1,7,009
00428,偲,0555,1,4,009
00429,側,0556,1,2,009
00281,侃,0557,1,2,009
00235,似,0558,1,3,009
00542,優,0559,1,3,009
00206,任,0560,1,4,009
00391,倫,0561,1,2,009
00312,侮,0562,1,2,009
00555,儼,0563,1,2,009
00473,傷,0564,1,4,009
00387,倦,0565,1,5,009
00256,作,0566,1,11,009
00255,佛,0567,1,2,009
00193,令,0568,1,8,009
00279,使,0569,1,39,009
00258,佞,0570,1,10,009
00455,備,0571,1,2,009
00530,儒,0572,1,2,009
00345,信,0573,1,36,009
00520,億,0574,1,2,009
00566,先,0575,1,18,010
00561,兄,0576,1,11,010
00570,免,0577,1,6,010
00568,克,0578,1,3,010
00581,兢,0579,1,2,010
00591,兩,0580,1,2,011
00585,内,0581,1,10,011
00582,入,0582,1,17,011
00596,公,0583,1,53,012
00597,六,0584,1,9,012
00598,兮,0585,1,5,012
00599,共,0586,1,4,012
00602,兵,0587,1,3,012
00605,其,0588,1,237,012
00624,冉,0592,1,14,013
00646,冠,0593,1,3,014
00650,冤,0594,1,7,014
05558,次,0595,1,7,076
00723,出,0596,1,31,017
00789,則,0597,1,108,018
00767,利,0599,1,10,018
00803,剛,0600,1,5,018
00734,分,0601,1,3,018
00735,切,0602,1,6,018
00794,前,0603,1,6,018
00763,別,0604,1,2,018
00746,刑,0605,1,4,018
00820,割,0606,1,2,018
00769,到,0607,1,2,018
00858,加,0608,1,7,019
00856,力,0609,1,13,019
00857,功,0610,1,3,019
00877,勃,0611,1,2,019
00893,勝,0612,1,6,019
00913,勸,0613,1,2,019
00881,勇,0614,1,14,019
00887,動,0615,1,6,019
00894,勞,0616,1,8,019
00919,勿,0617,1,13,020
00953,匡,0618,1,3,022
00975,匹,0619,1,3,023
00987,千,0620,1,5,024
00991,升,0621,1,8,024
01016,博,0622,1,9,024
01010,南,0623,1,12,024
00985,十,0624,1,16,024
01049,卽,0625,1,2,026
01052,卿,0626,1,2,026
01035,危,0627,1,7,026
01088,厭,0628,1,9,027
01095,厲,0629,1,5,027
01074,原,0630,1,2,027
01068,厚,0631,1,5,027
01104,參,0632,1,3,028
01101,去,0633,1,12,028
01111,及,0634,1,26,029
01112,友,0635,1,24,029
01128,受,0636,1,7,029
01127,取,0637,1,9,029
01124,叔,0638,1,15,029
01108,又,0639,1,13,029
01116,反,0640,1,6,029
01373,啓,0641,0,1,030
01174,同,0642,1,8,030
01207,呉,0643,1,2,030
01263,和,0644,1,8,030
01163,司,0645,1,9,030
01154,可,0646,1,134,030
01175,名,0649,1,7,030
01168,各,0650,1,7,030
01430,喪,0651,1,19,030
01217,吾,0652,1,104,030
01349,唯,0654,1,17,030
01524,噫,0655,1,3,030
01158,右,0656,0,1,030
01170,合,0657,1,2,030
01295,哀,0658,1,12,030
01416,喟,0659,1,2,030
14379,鳴,0660,1,2,196
01363,商,0661,1,4,030
01172,吉,0662,0,1,030
01235,周,0663,1,21,030
01305,哉,0664,1,60,030
01157,史,0665,1,3,030
01219,告,0666,1,19,030
01421,喩,0667,1,2,030
01150,召,0668,1,9,030
01143,句,0669,1,2,030
01298,哂,0670,1,3,030
01141,口,0671,1,2,030
01342,唐,0672,1,2,030
01142,古,0673,1,13,030
01395,善,0674,1,43,030
01252,命,0675,1,20,030
01185,君,0676,1,143,030
01369,問,0679,1,103,030
01523,器,0681,1,6,030
01412,喜,0682,1,4,030
01323,哭,0683,1,2,030
01479,嘗,0684,1,10,030
01611,因,0685,1,2,031
01647,圖,0686,1,2,031
01609,回,0687,1,11,031
01607,四,0688,1,18,031
01623,困,0689,1,2,031
01633,圃,0690,1,2,031
01627,固,0691,1,10,031
01639,國,0692,1,10,031
01659,在,0693,1,44,032
01755,執,0694,1,14,032
01654,土,0695,1,2,032
01666,地,0696,1,3,032
01793,堯,0697,1,4,032
01823,塞,0698,1,2,032
01693,坫,0699,1,2,032
01796,報,0700,1,2,032
01663,圭,0701,1,2,032
01765,堂,0702,1,2,032
01682,坐,0703,1,5,032
01674,均,0704,1,2,032
01818,塗,0705,1,2,032
01767,堅,0706,1,2,032
01903,士,0707,1,19,033
01927,夏,0708,1,25,035
01938,多,0709,1,20,036
01939,夜,0710,1,3,036
01947,天,0711,1,46,037
01946,大,0712,1,48,037
02013,奪,0713,1,4,037
01952,夭,0714,1,3,037
01961,夷,0715,1,9,037
01949,夫,0716,1,95,037
01992,奚,0718,1,10,037
02022,女,0719,1,16,038
02077,姓,0720,1,4,038
02155,婦,0721,1,2,038
02177,媚,0722,1,2,038
02061,妻,0723,1,2,038
02029,好,0724,1,52,038
02069,始,0725,1,6,038
02031,如,0726,1,133,038
02105,威,0729,1,3,038
02262,子,0730,1,862,039
02264,孔,0745,1,68,039
02282,孫,0747,1,16,039
02276,季,0748,1,21,039
02275,孟,0749,1,8,039
02273,孝,0750,1,18,039
02284,孰,0751,1,14,039
02277,孤,0752,1,2,039
02323,官,0753,1,3,040
02386,寡,0754,1,8,040
02332,室,0755,1,9,040
02342,宮,0756,1,4,040
02352,容,0757,1,7,040
02399,寮,0758,1,3,040
02355,宿,0759,1,5,040
02331,客,0760,1,2,040
02344,宰,0761,1,16,040
02325,定,0762,1,3,040
02392,寧,0763,1,3,040
02383,察,0764,1,2,040
02312,宋,0765,1,2,040
02308,守,0766,1,6,040
02390,實,0767,1,2,040
02366,富,0768,1,16,040
02309,安,0769,1,15,040
02397,寬,0770,1,4,040
02387,寢,0771,1,5,040
02322,宗,0772,1,8,040
02349,家,0773,1,8,040
02435,對,0774,1,32,041
02422,射,0775,1,5,041
02429,尊,0776,1,3,041
02427,尉,0777,1,3,041
02425,將,0778,1,18,041
02439,小,0779,1,40,042
02440,少,0780,1,8,042
02446,尚,0781,1,4,042
02456,尤,0782,1,2,043
02464,就,0783,1,3,043
02473,尼,0784,1,4,044
02499,屏,0785,1,2,044
02470,尹,0786,1,5,044
02508,履,0787,1,2,044
02504,屢,0788,1,3,044
02482,居,0789,1,28,044
02640,崩,0790,1,2,046
02617,崔,0791,1,3,046
02528,山,0792,1,7,046
02752,巍,0793,1,6,046
02607,崇,0794,1,4,046
02762,川,0795,1,2,047
02779,巫,0796,1,3,048
02774,左,0797,1,3,048
02773,工,0798,1,2,048
02775,巧,0799,1,2,048
02782,己,0800,1,23,049
02783,已,0801,1,45,049
02792,巷,0802,1,2,049
02820,帝,0803,1,3,050
02835,師,0804,1,17,050
02799,市,0805,1,2,050
02847,常,0806,1,3,050
02806,希,0807,1,5,050
02839,席,0808,1,4,050
02900,年,0809,1,18,051
02903,幸,0810,1,3,051
02899,平,0811,1,2,051
02897,干,0812,1,3,051
02915,幾,0813,1,5,052
02992,廢,0814,1,8,053
02963,庸,0815,1,2,053
02989,廟,0816,1,8,053
02952,庭,0817,0,1,053
02975,廋,0818,1,2,053
02961,庶,0819,1,4,053
02962,康,0820,1,6,053
05014,棄,0821,1,5,075
00988,廿,0822,1,3,024
03037,式,0823,1,2,056
03047,弘,0824,1,4,057
03052,弟,0825,1,16,057
03065,張,0826,1,21,057
03039,弑,0827,1,3,056
03046,弗,0828,1,5,057
03084,彌,0829,1,2,057
03042,弓,0830,1,5,057
03112,彬,0831,1,2,059
03111,彫,0832,1,3,059
03153,御,0833,1,3,060
03172,德,0834,1,38,060
03138,後,0835,1,35,060
03124,彼,0836,1,3,060
03129,征,0837,1,2,060
03171,徵,0838,1,3,060
03160,循,0839,1,3,060
03159,復,0840,1,9,060
03132,待,0841,1,3,060
03128,往,0842,1,11,060
03148,徙,0843,1,2,060
03145,得,0844,1,50,060
03143,徒,0845,1,6,060
03151,從,0846,1,41,060
03165,微,0847,1,5,060
03173,徹,0848,1,2,060
03272,恐,0849,1,3,061
03239,思,0850,1,20,061
03196,忘,0851,1,4,061
03264,恂,0852,1,2,061
03355,惑,0853,1,9,061
03203,忠,0854,1,17,061
03180,必,0855,1,63,061
03429,愼,0857,1,4,061
03348,情,0858,1,2,061
03194,志,0859,1,16,061
03241,怡,0860,1,6,061
03466,慮,0861,1,3,061
03455,慟,0862,1,4,061
03275,恕,0863,1,2,061
03585,懷,0864,1,7,061
03518,憤,0865,1,2,061
03392,愉,0866,1,2,061
03405,愛,0867,1,9,061
03184,忍,0868,0,1,061
03589,懼,0869,1,7,061
03418,愬,0870,1,3,061
03364,惜,0871,1,2,061
03454,慝,0872,1,2,061
03219,忽,0873,1,3,061
03410,慍,0874,1,3,061
03267,恆,0875,1,5,061
03320,悔,0876,1,3,061
03511,憚,0877,1,2,061
03329,患,0878,1,14,061
03404,愚,0879,1,8,061
03244,性,0880,1,2,061
03486,憂,0881,1,15,061
03220,忿,0882,1,3,061
03179,心,0883,1,5,061
03245,怨,0884,1,15,061
03458,慢,0885,1,3,061
03366,惠,0886,1,10,061
03289,恥,0887,1,16,061
03367,惡,0888,1,38,061
03297,恭,0889,1,11,061
03617,或,0890,1,14,062
03611,我,0891,1,50,062
03610,成,0892,1,24,062
03618,戚,0893,1,2,062
03612,戒,0894,1,5,062
03633,戰,0895,1,6,062
03647,所,0896,1,46,063
03640,戸,0897,1,2,063
04087,擊,0898,1,3,064
03747,拒,0899,1,3,064
04085,擇,0900,1,4,064
04013,摯,0901,1,2,064
04192,攝,0902,1,2,064
03855,授,0903,1,2,064
03901,揖,0904,1,4,064
03939,損,0905,1,5,064
03761,拜,0906,1,6,064
03783,指,0907,1,2,064
03659,手,0908,1,5,064
03661,才,0909,1,7,064
03704,抑,0910,1,4,064
03690,承,0911,1,2,064
04319,變,0912,1,7,066
04280,散,0913,1,2,066
04231,攻,0914,1,3,066
04268,敗,0915,1,2,066
04233,放,0916,1,4,066
04243,故,0917,1,12,066
04277,敢,0918,1,17,066
04286,敬,0919,1,19,066
04235,政,0920,1,38,066
04262,敏,0921,1,9,066
04272,敝,0922,1,2,066
04228,改,0923,1,14,066
04261,教,0924,1,6,066
04298,數,0925,1,5,066
04321,文,0926,1,38,067
04376,新,0927,1,3,069
04373,斯,0928,1,62,069
04389,於,0930,1,146,070
04385,方,0933,1,14,070
04391,施,0934,1,6,070
04442,旣,0935,1,14,071
04503,春,0936,1,2,072
04533,晏,0937,1,2,072
04490,昔,0938,1,4,072
04558,景,0939,1,4,072
04485,明,0940,1,9,072
04489,易,0941,1,12,072
04523,時,0942,1,12,072
04608,暴,0943,1,3,072
04542,晝,0944,1,2,072
04446,日,0945,1,20,072
04512,是,0946,1,54,072
04650,曰,0947,1,670,073
04661,曾,0959,1,19,073
04667,會,0960,1,2,073
04657,書,0961,1,5,073
04699,期,0962,1,6,074
04696,朝,0963,1,16,074
04673,月,0964,1,9,074
04679,服,0965,1,17,074
04693,望,0966,1,3,074
04676,朋,0967,1,7,074
04674,有,0968,1,182,074
04707,木,0972,1,5,075
04712,末,0973,1,7,075
04711,未,0974,1,46,075
04713,本,0975,1,4,075
04717,朱,0976,1,2,075
04743,杖,0977,1,3,075
04780,松,0978,1,2,075
04765,東,0979,1,5,075
04806,果,0980,1,2,075
04787,枉,0981,1,4,075
04845,某,0982,1,2,075
04942,桓,0983,1,7,075
04850,柏,0984,1,2,075
05069,椁,0985,1,3,075
05285,樊,0986,1,9,075
05279,樂,0987,1,46,075
05529,權,0988,1,3,075
04904,校,0989,1,2,075
05134,楚,0990,1,2,075
05323,樹,0991,1,2,075
04890,栗,0992,1,2,075
05029,棖,0993,1,2,075
04927,桀,0994,1,3,075
04873,柳,0995,1,4,075
05609,歌,0996,1,4,076
05612,歎,0997,1,2,076
05580,欲,0998,1,37,076
05587,欺,0999,1,4,076
05643,正,1000,1,21,077
05641,止,1001,1,8,077
05666,歳,1002,1,2,077
05649,武,1003,1,11,077
05676,歸,1004,1,10,077
05686,死,1005,1,33,078
05707,殆,1006,1,3,078
05795,殷,1007,1,6,079
05812,毀,1008,1,2,079
05820,毅,1009,1,2,079
05796,殺,1010,1,7,079
05832,毋,1011,1,8,080
05834,母,1012,1,8,080
05836,每,1013,1,3,080
05841,比,1014,1,5,081
05932,氏,1015,1,18,083
05935,民,1016,1,43,083
05947,氣,1017,1,6,084
05952,水,1018,1,2,085
05964,求,1019,1,36,085
06111,洋,1020,1,2,085
06285,深,1021,1,2,085
06151,流,1022,1,2,085
06432,滅,1023,1,2,085
06310,淵,1024,1,14,085
06340,游,1025,1,8,085
06098,泰,1026,1,6,085
06055,治,1027,1,5,085
06182,海,1028,1,4,085
06054,沽,1029,1,4,085
06326,温,1030,1,4,085
