カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号
0202,蛾,,,,0,142,10388
0203,血,,,,0,143,10605
0204,耨,,,,0,127,09286
0205,補,,,,0,145,10714
0206,誡,,,,0,149,11019
0207,誨,,,,0,149,11024
0208,議,,,,0,149,11195
0209,試,,,,0,149,10975
0210,詳,,,,0,149,10984
0211,諂,,,,0,149,11041
0212,諮,,,,0,149,11076
0213,諭,,,,0,149,11077
0214,詈,,,,0,149,10950
0215,誰,,,,0,149,11028
0216,證,,,,0,149,11155
0217,誘,,,,0,149,11012
0218,詠,,,,0,149,10969
0219,請,,,,0,149,11049
0220,讚,,,,0,149,11229
0221,磬,,,,0,112,08058
0222,豈,,,,0,151,11253
0223,豪,,,,0,152,11282
0224,豫,,,,0,152,11283
0225,賓,,,,0,154,11386
0226,貴,,,,0,154,11355
0227,賈,,,,0,154,11374
0228,負,,,,0,154,11332
0229,超,,,,0,156,11467
0230,跪,,,,0,157,11542
0231,躓,,,,0,157,11695
0232,蹈,,,,0,157,11618
0233,軍,,,,0,159,11745
0234,輒,,,,0,159,11799
0235,遭,,,,0,162,12082
0236,迥,,,,0,162,11958
0237,遵,,,,0,162,12091
0238,這,,,,0,162,11999
0239,遮,,,,0,162,12083
0240,迹,,,,0,162,11976
0241,邦,,,,0,163,12137
0242,釋,,,,0,165,12371
0243,采,,,,0,165,12367
0244,里,,,,0,166,12372
0245,野,,,,0,166,12374
0246,鉢,,,,0,167,12440
0247,12742,,,,0,169,12742
0248,閉,,,,0,169,12714
0249,闇,,,,0,169,12768
0250,陛,,,,0,170,12847
0251,陽,,,,0,170,12876
0252,雅,,,,0,172,12962
0253,露,,,,0,173,13073
0254,雲,,,,0,173,13020
0255,雪,,,,0,173,13015
0256,靜,,,,0,174,13103
0257,頃,,,,0,181,13297
0258,領,,,,0,181,13327
0259,顛,,,,0,181,13395
0260,M43812,,,,0,182,
0261,飢,,,,0,184,13508
0262,飽,,,,0,184,13541
0263,飯,,,,0,184,13527
0264,香,,,,0,186,13667
0265,馬,,,,0,187,13680
0266,驚,,,,0,187,13852
0267,駕,,,,0,187,13724
0268,骨,,,,0,188,13873
0269,髓,,,,0,188,13933
0270,魚,,,,0,195,14101
0271,鮮,,,,0,195,14174
0272,黎,,,,0,202,14700
0273,默,,,,0,203,14720
0274,鼻,,,,0,209,14809
0275,齊,,,,0,210,14828
0276,龍,,,,0,212,14876
0277-0278,一,75,,,1,001,00001
0279,丘,6,,,1,001,00026
0280,七,8,,,1,001,00004
0281,上,22,,,1,001,00008
0282-0283,不,108,,,1,001,00013
0284,下,7,,,1,001,00009
0285-0286,三,92,,,1,001,00007
0287,中,22,,,1,002,00051
0288,主,3,,,1,003,00070
0289,乘,2,,,1,004,00102
0290,久,4,,,1,004,00085
0291,乃,13,,,1,004,00078
0292,乎,2,,,1,004,00092
0293-0294,之,95,,,1,004,00088
0295,也,9,,,1,005,00109
0296,了,7,,,1,006,00125
0297,事,33,,,1,006,00128
0298,二,18,,,1,007,00129
0299,五,16,,,1,007,00135
0300,于,2,,,1,007,00132
0301,人,43,,,1,009,00168
0302,伎,2,,,1,009,00216
0303,作,8,,,1,009,00256
0304,依,2,,,1,009,00301
0305,倚,4,,,1,009,00378
0306,休,3,,,1,009,00219
0307,仁,6,,,1,009,00170
0308,使,25,,,1,009,00279
0309,住,25,,,1,009,00245
0310,伏,8,,,1,009,00217
0311,何,7,,,1,009,00250
0312,00529,2,,,1,009,00529
0313,億,12,,,1,009,00520
0314,像,3,,,1,009,00489
0315,供,17,,,1,009,00299
0316,俗,2,,,1,009,00338
0317,倫,2,,,1,009,00391
0318,傷,3,,,1,009,00473
0319,便,16,,,1,009,00321
0320,他,14,,,1,009,00183
0321,仰,5,,,1,009,00199
0322,信,9,,,1,009,00345
0323-0325,佛,114,,,1,009,00255
0326,伴,2,,,1,009,00230
0327,備,5,,,1,009,00455
0328-0329,以,61,,,1,009,00194
0330,來,39,,,1,009,00282
0331,令,10,,,1,009,00193
0332,今,9,,,1,009,00175
0333,傳,3,,,1,009,00468
0334,假,2,,,1,009,00405
0335,倶,2,,,1,009,00350
0336,値,2,,,1,009,00385
0337,光,13,,,1,009,00567
0338,充,2,,,1,010,00562
0339,俳,2,,,1,010,00351
0340,入,15,,,1,011,00582
0341,内,3,,,1,011,00585
0342,具,7,,,1,012,00606
0343,兵,2,,,1,012,00602
0344,典,10,,,1,012,00608
0345-0346,其,63,,,1,012,00605
0347,共,6,,,1,012,00599
0348,八,18,,,1,012,00594
0349,六,42,,,1,012,00597
0350,冥,8,,,1,014,00651
0351,出,16,,,1,017,00723
0352,分,12,,,1,018,00734
0353,切,42,,,1,018,00735
0354,別,12,,,1,018,00763
0355,利,23,,,1,018,00767
0356,則,8,,,1,018,00789
0357,前,9,,,1,018,00794
0358,力,10,,,1,019,00856
0359,劫,13,,,1,019,00865
0360,加,5,,,1,019,00858
0361,勸,11,,,1,019,00913
0362,助,3,,,1,019,00863
0363,勝,3,,,1,019,00893
0364,勇,5,,,1,019,00881
0365,勞,2,,,1,019,00894
0366,功,7,,,1,019,00857
0367,勳,3,,,1,019,00910
0368,勢,2,,,1,019,00898
0369,勿,4,,,1,020,00919
0370,化,22,,,1,021,00938
0371,十,39,,,1,024,00985
0372,千,34,,,1,024,00987
0373,南,2,,,1,024,01010
0374,印,5,,,1,026,01034
0375,即,3,,,1,026,01049
0376,危,2,,,1,026,01035
0377,厭,5,,,1,027,01088
0378,厄,7,,,1,027,01058
0379,去,8,,,1,028,01101
0380,叉,4,,,1,029,01109
0381,取,5,,,1,029,01127
0382,受,20,,,1,029,01128
0383,反,2,,,1,029,01116
0384,及,14,,,1,029,01111
0385,口,3,,,1,030,01141
0386,嗟,3,,,1,030,01451
0387,同,4,,,1,030,01174
0388,哀,6,,,1,030,01295
0389,告,3,,,1,030,01219
0390,喜,29,,,1,030,01412
0391,嚴,7,,,1,030,01581
0392,和,7,,,1,030,01263
0393,周,6,,,1,030,01235
0394,吼,2,,,1,030,01215
0395,號,5,,,1,141,10276
0396,向,2,,,1,030,01179
0397,名,18,,,1,030,01175
0398,咨,8,,,1,030,01278
0399,可,16,,,1,030,01154
0400,品,5,,,1,030,01296
0401,命,15,,,1,030,01252
0402,合,6,,,1,030,01170
0403,吾,4,,,1,030,01217
0404,善,13,,,1,030,01395
0405,哉,4,,,1,030,01305
0406,右,4,,,1,030,01158
0407,味,4,,,1,030,01242
0408,喩,4,,,1,030,01421
0409,句,5,,,1,030,01143
0410,嚮,5,,,1,030,01574
0411,各,23,,,1,030,01168
0412,問,4,,,1,030,01369
0413,咸,9,,,1,030,01288
0414,唯,3,1,,2,030,01349
0415-0416,四,59,,,1,031,01607
0417,國,9,,,1,031,01639
0418,因,9,,,1,031,01611
0419,土,6,,,1,032,01654
0420,地,8,,,1,032,01666
0421,報,8,,,1,032,01796
0422,壞,2,,,1,032,01895
0423,垢,3,,,1,032,01726
0424,M06209,6,,,1,038,M06209
0425,坐,13,,,1,032,01682
0426,墮,3,,,1,032,01863
0427,塗,4,,,1,032,01818
0428,在,37,,,1,032,01659
0429,塵,3,,,1,032,01831
0430,堅,2,,,1,032,01767
0431,城,4,,,1,032,01740
0432,士,2,,,1,033,01903
0433,壽,5,,,1,033,01913
0434,夢,2,,,1,036,01943
0435,多,9,,,1,036,01938
0436,外,5,,,1,036,01934
0437,夜,4,,,1,036,01939
0438,大,28,,,1,037,01946
0439,太,8,,,1,037,01948
0440,天,36,,,1,037,01947
0441,失,2,,,1,037,01957
0442,奏,2,,,1,037,01981
0443,奉,16,,,1,037,01974
0444,02188,2,,,1,038,02188
0445,娯,4,,,1,038,02118
0446,始,3,,,1,038,02069
0447,威,4,,,1,038,02105
0448,好,5,,,1,038,02029
0449,妙,6,,,1,038,02045
0450-0451,如,72,,,1,038,02031
0452,子,21,,,1,039,02262
0453,學,13,,,1,039,02293
0454,存,5,,,1,039,02268
0455,實,3,,,1,040,02390
0456,寶,10,,,1,040,02407
0457,察,3,1,,2,040,02383
0458,安,19,,,1,040,02309
0459,宣,11,,,1,040,02333
0460,定,24,,,1,040,02325
0461,宿,9,,,1,040,02355
0462,害,4,,,1,040,02346
0463,寒,2,1,,2,040,02371
0464,家,11,,,1,040,02349
0465,寂,10,,,1,040,02357
0466,導,3,,,1,041,02436
0467,尊,21,,,1,041,02429
0468,射,2,,,1,041,02422
0469,將,8,,,1,041,02425
0470,少,2,,,1,042,02440
0471,就,7,,,1,043,02464
0472,屬,8,,,1,044,02515
0473,展,2,,,1,044,02496
0474,居,4,,,1,044,02482
0475,左,3,,,1,048,02774
0476,已,26,,,1,049,02783
0477,幢,3,,,1,050,02882
0478,布,7,,,1,050,02800
0479,帛,2,,,1,050,02819
0480,常,20,,,1,050,02847
0481,師,19,,,1,050,02835
0482,帝,2,,,1,050,02820
0483,干,2,,,1,051,02897
0484,平,3,,,1,051,02899
0485,并,2,,,1,051,02902
0486-0490,度,225,,,1,053,02944
0491,廣,2,,,1,053,02993
0492,建,4,,,1,054,03006
0493,廻,2,,,1,054,03008
0494,弗,6,,,1,057,03046
0495,弘,2,,,1,057,03047
0496,彌,5,,,1,057,03084
0497,得,44,,,1,060,03145
0498,徳,17,,,1,060,03172
0499,徹,2,,,1,060,03173
0500,復,17,,,1,060,03159
0501,往,9,,,1,060,03128
0502,從,28,,,1,060,03151
0503,懃,10,,,1,061,03544
0504,怠,5,,,1,061,03240
0505,愍,10,,,1,061,03402
0506,惚,3,,,1,061,03362
0507,悦,7,,,1,061,03309
0508,惡,5,,,1,061,03367
0509,悲,5,,,1,061,03335
0510,愚,5,,,1,061,03404
0511,意,30,,,1,061,03395
0512,怒,2,,,1,061,03229
0513,恐,3,,,1,061,03272
0514,恭,2,,,1,061,03297
0515,恪,2,,,1,061,03293
0516,戀,2,,,1,061,03595
0517,恨,2,,,1,061,03291
0518,忘,2,,,1,061,03196
0519,悁,4,,,1,061,03306
0520,愁,6,,,1,061,03387
0521,懷,7,,,1,061,03585
0522,憎,2,,,1,061,03497
0523,怨,3,,,1,061,03245
0524,患,7,,,1,061,03329
0525,應,4,,,1,061,03550
0526,慕,4,,,1,061,03450
0527,思,4,,,1,061,03239
0528,忽,3,,,1,061,03219
0529,忍,12,,,1,061,03184
0530,愛,4,,,1,061,03405
0531,憂,4,,,1,061,03486
