,,kgk_賢劫経二,kgk_賢劫経二,kgk_賢劫経二,
統合ID,見出し文字,代表字形ID,字体数,代表字形ID,部首
11077,諭,0213,0,1,149
10950,詈,0214,0,1,149
11028,誰,0215,0,1,149
11155,證,0216,0,1,149
11012,誘,0217,0,1,149
10969,詠,0218,0,1,149
11049,請,0219,0,1,149
11229,讚,0220,0,1,149
08058,磬,0221,0,1,112
11253,豈,0222,0,1,151
11282,豪,0223,0,1,152
11283,豫,0224,0,1,152
11386,賓,0225,0,1,154
11355,貴,0226,0,1,154
11374,賈,0227,0,1,154
11332,負,0228,0,1,154
11467,超,0229,0,1,156
11542,跪,0230,0,1,157
11695,躓,0231,0,1,157
11618,蹈,0232,0,1,157
11745,軍,0233,0,1,159
11799,輒,0234,0,1,159
12082,遭,0235,0,1,162
11958,迥,0236,0,1,162
12091,遵,0237,0,1,162
11999,這,0238,0,1,162
12083,遮,0239,0,1,162
11976,迹,0240,0,1,162
12137,邦,0241,0,1,163
12371,釋,0242,0,1,165
12367,采,0243,0,1,165
12372,里,0244,0,1,166
12374,野,0245,0,1,166
12440,鉢,0246,0,1,167
12742,閦,0247,0,1,169
12714,閉,0248,0,1,169
12768,闇,0249,0,1,169
12847,陛,0250,0,1,170
12876,陽,0251,0,1,170
12962,雅,0252,0,1,172
13073,露,0253,0,1,173
13020,雲,0254,0,1,173
13015,雪,0255,0,1,173
13103,靜,0256,0,1,174
13297,頃,0257,0,1,181
13327,領,0258,0,1,181
13395,顚,0259,0,1,181
M43812,颰,0260,0,1,182
13508,飢,0261,0,1,184
13541,飽,0262,0,1,184
13527,飯,0263,0,1,184
13667,香,0264,0,1,186
13680,馬,0265,0,1,187
13852,驚,0266,0,1,187
13724,駕,0267,0,1,187
13873,骨,0268,0,1,188
13933,髓,0269,0,1,188
14101,魚,0270,0,1,195
14174,鮮,0271,0,1,195
14700,黎,0272,0,1,202
14720,默,0273,0,1,203
14809,鼻,0274,0,1,209
14828,齊,0275,0,1,210
14876,龍,0276,0,1,212
00001,一,0277,1,75,001
00026,丘,0279,1,6,001
00004,七,0280,1,8,001
00008,上,0281,1,22,001
00013,不,0282,1,108,001
00009,下,0284,1,7,001
00007,三,0285,1,92,001
00051,中,0287,1,22,002
00070,主,0288,1,3,003
00102,乘,0289,1,2,004
00085,久,0290,1,4,004
00078,乃,0291,1,13,004
00092,乎,0292,1,2,004
00088,之,0293,1,95,004
00109,也,0295,1,9,005
00125,了,0296,1,7,006
00128,事,0297,1,33,006
00129,二,0298,1,18,007
00135,五,0299,1,16,007
00132,于,0300,1,2,007
00168,人,0301,1,43,009
00216,伎,0302,1,2,009
00256,作,0303,1,8,009
00301,依,0304,1,2,009
00378,倚,0305,1,4,009
00219,休,0306,1,3,009
00170,仁,0307,1,6,009
00279,使,0308,1,25,009
00245,住,0309,1,25,009
00217,伏,0310,1,8,009
00250,何,0311,1,7,009
00529,儐,0312,1,2,009
00520,億,0313,1,12,009
00489,像,0314,1,3,009
00299,供,0315,1,17,009
00338,俗,0316,1,2,009
00391,倫,0317,1,2,009
00473,傷,0318,1,3,009
00321,便,0319,1,16,009
00183,他,0320,1,14,009
00199,仰,0321,1,5,009
00345,信,0322,1,9,009
00255,佛,0323,1,114,009
00230,伴,0326,1,2,009
00455,備,0327,1,5,009
00194,以,0328,1,61,009
00282,來,0330,1,39,009
00193,令,0331,1,10,009
00175,今,0332,1,9,009
00468,傳,0333,1,3,009
00405,假,0334,1,2,009
00350,倶,0335,1,2,009
00385,値,0336,1,2,009
00567,光,0337,1,13,010
00562,充,0338,1,2,010
00351,俳,0339,1,2,009
00582,入,0340,1,15,011
00585,内,0341,1,3,011
00606,具,0342,1,7,012
00602,兵,0343,1,2,012
00608,典,0344,1,10,012
00605,其,0345,1,63,012
00599,共,0347,1,6,012
00594,八,0348,1,18,012
00597,六,0349,1,42,012
00651,冥,0350,1,8,014
00723,出,0351,1,16,017
00734,分,0352,1,12,018
00735,切,0353,1,42,018
00763,別,0354,1,12,018
00767,利,0355,1,23,018
00789,則,0356,1,8,018
00794,前,0357,1,9,018
00856,力,0358,1,10,019
00865,劫,0359,1,13,019
00858,加,0360,1,5,019
00913,勸,0361,1,11,019
00863,助,0362,1,3,019
00893,勝,0363,1,3,019
00881,勇,0364,1,5,019
00894,勞,0365,1,2,019
