文字,カード番号,用例数１,用例数２,用例数３,字体数,部首番号,大字典,,,,
桃,0197,,,,0,075,04930,,,,
桙,0198,,,,0,075,,,,,
椒,0199,,,,0,075,05087,,,,
榮,0200,,,,0,075,05210,,,,
槍,0201,,,,0,075,05237,,,,
槻,0202,,,,0,075,05272,,,,
樂,0203,,,,0,075,05279,,,,
橘,0204,,,,0,075,05361,,,,
檀,0205,,,,0,075,05391,,,,
檮,0206,,,,0,075,05428,,,,
欠,0207,,,,0,076,05557,,,,
欣,0208,,,,0,076,05561,,,,
歎,0209,,,,0,076,05612,,,,
殆,0210,,,,0,078,05707,,,,
殊,0211,,,,0,078,05717,,,,
殘,0212,,,,0,078,05737,,,,
毘,0213,,,,0,081,05845,,,,
毛,0214,,,,0,082,05850,,,,
永,0215,,,,0,085,05957,,,,
汁,0216,,,,0,085,05963,,,,
決,0217,,,,0,085,06003,,,,
泣,0218,,,,0,085,06087,,,,
派,0219,,,,0,085,06149,,,,
浹,0220,,,,0,085,06184,,,,
消,0221,,,,0,085,06192,,,,
淨,0222,,,,0,085,06272,,,,
淹,0223,,,,0,085,06291,,,,
淵,0224,,,,0,085,06310,,,,
渡,0225,,,,0,085,06318,,,,
溢,0226,,,,0,085,06408,,,,
溥,0227,,,,0,085,06409,,,,
滅,0228,,,,0,085,06432,,,,
滑,0229,,,,0,085,06445,,,,
潦,0230,,,,0,085,06541,,,,
潛,0231,,,,0,085,06548,,,,
潤,0232,,,,0,085,06553,,,,
澤,0233,,,,0,085,06603,,,,
涜,0234,,,,0,085,06681,,,,
火,0235,,,,0,086,06776,,,,
灰,0236,,,,0,086,06784,,,,
灼,0237,,,,0,086,06791,,,,
煮,0238,,,,0,086,06895,,,,
照,0239,,,,0,086,06918,,,,
煩,0240,,,,0,086,06921,,,,
熟,0241,,,,0,086,06949,,,,
爛,0242,,,,0,086,07017,,,,
牛,0243,,,,0,093,07072,,,,
特,0244,,,,0,093,07086,,,,
犯,0245,,,,0,094,07112,,,,
状,0246,,,,0,094,07122,,,,
猪,0247,,,,0,094,07192,,,,
猶,0248,,,,0,094,07203,,,,
獵,0249,,,,0,094,07244,,,,
獸,0250,,,,0,094,07248,,,,
瑞,0251,,,,0,096,07346,,,,
甘,0252,,,,0,099,07456,,,,
産,0253,,,,0,100,07464,,,,
男,0254,,,,0,102,07483,,,,
町,0255,,,,0,102,07487,,,,
畜,0256,,,,0,102,07513,,,,
畝,0257,,,,0,102,07514,,,,
疋,0258,,,,0,103,07554,,,,
疏,0259,,,,0,103,07557,,,,
痛,0260,,,,0,104,07613,,,,
癈,0261,,,,0,104,07674,,,,
癡,0262,,,,0,104,07685,,,,
登,0263,,,,0,105,07706,,,,
皮,0264,,,,0,107,07739,,,,
益,0265,,,,0,108,07759,,,,
盛,0266,,,,0,108,07770,,,,
盜,0267,,,,0,108,07771,,,,
監,0268,,,,0,108,07781,,,,
看,0269,,,,0,109,07817,,,,
眞,0270,,,,0,109,07827,,,,
眷,0271,,,,0,109,07839,,,,
眼,0272,,,,0,109,07843,,,,
睡,0273,,,,0,109,07860,,,,
睹,0274,,,,0,109,07870,,,,
瞻,0275,,,,0,109,07907,,,,
矢,0276,,,,0,111,07937,,,,
破,0277,,,,0,112,07986,,,,
磐,0278,,,,0,112,08047,,,,
麿,0279,,,,0,200,14686,,,,
禮,0280,,,,0,113,08165,,,,
祇,0281,,,,0,113,08107,,,,
祝,0282,,,,0,113,08123,,,,
祿,0283,,,,0,113,08141,,,,
祷,0284,,,,0,113,08167,,,,
禹,0285,,,,0,114,08172,,,,
秦,0286,,,,0,115,08204,,,,
稜,0287,,,,0,115,08235,,,,
稷,0288,,,,0,115,08252,,,,
稻,0289,,,,0,115,08256,,,,
穗,0290,,,,0,115,08273,,,,
穴,0291,,,,0,116,08291,,,,
究,0292,,,,0,116,08293,,,,
穿,0293,,,,0,116,08300,,,,
竊,0294,,,,0,116,08353,,,,
竟,0295,,,,0,117,08365,,,,
符,0296,,,,0,118,08408,,,,
答,0297,,,,0,118,08437,,,,
箱,0298,,,,0,118,08483,,,,
籠,0299,,,,0,118,08619,,,,
粟,0300,,,,0,119,08664,,,,
紀,0301,,,,0,120,08735,,,,
級,0302,,,,0,120,08759,,,,
細,0303,,,,0,120,08779,,,,
緑,0304,,,,0,120,08870,,,,
縁,0305,,,,0,120,08924,,,,
繞,0306,,,,0,120,09020,,,,
罵,0307,,,,0,122,09132,,,,
義,0308,,,,0,123,09177,,,,
羹,0309,,,,0,123,09191,,,,
脱,0310,,,,0,130,09463,,,,
臂,0311,,,,0,130,09568,,,,
舟,0312,,,,0,137,09657,,,,
舸,0313,,,,0,137,09674,,,,
艘,0314,,,,0,137,09694,,,,
芝,0315,,,,0,140,09742,,,,
若,0316,,,,0,140,09788,,,,
莖,0317,,,,0,140,09874,,,,
莫,0318,,,,0,140,09886,,,,
菜,0319,,,,0,140,09910,,,,
菩,0320,,,,0,140,09919,,,,
萼,0321,,,,0,140,09960,,,,
落,0322,,,,0,140,09961,,,,
著,0323,,,,0,140,09972,,,,
蓮,0324,,,,0,140,10050,,,,
蕃,0325,,,,0,140,10093,,,,
薩,0326,,,,0,140,10163,,,,
藝,0327,,,,0,140,10201,,,,
蜂,0328,,,,0,142,10391,,,,
蝕,0329,,,,0,142,10457,,,,
蠶,0330,,,,0,142,10599,,,,
袍,0331,,,,0,145,10667,,,,
裂,0332,,,,0,145,10698,,,,
要,0333,,,,0,146,10822,,,,
覓,0334,,,,0,147,10834,,,,
親,0335,,,,0,147,10848,,,,
覺,0336,,,,0,147,10856,,,,
觸,0337,,,,0,148,10887,,,,
計,0338,,,,0,149,10896,,,,
託,0339,,,,0,149,10913,,,,
詐,0340,,,,0,149,10957,,,,
試,0341,,,,0,149,10975,,,,
話,0342,,,,0,149,10986,,,,
誤,0343,,,,0,149,11020,,,,
課,0344,,,,0,149,11029,,,,
識,0345,,,,0,149,11171,,,,
讓,0346,,,,0,149,11222,,,,
貌,0347,,,,0,153,11311,,,,
貧,0348,,,,0,154,11338,,,,
費,0349,,,,0,154,11359,,,,
赤,0350,,,,0,155,11445,,,,
迹,0351,,,,0,162,11976,,,,
躬,0352,,,,0,158,11716,,,,
輔,0353,,,,0,159,11801,,,,
辭,0354,,,,0,160,11914,,,,
述,0355,,,,0,162,11968,,,,
逃,0356,,,,0,162,11984,,,,
逸,0357,,,,0,162,12027,,,,
遇,0358,,,,0,162,12040,,,,
遊,0359,,,,0,162,12042,,,,
運,0360,,,,0,162,12043,,,,
遠,0361,,,,0,162,12070,,,,
遷,0362,,,,0,162,12093,,,,
遺,0363,,,,0,162,12097,,,,
避,0364,,,,0,162,12103,,,,
逑,0365,,,,0,162,11994,,,,
那,0366,,,,0,163,12134,,,,
鄙,0367,,,,0,163,12212,,,,
鄰,0368,,,,0,163,12234,,,,
酒,0369,,,,0,164,12266,,,,
里,0370,,,,0,166,12372,,,,
重,0371,,,,0,166,12373,,,,
鉤,0372,,,,0,167,12441,,,,
鋪,0373,,,,0,167,12494,,,,
錢,0374,,,,0,167,12518,,,,
鎖,0375,,,,0,167,12573,,,,
鑪,0376,,,,0,167,12680,,,,
開,0377,,,,0,169,12716,,,,
12767,0378,,,,0,169,12767,,,,
闕,0379,,,,0,169,12783,,,,
12788,0380,,,,0,169,12788,,,,
闢,0381,,,,0,169,12797,,,,
阜,0382,,,,0,170,12802,,,,
陣,0383,,,,0,170,12854,,,,
障,0384,,,,0,170,12914,,,,
雜,0385,,,,0,172,12997,,,,
霜,0386,,,,0,173,13052,,,,
霧,0387,,,,0,173,13063,,,,
10257,0388,,,,0,140,10257,,,,
鞋,0389,,,,0,177,13158,,,,
響,0390,,,,0,180,13293,,,,
頃,0391,,,,0,181,13297,,,,
順,0392,,,,0,181,13302,,,,
領,0393,,,,0,181,13327,,,,
飛,0394,,,,0,183,13495,,,,
飫,0395,,,,0,184,13521,,,,
飮,0396,,,,0,184,13526,,,,
飯,0397,,,,0,184,13527,,,,
館,0398,,,,0,184,13584,,,,
首,0399,,,,0,185,13661,,,,
髮,0400,,,,0,190,13959,,,,
魚,0401,,,,0,195,14101,,,,
鳥,0402,,,,0,196,14361,,,,
鷄,0403,,,,0,196,14542,,,,
點,0404,,,,0,203,14725,,,,
黨,0405,,,,0,203,14730,,,,
鼠,0406,,,,0,208,14790,,,,
一,0407,28,,,1,001,00001,,,,
三,0408,22,,,1,001,00007,,,,
七,0409,3,,,1,001,00004,,,,
下,0410,8,,,1,001,00009,,,,
丁,0411,14,,,1,001,00002,,,,
上,0412,14,,,1,001,00008,,,,
不,0413-0414,51,,,1,001,00013,,,,
丙,0415,11,,,1,001,00027,,,,
丑,0416,9,,,1,001,00017,,,,
中,0417,41,,,1,002,00051,,,,
主,0418,4,,,1,003,00070,,,,
之,0419-0420,65,,,1,004,00088,,,,
乘,0421,4,,,1,004,00102,,,,
乃,0422,5,,,1,004,00078,,,,
乎,0423,3,,,1,004,00092,,,,
亂,0424,2,,,1,005,00121,,,,
乙,0425,14,,,1,005,00104,,,,
也,0426,18,,,1,005,00109,,,,
九,0427,2,,,1,005,00107,,,,
乳,0428,2,,,1,005,00113,,,,
事,0429,3,,,1,006,00128,,,,
二,0430,15,,,1,007,00129,,,,
于,0431,12,,,1,007,00132,,,,
五,0432,9,,,1,007,00135,,,,
云,0433,3,,,1,007,00133,,,,
亡,0434,3,,,1,008,00150,,,,
亥,0435,15,,,1,008,00153,,,,
人,0436-0437,57,,,1,009,00168,,,,
仁,0438,2,,,1,009,00170,,,,
今,0439,6,,,1,009,00175,,,,
仍,0440,5,,,1,009,00177,,,,
代,0441,3,,,1,009,00192,,,,
令,0442,7,,,1,009,00193,,,,
以,0443,35,,,1,009,00194,,,,
仰,0444,3,,,1,009,00199,,,,
任,0445,2,,,1,009,00206,,,,
伊,0446,8,,,1,009,00213,,,,
伎,0447,2,,,1,009,00216,,,,
伏,0448,2,,,1,009,00217,,,,
伐,0449,2,,,1,009,00218,,,,
伯,0450,6,,,1,009,00228,,,,
伴,0451,5,,,1,009,00230,,,,
伺,0452,2,,,1,009,00233,,,,
似,0453,2,,,1,009,00235,,,,
位,0454,7,,,1,009,00243,,,,
佐,0455,13,,,1,009,00246,,,,
00260,0456,9,,,1,009,00260,,,,
何,0457,6,,,1,009,00250,,,,
余,0458,3,,,1,009,00253,,,,
佛,0459,3,,,1,009,00255,,,,
使,0460,50,,,1,009,00279,,,,
例,0461,8,,,1,009,00287,,,,
侍,0462,6,,,1,009,00288,,,,
便,0463,9,,,1,009,00321,,,,
倶,0464,11,,,1,009,00350,,,,
倉,0465,7,,,1,009,00365,,,,
候,0466,2,,,1,009,00369,,,,
倭,0467,9,,,1,009,00393,,,,
健,0468,2,,,1,009,00421,,,,
側,0469,3,,,1,009,00429,,,,
傍,0470,3,,,1,009,00449,,,,
備,0471,4,,,1,009,00455,,,,
傷,0472,5,,,1,009,00473,,,,
像,0473,2,,,1,009,00489,,,,
僧,0474,2,,,1,009,00503,,,,
儒,0475,2,,,1,009,00530,,,,
舞,0476,2,,,1,136,09656,,,,
兄,0477,29,,,1,010,00561,,,,
先,0478,2,,,1,010,00566,,,,
兒,0479,9,,,1,010,00574,,,,
入,0480,42,,,1,011,00582,,,,
内,0481,7,,,1,011,00585,,,,
全,0482,3,,,1,011,00589,,,,
八,0483,6,,,1,012,00594,,,,
六,0484,9,,,1,012,00597,,,,
兵,0485,6,,,1,012,00602,,,,
其,0486,50,,,1,012,00605,,,,
具,0487,3,,,1,012,00606,,,,
冬,0488,5,,,1,015,00662,,,,
出,0489,7,,,1,017,00723,,,,
別,0490,2,,,1,018,00763,,,,
制,0491,3,,,1,018,00776,,,,
削,0492,2,,,1,018,00791,,,,
前,0493,8,,,1,018,00794,,,,
力,0494,2,,,1,019,00856,,,,
功,0495,2,,,1,019,00857,,,,
助,0496,2,,,1,019,00863,,,,
努,0497,3,,,1,019,00864,,,,
勝,0498,8,,,1,019,00893,,,,
勞,0499,2,,,1,019,00894,,,,
勢,0500,6,,,1,019,00898,,,,
勸,0501,4,,,1,019,00913,,,,
勿,0502,4,,,1,020,00919,,,,
北,0503,4,,,1,021,00941,,,,
匿,0504,2,,,1,023,00983,,,,
十,0505,18,,,1,024,00985,,,,
千,0506,2,,,1,024,00987,,,,
廿,0507,2,,,1,024,00988,,,,
午,0508,11,,,1,024,00992,,,,
半,0509,2,,,1,024,00994,,,,
南,0510,4,,,1,024,01010,,,,
卯,0511,7,,,1,026,01033,,,,
即,0512,16,,,1,026,01049,,,,
卿,0513,4,,,1,026,01052,,,,
去,0514,8,,,1,028,01101,,,,
參,0515,3,,,1,028,01104,,,,
又,0516,6,,,1,029,01108,,,,
及,0517,4,,,1,029,01111,,,,
取,0518,12,,,1,029,01127,,,,
古,0519,8,,,1,030,01142,,,,
可,0520,14,,,1,030,01154,,,,
召,0521,3,,,1,030,01150,,,,
各,0522,2,,,1,030,01168,,,,
合,0523,2,,,1,030,01170,,,,
吉,0524,6,,,1,030,01172,,,,
同,0525,4,,,1,030,01174,,,,
名,0526,4,,,1,030,01175,,,,
向,0527,5,,,1,030,01179,,,,
君,0528,6,,,1,030,01185,,,,
吾,0529,7,,,1,030,01217,,,,
呂,0530,16,,,1,030,01222,,,,
周,0531,2,,,1,030,01235,,,,
味,0532,2,,,1,030,01242,,,,
呼,0533,2,,,1,030,01251,,,,
命,0534,8,,,1,030,01252,,,,
唱,0535,3,,,1,030,01350,,,,
問,0536,7,,,1,030,01369,,,,
善,0537,3,,,1,030,01395,,,,
喚,0538,2,,,1,030,01410,,,,
喩,0539,6,,,1,030,01421,,,,
喪,0540,5,,,1,030,01430,,,,
嗣,0542,2,,,1,030,01452,,,,
嘗,0543,2,,,1,030,01479,,,,
道,0544,2,,,1,162,12051,,,,
四,0545,12,,,1,031,01607,,,,
固,0546,2,,,1,031,01627,,,,
國,0547,32,,,1,031,01639,,,,
圍,0548,2,,,1,031,01641,,,,
圖,0549,1,1,,2,031,01647,,,,
土,0550,3,,,1,032,01654,,,,
在,0551,2,,,1,032,01659,,,,
地,0552,8,,,1,032,01666,,,,
坂,0553,5,,,1,032,01672,,,,
垂,0554,2,,,1,032,01710,,,,
城,0555,5,,,1,032,01740,,,,
執,0556,5,,,1,032,01755,,,,
基,0557,2,,,1,032,01758,,,,
堂,0558,2,,,1,032,01765,,,,
報,0559,4,,,1,032,01796,,,,
墓,0560,3,2,,2,032,01850,,,,
壁,0561,2,,,1,032,01873,,,,
士,0562,5,,,1,033,01903,,,,
壬,0563,12,,,1,033,01904,,,,
壽,0564,2,,,1,033,01913,,,,
夏,0565,6,,,1,035,01927,,,,
外,0566,2,,,1,036,01934,,,,
多,0567,9,,,1,036,01938,,,,
夜,0568,8,,,1,036,01939,,,,
大,0569-0571,113,,,1,037,01946,,,,
天,0572,36,,,1,037,01947,,,,
太,0573,7,,,1,037,01948,,,,
夫,0574,10,,,1,037,01949,,,,
失,0575,2,,,1,037,01957,,,,
夷,0576,8,,,1,037,01961,,,,
奉,0577,8,,,1,037,01974,,,,
女,0578,9,,,1,038,02022,,,,
如,0579,13,,,1,038,02031,,,,
妃,0580,4,,,1,038,02032,,,,
妄,0581,2,,,1,038,02033,,,,
妹,0582,3,,,1,038,02059,,,,
妻,0583,2,,,1,038,02061,,,,
始,0584,16,,,1,038,02069,,,,
姓,0585,4,,,1,038,02077,,,,
威,0586,3,,,1,038,02105,,,,
娑,0587,2,,,1,038,02110,,,,
婆,0588,5,,,1,038,02142,,,,
子,0589-0590,63,,,1,039,02262,,,,
學,0591,4,,,1,039,02293,,,,
孺,0592,5,,,1,039,02294,,,,
守,0593,3,,,1,040,02308,,,,
安,0594,3,,,1,040,02309,,,,
宗,0595,2,,,1,040,02322,,,,
官,0596,3,,,1,040,02323,,,,
宜,0597,2,,,1,040,02327,,,,
客,0598,4,,,1,040,02331,,,,
室,0599,3,,,1,040,02332,,,,
宮,0600,24,,,1,040,02342,,,,
宰,0601,2,,,1,040,02344,,,,
害,0602,2,,,1,040,02346,,,,
家,0603,14,,,1,040,02349,,,,
寅,0604,8,,,1,040,02359,,,,
富,0605,3,,,1,040,02366,,,,
寒,0606,2,,,1,040,02371,,,,
寶,0607,2,,,1,040,02407,,,,
寸,0608,4,,,1,041,02413,,,,
寺,0609,11,,,1,041,02415,,,,
將,0610,17,,,1,041,02425,,,,
專,0611,2,,,1,041,02426,,,,
對,0612,4,,,1,041,02435,,,,
小,0613,8,,,1,042,02439,,,,
少,0614,5,,,1,042,02440,,,,
就,0615,4,,,1,043,02464,,,,
尺,0616,2,,,1,044,02471,,,,
居,0617,2,,,1,044,02482,,,,
屋,0618,4,,,1,044,02488,,,,
屍,0619,3,,,1,044,02489,,,,
屬,0620,2,,,1,044,02515,,,,
屯,0621,2,,,1,045,02518,,,,
山,0622,31,,,1,046,02528,,,,
岐,0623,14,,,1,046,02540,,,,
岡,0624,3,,,1,046,02545,,,,
島,0625,5,,,1,046,02594,,,,
巫,0626,6,,,1,048,02779,,,,
差,0627,3,,,1,048,02780,,,,
己,0628,12,,,1,049,02782,,,,
巳,0629,6,,,1,049,02784,,,,
師,0630,4,,,1,050,02835,,,,
常,0631,4,,,1,050,02847,,,,
幡,0632,2,,,1,050,02881,,,,
平,0633,2,,,1,051,02899,,,,
并,0634,4,,,1,051,02902,,,,
幸,0635,2,,,1,051,02903,,,,
底,0636,7,,,1,053,02932,,,,
庚,0637,13,,,1,053,02936,,,,
府,0638,2,,,1,053,02938,,,,
座,0639,3,,,1,053,02946,,,,
庫,0640,2,,,1,053,02949,,,,
庭,0641,3,,,1,053,02952,,,,
廣,0642,3,,,1,053,02993,,,,
弊,0643,2,,,1,055,03027,,,,
弓,0644,4,,,1,057,03042,,,,
弔,0645,5,,,1,057,03043,,,,
弟,0646,10,,,1,057,03052,,,,
役,0647,3,1,,2,060,03123,,,,
彼,0648,3,,,1,060,03124,,,,
往,0649,4,1,,2,060,03128,,,,
後,0650,5,1,,2,060,03138,,,,
得,0651,6,,,1,060,03145,,,,
從,0652,7,,,1,060,03151,,,,
御,0653,3,,,1,060,03153,,,,
復,0654,5,,,1,060,03159,,,,
微,0655,7,,,1,060,03165,,,,
徳,0656,9,1,,2,060,03172,,,,
心,0657,4,,,1,061,03179,,,,
必,0658,3,,,1,061,03180,,,,
忌,0659,2,,,1,061,03183,,,,
志,0660,4,,,1,061,03194,,,,
怪,0661,3,,,1,061,03248,,,,
恆,0662,4,,,1,061,03267,,,,
恐,0663,7,,,1,061,03272,,,,
息,0664,8,,,1,061,03298,,,,
悦,0665,3,,,1,061,03309,,,,
悉,0666,5,,,1,061,03312,,,,
惠,0667,2,,,1,061,03366,,,,
惡,0668,3,,,1,061,03367,,,,
惶,0669,3,,,1,061,03376,,,,
意,0670,4,,,1,061,03395,,,,
愼,0671,2,,,1,061,03429,,,,
憂,0672,3,,,1,061,03486,,,,
憤,0673,2,,,1,061,03518,,,,
應,0674,3,,,1,061,03550,,,,
戊,0675,11,,,1,062,03604,,,,
戌,0676,9,,,1,062,03605,,,,
成,0677,4,,,1,062,03610,,,,
我,0678,27,,,1,062,03611,,,,
或,0679,13,,,1,062,03617,,,,
戮,0680,2,,,1,062,03632,,,,
戰,0681,5,,,1,062,03633,,,,
所,0682,33,,,1,063,03647,,,,
手,0683,4,,,1,064,03659,,,,
折,0684,3,,,1,064,03711,,,,
打,0685,2,,,1,064,03666,,,,
投,0686,2,1,,2,064,03708,,,,
押,0687,7,,,1,064,03729,,,,
03751,0688,4,2,,2,064,03751,,,,
拜,0689,4,,,1,064,03761,,,,
持,0690,4,,,1,064,03780,,,,
指,0691,2,,,1,064,03783,,,,
捨,0692,5,,,1,064,03835,,,,
授,0693,6,,,1,064,03855,,,,
接,0694,3,,,1,064,03878,,,,
提,0695,2,,,1,064,03896,,,,
損,0696,2,,,1,064,03939,,,,
播,0697,4,,,1,064,04069,,,,
放,0698,3,,,1,066,04233,,,,
