,,nto_図書紀24,nto_図書紀24,nto_図書紀24,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
09910,菜,0319,0,1,140
09919,菩,0320,0,1,140
09960,萼,0321,0,1,140
09961,落,0322,0,1,140
09972,著,0323,0,1,140
10050,蓮,0324,0,1,140
10093,蕃,0325,0,1,140
10163,薩,0326,0,1,140
10201,藝,0327,0,1,140
10391,蜂,0328,0,1,142
10457,蝕,0329,0,1,142
10599,蠶,0330,0,1,142
10667,袍,0331,0,1,145
10698,裂,0332,0,1,145
10822,要,0333,0,1,146
10834,覓,0334,0,1,147
10848,親,0335,0,1,147
10856,覺,0336,0,1,147
10887,觸,0337,0,1,148
10896,計,0338,0,1,149
10913,託,0339,0,1,149
10957,詐,0340,0,1,149
10975,試,0341,0,1,149
10986,話,0342,0,1,149
11020,誤,0343,0,1,149
11029,課,0344,0,1,149
11171,識,0345,0,1,149
11222,讓,0346,0,1,149
11311,貌,0347,0,1,153
11338,貧,0348,0,1,154
11359,費,0349,0,1,154
11445,赤,0350,0,1,155
11976,迹,0351,0,1,162
11716,躬,0352,0,1,158
11801,輔,0353,0,1,159
11914,辭,0354,0,1,160
11968,述,0355,0,1,162
11984,逃,0356,0,1,162
12027,逸,0357,0,1,162
12040,遇,0358,0,1,162
12042,遊,0359,0,1,162
12043,運,0360,0,1,162
12070,遠,0361,0,1,162
12093,遷,0362,0,1,162
12097,遺,0363,0,1,162
12103,避,0364,0,1,162
11994,逑,0365,0,1,162
12134,那,0366,0,1,163
12212,鄙,0367,0,1,163
12234,鄰,0368,0,1,163
12266,酒,0369,0,1,164
12372,里,0370,0,1,166
12373,重,0371,0,1,166
12441,鉤,0372,0,1,167
12494,鋪,0373,0,1,167
12518,錢,0374,0,1,167
12573,鎖,0375,0,1,167
12680,鑪,0376,0,1,167
12716,開,0377,0,1,169
12767,𨵦,0378,0,1,169
12783,闕,0379,0,1,169
12788,闚,0380,0,1,169
12797,闢,0381,0,1,169
12802,阜,0382,0,1,170
12854,陣,0383,0,1,170
12914,障,0384,0,1,170
12997,雜,0385,0,1,172
13052,霜,0386,0,1,173
13063,霧,0387,0,1,173
10257,蘼,0388,0,1,140
13158,鞋,0389,0,1,177
13293,響,0390,0,1,180
13297,頃,0391,0,1,181
13302,順,0392,0,1,181
13327,領,0393,0,1,181
13495,飛,0394,0,1,183
13521,飫,0395,0,1,184
13526,飮,0396,0,1,184
13527,飯,0397,0,1,184
13584,館,0398,0,1,184
13661,首,0399,0,1,185
13959,髮,0400,0,1,190
14101,魚,0401,0,1,195
14361,鳥,0402,0,1,196
14542,鷄,0403,0,1,196
14725,點,0404,0,1,203
14730,黨,0405,0,1,203
14790,鼠,0406,0,1,208
00001,一,0407,1,28,001
00007,三,0408,1,22,001
00004,七,0409,1,3,001
00009,下,0410,1,8,001
00002,丁,0411,1,14,001
00008,上,0412,1,14,001
00013,不,0413,1,51,001
00027,丙,0415,1,11,001
00017,丑,0416,1,9,001
00051,中,0417,1,41,002
00070,主,0418,1,4,003
00088,之,0419,1,65,004
00102,乘,0421,1,4,004
00078,乃,0422,1,5,004
00092,乎,0423,1,3,004
00121,亂,0424,1,2,005
00104,乙,0425,1,14,005
00109,也,0426,1,18,005
00107,九,0427,1,2,005
00113,乳,0428,1,2,005
00128,事,0429,1,3,006
00129,二,0430,1,15,007
00132,于,0431,1,12,007
00135,五,0432,1,9,007
00133,云,0433,1,3,007
00150,亡,0434,1,3,008
00153,亥,0435,1,15,008
00168,人,0436,1,57,009
00170,仁,0438,1,2,009
00175,今,0439,1,6,009
00177,仍,0440,1,5,009
00192,代,0441,1,3,009
00193,令,0442,1,7,009
00194,以,0443,1,35,009
00199,仰,0444,1,3,009
00206,任,0445,1,2,009
00213,伊,0446,1,8,009
00216,伎,0447,1,2,009
00217,伏,0448,1,2,009
00218,伐,0449,1,2,009
00228,伯,0450,1,6,009
00230,伴,0451,1,5,009
00233,伺,0452,1,2,009
00235,似,0453,1,2,009
00243,位,0454,1,7,009
00246,佐,0455,1,13,009
00260,伱,0456,1,9,009
00250,何,0457,1,6,009
00253,余,0458,1,3,009
00255,佛,0459,1,3,009
00279,使,0460,1,50,009
00287,例,0461,1,8,009
00288,侍,0462,1,6,009
00321,便,0463,1,9,009
00350,倶,0464,1,11,009
00365,倉,0465,1,7,009
00369,候,0466,1,2,009
00393,倭,0467,1,9,009
00421,健,0468,1,2,009
00429,側,0469,1,3,009
00449,傍,0470,1,3,009
00455,備,0471,1,4,009
00473,傷,0472,1,5,009
00489,像,0473,1,2,009
00503,僧,0474,1,2,009
00530,儒,0475,1,2,009
09656,舞,0476,1,2,136
00561,兄,0477,1,29,010
00566,先,0478,1,2,010
00574,兒,0479,1,9,010
00582,入,0480,1,42,011
00585,内,0481,1,7,011
00589,全,0482,1,3,011
00594,八,0483,1,6,012
00597,六,0484,1,9,012
00602,兵,0485,1,6,012
00605,其,0486,1,50,012
00606,具,0487,1,3,012
00662,冬,0488,1,5,015
00723,出,0489,1,7,017
00763,別,0490,1,2,018
00776,制,0491,1,3,018
00791,削,0492,1,2,018
00794,前,0493,1,8,018
00856,力,0494,1,2,019
00857,功,0495,1,2,019
00863,助,0496,1,2,019
00864,努,0497,1,3,019
00893,勝,0498,1,8,019
00894,勞,0499,1,2,019
00898,勢,0500,1,6,019
00913,勸,0501,1,4,019
00919,勿,0502,1,4,020
00941,北,0503,1,4,021
00983,匿,0504,1,2,023
00985,十,0505,1,18,024
00987,千,0506,1,2,024
00988,廿,0507,1,2,024
00992,午,0508,1,11,024
00994,半,0509,1,2,024
01010,南,0510,1,4,024
01033,卯,0511,1,7,026
01049,卽,0512,1,16,026
01052,卿,0513,1,4,026
01101,去,0514,1,8,028
01104,參,0515,1,3,028
01108,又,0516,1,6,029
01111,及,0517,1,4,029
01127,取,0518,1,12,029
01142,古,0519,1,8,030
01154,可,0520,1,14,030
01150,召,0521,1,3,030
01168,各,0522,1,2,030
01170,合,0523,1,2,030
01172,吉,0524,1,6,030
01174,同,0525,1,4,030
01175,名,0526,1,4,030
01179,向,0527,1,5,030
01185,君,0528,1,6,030
01217,吾,0529,1,7,030
01222,呂,0530,1,16,030
01235,周,0531,1,2,030
01242,味,0532,1,2,030
01251,呼,0533,1,2,030
01252,命,0534,1,8,030
01350,唱,0535,1,3,030
01369,問,0536,1,7,030
01395,善,0537,1,3,030
01410,喚,0538,1,2,030
01421,喩,0539,1,6,030
01430,喪,0540,1,5,030
01452,嗣,0542,1,2,030
01479,嘗,0543,1,2,030
12051,道,0544,1,2,162
01607,四,0545,1,12,031
01627,固,0546,1,2,031
01639,國,0547,1,32,031
01641,圍,0548,1,2,031
01647,圖,0549a,2,1,031
01647b,圖,0549b,2,1,031
01654,土,0550,1,3,032
01659,在,0551,1,2,032
01666,地,0552,1,8,032
01672,坂,0553,1,5,032
01710,垂,0554,1,2,032
01740,城,0555,1,5,032
01755,執,0556,1,5,032
01758,基,0557,1,2,032
01765,堂,0558,1,2,032
01796,報,0559,1,4,032
01850,墓,0560a,2,3,032
01850b,墓,0560b,2,2,032
01873,壁,0561,1,2,032
01903,士,0562,1,5,033
01904,壬,0563,1,12,033
01913,壽,0564,1,2,033
01927,夏,0565,1,6,035
01934,外,0566,1,2,036
01938,多,0567,1,9,036
01939,夜,0568,1,8,036
01946,大,0569,1,113,037
01947,天,0572,1,36,037
01948,太,0573,1,7,037
01949,夫,0574,1,10,037
01957,失,0575,1,2,037
01961,夷,0576,1,8,037
01974,奉,0577,1,8,037
02022,女,0578,1,9,038
02031,如,0579,1,13,038
02032,妃,0580,1,4,038
02033,妄,0581,1,2,038
02059,妹,0582,1,3,038
02061,妻,0583,1,2,038
02069,始,0584,1,16,038
02077,姓,0585,1,4,038
02105,威,0586,1,3,038
02110,娑,0587,1,2,038
02142,婆,0588,1,5,038
02262,子,0589,1,63,039
02293,學,0591,1,4,039
02294,孺,0592,1,5,039
02308,守,0593,1,3,040
02309,安,0594,1,3,040
02322,宗,0595,1,2,040
02323,官,0596,1,3,040
02327,宜,0597,1,2,040
02331,客,0598,1,4,040
02332,室,0599,1,3,040
02342,宮,0600,1,24,040
02344,宰,0601,1,2,040
02346,害,0602,1,2,040
02349,家,0603,1,14,040
02359,寅,0604,1,8,040
02366,富,0605,1,3,040
02371,寒,0606,1,2,040
02407,寶,0607,1,2,040
02413,寸,0608,1,4,041
02415,寺,0609,1,11,041
02425,將,0610,1,17,041
02426,專,0611,1,2,041
02435,對,0612,1,4,041
02439,小,0613,1,8,042
02440,少,0614,1,5,042
02464,就,0615,1,4,043
02471,尺,0616,1,2,044
02482,居,0617,1,2,044
02488,屋,0618,1,4,044
02489,屍,0619,1,3,044
02515,屬,0620,1,2,044
02518,屯,0621,1,2,045
02528,山,0622,1,31,046
02540,岐,0623,1,14,046
02545,岡,0624,1,3,046
02594,島,0625,1,5,046
02779,巫,0626,1,6,048
02780,差,0627,1,3,048
02782,己,0628,1,12,049
02784,巳,0629,1,6,049
02835,師,0630,1,4,050
02847,常,0631,1,4,050
02881,幡,0632,1,2,050
02899,平,0633,1,2,051
02902,并,0634,1,4,051
02903,幸,0635,1,2,051
02932,底,0636,1,7,053
02936,庚,0637,1,13,053
02938,府,0638,1,2,053
02946,座,0639,1,3,053
02949,庫,0640,1,2,053
02952,庭,0641,1,3,053
02993,廣,0642,1,3,053
03027,弊,0643,1,2,055
03042,弓,0644,1,4,057
03043,弔,0645,1,5,057
03052,弟,0646,1,10,057
03123,役,0647a,2,3,060
03123b,役,0647b,2,1,060
03124,彼,0648,1,3,060
03128,往,0649a,2,4,060
03128b,往,0649b,2,1,060
03138,後,0650a,2,5,060
03138b,後,0650b,2,1,060
03145,得,0651,1,6,060
03151,從,0652,1,7,060
03153,御,0653,1,3,060
03159,復,0654,1,5,060
03165,微,0655,1,7,060
03172,德,0656a,2,9,060
03172b,德,0656b,2,1,060
03179,心,0657,1,4,061
03180,必,0658,1,3,061
03183,忌,0659,1,2,061
03194,志,0660,1,4,061
03248,怪,0661,1,3,061
03267,恆,0662,1,4,061
03272,恐,0663,1,7,061
03298,息,0664,1,8,061
03309,悦,0665,1,3,061
03312,悉,0666,1,5,061
03366,惠,0667,1,2,061
03367,惡,0668,1,3,061
03376,惶,0669,1,3,061
03395,意,0670,1,4,061
03429,愼,0671,1,2,061
03486,憂,0672,1,3,061
03518,憤,0673,1,2,061
03550,應,0674,1,3,061
03604,戊,0675,1,11,062
03605,戌,0676,1,9,062
03610,成,0677,1,4,062
03611,我,0678,1,27,062
03617,或,0679,1,13,062
03632,戮,0680,1,2,062
03633,戰,0681,1,5,062
03647,所,0682,1,33,063
03659,手,0683,1,4,064
03711,折,0684,1,3,064
03666,打,0685,1,2,064
03708,投,0686a,2,2,064
03708b,投,0686b,2,1,064
03729,押,0687,1,7,064
03751,拕,0688a,2,4,064
03751b,拕,0688b,2,2,064
03761,拜,0689,1,4,064
03780,持,0690,1,4,064
03783,指,0691,1,2,064
03835,捨,0692,1,5,064
03855,授,0693,1,6,064
03878,接,0694,1,3,064
03896,提,0695,1,2,064
03939,損,0696,1,2,064
04069,播,0697,1,4,064
04233,放,0698,1,3,066
04235,政,0699,1,3,066
04243,故,0700,1,9,066
04261,教,0701,1,3,066
04286,敬,0702,1,3,066
04319,變,0703,1,5,066
04332,斑,0704,1,4,067
04369,斬,0705,1,4,069
04373,斯,0706,1,3,069
04376,新,0707,1,10,069
04385,方,0708,1,5,070
04389,於,0709,1,107,070
04442,旣,0712,1,3,071
04446,日,0713,1,24,072
04485,明,0714,1,2,072
04503,春,0715,1,8,072
04523,時,0716,1,16,072
04542,晝,0717,1,4,072
04569,智,0718,1,6,072
04590,暖,0719,1,4,072
04621,曇,0720,1,3,072
04650,曰,0721,1,59,073
04651,曲,0722,1,2,073
04654,更,0723,1,4,073
04661,曾,0724,1,8,073
04673,月,0725,1,46,074
04674,有,0726,1,19,074
04686,朔,0727,1,25,074
04688,朕,0728,1,2,074
04693,望,0729,1,3,074
04696,朝,0730,1,10,074
04707,木,0731,1,6,075
04711,未,0732,1,12,075
04713,本,0733,1,3,075
04739,村,0734,1,2,075
04765,東,0735,1,7,075
04776,杯,0736,1,2,075
04806,果,0737,1,2,075
04807,枝,0738,1,2,075
04869,柯,0739,1,7,075
04871,柱,0740,1,2,075
04971,梅,0741,1,4,075
04993,梨,0742,1,3,075
05014,棄,0743,1,2,075
05323,樹,0744,1,2,075
05348,橋,0745,1,2,075
05420,檢,0746,1,2,075
05529,權,0747,1,2,075
05558,次,0748,1,2,076
05580,欲,0749,1,7,076
05609,歌,0750,1,13,076
05633,歟,0751,1,2,076
05643,正,0752,1,5,077
05644,此,0753,1,10,077
05670,歷,0754,1,2,077
05686,死,0755,1,11,078
05796,殺,0756,1,5,079
05809,殿,0757a,2,5,079
05809b,殿,0757b,2,1,079
05834,母,0758,1,23,080
05836,每,0759,1,2,080
05839,毒,0760,1,2,080
05841,比,0761,1,9,081
13179,鞠,0762,1,2,177
05932,氏,0763,1,2,083
05935,民,0764,1,8,083
05947,氣,0765,1,7,084
05952,水,0766,1,11,085
05956,氷,0767,1,2,085
05964,求,0768,1,4,085
05978,汗,0769,1,2,085
05985,江,0770,1,3,085
05986,池,0771,1,6,085
06045,河,0772,1,7,085
06055,治,0773,1,2,085
06064,泊,0774,1,4,085
06074,法,0775,1,3,085
06086,波,0776,1,12,085
06088,泥,0777,1,2,085
06128,津,0778,1,5,085
06151,流,0779,1,5,085
06169,浦,0780,1,2,085
06182,海,0781,1,2,085
06285,深,0782,1,3,085
06290,清,0783,1,2,085
06499,漢,0784,1,4,085
06517,漸,0785,1,2,085
06792,災,0786,1,2,086
06872,無,0787,1,18,086
06885,然,0788,1,7,086
06978,燒,0789,1,5,086
06984,營,0790,1,2,086
07028,爭,0791,1,2,087
07032,爲,0792,1,23,087
07035,父,0793,1,8,088
07043,爾,0794,1,3,089
07080,物,0795,1,10,093
07110,犬,0796,1,5,094
07207,猿,0797,1,3,094
07230,獨,0798,1,2,094
07241,獲,0799,1,3,094
07250,獻,0800,1,5,094
07258,玆,0801,1,4,095
07259,率,0802,1,5,095
07262,王,0803,1,26,096
07287,珍,0804,1,2,096
07457,甚,0805,1,5,099
07461,生,0806,1,7,100
07478,田,0807,1,21,102
07479,由,0808,1,12,102
07480,甲,0809,1,10,102
07481,申,0810,1,10,102
07503,畏,0811,1,2,102
07508,留,0812,1,2,102
07520,畢,0813,1,2,102
07530,異,0814,1,2,102
07535,當,0815a,2,2,102
07535b,當,0815b,2,1,102
07559,疑,0816,1,2,103
07591,疾,0817,1,2,104
07598,病,0818,1,4,104
07709,白,0819,1,5,106
07710,百,0820,1,30,106
07717,皆,0821,1,2,106
07718,皇,0822,1,36,106
07779,盡,0823,1,4,108
07790,目,0824,1,2,109
07801,相,0825,1,6,109
07844,眾,0826,1,3,109
07938,矣,0827,1,4,111
07941,知,0828,1,8,111
07944,矩,0829,1,2,111
07954,石,0830,1,2,112
08077,礙,0831a,2,1,112
08077b,礙,0831b,2,1,112
08097,示,0832,1,2,113
08101,社,0833,1,2,113
08108,祈,0834,1,3,113
08117,祖,0835,1,8,113
08124,神,0836,1,9,113
08166,禰,0837,1,3,113
08135,祭,0838,1,5,113
08148,福,0839,1,2,113
08180,私,0840,1,2,115
08187,秋,0841,1,4,115
08212,移,0842,1,6,115
08233,稚,0843,1,4,115
08244,種,0844,1,2,115
08269,積,0845,1,3,115
08296,空,0846,1,3,116
08354,立,0847,1,5,117
08361,竝,0848,1,2,117
08371,童,0849,1,5,117
11258,豎,0850,1,2,151
08434,筑,0851a,2,3,118
08434b,筑,0851b,2,1,118
08479,箭,0852,1,2,118
08747,納,0853,1,2,120
08773,紫,0854,1,5,120
08795,終,0855,1,2,120
08807,結,0856,1,2,120
08822,給,0857,1,2,120
08856,經,0858,1,6,120
08885,網,0859,1,5,120
08899,綿,0860,1,3,120
08972,縣,0861,1,2,120
08993,總,0862,1,3,120
09125,罪,0863,1,2,122
09128,置,0864,1,6,122
09133,罷,0865,1,6,122
09144,羅,0866,1,21,122
09150,羊,0867,1,2,123
09240,翹,0868a,2,10,124
09240b,翹,0868b,2,2,124
09255,者,0869,1,16,125
09264,而,0870,1,77,126
09292,耶,0872,1,4,128
09314,聚,0873,1,3,128
09328,聲,0874,1,2,128
09335,聽,0875a,2,2,128
09335b,聽,0875b,2,1,128
09370,肩,0876,1,2,130
09394,背,0877,1,10,130
09429,能,0878,1,19,130
09447,脚,0879,1,2,130
09548,膩,0880,1,2,130
09562,膽,0881,1,2,130
09596,臣,0882,1,89,131
09599,臥,0884,1,3,131
09601,臨,0885,1,3,131
09602,自,0886,1,17,132
09605,臭,0887,1,3,132
09610,至,0888,1,2,133
09611,致,0889,1,2,133
09629,與,0890,1,18,134
09630,興,0891,1,4,134
09632,擧,0892,1,7,134
09638,舍,0893,1,4,135
09672,舶,0894,1,3,137
09675,船,0895,1,10,137
09714,良,0896,1,2,138
09716,色,0897a,2,4,139
09716b,色,0897b,2,2,139
09758,花,0898,1,4,140
09823,茨,0899,1,4,140
09846,草,0900,1,6,140
09901,菌,0901,1,3,140
09954,萬,0902,1,3,140
09966,葉,0903,1,4,140
09976,葛,0904,1,4,140
09985,葬,0905,1,6,140
10040,蓋,0906,1,4,140
10162,薨,0907,1,3,140
10231,蘇,0908,1,21,140
10264,虎,0909,1,3,141
10270,處,0910,1,2,141
10414,蜜,0911a,2,2,142
10414b,蜜,0911b,2,1,142
10614,行,0912,1,6,144
10618,術,0913,1,2,144
10643,表,0914,1,3,145
10683,被,0915,1,5,145
10705,裒,0916,1,2,145
10820,西,0917,1,5,146
10826,覆,0918,1,4,146
10831,見,0919,1,13,147
10837,視,0920,1,3,147
10843,覡,0921,1,4,147
10859,觀,0922a,2,2,147
10859b,觀,0922b,2,1,147
10860,角,0923,1,4,148
10875,解,0924,1,4,148
10890,言,0925,1,13,149
10912,訖,0926,1,2,149
10914,記,0927,1,3,149
10928,設,0928a,2,1,149
10928b,設,0928b,2,1,149
10930,許,0929,1,8,149
10959,詔,0930,1,6,149
10974,詣,0931,1,2,149
10998,誄,0932,1,3,149
10999,誅,0933,1,4,149
11017,語,0934,1,6,149
11025,虔,0935,1,10,149
