,,kcj_慶長紀2,kcj_慶長紀2,kcj_慶長紀2,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
10826,覆,0977,1,5,146
10831,見,0978,1,69,147
10840,覘,0980,1,2,147
10848,親,0981,1,3,147
10837,視,0982,1,7,147
10834,覓,0983,1,6,147
10887,觸,0984a,2,1,148
10887b,觸,0984b,2,1,148
11049,請,0985,1,14,149
10975,試,0986,1,5,149
11095,謂,0987,1,20,149
10890,言,0988,1,28,149
10912,訖,0989,1,6,149
11205,譽,0990,1,5,149
11085,諸,0991,1,12,149
10925,訪,0992,1,4,149
11028,誰,0993,1,9,149
11018,誠,0994,1,3,149
10999,誅,0995,1,2,149
11008,誓,0996,1,4,149
11017,語,0997,1,5,149
10930,許,0998,1,2,149
11200,護,0999,1,2,149
11090,諾,1000,1,2,149
11024,誨,1001,1,2,149
11022,誥,1002,1,3,149
10965,詛,1003,1,2,149
10896,計,1004,1,4,149
11234,谷,1005,1,2,150
11253,豈,1006,1,5,151
11250,豆,1007,1,6,151
11283,豫,1008,1,3,152
11311,貌,1009,1,4,153
11355,貴,1010,1,11,154
11377,賊,1011,1,2,154
11354,貳,1012,1,2,154
11344,責,1013,1,5,154
11393,賜,1014,1,9,154
11338,貧,1015,1,7,154
11429,贈,1016,1,3,154
11445,赤,1017,1,10,155
11461,起,1018,1,13,156
11454,走,1019,1,3,156
11495,足,1020,1,6,157
07557,疏,1021,1,2,103
11548,路,1022,1,3,157
11708,躡,1023,1,3,157
11614,䠙,1024,1,2,157
11564,踉,1025,1,2,157
11715,身,1026,1,8,158
11782,軻,1027,1,2,159
11795,載,1028,1,3,159
11801,輔,1029,1,5,159
11914,辭,1030,1,6,160
11918,辱,1031,1,6,161
12070,遠,1032,1,7,162
12091,遵,1033,1,4,162
12003,速,1034,1,9,162
11983,送,1035,1,6,162
12042,遊,1036,1,11,162
12103,避,1037,1,12,162
12022,進,1038,1,11,162
12052,達,1039,1,4,162
12004,造,1040,1,9,162
12051,道,1041,1,6,162
12120,邏,1042,1,3,162
11947,迎,1043,1,4,162
12010,連,1044,1,7,162
12074,遣,1045,1,22,162
11951,返,1046,1,2,162
12037,遂,1047,1,18,162
12108,還,1048,1,32,162
12009,逢,1049,1,2,162
11995,途,1050,1,2,162
12000,通,1051,1,2,162
12030,逼,1052,1,3,162
12115,邊,1053,1,10,162
11937,迅,1054,1,2,162
12223,鄧,1055,1,4,163
12176,部,1056,1,6,163
12139,邪,1057,1,2,163
12188,都,1058,1,3,163
12263,配,1059,1,5,164
12302,酸,1060,1,3,164
12282,酢,1061,1,7,164
12374,野,1062,1,9,166
12373,重,1063,1,10,166
12497,鋺,1064,1,5,167
12494,鋪,1065,1,2,167
12441,鉤,1066,1,51,167
12388,釣,1068,1,3,167
12418,鈴,1069,1,2,167
12613,鏡,1070,1,6,167
12421,鈿,1071,1,9,167
12386,針,1072,1,2,167
12698,長,1073,1,19,168
12709,門,1074,1,8,169
12724,間,1075,1,9,169
12716,開,1076,1,5,169
12773,闌,1077,1,4,169
12870,陸,1078,1,2,170
12831,陀,1079,1,5,170
12830,阿,1080,1,10,170
12867,陵,1081,1,3,170
12864,陳,1082,1,2,170
12887,隈,1083,1,2,170
12822,防,1084,1,2,170
12859,陪,1085,1,2,170
12855,除,1086,1,2,170
12898,隔,1087,1,2,170
13001,離,1088,1,5,172
12961,雄,1089,1,2,172
12963,集,1090,1,4,172
12965,雉,1091,1,14,172
13073,露,1092,1,4,173
13020,雲,1093,1,8,173
13012,雨,1094,1,2,173
13104,非,1095,1,11,175
13293,響,1096,1,2,180
13346,頭,1097,1,3,181
13304,須,1098,1,8,181
13302,順,1099,1,6,181
13325,頗,1100,1,2,181
13409,顧,1101,1,2,181
13380,顏,1102,1,2,181
13316,頓,1103,1,5,181
13391,願,1104,1,2,181
13423,風,1105,1,13,182
13479,飄,1106,1,2,182
13495,飛,1107,1,2,183
13527,飯,1108,1,8,184
13641,饒,1109,1,3,184
13551,養,1110,1,8,184
13636,饌,1111,1,2,184
13661,首,1112,1,3,185
13667,香,1113,1,3,186
13680,馬,1114,1,2,187
13771,駿,1115,1,4,187
13864,驢,1116,1,2,187
13852,驚,1117,1,3,187
13839,驅,1118a,2,2,187
13839b,驅,1118b,2,1,187
13681,馭,1119,1,3,187
13873,骨,1120,1,2,188
13940,高,1121,1,54,189
14061,鬼,1123,1,2,194
14356,鱷,1124a,2,11,195
14356b,鱷,1124b,2,2,195
14101,魚,1125,1,13,195
14213,鯛,1126,1,3,195
14279,鰭,1127,1,3,195
14379,鳴,1128,1,3,196
14361,鳥,1129,1,6,196
14537,鶿,1130,1,7,196
14603,鸕,1131,1,7,196
12957,雁,1132,1,2,172
14620,鹽,1133,1,5,197
14621,鹿,1134,1,16,198
14645,麗,1135a,2,2,198
14645b,麗,1135b,2,1,198
14809,鼻,1136,1,2,209
14829,齋,1137,1,8,210
00085,久,1138a,2,10,004
00085b,久,1138b,2,2,004
00213,伊,1139a,2,4,009
00213b,伊,1139b,2,3,009
00199,仰,1140a,2,3,009
00199b,仰,1140b,2,1,009
00475,傾,1141a,2,2,009
00475b,傾,1141b,2,1,009
01295,哀,1142a,2,2,030
01295b,哀,1142b,2,1,030
01323,哭,1143a,2,3,030
01323b,哭,1143b,2,1,030
01430,喪,1144a,2,8,030
01430b,喪,1144b,2,2,030
01818,塗,1145a,2,1,032
01818b,塗,1145b,2,1,032
01710,垂,1146a,2,1,032
01710b,垂,1146b,2,1,032
01654,土,1147a,2,4,032
01654b,土,1147b,2,1,032
01682,坐,1148a,2,3,032
01682b,坐,1148b,2,2,032
01726,垢,1149a,2,1,032
01726b,垢,1149b,2,1,032
01905,壯,1150a,2,2,033
01905b,壯,1150b,2,1,033
01973,奈,1151a,2,4,037
01973b,奈,1151b,2,1,037
02262,子,1152a,2,50,039
02262b,子,1152b,2,3,039
02327,宜,1154a,2,11,040
02327b,宜,1154b,2,5,040
02342,宮,1155a,2,15,040
02342b,宮,1155b,2,2,040
02429,尊,1156a,2,79,041
02429b,尊,1156b,2,36,041
02515,屬,1159a,2,4,044
02515b,屬,1159b,2,1,044
02932,底,1160a,2,1,053
02932b,底,1160b,2,1,053
03052,弟,1161a,2,38,057
03052b,弟,1161b,2,4,057
03084,彌,1162a,2,2,057
03084b,彌,1162b,2,2,057
03128,往,1163a,2,8,060
03128b,往,1163b,2,6,060
03248,怪,1164a,2,1,061
03248b,怪,1164b,2,1,061
03750,拔,1165a,2,2,064
03750b,拔,1165b,2,1,064
03758,招,1166a,2,1,064
03758b,招,1166b,2,1,064
04263,救,1167a,2,3,066
04263b,救,1167b,2,1,066
04442,旣,1168a,2,7,071
04442b,旣,1168b,2,7,071
04661,曾,1169a,2,1,073
04661b,曾,1169b,2,1,073
05323,樹,1170a,2,14,075
05323b,樹,1170b,2,3,075
05676,歸,1171a,2,8,077
05676b,歸,1171b,2,5,077
06128,津,1172a,2,41,085
06128b,津,1172b,2,4,085
05979,汙,1173a,2,2,085
05979b,汙,1173b,2,1,085
06918,照,1174a,2,11,086
06918b,照,1174b,2,4,086
06882,焰,1175a,2,1,086
06882b,焰,1175b,2,1,086
07122,狀,1176a,2,5,094
07122b,状,1176b,2,1,094
07203,猶,1177a,2,6,094
07203b,猶,1177b,2,4,094
07241,獲,1178a,2,1,094
07241b,獲,1178b,2,1,094
07394,瓊,1179a,2,43,096
07394b,瓊,1179b,2,9,096
07770,盛,1181a,2,3,108
07770b,盛,1181b,2,1,108
08107,祇,1182a,2,6,113
08107b,祇,1182b,2,2,113
08438,策,1183a,2,1,118
08438b,策,1183b,2,1,118
08426,等,1184a,2,8,118
08426b,等,1184b,2,7,118
08809,絶,1185a,2,3,120
08809b,絶,1185b,2,1,120
09255,者,1186a,2,83,125
09255b,者,1186b,2,19,125
09278,耜,1189a,2,5,127
09278b,耜,1189b,2,4,127
09328,聲,1190a,2,3,128
09328b,聲,1190b,2,1,128
09548,膩,1191a,2,2,130
09548b,膩,1191b,2,1,130
09601,臨,1192a,2,4,131
09601b,臨,1192b,2,4,131
10040,蓋,1193a,2,2,140
10040b,蓋,1193b,2,2,140
09966,葉,1194a,2,2,140
09966b,葉,1194b,2,1,140
10270,處,1195a,3,9,141
10270b,處,1195b,3,7,141
10270c,處,1195c,3,2,141
10658,衾,1196a,2,4,145
10658b,衾,1196b,2,1,145
10683,被,1197a,2,1,145
10683b,被,1197b,2,1,145
11020,誤,1198a,2,3,149
11020b,誤,1198b,2,1,149
10928,設,1199a,2,4,149
10928b,設,1199b,2,1,149
11977,迺,1200a,2,3,162
11977b,迺,1200b,2,2,162
12205,鄕,1201a,2,5,163
12205b,鄕,1201b,2,2,163
12927,隨,1202a,2,4,170
12927b,隨,1202b,2,3,170
12935,隱,1203a,2,3,170
12935b,隱,1203b,2,1,170
12838,降,1204a,2,26,170
12838b,降,1204b,2,8,170
12991,雖,1205a,2,4,172
12991b,雖,1205b,2,3,172
13092,靈,1206a,2,19,173
13092b,靈,1206b,2,8,173
13416,顯,1207a,2,4,181
13416b,顯,1207b,2,3,181
00843,劍,1208a,3,3,018
00843b,劍,1208b,3,1,018
00843c,劍,1208c,3,1,018
08256,稻,1209a,3,4,115
08256b,稻,1209b,3,2,115
08256c,稻,1209c,3,2,115
09994,葺,1210a,3,4,140
09994b,葺,1210b,3,4,140
09994c,葺,1210c,3,1,140
10276,號,1211a,3,26,141
10276b,號,1211b,3,3,141
10276c,號,1211c,3,2,141
11261,豐,1212a,2,17,151
11261b,豐,1212b,2,13,151
