,,kcj_慶長紀2,kcj_慶長紀2,kcj_慶長紀2,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
05645,步,0180,0,1,077
05737,殘,0181,0,1,078
05717,殊,0182,0,1,078
05707,殆,0183,0,1,078
05932,氏,0184,0,1,083
06045,河,0185,0,1,085
06134,洪,0186,0,1,085
06125,洞,0187,0,1,085
06151,流,0188,0,1,085
06088,泥,0189,0,1,085
06317,渠,0190,0,1,085
06138,洲,0191,0,1,085
06480,漂,0192,0,1,085
06396,源,0193,0,1,085
06050,沸,0194,0,1,085
06318,渡,0195,0,1,085
06316,渟,0196,0,1,085
06269,淤,0197,0,1,085
06704,瀛,0198,0,1,085
06835,烏,0199,0,1,086
06901,煙,0200,0,1,086
06978,燒,0201,0,1,086
06997,燼,0202,0,1,086
06874,焦,0203,0,1,086
06969,燃,0204,0,1,086
07047,牆,0205,0,1,090
07065,牙,0206,0,1,092
07087,牽,0207,0,1,093
07106,犢,0208,0,1,093
07244,獵,0209,0,1,094
07256,玄,0210,0,1,095
00263,佩,0211,0,1,009
07426,瓶,0212,0,1,098
07459,甜,0213,0,1,099
07530,異,0214,0,1,102
07507,畔,0215,0,1,102
07481,申,0216,0,1,102
07707,發,0217,0,1,105
07739,皮,0218,0,1,107
07843,眼,0219,0,1,109
07867,睨,0220,0,1,109
07817,看,0221,0,1,109
07806,盾,0222,0,1,109
07799,直,0223,0,1,109
07944,矩,0224,0,1,111
08016,碎,0225,0,1,112
07986,破,0226,0,1,112
08108,祈,0227,0,1,113
08123,祝,0228,0,1,113
08119,祚,0229,0,1,113
08103,祀,0230,0,1,113
08165,禮,0231,0,1,113
08279,穢,0232,0,1,115
08323,窟,0233,0,1,116
08365,竟,0234,0,1,117
11258,豎,0235,0,1,151
08479,箭,0236,0,1,118
08522,篤,0237,0,1,118
08664,粟,0238,0,1,119
08744,紉,0239,0,1,120
08762,紝,0240,0,1,120
08735,紀,0241,0,1,120
08779,細,0242,0,1,120
08976,縫,0243,0,1,120
09030,繋,0244,0,1,120
09064,纏,0245,0,1,120
08993,總,0246,0,1,120
09142,羂,0247,0,1,122
09133,罷,0248,0,1,122
09144,羅,0249,0,1,122
09175,羣,0250,0,1,123
09177,義,0251,0,1,123
09249,耀,0252,0,1,124
09335,聽,0253,0,1,128
09483,腋,0254,0,1,130
09541,膝,0255,0,1,130
09568,臂,0256,0,1,130
09449,脛,0257,0,1,130
09370,肩,0258,0,1,130
09463,脱,0259,0,1,130
09377,肯,0260,0,1,130
09364,股,0261,0,1,130
09599,臥,0262,0,1,131
09626,舂,0263,0,1,134
09627,舃,0264,0,1,134
09911,菟,0265,0,1,140
10153,薙,0266,0,1,140
10189,藍,0267,0,1,140
09778,苗,0268,0,1,140
10139,薄,0269,0,1,140
10349,蛇,0270,0,1,142
