カード番号,文字,字体数,用例数,用例数2,用例数3,大字典番号,部首番号
0309,逃,0,,,,11984,162
0310,透,0,,,,11992,162
0311,逮,0,,,,12019,162
0312,迹,0,,,,11976,162
0313,遷,0,,,,12093,162
0314,退,0,,,,11982,162
0315,遭,0,,,,12082,162
0316,遨,0,,,,12077,162
0317,追,0,,,,11979,162
0318,違,0,,,,12054,162
0319,逆,0,,,,11986,162
0320,選,0,,,,12095,162
0321,遇,0,,,,12040,162
0322,遙,0,,,,12062,162
0323,廻,0,,,,03008,054
0324,酌,0,,,,12262,164
0325,酒,0,,,,12266,164
0326,釀,0,,,,12360,164
0327,醤,0,,,,12342,164
0328,醜,0,,,,12327,164
0329,里,0,,,,12372,166
0330,鍾,0,,,,12563,167
0331,金,0,,,,12380,167
0332,鋒,0,,,,12485,167
0333,鏑,0,,,,12601,167
0334,鍜,0,,,,12544,167
0335,闕,0,,,,12783,169
0336,閉,0,,,,12714,169
0337,闥,0,,,,12800,169
0338,閑,0,,,,12722,169
0339,隅,0,,,,12883,170
0340,隆,0,,,,12886,170
0341,陰,0,,,,12862,170
0342,陛,0,,,,12847,170
0343,雀,0,,,,12955,172
0344,難,0,,,,13002,172
0345,隼,0,,,,12951,172
0346,雌,0,,,,12971,172
0347,面,0,,,,13108,176
0348,鞆,0,,,,13151,177
0349,靭,0,,,,13124,177
0350,音,0,,,,13281,180
0351,頃,0,,,,13297,181
0352,預,0,,,,13313,181
0353,類,0,,,,13398,181
0354,領,0,,,,13327,181
0355,頸,0,,,,13355,181
0356,飮,0,,,,13526,184
0357,食,0,,,,13503,184
0358,餌,0,,,,13552,184
0359,餘,0,,,,13565,184
0360,飢,0,,,,13508,184
0361,餓,0,,,,13559,184
0362,飫,0,,,,13521,184
0363,饉,0,,,,13630,184
0365,騰,0,,,,13820,187
0366,驗,0,,,,13849,187
0367,魔,0,,,,14088,194
0368,鯔,0,,,,14207,195
0369,鷲,0,,,,14576,196
0370,14659,0,,,,14659,198
0371,麻,0,,,,14681,200
0372,黨,0,,,,14730,203
0373,龍,0,,,,14876,212
0374,龜,0,,,,14887,213
0375-0376,不,1,74,,,00013,001
0377,上,1,28,,,00008,001
0378,三,1,19,,,00007,001
0379,下,1,16,,,00009,001
0380,且,1,12,,,00020,001
0381-0382,一,1,64,,,00001,001
0383,丘,1,5,,,00026,001
0384,世,1,9,,,00025,001
0385,七,1,3,,,00004,001
0386,中,1,36,,,00051,002
0387,主,1,22,,,00070,003
0388-0395,之,1,353,,,00088,004
0396-0397,乃,1,63,,,00078,004
0398,乎,1,20,,,00092,004
0399,乘,1,4,,,00102,004
0400-0401,也,1,67,,,00109,005
0402,乞,1,3,,,00108,005
0403,乳,1,4,,,00113,005
0404,事,1,23,,,00128,006
0405-0406,云,1,55,,,00133,007
0407,二,1,23,,,00129,007
0408,五,1,14,,,00135,007
0409,于,1,20,,,00132,007
0410,井,1,12,,,00136,007
0411,亡,1,3,,,00150,008
0412,亦,1,32,,,00154,008
0413,但,1,3,,,00240,009
0414,他,1,2,,,00183,009
0415,傍,1,2,,,00449,009
0416,倚,1,2,,,00378,009
0417,候,1,2,,,00369,009
0418,佐,1,2,,,00246,009
0419,似,1,2,,,00235,009
0420,休,1,2,,,00219,009
0421,儀,1,2,,,00516,009
0422,俯,1,2,,,00349,009
0423,住,1,8,,,00245,009
0424,僉,1,4,,,00483,009
0425,仍,1,4,,,00177,009
0426,供,1,4,,,00299,009
0427,倒,1,3,,,00373,009
0428,依,1,11,,,00301,009
0429,侍,1,6,,,00288,009
0430,企,1,5,,,00209,009
0431,便,1,8,,,00321,009
0432,令,1,8,,,00193,009
0433,代,1,10,,,00192,009
0434-0436,以,1,138,,,00194,009
0437,今,1,28,,,00175,009
0438,作,1,26,,,00256,009
0439,人,1,37,,,00168,009
0440,來,1,39,,,00282,009
0441,何,1,26,,,00250,009
0442,使,1,21,,,00279,009
0444,俳,1,4,,,00351,009
0445,優,1,3,,,00542,009
0446,伏,1,7,,,00217,009
0447,余,1,7,,,00253,009
0448,光,1,4,,,00567,010
0449,先,1,19,,,00566,010
0450-0451,兒,1,63,,,00574,010
0452-0453,兄,1,55,,,00561,010
0454,内,1,12,,,00585,011
0455,全,1,2,,,00589,011
0456,兩,1,3,,,00591,011
0457,入,1,25,,,00582,011
0458-0459,其,1,100,,,00605,012
0460,八,1,38,,,00594,012
0461,兼,1,4,,,00613,012
0462,具,1,5,,,00606,012
0463,共,1,6,,,00599,012
0464,凡,1,6,,,00701,016
0465-0466,出,2,47,23,,00723,017
0467-0468,則,1,71,,,00789,018
0469,初,1,5,,,00759,018
0470,別,1,8,,,00763,018
0471,到,1,21,,,00769,018
0472,前,1,13,,,00794,018
0473,分,1,3,,,00734,018
0474,利,1,12,,,00767,018
0475,副,1,3,,,00818,018
0476,制,1,2,,,00776,018
0477,刀,1,4,,,00729,018
0478,加,1,4,,,00858,019
0479,勢,1,3,,,00898,019
0480,勅,1,19,,,00879,019
0481,勝,1,21,,,00893,019
0482,勿,1,10,,,00919,020
0483,化,1,4,,,00938,021
0484,十,1,18,,,00985,024
0485,千,1,18,,,00987,024
0486,卜,1,2,,,01019,025
0487,即,1,36,,,01049,026
0488,占,1,2,,,01022,025
0489,危,1,2,,,01035,026
0490,原,1,18,,,01074,027
0491,去,1,19,,,01101,028
0492,受,1,6,,,01128,029
0493,又,1,18,,,01108,029
0494,取,1,14,,,01127,029
0495,友,1,4,,,01112,029
0496,反,1,2,,,01116,029
0497,及,1,27,,,01111,029
0498,呼,1,3,,,01251,030
0499,味,1,9,,,01242,030
0500,喜,1,3,,,01412,030
0501,嘗,1,3,,,01479,030
0502,哉,1,6,,,01305,030
0503,同,1,3,,,01174,030
0504,善,1,4,,,01395,030
0505,咫,1,3,,,01279,030
0506,告,1,6,,,01219,030
0507,嗣,1,5,,,01452,030
0508,嘲,1,4,,,01487,030
0509,喧,1,2,,,01420,030
0510,唾,1,2,,,01359,030
0511,呑,1,2,,,01187,030
0512,可,1,28,,,01154,030
0513,各,1,2,,,01168,030
0514,召,1,10,,,01150,030
0515,向,1,11,,,01179,030
0516,問,1,39,,,01369,030
0517-0518,命,1,75,,,01252,030
0519,口,1,17,,,01141,030
520,君,2,7,4,,01185,030
0521,合,1,9,,,01170,030
0522-0523,吾,1,87,,,01217,030
0524,吟,1,4,,,01188,030
0525,和,1,5,,,01263,030
0526,唯,1,4,,,01349,030
0527,名,1,22,,,01175,030
0528,嘯,1,3,,,01484,030
0529-0530,國,1,62,,,01639,031
0531,因,1,40,,,01611,031
0532,困,1,4,,,01623,031
0533,固,1,2,,,01627,031
0534,四,1,2,,,01607,031
0535,地,1,15,,,01666,032
0536,報,1,14,,,01796,032
0537,在,1,29,,,01659,032
0538,坂,1,2,,,01672,032
0539,堅,1,3,,,01767,032
0540,夜,1,15,,,01939,036
0541,多,1,11,,,01938,036
0542,失,1,7,,,01957,037
0543,奇,1,2,,,01972,037
0544,太,1,9,,,01948,037
0545,夫,1,4,,,01949,037
0546,奉,1,29,,,01974,037
0547-0551,天,1,209,,,01947,037
0552-0553,大,1,52,,,01946,037
0554,妾,1,20,,,02062,038
0555,始,1,4,,,02069,038
0556,妻,1,10,,,02061,038
0557,娶,1,10,,,02134,038
0558-0559,姫,1,69,,,02108,038
0560-0561,女,1,53,,,02022,038
0562,如,1,24,,,02031,038
0563,娠,1,8,,,02122,038
0564,妃,1,6,,,02032,038
0565,委,1,2,,,02078,038
0566,威,1,5,,,02105,038
0567,娜,1,3,,,02119,038
0568,妹,1,5,,,02059,038
0569,姉,1,2,,,02068,038
0570,奴,1,3,,,02024,038
0571,婦,1,2,,,02155,038
0572,婢,1,2,,,02151,038
0573-0574,孫,1,84,,,02282,039
0575,孕,1,2,,,02265,039
0576,容,1,7,,,02352,040
0577,定,1,7,,,02325,040
0578,客,1,5,,,02331,040
0579,實,1,5,,,02390,040
0580,害,1,5,,,02346,040
0581,肉,1,3,,,09348,130
0582,寶,1,5,,,02407,040
0583,室,1,8,,,02332,040
0584,安,1,3,,,02309,040
0585,尋,1,12,,,02430,041
0586,將,1,25,,,02425,041
0587,射,1,7,,,02422,041
0588,對,1,23,,,02435,041
0589,小,1,9,,,02439,042
0590,少,1,5,,,02440,042
0591,就,1,8,,,02464,043
0592,屡,1,5,,,02504,044
0593,尾,1,2,,,02478,044
0594,居,1,14,,,02482,044
0595,屋,1,21,,,02488,044
0596,山,1,27,,,02528,046
0597,峯,1,6,,,02589,046
0598,岐,1,3,,,02540,046
0599,崇,1,3,,,02607,046
0600,崩,1,3,,,02640,046
0601,川,1,5,,,02762,047
0602,左,1,2,,,02774,048
0603,已,1,26,,,02783,049
0604,己,1,12,,,02782,049
0605,幡,1,16,,,02881,050
0606,常,1,3,,,02847,050
0607,席,1,2,,,02839,050
0608,帶,1,6,,,02846,050
0609,帥,1,2,,,02828,050
0610,幸,1,25,,,02903,051
0611,平,1,20,,,02899,051
0613,年,1,6,,,02900,051
0614,廣,1,3,,,02993,053
0615,庭,1,2,,,02952,053
0616,床,1,10,,,02924,053
0617,座,1,3,,,02946,053
0619,延,1,4,,,03005,054
0620,弓,1,10,,,03042,057
0621,強,1,2,,,03066,057
0622,弔,1,4,,,03043,057
0623,引,1,2,,,03044,057
0624,張,1,2,,,03065,057
0625,彦,1,114,,,03106,059
0628,影,1,2,,,03116,059
0629,得,1,18,,,03145,060
0630,待,1,6,,,03132,060
0631,彼,1,14,,,03124,060
0632,後,1,21,,,03138,060
0633,復,1,32,,,03159,060
0634,從,1,17,,,03151,060
0635,徨,1,2,,,03158,060
0636,徳,1,2,,,03172,060
0637,彷,1,2,,,03121,060
0638,徑,1,4,,,03142,060
0639,御,1,11,,,03153,060
0640,惡,1,6,,,03367,061
0641,惟,1,2,,,03365,061
0642,悔,1,2,,,03320,061
0643,志,1,4,,,03194,061
0644,忿,2,3,2,,03220,061
0645,意,1,6,,,03395,061
0646,慇,1,2,,,03438,061
0647,悲,1,2,,,03335,061
0648,應,1,2,,,03550,061
0649,憐,1,4,,,03499,061
0650,懃,1,2,,,03544,061
0651,忌,1,2,,,03183,061
0652,懷,1,3,,,03585,061
0653,愛,1,3,,,03405,061
0654,思,1,6,,,03239,061
0655,憂,1,8,,,03486,061
0656,情,1,4,,,03348,061
0657,必,1,15,,,03180,061
0658,心,1,10,,,03179,061
0659,恨,1,9,,,03291,061
0660,慮,1,2,,,03466,061
0661,慍,1,2,,,03410,061
0662,忍,1,12,,,03184,061
0663,息,1,6,,,03298,061
0664,慙,1,4,,,03453,061
0665,忽,1,6,,,03219,061
0666,患,1,3,,,03329,061
0667,急,1,5,,,03243,061
0668,怜,1,4,,,03238,061
0669,憶,1,3,,,03534,061
0670,惱,1,3,,,03372,061
0671,怒,1,4,,,03229,061
0672,愁,1,4,,,03387,061
0673,成,1,3,,,03610,062
0674,我,1,31,,,03611,062
0675,或,1,3,,,03617,062
0676,所,1,46,,,03647,063
0677,戸,1,6,,,03640,063
0678,手,1,15,,,03659,064
0679,投,1,5,,,03708,064
0680,據,1,4,,,04106,064
0681,撥,1,3,,,04062,064
0682,握,1,2,,,03911,064
0683,授,1,10,,,03855,064
0684,攀,1,2,,,04146,064
0685,播,1,10,,,04069,064
0686,03751,1,4,,,03751,064
0687,排,1,6,,,03862,064
0688,持,1,13,,,03780,064
0689,探,1,5,,,03874,064
0690,抑,1,2,,,03704,064
0691,披,1,2,,,03715,064
0692,折,1,10,,,03711,064
0693,損,1,2,,,03939,064
0694,抱,1,2,,,03720,064
0695,掌,1,3,,,03858,064
0696-0697,故,1,83,,,04243,066
0698,教,1,12,,,04261,066
0699,敢,1,3,,,04277,066
0700,放,1,5,,,04233,066
0701,數,1,4,,,04298,066
0702,斫,1,2,,,04368,069
0703,新,1,4,,,04376,069
0704,方,1,7,,,04385,070
0705-0706,於,1,79,,,04389,070
0707-0709,時,1,116,,,04523,072
0710-0711,是,1,96,,,04512,072
0712,日,1,45,,,04446,072
0713,昔,1,3,,,04490,072
0714,智,1,5,,,04569,072
0715,昇,1,5,,,04480,072
0716,易,1,4,,,04489,072
0717,明,1,12,,,04485,072
0718,映,1,3,,,04500,072
0719-0722,曰,1,177,,,04650,073
0723,書,1,16,,,04657,073
0724,更,1,4,,,04654,073
0725,會,1,4,,,04667,073
0726,曲,1,4,,,04651,073
0727,朋,1,2,,,04676,074
0728,期,1,3,,,04699,074
0729,月,1,3,,,04673,074
0730-0731,有,1,84,,,04674,074
0732,果,1,5,,,04806,075
0733,望,1,2,,,04693,074
0734,林,1,2,,,04803,075
0735,櫛,1,3,,,05471,075
0736,條,1,2,,,04984,075
0737,木,1,11,,,04707,075
0738,根,1,17,,,04922,075
0739,杵,1,19,,,04769,075
0740,樂,1,3,,,05279,075
0741,植,1,2,,,05080,075
0742,槌,1,5,,,05236,075
0743,杪,1,3,,,04758,075
0744,横,1,3,,,05381,075
0745,未,1,6,,,04711,075
0746,末,1,3,,,04712,075
0747,05266,1,6,,,05266,075
0748,橋,1,7,,,05348,075
0749,杜,1,8,,,04747,075
0750,本,1,12,,,04713,075
0751,04915,2,3,3,,04915,075
0753,樓,1,2,,,05293,075
0754,枝,1,2,,,04807,075
0755,棄,1,5,,,05014,075
0756,机,1,2,,,04723,075
0757,歌,1,13,,,05609,076
0758,次,1,29,,,05558,076
0759,欲,1,20,,,05580,076
0760,歟,1,10,,,05633,076
0761,歎,1,2,,,05612,076
0762,武,1,10,,,05649,077
0763,正,1,6,,,05643,077
0764-0765,此,1,87,,,05644,077
0766,死,1,6,,,05686,078
0767,殯,1,2,,,05777,078
0768,殿,1,4,,,05809,079
0769,毎,1,2,,,05836,080
0770,母,1,10,,,05834,080
0771,比,1,6,,,05841,081
0772,毛,1,5,,,05850,082
0773,民,1,2,,,05935,083
0774,氣,1,2,,,05947,084
0775,汀,1,7,,,05962,085
0776,濱,1,8,,,06658,085
0777,水,1,6,,,05952,085
0778,法,1,2,,,06074,085
0779,活,1,3,,,06145,085
0780,汲,1,5,,,05996,085
0781,瀬,1,7,,,06713,085
0782,潮,1,23,,,06554,085
0783,沈,1,3,,,06015,085
0784,沒,1,5,,,06023,085
0785,濤,1,3,,,06645,085
0786,漬,1,3,,,06507,085
0787,涸,1,10,,,06227,085
0788,添,1,2,,,06294,085
0789,溺,1,8,,,06422,085
0790,永,1,4,,,05957,085
0791,渚,1,3,,,06312,085
0792,渉,1,2,,,06193,085
0793,溢,1,5,,,06408,085
0794,06150,1,2,,,06150,085
0795,浪,1,2,,,06173,085
0796,滅,1,2,,,06432,085
0797,湯,1,6,,,06381,085
0798,濃,1,2,,,06611,085
0799,泣,1,2,,,06087,085
0800,深,1,3,,,06285,085
0801,滿,1,7,,,06476,085
0802,浮,1,8,,,06175,085
0803,瀲,1,7,,,06723,085
0804-0805,海,1,74,,,06182,085
0806,波,1,12,,,06086,085
807,求,2,2,1,,05964,085
0808,治,1,9,,,06055,085
0809,汝,1,48,,,05983,085
0810,無,1,22,,,06872,086
0811-0814,火,1,155,,,06776,086
0815,焉,1,25,,,06861,086
0816,然,1,21,,,06885,086
0817,06956,1,2,,,06956,086
0818,熱,1,2,,,06957,086
0819,炎,1,3,,,06801,086
0820,焚,1,2,,,06867,086
0821,熊,1,4,,,06939,086
0822,06947,1,2,,,06947,086
0823-0824,爲,1,58,,,07032,087
0825,父,1,12,,,07035,088
0826,爾,2,9,3,,07043,089
0827,特,1,2,,,07086,093
0828,物,1,5,,,07080,093
0829,狹,1,19,,,07162,094
0830,獨,1,3,,,07230,094
0831,猿,1,6,,,07207,094
0832,獸,1,3,,,07248,094
0833,狗,1,2,,,07139,094
0834,王,1,7,,,07262,096
0835,理,1,3,,,07307,096
0836,珥,1,2,,,07294,096
0837-0838,玉,1,53,,,07261,096
0839,瑞,1,2,,,07346,096
0840,玲,1,2,,,07275,096
0841,瓏,1,2,,,07395,096
0842,甕,1,6,,,07452,098
0843,甍,1,2,,,07444,098
0844,甚,1,5,,,07457,099
0845,生,1,44,,,07461,100
0846,産,1,41,,,07464,100
0847,用,1,7,,,07469,101
0848,田,1,34,,,07478,102
0849,由,1,3,,,07479,102
0850,男,1,4,,,07483,102
0851,畏,1,2,,,07503,102
0852,留,1,9,,,07508,102
0853-0854,當,1,51,,,07535,102
0855,毘,1,2,,,05845,081
0856,疑,1,5,,,07559,103
0857,疾,1,5,,,07591,104
0858,癡,1,2,,,07685,104
0859,登,1,6,,,07706,105
0860,白,1,9,,,07709,106
0861,百,1,8,,,07710,106
0862,皆,1,7,,,07717,106
0863-0864,皇,1,69,,,07718,106
0865,盧,1,2,,,07785,108
0866,盡,1,3,,,07779,108
0867,益,1,3,,,07759,108
0868,目,1,12,,,07790,109
0869,相,1,14,,,07801,109
0870,眞,1,7,,,07827,109
0871,衆,1,3,,,07844,109
0872,矛,1,4,,,07929,110
0873,矣,1,31,,,07938,111
0874,矢,1,24,,,07937,111
0875,知,1,16,,,07941,111
0876,短,1,2,,,07948,111
0877,石,1,6,,,07954,112
0878,碕,1,5,,,08023,112
0879,磐,1,21,,,08047,112
0880,磨,1,7,,,08057,112
0881-0885,神,1,202,,,08124,113
0886,禰,1,4,,,08166,113
0887,祖,1,12,,,08117,113
0888,禦,1,3,,,08159,113
0889,祭,1,2,,,08135,113
0890,稜,1,4,,,08235,115
0891,秋,1,2,,,08187,115
0892,移,1,2,,,08212,115
0893,私,1,3,,,08180,115
0894,種,1,2,,,08244,115
0895,稱,1,8,,,08248,115
0896,穗,1,23,,,08273,115
0897,稚,1,28,,,08233,115
0898,秀,1,2,,,08179,115
0899,空,1,4,,,08296,116
0900,窮,1,3,,,08329,116
0901,竊,1,2,,,08353,116
0902,立,1,13,,,08354,117
0903,端,1,2,,,08376,117
0904,答,2,1,1,,08437,118
0905,筒,1,3,,,08435,118
0906,籠,1,6,,,08619,118
0907,籬,1,3,,,08631,118
0908,箇,1,10,,,08461,118
0909,笠,1,4,,,08404,118
0910,筑,1,3,,,08434,118
0911,笑,1,2,,,08396,118
0912,竹,1,8,,,08382,118
0913,箕,1,2,,,08468,118
