統合ID,文字,斉民要術,字体数,用例数,部首
01939,夜,0535,1,2,036
01957,失,0536,1,2,037
01946,大,0537,1,25,037
01947,天,0538,1,5,037
01949,夫,0539,1,3,037
02029,好,0540,1,9,038
02031,如,0541,1,22,038
02022,女,0542,1,2,038
02262,子,0543,1,40,039
02275,孟,0544,1,4,039
02276,季,0545,1,4,039
02325,定,0546,1,2,040
02331,客,0547,1,2,040
02390,實,0548,1,3,040
02306,宅,0549,1,3,040
02397,寬,0550,1,2,040
02309,安,0551,1,5,040
02332,室,0552,1,2,040
02349,家,0553,1,5,040
02373,寔,0554,1,4,040
02327,宜,0555,1,17,040
02371,寒,0556,1,2,040
02355,宿,0557,1,3,040
02425,將,0558,1,3,041
02413,寸,0559,1,9,041
02439,小,0560,1,11,042
02440,少,0561,1,12,042
02464,就,0562,1,4,043
02456,尤,0563,1,2,043
02515,屬,0564,1,2,044
02471,尺,0565,1,10,044
02488,屋,0566,1,14,044
02528,山,0567,1,10,046
02617,崔,0568,1,4,046
02762,川,0569,1,2,047
02847,常,0570,1,11,050
02819,帛,0571,1,2,050
02800,布,0572,1,9,050
02899,平,0573,1,6,051
02900,年,0574,1,55,051
02932,底,0576,1,3,053
03042,弓,0577,1,2,057
03044,引,0578,1,2,057
03138,後,0579,1,31,060
03145,得,0580,1,20,060
03157,徧,0581a,2,8,060
03157b,徧,0581b,2,1,060
03143,徒,0582,1,2,060
03172,德,0583,1,2,060
03173,徹,0584,1,2,060
03141,徐,0585,1,2,060
03179,心,0586,1,5,061
03180,必,0587,1,8,061
03367,惡,0588,1,7,061
03429,愼,0589,1,2,061
03405,愛,0590,1,10,061
03244,性,0591,1,4,061
03550,應,0592,1,2,061
03312,悉,0593,1,2,061
03243,急,0594,1,4,061
03610,成,0595,1,17,062
03628,截,0596,1,3,062
03640,戸,0597,1,2,063
03647,所,0598,1,9,063
03659,手,0599,1,7,064
03806,挼,0600,1,2,064
03750,拔,0601,1,4,064
03666,打,0602,1,3,064
03783,指,0603,1,4,064
03711,折,0604,1,6,064
03686,扶,0605,1,2,064
03865,掘,0606,1,8,064
04009,摩,0607,1,2,064
03993,摘,0608,1,7,064
04104,擘,0609,1,2,064
04209,攪,0610,1,4,064
03878,接,0611,1,5,064
03700,把,0612,1,2,064
04243,故,0613,1,6,066
04280,散,0614,1,13,066
04224,收,0615,1,23,066
04298,數,0616,1,10,066
04233,放,0617,1,5,066
04319,變,0618,1,3,066
04321,文,0619,1,7,067
04346,料,0620,1,4,068
04349,斛,0621,1,2,068
04339,斗,0622,1,2,068
04362,斤,0623,1,2,069
04364,斧,0624,1,2,069
04369,斬,0625,1,5,069
04376,新,0626,1,3,069
04381,斷,0627,1,2,069
04384,斸,0628,1,7,069
04368,斫,0629,1,13,069
04394,旁,0630,1,4,070
04385,方,0631,1,9,070
04389,於,0632,1,28,070
04446,日,0633,1,35,072
04523,時,0634,1,35,072
04447,旦,0635,1,2,072
04453,旬,0636,1,4,072
04646,曬,0637,1,2,072
04637,曝,0638,1,13,072
04503,春,0639,1,17,072
04485,明,0640,1,17,072
04512,是,0641,1,5,072
04489,易,0642,1,3,072
04606,暮,0643,1,2,072
04651,曲,0644,1,5,073
04657,書,0645,1,6,073
04654,更,0646,1,8,073
04673,月,0647,1,97,074
04674,有,0649,1,16,074
04984,條,0650,1,6,075
05033,棚,0651,1,3,075
05044,棧,0652,1,2,075
04873,柳,0653,1,9,075
04717,朱,0654,1,4,075
04939,桐,0655,1,3,075
04805,枚,0656,1,2,075
04925,栽,0657,1,10,075
04922,根,0658,1,22,075
05240,槐,0659,1,4,075
05519,欄,0660,1,2,075
04871,柱,0661,1,2,075
04801,枕,0662,1,2,075
04712,末,0663,1,3,075
04807,枝,0664,1,13,075
05323,樹,0665,1,27,075
04707,木,0666,1,23,075
05161,極,0667,1,3,075
04750,束,0668,1,3,075
05104,椹,0669,1,7,075
04738,材,0670,1,9,075
04851,柘,0671,1,7,075
05153,楮,0672,1,3,075
05279,樂,0673,1,4,075
04908,株,0674,1,6,075
05107,椽,0675,1,4,075
05476,㰅,0676,1,2,075
05039,棠,0677,1,2,075
04848,染,0678,1,3,075
04930,桃,0679,1,2,075
05068,椀,0680,1,2,075
04983,梜,0681,1,3,075
04803,林,0682,1,3,075
04941,桑,0683,1,19,075
04977,梓,0684,1,5,075
05166,楸,0685,1,5,075
05123,楊,0686,1,6,075
04743,杖,0687,1,2,075
04711,未,0688,1,4,075
04884,柴,0689,1,9,075
05080,植,0690,1,3,075
05141,楡,0691,1,15,075
05348,橋,0692,1,3,075
04781,板,0693,1,3,075
05580,欲,0694,1,19,076
05558,次,0695,1,2,076
05644,此,0696,1,3,077
05645,步,0697,1,4,077
05641,止,0698,1,6,077
05643,正,0699,1,27,077
05686,死,0700,1,2,078
05796,殺,0701,1,5,079
05841,比,0702,1,5,081
05935,民,0703,1,2,083
05947,氣,0704,1,8,084
06445,滑,0705,1,2,085
06009,沃,0706,1,3,085
06672,濾,0707,1,2,085
06381,湯,0708,1,2,085
06506,漫,0709,1,6,085
06045,河,0710,1,4,085
06088,泥,0711,1,6,085
06633,濕,0712,1,4,085
05952,水,0713,1,36,085
06050,沸,0714,1,2,085
06168,浥,0715,1,4,085
06285,深,0716,1,8,085
05957,永,0717,1,6,085
06023,沒,0718,1,5,085
06020,沐,0719,1,2,085
06346,渾,0720,1,2,085
06074,法,0721,1,31,085
06055,治,0722,1,8,085
06179,浴,0723,1,2,085
06063,泉,0724,1,2,085
06281,淮,0725,1,3,085
06292,淺,0726,1,2,085
06120,洗,0727,1,4,085
06031,沙,0728a,2,2,085
06031b,沙,0728b,2,1,085
06052,油,0729,1,3,085
06481,漆,0730,1,3,085
06566,澆,0731,1,4,085
06183,浸,0732,1,10,085
06553,潤,0733,1,6,085
05963,汁,0734,1,11,085
06603,澤,0735,1,6,085
06286,淳,0736,1,3,085
06230,涼,0737,1,2,085
06476,滿,0738,1,2,085
06600,澱,0739,1,2,085
06872,無,0740,1,18,086
06776,火,0741,1,13,086
06986,燥,0742,1,6,086
06949,熟,0743,1,29,086
06957,熱,0744,1,4,086
06784,灰,0745,1,5,086
06885,然,0746,1,11,086
06895,煮,0747,1,2,086
06894,煎,0748,1,4,086
02924,床,0749,1,3,053
08316,窓,0750,1,2,116
07080,物,0751,1,4,093
07072,牛,0752,1,2,093
07230,獨,0753,1,2,094
07259,率,0754,1,6,095
07307,理,0755,1,5,096
07389,璽,0756,1,2,096
07426,瓶,0757,1,4,098
07427,瓷,0758,1,3,098
07420,瓮,0759,1,8,098
07457,甚,0760,1,4,099
07461,生,0761,1,39,100
07478,田,0762,1,12,102
07535,當,0763,1,9,102
07542,畼,0764,1,3,102
07530,異,0765,1,3,102
07523,畦,0766,1,5,102
07507,畔,0767,1,3,102
07613,痛,0768,1,4,104
07591,疾,0769,1,2,104
07707,發,0770,1,2,105
07709,白,0771,1,16,106
07717,皆,0772,1,9,106
07710,百,0773,1,26,106
07756,盆,0774,1,2,108
07770,盛,0775,1,3,108
07775,盞,0776,1,2,108
07782,盤,0777,1,2,108
07801,相,0778,1,4,109
07807,省,0779,1,4,109
07799,直,0780,1,14,109
07938,矣,0781,1,9,111
07954,石,0782,1,10,112
07986,破,0783,1,3,112
07995,硏,0784,1,3,112
08165,禮,0785,1,3,113
08143,禁,0786,1,4,113
08177,禾,0787,1,2,115
08224,稍,0788,1,2,115
08261,穀,0789,1,9,115
08256,稻,0790,1,2,115
08187,秋,0791,1,14,115
08244,種,0792,1,70,115
08192,科,0794,1,2,115
08291,穴,0795,1,2,116
08329,窮,0796,1,2,116
08354,立,0797,1,3,117
08365,竟,0798,1,2,117
08382,竹,0799,1,11,118
08430,筍,0800a,2,11,118
08430b,筍,0800b,2,1,118
08412,第,0801,1,2,118
08479,箭,0802,1,3,118
08426,等,0803,1,2,118
08468,箕,0804,1,3,118
08552,簇,0805,1,2,118
08493,節,0806,1,2,118
08467,箔,0807,1,7,118
08635,米,0808,1,7,119
08664,粟,0809,1,4,119
08711,糞,0810,1,4,119
08648,粉,0811,1,13,119
08713,糠,0812,1,4,119
08929,緩,0813,1,2,120
08899,綿,0814,1,3,120
08834,絲,0815,1,4,120
08840,絹,0816,1,6,120
08795,終,0817,1,3,120
08809,絶,0818,1,2,120
08816,絞,0819,1,3,120
08758,紙,0820,1,4,120
08994,績,0821,1,3,120
09031,繭,0822,1,5,120
08779,細,0823,1,7,120
09128,置,0824a,2,5,122
09128b,置,0824b,2,1,122
09250,老,0825,1,2,125
09255,者,0826,1,63,125
09267,耐,0828,1,4,126
09264,而,0829,1,19,126
09429,能,0830,1,7,130
09459,脣,0831,1,2,130
09433,脂,0832,1,5,130
09568,臂,0833,1,2,130
M29438,,0834,1,2,130
09411,胡,0835,1,3,130
09602,自,0836,1,10,132
09611,致,0837,1,2,133
09610,至,0838,1,22,133
09629,與,0839,1,10,134
09714,良,0840,1,9,138
09716,色,0841,1,8,139
09795,英,0842,1,3,140
09874,莖,0843,1,2,140
09789,苦,0844,1,5,140
09768,芽,0845,1,2,140
10219,藿,0846,1,3,140
10200,藜,0847,1,2,140
10034,蒿,0848,1,4,140
10204,藥,0849,1,2,140
09886,莫,0850,1,2,140
09988,葱,0851,1,2,140
09851,荒,0852,1,4,140
10164,薪,0853,1,3,140
09966,葉,0854,1,9,140
09972,著,0855,1,29,140
09758,花,0856,1,6,140
09883,莢,0857,1,8,140
09846,草,0858,1,15,140
09788,若,0859,1,10,140
09743,芟,0860,1,4,140
09991,葵,0861,1,3,140
10028,蒸,0862,1,3,140
09961,落,0863,1,8,140
09954,萬,0864a,2,8,140
09954b,萬,0864b,2,3,140
10040,蓋,0865,1,3,140
10270,處,0866,1,7,141
10599,蠶,0867,1,46,142
10388,蛾,0868,1,3,142
10302,蚖,0869,1,6,142
10600,蠹,0870,1,2,142
10614,行,0871,1,12,144
10618,術,0872a,2,4,144
10618b,術,0872b,2,1,144
10696,裁,0873,1,2,145
10729,裹,0874,1,4,145
10703,裏,0875,1,2,145
10665,袋,0876,1,3,145
10820,西,0877,1,3,146
10822,要,0878,1,2,146
10831,見,0879,1,3,147
10860,角,0880,1,7,148
10912,訖,0881,1,9,149
11095,謂,0882,1,4,149
10930,許,0883,1,7,149
11085,諸,0884,1,3,149
11258,豎,0885a,2,5,151
11258b,豎,0885b,2,1,151
11250,豆,0886,1,4,151
11284,豬,0887,1,2,152
11349,貯,0888,1,3,154
11404,質,0889,1,2,154
11334,財,0890,1,2,154
11398,賣,0891,1,7,154
11461,起,0892,1,2,156
11495,足,0893,1,5,157
11740,車,0894,1,8,159
11856,轉,0895,1,2,159
11763,軟,0896,1,4,159
11795,載,0897,1,5,159
11826,輩,0898,1,2,159
11849,轂,0899,1,2,159
11993,逐,0900,1,2,162
11936,迄,0901,1,3,162
12003,速,0902,1,2,162
12046,過,0903,1,3,162
12108,還,0904,1,6,162
12070,遠,0905,1,3,162
12103,避,0906,1,2,162
11948,近,0907,1,3,162
12079,適,0908,1,2,162
11986,逆,0909,1,3,162
12027,逸,0910,1,3,162
12302,酸,0911,1,2,164
12373,重,0912,1,4,166
12658,鐺,0913,1,2,167
12587,鎭,0914,1,3,167
12491,鋤,0915,1,8,167
12518,錢,0916,1,10,167
12698,長,0917,1,17,168
12716,開,0918,1,3,169
12834,附,0919,1,3,170
12862,陰,0920,1,8,170
12876,陽,0921,1,3,170
12997,雜,0922,1,8,172
12991,雖,0923,1,6,172
12964,雇,0924,1,2,172
13012,雨,0925,1,8,173
13104,非,0926,1,4,175
13108,面,0927,1,4,176
13304,須,0928,1,19,181
13297,頃,0929,1,6,181
13302,順,0930,1,2,181
13346,頭,0931,1,7,181
13423,風,0932,1,5,182
13503,食,0933,1,10,184
13551,養,0934,1,9,184
13540,飼,0935,1,3,184
13667,香,0936,1,15,186
13680,馬,0937,1,7,187
13940,高,0938,1,11,189
13947,髡,0939,1,2,190
14101,魚,0940,1,2,195
14379,鳴,0941,1,2,196
14659,麤,0942,1,4,198
14661,麥,0943,1,3,199
14681,麻,0944,1,12,200
14693,黃,0945,1,5,201
14699,黍,0946,1,5,202
14709,黑,0947,1,3,203
14790,鼠,0948,1,8,208
14828,齊,0949,1,4,210
14876,龍,0950,1,3,212
00636,冒,0951a,2,1,013
00636b,冒,0951b,2,1,013
00759,初,0952a,2,9,018
00759b,初,0952b,2,2,018
M02136,剶,0953,1,6,018
00893,勝,0954a,2,4,019
00893b,勝,0954b,2,1,019
