カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0305,蘭,140,0,,,,10251
0306,蒜,140,0,,,,10012
0307,10188,140,0,,,,10188
0308,苜,140,0,,,,09780
0309,蒲,140,0,,,,10026
0310,虞,141,0,,,,10275
0311,血,143,0,,,,10605
0312,衣,145,0,,,,10637
0313,裂,145,0,,,,10698
0314,觸,148,0,,,,10887
0315,解,148,0,,,,10875
0316,觜,148,0,,,,10869
0317,言,149,0,,,,10890
0318,論,149,0,,,,11058
0319,譜,149,0,,,,11174
0320,護,149,0,,,,11200
0321,計,149,0,,,,10896
0322,谷,150,0,,,,11234
0323,豈,151,0,,,,11253
0324,買,154,0,,,,11356
0325,賊,154,0,,,,11377
0326,費,154,0,,,,11359
0327,資,154,0,,,,11373
0328,貲,154,0,,,,11353
0329,負,154,0,,,,11332
0330,赤,155,0,,,,11445
0331,11621,157,0,,,,11621
0332,身,158,0,,,,11715
0333,11816,159,0,,,,11816
0334,辟,160,0,,,,11898
0335,辰,161,0,,,,11917
0336,農,161,0,,,,11919
0337,廻,054,0,,,,03008
0339,遶,162,0,,,,12092
0340,道,162,0,,,,12051
0341,造,162,0,,,,12004
0342,連,162,0,,,,12010
0343,遲,162,0,,,,12087
0344,逼,162,0,,,,12030
0345,遣,162,0,,,,12074
0346,郭,163,0,,,,12179
0347,都,163,0,,,,12188
0348,部,163,0,,,,12176
0349,郵,163,0,,,,12186
0350,酷,164,0,,,,12301
0351,12320,164,0,,,,12320
0352,M39932,164,0,,,,
0353,釋,165,0,,,,12371
0354,量,166,0,,,,12376
0355,鉢,167,0,,,,12440
0356,銅,167,0,,,,12453
0357,M40796,167,0,,,,
0358,釘,167,0,,,,12383
0359,錐,167,0,,,,12507
0360,鎌,167,0,,,,12568
0361,鉤,167,0,,,,12441
0362,12597,167,0,,,,12597
0363,鍬,167,0,,,,12553
0364,閉,169,0,,,,12714
0365,限,170,0,,,,12839
0366,陳,170,0,,,,12864
0367,隙,170,0,,,,12905
0368,阜,170,0,,,,12802
0369,除,170,0,,,,12855
0370,陂,170,0,,,,12833
0371,陶,170,0,,,,12868
0372,鷄,196,0,,,,14542 
0373,雀,172,0,,,,12955
0374,隻,172,0,,,,12950
0375,雅,172,0,,,,12962
0376,雪,173,0,,,,13015
0377,霜,173,0,,,,13052
0378,13133,177,0,,,,13133
0379,鞍,177,0,,,,13160
0380,鞭,177,0,,,,13192
0381,響,180,0,,,,13293
0382,顛,181,0,,,,13395
0383,顆,181,0,,,,13368
0384,預,181,0,,,,13313
0385,餠,184,0,,,,13573
0386,飮,184,0,,,,13526
0387,飯,184,0,,,,13527
0388,馥,186,0,,,,13677
0389,驢,187,0,,,,13864
0390,駕,187,0,,,,13724
0391,體,188,0,,,,13934
0392,髓,188,0,,,,13933
0393,鬼,194,0,,,,14061
0394,魁,194,0,,,,14066
0395,魯,195,0,,,,14116
0396,鮮,195,0,,,,14174
0397,鴨,196,0,,,,14431
0398,鹽,197,0,,,,14620
0399,14728x,203,0,,,,14728x
0400,齧,211,0,,,,14853
0401-0403,一,001,1,102,,,00001
0404,且,001,1,2,,,00020
0405,丈,001,1,3,,,00006
0406,下,001,1,37,,,00009
0407,上,001,1,31,,,00008
0408,七,001,1,22,,,00004
0409-0410,不,001,1,60,,,00013
0411,世,001,1,2,,,00025
0413-0414,三,001,1,61,,,00007
0415,丁,001,1,3,,,00002
0416-0417,中,002,1,79,,,00051
0418,主,003,1,3,,,00070
0419-0421,之,004,1,150,,,00088
0422,久,004,1,7,,,00085
0423,乃,004,1,12,,,00078
0424,也,005,1,11,,,00109
0425,九,005,1,12,,,00107
0426,乾,005,1,17,,,00118
0427,事,006,1,2,,,00128
0428,五,007,1,43,,,00135
0429,二,007,1,40,,,00129
0430,亦,008,1,19,,,00154
0431,亭,008,1,3,,,00160
0432,候,009,1,3,,,00369
0433,供,009,1,2,,,00299
0434,倒,009,1,2,,,00373
0435,佳,009,1,3,,,00267
0436,停,009,1,4,,,00417
0437,似,009,1,4,,,00235
0438,使,009,1,11,,,00279
0439,價,009,1,2,,,00513
0440,伐,009,1,11,,,00218
0441,倶,009,1,3,,,00350
0442,倍,009,1,5,,,00368
0443,仍,009,1,4,,,00177
0444,作,009,1,38,,,00256
0445-0446,以,009,1,77,,,00194
0447,便,009,1,9,,,00321
0448,人,009,1,17,,,00168
0449-0450,令,009,1,53,,,00193
0451,今,009,1,2,,,00175
0452,任,009,1,13,,,00206
0453,來,009,1,4,,,00282
0454,但,009,1,2,,,00240
0455,仲,009,1,3,,,00200
0456,充,010,1,2,,,00562
0457,光,010,1,2,,,00567
0458,入,011,1,7,,,00582
0459,兩,011,1,9,,,00591
0460,内,011,1,6,,,00585
0461,其,012,1,34,,,00605
0462,八,012,1,19,,,00594
0463,具,012,1,5,,,00606
0464,公,012,1,2,,,00596
0465,六,012,1,15,,,00597
0466,再,013,1,8,,,00629
0467,冷,015,1,6,,,00672
0468,冬,015,1,10,,,00662
0469,凡,016,1,12,,,00701
0470,出,017,1,21,,,00723
0471,削,018,1,2,,,00791
0472,到,018,1,2,,,00769
0473,別,018,1,9,,,00763
0474,割,018,1,2,,,00820
0475,則,018,1,21,,,00789
0476,前,018,1,6,,,00794
0477,利,018,1,11,,,00767
0478,刀,018,1,2,,,00729
0479,刈,018,1,7,,,00736
0480,剖,018,1,5,,,00799
0481,分,018,1,7,,,00734
0482,勞,019,1,14,,,00894
0483,勢,019,1,3,,,00898
0484,勿,020,1,19,,,00919
0485,北,021,1,4,,,00941
0486,匹,023,1,7,,,00975
0487,半,024,1,4,,,00994
0488-0489,十,024,1,56,,,00985
0490,南,024,1,6,,,01010
0491,千,024,1,14,,,00987
0492,升,024,1,2,,,00991
0493,即,026,1,23,,,01049
0494,原,027,1,4,,,01074
0495,厚,027,1,3,,,01068
0496,去,028,1,23,,,01101
0497,取,029,1,48,,,01127
0498,又,029,1,15,,,01108
0499,及,029,1,9,,,01111
0500,向,030,1,3,,,01179
0501,唯,030,1,6,,,01349
0502,和,030,1,12,,,01263
0503,吉,030,1,3,,,01172
0504,器,030,1,14,,,01523
0505,可,030,1,20,,,01154
0506,口,030,1,3,,,01141
0507,合,030,1,16,,,01170
0508,各,030,1,8,,,01168
0509,善,030,1,4,,,01395
0510,同,030,1,4,,,01174
0511,嘉,030,1,3,,,01468
0512,含,030,1,3,,,01197
0513,園,031,1,3,,,01644
0514,圓,031,1,2,,,01645
0515,圍,031,1,2,,,01641
0516,四,031,1,25,,,01607
0517,塵,032,1,2,,,01831
0518,堅,032,1,3,,,01767
0519,在,032,1,6,,,01659
0520,塹,032,1,3,,,01833
0521,壓,032,1,3,,,01884
0522,壟,032,1,17,,,01897
0523,地,032,1,36,,,01666
0524,坑,032,1,13,,,01683
0525,土,032,1,18,,,01654
0526,塞,032,1,2,,,01823
0527,堪,032,1,9,,,01789
0528,坎,032,1,2,,,01680
0529,塗,032,1,5,,,01818
0530,壞,032,1,3,,,01895
0531,埋,032,1,2,,,01738
0532,壬,033,1,2,,,01904
0533,夏,035,1,9,,,01927
0534,外,036,1,5,,,01934
0535,夜,036,1,2,,,01939
0536,失,037,1,2,,,01957
0537,大,037,1,25,,,01946
0538,天,037,1,5,,,01947
0539,夫,037,1,3,,,01949
0540,好,038,1,9,,,02029
0541,如,038,1,22,,,02031
0542,女,038,1,2,,,02022
0543,子,039,1,40,,,02262
0544,孟,039,1,4,,,02275
0545,季,039,1,4,,,02276
0546,定,040,1,2,,,02325
0547,客,040,1,2,,,02331
0548,實,040,1,3,,,02390
0549,宅,040,1,3,,,02306
0550,寛,040,1,2,,,02397
0551,安,040,1,5,,,02309
0552,室,040,1,2,,,02332
0553,家,040,1,5,,,02349
0554,寔,040,1,4,,,02373
0555,宜,040,1,17,,,02327
0556,寒,040,1,2,,,02371
0557,宿,040,1,3,,,02355
0558,將,041,1,3,,,02425
0559,寸,041,1,9,,,02413
0560,小,042,1,11,,,02439
0561,少,042,1,12,,,02440
0562,就,043,1,4,,,02464
0563,尤,043,1,2,,,02456
0564,屬,044,1,2,,,02515
0565,尺,044,1,10,,,02471
0566,屋,044,1,14,,,02488
0567,山,046,1,10,,,02528
0568,崔,046,1,4,,,02617
0569,川,047,1,2,,,02762
0570,常,050,1,11,,,02847
0571,帛,050,1,2,,,02819
0572,布,050,1,9,,,02800
0573,平,051,1,6,,,02899
0574-0575,年,051,1,55,,,02900
0576,底,053,1,3,,,02932
0577,弓,057,1,2,,,03042
0578,引,057,1,2,,,03044
0579,後,060,1,31,,,03138
0580,得,060,1,20,,,03145
0581,03157,060,2,8,1,,03157
0582,徒,060,1,2,,,03143
0583,徳,060,1,2,,,03172
0584,徹,060,1,2,,,03173
0585,徐,060,1,2,,,03141
0586,心,061,1,5,,,03179
0587,必,061,1,8,,,03180
0588,惡,061,1,7,,,03367
0589,愼,061,1,2,,,03429
0590,愛,061,1,10,,,03405
0591,性,061,1,4,,,03244
0592,應,061,1,2,,,03550
0593,悉,061,1,2,,,03312
0594,急,061,1,4,,,03243
0595,成,062,1,17,,,03610
0596,截,062,1,3,,,03628
0597,戸,063,1,2,,,03640
0598,所,063,1,9,,,03647
0599,手,064,1,7,,,03659
0600,03806,064,1,2,,,03806
0601,拔,064,1,4,,,03750
0602,打,064,1,3,,,03666
0603,指,064,1,4,,,03783
0604,折,064,1,6,,,03711
0605,扶,064,1,2,,,03686
0606,掘,064,1,8,,,03865
0607,摩,064,1,2,,,04009
0608,摘,064,1,7,,,03993
0609,擘,064,1,2,,,04104
0610,攪,064,1,4,,,04209
0611,接,064,1,5,,,03878
0612,把,064,1,2,,,03700
0613,故,066,1,6,,,04243
0614,散,066,1,13,,,04280
0615,收,066,1,23,,,04224
0616,數,066,1,10,,,04298
0617,放,066,1,5,,,04233
0618,變,066,1,3,,,04319
0619,文,067,1,7,,,04321
0620,料,068,1,4,,,04346
0621,斛,068,1,2,,,04349
0622,斗,068,1,2,,,04339
0623,斤,069,1,2,,,04362
0624,斧,069,1,2,,,04364
0625,斬,069,1,5,,,04369
0626,新,069,1,3,,,04376
0627,斷,069,1,2,,,04381
0628,04384,069,1,7,,,04384
0629,斫,069,1,13,,,04368
0630,旁,070,1,4,,,04394
0631,方,070,1,9,,,04385
0632,於,070,1,28,,,04389
0633,日,072,1,35,,,04446
0634,時,072,1,35,,,04523
0635,旦,072,1,2,,,04447
0636,旬,072,1,4,,,04453
0637,曬,072,1,2,,,04646
0638,曝,072,1,13,,,04637
0639,春,072,1,17,,,04503
0640,明,072,1,17,,,04485
0641,是,072,1,5,,,04512
0642,易,072,1,3,,,04489
0643,暮,072,1,2,,,04606
0644,曲,073,1,5,,,04651
0645,書,073,1,6,,,04657
0646,更,073,1,8,,,04654
0647-0648,月,074,1,97,,,04673
0649,有,074,1,16,,,04674
0650,條,075,1,6,,,04984
0651,棚,075,1,3,,,05033
0652,棧,075,1,2,,,05044
0653,柳,075,1,9,,,04873
0654,朱,075,1,4,,,04717
0655,桐,075,1,3,,,04939
0656,枚,075,1,2,,,04805
0657,栽,075,1,10,,,04925
0658,根,075,1,22,,,04922
0659,槐,075,1,4,,,05240
0660,欄,075,1,2,,,05519
0661,柱,075,1,2,,,04871
0662,枕,075,1,2,,,04801
0663,末,075,1,3,,,04712
0664,枝,075,1,13,,,04807
0665,樹,075,1,27,,,05323
0666,木,075,1,23,,,04707
0667,極,075,1,3,,,05161
0668,束,075,1,3,,,04750
0669,椹,075,1,7,,,05104
0670,材,075,1,9,,,04738
0671,柘,075,1,7,,,04851
0672,楮,075,1,3,,,05153
0673,樂,075,1,4,,,05279
0674,株,075,1,6,,,04908
0675,椽,075,1,4,,,05107
0676,05476,075,1,2,,,05476
0677,棠,075,1,2,,,05039
0678,染,075,1,3,,,04848
0679,桃,075,1,2,,,04930
0680,椀,075,1,2,,,05068
0681,04983,075,1,3,,,04983
0682,林,075,1,3,,,04803
0683,桑,075,1,19,,,04941
0684,梓,075,1,5,,,04977
0685,楸,075,1,5,,,05166
0686,楊,075,1,6,,,05123
0687,杖,075,1,2,,,04743
0688,未,075,1,4,,,04711
0689,柴,075,1,9,,,04884
0690,植,075,1,3,,,05080
0691,楡,075,1,15,,,05141
0692,橋,075,1,3,,,05348
0693,板,075,1,3,,,04781
0694,欲,076,1,19,,,05580
0695,次,076,1,2,,,05558
0696,此,077,1,3,,,05644
0697,歩,077,1,4,,,05645
0698,止,077,1,6,,,05641
0699,正,077,1,27,,,05643
0700,死,078,1,2,,,05686
0701,殺,079,1,5,,,05796
0702,比,081,1,5,,,05841
0703,民,083,1,2,,,05935
0704,氣,084,1,8,,,05947
0705,滑,085,1,2,,,06445
0706,沃,085,1,3,,,06009
0707,濾,085,1,2,,,06672
0708,湯,085,1,2,,,06381
0709,漫,085,1,6,,,06506
0710,河,085,1,4,,,06045
0711,泥,085,1,6,,,06088
0712,濕,085,1,4,,,06633
0713,水,085,1,36,,,05952
0714,沸,085,1,2,,,06050
0715,06168,085,1,4,,,06168
0716,深,085,1,8,,,06285
0717,永,085,1,6,,,05957
0718,沒,085,1,5,,,06023
0719,沐,085,1,2,,,06020
0720,渾,085,1,2,,,06346
0721,法,085,1,31,,,06074
0722,治,085,1,8,,,06055
0723,浴,085,1,2,,,06179
0724,泉,085,1,2,,,06063
0725,淮,085,1,3,,,06281
0726,淺,085,1,2,,,06292
0727,洗,085,1,4,,,06120
0728,沙,085,2,2,1,,06031
0729,油,085,1,3,,,06052
0730,漆,085,1,3,,,06481
0731,澆,085,1,4,,,06566
0732,浸,085,1,10,,,06183
0733,潤,085,1,6,,,06553
0734,汁,085,1,11,,,05963
0735,澤,085,1,6,,,06603
0736,淳,085,1,3,,,06286
0737,涼,085,1,2,,,06230
0738,滿,085,1,2,,,06476
0739,澱,085,1,2,,,06600
0740,無,086,1,18,,,06872
0741,火,086,1,13,,,06776
0742,燥,086,1,6,,,06986
0743,熟,086,1,29,,,06949
0744,熱,086,1,4,,,06957
0745,灰,086,1,5,,,06784
0746,然,086,1,11,,,06885
0747,煮,086,1,2,,,06895
0748,煎,086,1,4,,,06894
0749,床,053,1,3,,,02924
0750,窓,116,1,2,,,08316
0751,物,093,1,4,,,07080
0752,牛,093,1,2,,,07072
0753,獨,094,1,2,,,07230
0754,率,095,1,6,,,07259
0755,理,096,1,5,,,07307
0756,璽,096,1,2,,,07389
0757,瓶,098,1,4,,,07426
0758,瓷,098,1,3,,,07427
0759,瓮,098,1,8,,,07420
0760,甚,099,1,4,,,07457
0761,生,100,1,39,,,07461
0762,田,102,1,12,,,07478
0763,當,102,1,9,,,07535
0764,07542,102,1,3,,,07542
0765,異,102,1,3,,,07530
0766,畦,102,1,5,,,07523
0767,畔,102,1,3,,,07507
0768,痛,104,1,4,,,07613
0769,疾,104,1,2,,,07591
0770,發,105,1,2,,,07707
0771,白,106,1,16,,,07709
0772,皆,106,1,9,,,07717
0773,百,106,1,26,,,07710
0774,盆,108,1,2,,,07756
0775,盛,108,1,3,,,07770
0776,盞,108,1,2,,,07775
0777,盤,108,1,2,,,07782
0778,相,109,1,4,,,07801
0779,省,109,1,4,,,07807
0780,直,109,1,14,,,07799
0781,矣,111,1,9,,,07938
0782,石,112,1,10,,,07954
0783,破,112,1,3,,,07986
0784,研,112,1,3,,,07995
0785,禮,113,1,3,,,08165
0786,禁,113,1,4,,,08143
0787,禾,115,1,2,,,08177
0788,稍,115,1,2,,,08224
0789,穀,115,1,9,,,08261
0790,稻,115,1,2,,,08256
0791,秋,115,1,14,,,08187
0792-0793,種,115,1,70,,,08244
0794,科,115,1,2,,,08192
0795,穴,116,1,2,,,08291
0796,窮,116,1,2,,,08329
0797,立,117,1,3,,,08354
0798,竟,117,1,2,,,08365
0799,竹,118,1,11,,,08382
0800,筍,118,2,11,1,,08430
0801,第,118,1,2,,,08412
0802,箭,118,1,3,,,08479
0803,等,118,1,2,,,08426
0804,箕,118,1,3,,,08468
0805,簇,118,1,2,,,08552
0806,節,118,1,2,,,08493
0807,箔,118,1,7,,,08467
0808,米,119,1,7,,,08635
0809,粟,119,1,4,,,08664
0810,糞,119,1,4,,,08711
0811,粉,119,1,13,,,08648
0812,糠,119,1,4,,,08713
0813,緩,120,1,2,,,08929
0814,綿,120,1,3,,,08899
0815,絲,120,1,4,,,08834
0816,絹,120,1,6,,,08840
0817,終,120,1,3,,,08795
0818,絶,120,1,2,,,08809
0819,絞,120,1,3,,,08816
0820,紙,120,1,4,,,08758
0821,績,120,1,3,,,08994
0822,繭,120,1,5,,,09031
0823,細,120,1,7,,,08779
0824,置,122,2,5,1,,09128
0825,老,125,1,2,,,09250
0826-0827,者,125,1,63,,,09255
0828,耐,126,1,4,,,09267
0829,而,126,1,19,,,09264
0830,能,130,1,7,,,09429
0831,脣,130,1,2,,,09459
0832,脂,130,1,5,,,09433
0833,臂,130,1,2,,,09568
0834,M29438,130,1,2,,,
0835,胡,130,1,3,,,09411
0836,自,132,1,10,,,09602
0837,致,133,1,2,,,09611
0838,至,133,1,22,,,09610
0839,與,134,1,10,,,09629
0840,良,138,1,9,,,09714
0841,色,139,1,8,,,09716
0842,英,140,1,3,,,09795
0843,莖,140,1,2,,,09874
0844,苦,140,1,5,,,09789
0845,芽,140,1,2,,,09768
0846,10219,140,1,3,,,10219
0847,藜,140,1,2,,,10200
0848,蒿,140,1,4,,,10034
0849,藥,140,1,2,,,10204
0850,莫,140,1,2,,,09886
0851,葱,140,1,2,,,09988
0852,荒,140,1,4,,,09851
0853,薪,140,1,3,,,10164
0854,葉,140,1,9,,,09966
0855,著,140,1,29,,,09972
0856,花,140,1,6,,,09758
0857,莢,140,1,8,,,09883
0858,草,140,1,15,,,09846
0859,若,140,1,10,,,09788
0860,芟,140,1,4,,,09743
0861,葵,140,1,3,,,09991
0862,蒸,140,1,3,,,10028
0863,落,140,1,8,,,09961
0864,萬,140,2,8,3,,09954
0865,蓋,140,1,3,,,10040
0866,處,141,1,7,,,10270
0867,蠶,142,1,46,,,10599
0868,蛾,142,1,3,,,10388
0869,10302,142,1,6,,,10302
0870,蠹,142,1,2,,,10600
0871,行,144,1,12,,,10614
0872,術,144,2,4,1,,10618
0873,裁,145,1,2,,,10696
0874,裹,145,1,4,,,10729
0875,裏,145,1,2,,,10703
