,,smk_西夏法華,smk_西夏法華,smk_西夏法華,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
11461b,起,0879b,2,1,156
11485,趣,0880a,2,8,156
11485b,趣,0880b,2,1,156
12724,間,0881a,2,11,169
12724b,間,0881b,2,4,169
12913,際,0882a,2,1,170
12913b,際,0882b,2,1,170
12927,隨,0883a,2,12,170
12927b,隨,0883b,2,1,170
12991,雖,0884a,2,4,172
12991b,雖,0884b,2,1,172
13002,難,0885a,2,15,172
13002b,難,0885b,2,11,172
13304,須,0886a,2,3,181
13304b,須,0886b,2,1,181
14088,魔,0887a,2,1,194
14088b,魔,0887b,2,1,194
02993,廣,0888a,3,7,053
02993b,廣,0888b,3,1,053
02993c,廣,0888c,3,1,053
09869,莊,0889a,3,3,140
09869b,莊,0889b,3,1,140
09869c,莊,0889c,3,1,140
