カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0248,陵,0 ,,,,,12867,170,1 
0249,險,0 ,,,,,12929,170,1 
0250,雄,0 ,,,,,12961,172,1 
0251,集,0 ,,,,,12963,172,1 
0252,雕,0 ,,,,,12988,172,1 
0253,雜,0 ,,,,,12997,172,1 
0254,露,0 ,,,,,13073,173,1 
0255,靜,0 ,,,,,13103,174,1 
0256,面,0 ,,,,,13108,176,1 
0257,韋,0 ,,,,,13237,178,1 
0258,響,0 ,,,,,13293,180,1 
0259,頂,0 ,,,,,13296,181,1 
0260,頃,0 ,,,,,13297,181,1 
0261,頌,0 ,,,,,13307,181,1 
0262,領,0 ,,,,,13327,181,1 
0263,頻,0 ,,,,,13359,181,1 
0264,顯,0 ,,,,,13416,181,1 
0265,風,0 ,,,,,13423,182,1 
0266,13586y2,0 ,,,,,13586y2,184,1 
0267,飮,0 ,,,,,13526,184,1 
0268,馬,0 ,,,,,13680,187,1 
0269,駟,0 ,,,,,13733,187,1 
0270,騫,0 ,,,,,13813,187,1 
0271,髮,0 ,,,,,13959,190,1 
0272,鬚,0 ,,,,,14002,190,1 
0273,麻,0 ,,,,,14681,200,1 
0274-0275,一,1 ,98 ,,,,00001,001,2 
0276,七,1 ,4 ,,,,00004,001,1 
0277,三,1 ,42 ,,,,00007,001,1 
0278,上,1 ,29 ,,,,00008,001,1 
0279,下,1 ,2 ,,,,00009,001,1 
0280-0281,不,1 ,69 ,,,,00013,001,2 
0282,丘,1 ,31 ,,,,00026,001,1 
0283,中,1 ,37 ,,,,00051,002,1 
0284,主,1 ,4 ,,,,00070,003,1 
0285,乃,1 ,14 ,,,,00078,004,1 
0286,久,1 ,3 ,,,,00085,004,1 
0287,之,1 ,41 ,,,,00088,004,1 
0288,乘,1 ,44 ,,,,00102,004,1 
0289,也,1 ,2 ,,,,00109,005,1 
0290,乾,1 ,9 ,,,,00118,005,1 
0291,亂,1 ,6 ,,,,00121,005,1 
0292,了,1 ,7 ,,,,00125,006,1 
0293,二,1 ,19 ,,,,00129,007,1 
0294,于,1 ,5 ,,,,00132,007,1 
0295,云,1 ,3 ,,,,00133,007,1 
0296,五,1 ,10 ,,,,00135,007,1 
0297,亦,1 ,42 ,,,,00154,008,1 
0298,仰,1 ,3 ,,,,00199,009,1 
0299-0300,人,1 ,64 ,,,,00168,009,2 
0301,仁,1 ,2 ,,,,00170,009,1 
0302,令,1 ,24 ,,,,00193,009,1 
0303-0304,以,1 ,88 ,,,,00194,009,2 
0305,伽,1 ,7 ,,,,00236,009,1 
0306,但,1 ,11 ,,,,00240,009,1 
0307,位,1 ,2 ,,,,00243,009,1 
0308,住,1 ,8 ,,,,00245,009,1 
0309,何,1 ,26 ,,,,00250,009,1 
0310-0316,佛,1 ,317 ,,,,00255,009,7 
0317,作,1 ,23 ,,,,00256,009,1 
0318,使,1 ,6 ,,,,00279,009,1 
0319,供,1 ,23 ,,,,00299,009,1 
0320,便,1 ,39 ,,,,00321,009,1 
0321,信,1 ,20 ,,,,00345,009,1 
0322,倶,1 ,14 ,,,,00350,009,1 
0323,値,1 ,4 ,,,,00385,009,1 
0324,假,1 ,2 ,,,,00405,009,1 
0325,僧,1 ,7 ,,,,00503,009,1 
0326,價,1 ,2 ,,,,00513,009,1 
0327,儀,1 ,2 ,,,,00516,009,1 
0328,億,1 ,22 ,,,,00520,009,1 
0329,優,1 ,22 ,,,,00542,009,1 
0330,充,1 ,3 ,,,,00562,010,1 
0331,光,1 ,39 ,,,,00567,010,1 
0332,入,1 ,27 ,,,,00582,011,1 
0333,兩,1 ,3 ,,,,00591,011,1 
0334,八,1 ,19 ,,,,00594,012,1 
0335,六,1 ,16 ,,,,00597,012,1 
0336,共,1 ,5 ,,,,00599,012,1 
0337,其,1 ,41 ,,,,00605,012,1 
0338,具,1 ,12 ,,,,00606,012,1 
0339,典,1 ,2 ,,,,00608,012,1 
0340,出,1 ,25 ,,,,00723,017,1 
0341,分,1 ,12 ,,,,00734,018,1 
0342,切,1 ,26 ,,,,00735,018,1 
0343,初,1 ,3 ,,,,00759,018,1 
0344,別,1 ,11 ,,,,00763,018,1 
0345-0346,利,1 ,77 ,,,,00767,018,2 
0347,到,1 ,2 ,,,,00769,018,1 
0348,刹,1 ,2 ,,,,00781,018,1 
0349,則,1 ,6 ,,,,00789,018,1 
0350,力,1 ,26 ,,,,00856,019,1 
0351,加,1 ,4 ,,,,00858,019,1 
0352,助,1 ,2 ,,,,00863,019,1 
0353,劫,1 ,19 ,,,,00865,019,1 
0354,勇,1 ,3 ,,,,00881,019,1 
0355,勒,1 ,9 ,,,,00885,019,1 
0356,動,1 ,8 ,,,,00887,019,1 
0357,勢,1 ,2 ,,,,00898,019,1 
0358,勿,1 ,3 ,,,,00919,020,1 
0359,化,1 ,13 ,,,,00938,021,1 
0360,十,1 ,23 ,,,,00985,024,1 
0361,千,1 ,42 ,,,,00987,024,1 
0362,南,1 ,2 ,,,,01010,024,1 
0363,即,1 ,11 ,,,,01049,026,1 
0364,厭,1 ,3 ,,,,01088,027,1 
0365,去,1 ,11 ,,,,01101,028,1 
0366,叉,1 ,4 ,,,,01109,029,1 
0367,及,1 ,46 ,,,,01111,029,1 
0368,受,1 ,13 ,,,,01128,029,1 
0369,可,1 ,15 ,,,,01154,030,1 
0370,各,1 ,16 ,,,,01168,030,1 
0371,合,1 ,9 ,,,,01170,030,1 
0372,同,1 ,4 ,,,,01174,030,1 
0373,名,1 ,38 ,,,,01175,030,1 
0374,吹,1 ,2 ,,,,01212,030,1 
0375,吾,1 ,2 ,,,,01217,030,1 
0376,告,1 ,11 ,,,,01219,030,1 
0377,周,1 ,2 ,,,,01235,030,1 
0378,和,1 ,2 ,,,,01263,030,1 
0379,咸,1 ,6 ,,,,01288,030,1 
0380,唯,1 ,21 ,,,,01349,030,1 
0381,問,1 ,11 ,,,,01369,030,1 
0382,善,1 ,23 ,,,,01395,030,1 
0383,喜,1 ,18 ,,,,01412,030,1 
0384,喩,1 ,13 ,,,,01421,030,1 
0385,嚴,1 ,12 ,,,,01581,030,1 
0386,四,1 ,18 ,,,,01607,031,1 
0387,因,1 ,28 ,,,,01611,031,1 
0388,固,1 ,4 ,,,,01627,031,1 
0389,國,1 ,7 ,,,,01639,031,1 
0390,土,1 ,19 ,,,,01654,032,1 
0391,在,1 ,12 ,,,,01659,032,1 
0392,地,1 ,3 ,,,,01666,032,1 
0393,坐,1 ,7 ,,,,01682,032,1 
0394,垂,1 ,2 ,,,,01710,032,1 
0395,堅,1 ,5 ,,,,01767,032,1 
0396,堪,1 ,2 ,,,,01789,032,1 
0397,報,1 ,4 ,,,,01796,032,1 
0398,場,1 ,5 ,,,,01798,032,1 
0399,塞,1 ,8 ,,,,01823,032,1 
0400,墜,1 ,3 ,,,,01851,032,1 
0401,増,1 ,9 ,,,,01853,032,1 
0402,墮,1 ,5 ,,,,01863,032,1 
0403,士,1 ,2 ,,,,01903,033,1 
0404,多,1 ,16 ,,,,01938,036,1 
0405,夜,1 ,9 ,,,,01939,036,1 
0406-0407,大,1 ,69 ,,,,01946,037,2 
0408,天,1 ,44 ,,,,01947,037,1 
0409,失,1 ,2 ,,,,01957,037,1 
0410,奉,1 ,3 ,,,,01974,037,1 
0411,好,1 ,2 ,,,,02029,038,1 
0412-0414,如,1 ,106 ,,,,02031,038,3 
0415,妄,1 ,3 ,,,,02033,038,1 
0416,妙,1 ,45 ,,,,02045,038,1 
0417,姓,1 ,3 ,,,,02077,038,1 
0418,威,1 ,4 ,,,,02105,038,1 
0419,娑,1 ,2 ,,,,02110,038,1 
0420,婆,1 ,30 ,,,,02142,038,1 
0421,嫉,1 ,2 ,,,,02201,038,1 
0422-0423,子,1 ,52 ,,,,02262,039,2 
0424,字,1 ,4 ,,,,02267,039,1 
0425,學,1 ,3 ,,,,02293,039,1 
0426,安,1 ,7 ,,,,02309,040,1 
0427,定,1 ,7 ,,,,02325,040,1 
0428,宜,1 ,4 ,,,,02327,040,1 
0429,宣,1 ,11 ,,,,02333,040,1 
0430,家,1 ,6 ,,,,02349,040,1 
0431,寂,1 ,8 ,,,,02357,040,1 
0432,實,1 ,15 ,,,,02390,040,1 
0433,寶,1 ,16 ,,,,02407,040,1 
0434,尊,1 ,43 ,,,,02429,041,1 
0435,尋,2 ,1 ,1 ,,,02430,041,1 
0436,導,1 ,7 ,,,,02436,041,1 
0437,小,1 ,17 ,,,,02439,042,1 
0438,少,1 ,3 ,,,,02440,042,1 
0439,就,1 ,5 ,,,,02464,043,1 
0440,尼,1 ,17 ,,,,02473,044,1 
0441,屬,1 ,14 ,,,,02515,044,1 
0442,山,1 ,5 ,,,,02528,046,1 
0443,巧,1 ,2 ,,,,02775,048,1 
0444,已,1 ,43 ,,,,02783,049,1 
0445,布,1 ,5 ,,,,02800,050,1 
0446,希,1 ,8 ,,,,02806,050,1 
0447,師,1 ,26 ,,,,02835,050,1 
0448,常,1 ,12 ,,,,02847,050,1 
0449,幡,1 ,2 ,,,,02881,050,1 
0450,干,1 ,7 ,,,,02897,051,1 
0451,并,1 ,4 ,,,,02902,051,1 
0452,度,1 ,26 ,,,,02944,053,1 
0453,座,1 ,4 ,,,,02946,053,1 
0454,廟,1 ,7 ,,,,02989,053,1 
0455,廻,1 ,2 ,,,,03008,054,1 
0456,引,1 ,3 ,,,,03044,057,1 
0457-0458,弗,1 ,52 ,,,,03046,057,2 
0459,弟,1 ,8 ,,,,03052,057,1 
0460,彌,1 ,10 ,,,,03084,057,1 
0461,形,1 ,2 ,,,,03101,059,1 
0462,彼,1 ,9 ,,,,03124,060,1 
0463,待,1 ,2 ,,,,03132,060,1 
0464,後,1 ,19 ,,,,03138,060,1 
0465-0466,得,1 ,54 ,,,,03145,060,2 
0467,從,1 ,16 ,,,,03151,060,1 
0468,03157,1 ,4 ,,,,03157,060,1 
0469,徳,1 ,12 ,,,,03172,060,1 
0470,心,1 ,43 ,,,,03179,061,1 
0471,必,1 ,3 ,,,,03180,061,1 
0472,忍,1 ,4 ,,,,03184,061,1 
0473,忖,1 ,2 ,,,,03192,061,1 
0474,志,1 ,5 ,,,,03194,061,1 
0475,忘,1 ,2 ,,,,03196,061,1 
0476,念,1 ,17 ,,,,03214,061,1 
0477,思,1 ,17 ,,,,03239,061,1 
0478,怠,1 ,2 ,,,,03240,061,1 
0479,性,1 ,8 ,,,,03244,061,1 
0480,恒,1 ,8 ,,,,03267,061,1 
0481,恭,1 ,5 ,,,,03297,061,1 
0482,悦,1 ,2 ,,,,03309,061,1 
0483,悟,1 ,4 ,,,,03326,061,1 
0484,悲,1 ,3 ,,,,03335,061,1 
0485,惑,1 ,5 ,,,,03355,061,1 
0486,惟,1 ,7 ,,,,03365,061,1 
0487,惡,1 ,11 ,,,,03367,061,1 
0488,意,1 ,17 ,,,,03395,061,1 
0489,愛,1 ,4 ,,,,03405,061,1 
0490,慇,1 ,3 ,,,,03438,061,1 
0491,慢,1 ,10 ,,,,03458,061,1 
0492,慧,1 ,20 ,,,,03462,061,1 
0493,慰,1 ,2 ,,,,03469,061,1 
0494,慳,1 ,2 ,,,,03471,061,1 
0495,懃,1 ,3 ,,,,03544,061,1 
0496,懈,1 ,3 ,,,,03549,061,1 
0497,應,1 ,8 ,,,,03550,061,1 
0498,成,1 ,30 ,,,,03610,062,1 
0499-0500,我,1 ,72 ,,,,03611,062,2 
0501,戒,1 ,5 ,,,,03612,062,1 
0502,或,1 ,18 ,,,,03617,062,1 
0503,戲,1 ,3 ,,,,03636,062,1 
0504-0505,所,1 ,89 ,,,,03647,063,2 
0506,手,1 ,2 ,,,,03659,064,1 
0507,拘,1 ,2 ,,,,03757,064,1 
0508,持,1 ,12 ,,,,03780,064,1 
0509,捨,1 ,6 ,,,,03835,064,1 
0510,授,1 ,4 ,,,,03855,064,1 
0511,掌,1 ,10 ,,,,03858,064,1 
0512,提,1 ,12 ,,,,03896,064,1 
0513,摩,1 ,17 ,,,,04009,064,1 
0514,撃,1 ,3 ,,,,04087,064,1 
0515,支,1 ,7 ,,,,04216,065,1 
0516,放,1 ,10 ,,,,04233,066,1 
0517,故,1 ,47 ,,,,04243,066,1 
0518,散,1 ,4 ,,,,04280,066,1 
0519,數,1 ,35 ,,,,04298,066,1 
0520,文,1 ,13 ,,,,04321,067,1 
0521,斯,1 ,13 ,,,,04373,069,1 
0522-0523,方,1 ,52 ,,,,04385,070,2 
0524-0525,於,1 ,79 ,,,,04389,070,2 
0526,施,1 ,13 ,,,,04391,070,1 
0527,既,1 ,2 ,,,,04442,071,1 
0528,日,1 ,17 ,,,,04446,072,1 
0529,旬,1 ,2 ,,,,04453,072,1 
0530,明,1 ,25 ,,,,04485,072,1 
0531,昔,1 ,2 ,,,,04490,072,1 
0532,昧,1 ,10 ,,,,04505,072,1 
0533-0536,是,1 ,153 ,,,,04512,072,4 
0537-0538,時,1 ,58 ,,,,04523,072,2 
0539,普,1 ,9 ,,,,04557,072,1 
0540,智,1 ,30 ,,,,04569,072,1 
0541,曇,1 ,3 ,,,,04621,072,1 
0542,曰,1 ,11 ,,,,04650,073,1 
0543,曾,1 ,22 ,,,,04661,073,1 
0544,最,1 ,8 ,,,,04664,073,1 
0545,會,1 ,11 ,,,,04667,073,1 
0546,月,1 ,16 ,,,,04673,074,1 
0547-0548,有,1 ,86 ,,,,04674,074,2 
0549,服,1 ,2 ,,,,04679,074,1 
0550,木,1 ,3 ,,,,04707,075,1 
0551,未,1 ,23 ,,,,04711,075,1 
0552,本,1 ,15 ,,,,04713,075,1 
0553,東,1 ,5 ,,,,04765,075,1 
0554,林,1 ,7 ,,,,04803,075,1 
0555,果,1 ,5 ,,,,04806,075,1 
0556,枝,1 ,2 ,,,,04807,075,1 
0557,柔,1 ,3 ,,,,04849,075,1 
0558,根,1 ,9 ,,,,04922,075,1 
0559,梨,1 ,2 ,,,,04993,075,1 
0560,梵,1 ,11 ,,,,05010,075,1 
0561,棄,1 ,2 ,,,,05014,075,1 
0562,槃,1 ,19 ,,,,05228,075,1 
0563,樂,1 ,18 ,,,,05279,075,1 
0564,樓,1 ,10 ,,,,05293,075,1 
0565,樹,1 ,2 ,,,,05323,075,1 
0566,檀,1 ,3 ,,,,05391,075,1 
0567,次,1 ,5 ,,,,05558,076,1 
0568,欣,1 ,3 ,,,,05561,076,1 
0569,欲,1 ,38 ,,,,05580,076,1 
0570,止,1 ,8 ,,,,05641,077,1 
0571,正,1 ,10 ,,,,05643,077,1 
0572-0573,此,1 ,62 ,,,,05644,077,2 
0574,歸,1 ,2 ,,,,05676,077,1 
0575,死,1 ,7 ,,,,05686,078,1 
0576,殊,1 ,18 ,,,,05717,078,1 
0577,比,1 ,32 ,,,,05841,081,1 
0578,毫,1 ,3 ,,,,05867,082,1 
0579,汝,1 ,18 ,,,,05983,085,1 
0580,沙,1 ,15 ,,,,06031,085,1 
0581-0584,法,1 ,157 ,,,,06074,085,4 
0585,波,1 ,7 ,,,,06086,085,1 
0586,泥,1 ,2 ,,,,06088,085,1 
0587,涅,1 ,19 ,,,,06189,085,1 
0588,深,1 ,27 ,,,,06285,085,1 
0589,清,1 ,6 ,,,,06290,085,1 
0590,測,1 ,3 ,,,,06335,085,1 
0591,滅,1 ,21 ,,,,06432,085,1 
0592,滿,1 ,10 ,,,,06476,085,1 
0593,漏,1 ,9 ,,,,06487,085,1 
0594,演,1 ,14 ,,,,06490,085,1 
0595,漸,1 ,4 ,,,,06517,085,1 
0596,濁,1 ,9 ,,,,06617,085,1 
0597,濟,1 ,2 ,,,,06641,085,1 
0598,火,1 ,2 ,,,,06776,086,1 
0599-0601,無,1 ,149 ,,,,06872,086,3 
0602,照,1 ,13 ,,,,06918,086,1 
0603,煩,1 ,2 ,,,,06921,086,1 
0604,燈,1 ,15 ,,,,06971,086,1 
0605,爾,1 ,29 ,,,,07043,089,1 
0606,猛,1 ,3 ,,,,07180,094,1 
0607,猶,1 ,3 ,,,,07203,094,1 
0608,獄,1 ,3 ,,,,07212,094,1 
0609,獨,1 ,2 ,,,,07230,094,1 
0610-0611,王,1 ,55 ,,,,07262,096,2 
0612,珠,1 ,5 ,,,,07291,096,1 
0613,現,1 ,21 ,,,,07304,096,1 
0614,琉,1 ,3 ,,,,07308,096,1 
0615,瑞,1 ,7 ,,,,07346,096,1 
0616,璃,1 ,3 ,,,,07366,096,1 
0617,甚,1 ,11 ,,,,07457,099,1 
0618-0619,生,1 ,72 ,,,,07461,100,2 
0620,由,1 ,4 ,,,,07479,102,1 
0621,男,1 ,3 ,,,,07483,102,1 
0622,界,1 ,17 ,,,,07501,102,1 
0623,畏,1 ,5 ,,,,07503,102,1 
0624,當,1 ,44 ,,,,07535,102,1 
0625,疑,1 ,16 ,,,,07559,103,1 
0626,病,1 ,2 ,,,,07598,104,1 
