カード番号,文字,部首番号,字体数,用例数1,用例数2,用例数3,用例数4,大字典,,,,,
0315,良,138,0,,,,,09714,,,,,
0316,芝,140,0,,,,,09742,,,,,
0317,若,140,0,,,,,09788,,,,,
0318,茅,140,0,,,,,09810,,,,,
0319,莫,140,0,,,,,09886,,,,,
0320,菜,140,0,,,,,09910,,,,,
0321,菩,140,0,,,,,09919,,,,,
0322,萬,140,0,,,,,09954,,,,,
0323,萼,140,0,,,,,09960,,,,,
0324,落,140,0,,,,,09961,,,,,
0325,著,140,0,,,,,09972,,,,,
0326,蓮,140,0,,,,,10050,,,,,
0327,蓐,140,0,,,,,10043,,,,,
0328,蕃,140,0,,,,,10093,,,,,
0329,薩,140,0,,,,,10163,,,,,
0330,藍,140,0,,,,,10189,,,,,
0331,藝,140,0,,,,,10201,,,,,
0332,處,141,0,,,,,10270,,,,,
0333,蜂,142,0,,,,,10391,,,,,
0334,蝕,142,0,,,,,10457,,,,,
0335,蜜,142,0,,,,,10414,,,,,
0336,蠶,142,0,,,,,10599,,,,,
0337,袍,145,0,,,,,10667,,,,,
0338,裂,145,0,,,,,10698,,,,,
0339,裏,145,0,,,,,10703,,,,,
0340,10705,145,0,,,,,10705,,,,,
0341,襃,145,0,,,,,10774,,,,,
0342,要,146,0,,,,,10822,,,,,
0343,覓,147,0,,,,,10834,,,,,
0344,親,147,0,,,,,10848,,,,,
0345,覺,147,0,,,,,10856,,,,,
0346,觸,148,0,,,,,10887,,,,,
0347,計,149,0,,,,,10896,,,,,
0348,託,149,0,,,,,10913,,,,,
0349,詐,149,0,,,,,10957,,,,,
0350,試,149,0,,,,,10975,,,,,
0351,話,149,0,,,,,10986,,,,,
0352,誤,149,0,,,,,11020,,,,,
0353,課,149,0,,,,,11029,,,,,
0354,識,149,0,,,,,11171,,,,,
0355,讓,149,0,,,,,11222,,,,,
0356,貌,153,0,,,,,11311,,,,,
0357,貧,154,0,,,,,11338,,,,,
0358,費,154,0,,,,,11359,,,,,
0359,赤,155,0,,,,,11445,,,,,
0360,迹,157,0,,,,,11976,,,,,
0361,躬,158,0,,,,,11716,,,,,
0362,輔,159,0,,,,,11801,,,,,
0363,辭,160,0,,,,,11914,,,,,
0364,逃,162,0,,,,,11984,,,,,
0365,通,162,0,,,,,12000,,,,,
0366,逸,162,0,,,,,12027,,,,,
0367,遇,162,0,,,,,12040,,,,,
0368,遊,162,0,,,,,12042,,,,,
0369,運,162,0,,,,,12043,,,,,
0370,道,162,0,,,,,12051,,,,,
0371,違,162,0,,,,,12054,,,,,
0372,遠,162,0,,,,,12070,,,,,
0373,遷,162,0,,,,,12093,,,,,
0374,遺,162,0,,,,,12097,,,,,
0375,避,162,0,,,,,12103,,,,,
0376,那,163,0,,,,,12134,,,,,
0377,鄙,163,0,,,,,12212,,,,,
0378,鄰,163,0,,,,,12234,,,,,
0379,酒,164,0,,,,,12266,,,,,
0380,里,166,0,,,,,12372,,,,,
0381,鉤,167,0,,,,,12441,,,,,
0382,銀,167,0,,,,,12451,,,,,
0383,12482,167,0,,,,,12482,,,,,
0384,鋪,167,0,,,,,12494,,,,,
0385,鎖,167,0,,,,,12573,,,,,
0386,鐵,167,0,,,,,12654,,,,,
0387,鑪,167,0,,,,,12680,,,,,
0388,開,169,0,,,,,12716,,,,,
0389,12767,169,0,,,,,12767,,,,,
0390,闕,169,0,,,,,12783,,,,,
0391,12788,169,0,,,,,12788,,,,,
0392,闢,169,0,,,,,12797,,,,,
0393,阜,170,0,,,,,12802,,,,,
0394,陣,170,0,,,,,12854,,,,,
0395,障,170,0,,,,,12914,,,,,
0396,雜,172,0,,,,,12997,,,,,
0397,霜,173,0,,,,,13052,,,,,
0398,霧,173,0,,,,,13063,,,,,
0399,靡,175,0,,,,,13107,,,,,
0400,鞋,177,0,,,,,13158,,,,,
0401,響,180,0,,,,,13293,,,,,
0402,頃,181,0,,,,,13297,,,,,
0403,領,181,0,,,,,13327,,,,,
0404,飛,183,0,,,,,13495,,,,,
0405,食,184,0,,,,,13503,,,,,
0406,飫,184,0,,,,,13521,,,,,
0407,館,184,0,,,,,13584,,,,,
0408,首,185,0,,,,,13661,,,,,
0409,髮,190,0,,,,,13959,,,,,
0410,魚,195,0,,,,,14101,,,,,
0411,鳥,196,0,,,,,14361,,,,,
0412,鷄,196,0,,,,,14542,,,,,
0413,點,203,0,,,,,14725,,,,,
0414,黨,203,0,,,,,14730,,,,,
0415,鼠,208,0,,,,,14790,,,,,
0416,一,001,1,28,,,,00001,,,,,
0417,三,001,1,23,,,,00007,,,,,
0418,七,001,1,3,,,,00004,,,,,
0419,下,001,1,8,,,,00009,,,,,
0420,丁,001,1,14,,,,00002,,,,,
0421,上,001,1,14,,,,00008,,,,,
0422,不,001,1,50,,,,00013,,,,,
0423,丙,001,1,10,,,,00027,,,,,
0424,丑,001,1,9,,,,00017,,,,,
0425,且,001,0,1,,,,00020,,,,,
0426,丈,001,1,3,,,,00006,,,,,
0427,中,002,1,43,,,,00051,,,,,
0428,主,003,1,4,,,,00070,,,,,
0429-0430,之,004,1,67,,,,00088,,,,,
0431,乘,004,1,5,,,,00102,,,,,
0432,乃,004,1,5,,,,00078,,,,,
0433,乎,004,1,6,,,,00092,,,,,
0434,亂,005,1,2,,,,00121,,,,,
0435,乙,005,1,14,,,,00104,,,,,
0436,也,005,1,20,,,,00109,,,,,
0437,九,005,1,3,,,,00107,,,,,
0438,乳,005,1,2,,,,00113,,,,,
0439,事,006,1,4,,,,00128,,,,,
0440,二,007,1,15,,,,00129,,,,,
0441,于,007,1,13,,,,00132,,,,,
0442,五,007,1,9,,,,00135,,,,,
0443,云,007,1,3,,,,00133,,,,,
0444,亡,008,1,3,,,,00150,,,,,
0445,亥,008,1,15,,,,00153,,,,,
0446,亦,008,1,8,,,,00154,,,,,
0447-0448,人,009,1,58,,,,00168,,,,,
0449,仁,009,1,2,,,,00170,,,,,
0450,今,009,1,6,,,,00175,,,,,
0451,仍,009,1,5,,,,00177,,,,,
0452,代,009,1,4,,,,00192,,,,,
0453,令,009,1,7,,,,00193,,,,,
0454,以,009,1,37,,,,00194,,,,,
0455,仰,009,1,3,,,,00199,,,,,
0456,任,009,1,3,,,,00206,,,,,
0457,伊,009,1,8,,,,00213,,,,,
0458,伏,009,1,2,,,,00217,,,,,
0459,伯,009,1,6,,,,00228,,,,,
0460,伴,009,1,5,,,,00230,,,,,
0461,伺,009,1,2,,,,00233,,,,,
0462,似,009,1,2,,,,00235,,,,,
0463,位,009,1,7,,,,00243,,,,,
0464,佐,009,1,13,,,,00246,,,,,
0465,何,009,1,6,,,,00250,,,,,
0466,余,009,1,4,,,,00253,,,,,
0467,佛,009,1,3,,,,00255,,,,,
0468,作,009,1,16,,,,00256,,,,,
0469,00260,009,1,10,,,,00260,,,,,
0470-0471,使,009,1,54,,,,00279,,,,,
0472,來,009,1,11,,,,00282,,,,,
0473,例,009,1,8,,,,00287,,,,,
0474,侍,009,1,6,,,,00288,,,,,
0475,便,009,1,9,,,,00321,,,,,
0476,俗,009,1,2,,,,00338,,,,,
0477,倶,009,1,11,,,,00350,,,,,
0478,倉,009,1,9,,,,00365,,,,,
0479,倭,009,1,9,,,,00393,,,,,
0480,健,009,1,2,,,,00421,,,,,
0481,側,009,1,3,,,,00429,,,,,
0482,傍,009,1,3,,,,00449,,,,,
0483,備,009,1,5,,,,00455,,,,,
0484,傷,009,1,4,,,,00473,,,,,
0485,像,009,1,2,,,,00489,,,,,
0486,僧,009,1,2,,,,00503,,,,,
0487,儒,009,1,2,,,,00530,,,,,
0488,兄,010,1,30,,,,00561,,,,,
0489,先,010,1,2,,,,00566,,,,,
0490,兒,010,1,9,,,,00574,,,,,
0491,入,011,1,42,,,,00582,,,,,
0492,内,011,1,7,,,,00585,,,,,
0493,全,011,1,3,,,,00589,,,,,
0494,兩,011,1,2,,,,00591,,,,,
0495,八,012,1,6,,,,00594,,,,,
0496,六,012,1,8,,,,00597,,,,,
0497,共,012,1,3,,,,00599,,,,,
0498,兵,012,1,6,,,,00602,,,,,
0499,其,012,1,49,,,,00605,,,,,
0500,具,012,1,3,,,,00606,,,,,
0501,冬,015,1,5,,,,00662,,,,,
0502,出,017,1,6,,,,00723,,,,,
0503,別,018,1,2,,,,00763,,,,,
0504,制,018,1,3,,,,00776,,,,,
0505,削,018,1,2,,,,00791,,,,,
0506,前,018,1,8,,,,00794,,,,,
0507,力,019,1,3,,,,00856,,,,,
0508,功,019,1,2,,,,00857,,,,,
0509,助,019,1,2,,,,00863,,,,,
0510,努,019,1,4,,,,00864,,,,,
0511,勝,019,1,8,,,,00893,,,,,
0512,勞,019,1,2,,,,00894,,,,,
0513,勢,019,1,6,,,,00898,,,,,
0514,勸,019,1,4,,,,00913,,,,,
0515,勿,020,1,4,,,,00919,,,,,
0516,北,021,1,4,,,,00941,,,,,
0517,匿,023,1,2,,,,00983,,,,,
0518,十,024,1,18,,,,00985,,,,,
0519,千,024,1,2,,,,00987,,,,,
0520,廿,024,1,2,,,,00988,,,,,
0521,午,024,1,11,,,,00992,,,,,
0522,半,024,1,2,,,,00994,,,,,
0523,南,024,1,4,,,,01010,,,,,
0524,卯,026,1,7,,,,01033,,,,,
0525,即,026,1,17,,,,01049,,,,,
0526,去,028,1,9,,,,01101,,,,,
0527,參,028,1,3,,,,01104,,,,,
0528,及,029,1,4,,,,01111,,,,,
0529,取,029,1,12,,,,01127,,,,,
0530,古,030,1,9,,,,01142,,,,,
0531,召,030,1,3,,,,01150,,,,,
0532,可,030,1,14,,,,01154,,,,,
0533,各,030,1,3,,,,01168,,,,,
0534,合,030,1,2,,,,01170,,,,,
0535,同,030,1,4,,,,01174,,,,,
0536,名,030,1,4,,,,01175,,,,,
0537,后,030,1,2,,,,01176,,,,,
0538,向,030,1,5,,,,01179,,,,,
0539,君,030,1,6,,,,01185,,,,,
0540,吾,030,1,6,,,,01217,,,,,
0541,呂,030,1,16,,,,01222,,,,,
0542,周,030,1,2,,,,01235,,,,,
0543,味,030,1,2,,,,01242,,,,,
0544,呼,030,1,4,,,,01251,,,,,
0545,命,030,1,8,,,,01252,,,,,
0546,唱,030,1,3,,,,01350,,,,,
0547,問,030,1,7,,,,01369,,,,,
0548,善,030,1,3,,,,01395,,,,,
0549,喩,030,1,6,,,,01421,,,,,
0550,喫,030,1,3,,,,01422,,,,,
0551,嗣,030,1,2,,,,01452,,,,,
0552,嘗,030,1,2,,,,01479,,,,,
0553,01594,030,1,2,,,,01594,,,,,
0554,四,031,1,12,,,,01607,,,,,
0555,固,031,1,2,,,,01627,,,,,
0556,國,031,1,33,,,,01639,,,,,
0557,圍,031,1,3,,,,01641,,,,,
0558,圖,031,1,2,,,,01647,,,,,
0559,土,032,1,3,,,,01654,,,,,
0560,在,032,1,2,,,,01659,,,,,
0561,地,032,1,8,,,,01666,,,,,
0562,坂,032,1,6,,,,01672,,,,,
0563,垂,032,1,2,,,,01710,,,,,
0564,城,032,1,6,,,,01740,,,,,
0565,執,032,1,5,,,,01755,,,,,
0566,基,032,1,2,,,,01758,,,,,
0567,堂,032,1,2,,,,01765,,,,,
0568,報,032,1,4,,,,01796,,,,,
0569,塞,032,1,2,,,,01823,,,,,
0570,墓,032,1,5,,,,01850,,,,,
0571,士,033,1,7,,,,01903,,,,,
0572,壬,033,1,13,,,,01904,,,,,
0573,夏,035,1,6,,,,01927,,,,,
0574,外,036,1,2,,,,01934,,,,,
0575,多,036,1,9,,,,01938,,,,,
0576,夜,036,1,8,,,,01939,,,,,
0577-0579,大,037,1,115,,,,01946,,,,,
0580,天,037,1,44,,,,01947,,,,,
0581,太,037,1,6,,,,01948,,,,,
0582,夫,037,1,10,,,,01949,,,,,
0583,失,037,1,2,,,,01957,,,,,
0584,夷,037,1,11,,,,01961,,,,,
0585,奉,037,1,8,,,,01974,,,,,
0586,奏,037,1,3,,,,01981,,,,,
0587,女,038,1,9,,,,02022,,,,,
0588,如,038,1,13,,,,02031,,,,,
0589,妃,038,1,4,,,,02032,,,,,
0590,妄,038,1,2,,,,02033,,,,,
0591,妹,038,1,3,,,,02059,,,,,
0592,妻,038,1,2,,,,02061,,,,,
0593,始,038,1,16,,,,02069,,,,,
0594,姓,038,1,4,,,,02077,,,,,
0595,威,038,1,3,,,,02105,,,,,
0596,娑,038,1,5,,,,02110,,,,,
0597,婆,038,1,3,,,,02142,,,,,
0598-0599,子,039,1,69,,,,02262,,,,,
0600,孫,039,1,3,,,,02282,,,,,
0601,學,039,1,4,,,,02293,,,,,
0602,孺,039,1,5,,,,02294,,,,,
0603,守,040,1,3,,,,02308,,,,,
0604,安,040,1,2,,,,02309,,,,,
0605,宗,040,1,2,,,,02322,,,,,
0606,官,040,1,3,,,,02323,,,,,
0607,宜,040,1,2,,,,02327,,,,,
0608,客,040,1,4,,,,02331,,,,,
0609,宮,040,1,24,,,,02342,,,,,
0610,宰,040,1,2,,,,02344,,,,,
0611,家,040,1,14,,,,02349,,,,,
0612,寅,040,1,8,,,,02359,,,,,
0613,密,040,2,1,1,,,02361,,,,,
0614,富,040,1,3,,,,02366,,,,,
0615,寒,040,1,2,,,,02371,,,,,
0616,寶,040,1,2,,,,02407,,,,,
0617,寸,041,1,4,,,,02413,,,,,
0618,寺,041,1,11,,,,02415,,,,,
0619,將,041,1,18,,,,02425,,,,,
0620,專,041,1,2,,,,02426,,,,,
0621,對,041,1,4,,,,02435,,,,,
0622,導,041,1,2,,,,02436,,,,,
0623,小,042,1,9,,,,02439,,,,,
0624,少,042,1,4,,,,02440,,,,,
0625,就,043,1,4,,,,02464,,,,,
0626,尺,044,1,2,,,,02471,,,,,
0627,居,044,1,2,,,,02482,,,,,
0628,屋,044,1,5,,,,02488,,,,,
0629,屍,044,1,3,,,,02489,,,,,
0630,屡,044,1,6,,,,02504,,,,,
0631,屯,045,1,2,,,,02518,,,,,
0632,山,046,1,32,,,,02528,,,,,
