統合ID,文字,兼右書紀,字体数,用例数,部首
03751,拕,0700,1,3,064
03780,持,0701,1,4,064
03783,指,0702,1,2,064
03835,捨,0703,1,4,064
03855,授,0704,1,6,064
03867,掛,0705,1,2,064
03878,接,0706,1,3,064
03939,損,0707,1,2,064
04069,播,0708,1,4,064
04228,改,0709,1,2,066
04233,放,0710,1,3,066
04235,政,0711,1,3,066
04243,故,0712,1,9,066
04261,教,0713,1,3,066
04286,敬,0714,1,3,066
04298,數,0715,1,5,066
04319,變,0716,1,5,066
04321,文,0717,1,5,067
04369,斬,0718,1,4,069
04373,斯,0719,1,4,069
04376,新,0720,1,11,069
04385,方,0721,1,6,070
04389,於,0722a,2,106,070
04389b,於,0722b,2,2,070
04442,旣,0725,1,3,071
04446,日,0726,1,24,072
04485,明,0727,1,2,072
04503,春,0728,1,8,072
04512,是,0729,1,49,072
04523,時,0730,1,16,072
04542,晝,0731,1,3,072
04569,智,0732,1,6,072
04590,暖,0733,1,4,072
04621,曇,0734,1,3,072
04650,曰,0735,1,62,073
04651,曲,0737,1,2,073
04654,更,0738,1,4,073
04657,書,0739,1,2,073
04661,曾,0740,1,8,073
04673,月,0741,1,50,074
04674,有,0742,1,19,074
04693,望,0743,1,3,074
04696,朝,0744,1,10,074
04707,木,0745,1,5,075
04711,未,0746,1,12,075
04871,柱,0747,1,2,075
04713,本,0748,1,3,075
04739,村,0749,1,2,075
04765,東,0750,1,7,075
04776,杯,0751,1,2,075
04806,果,0752,1,2,075
04807,枝,0753,1,2,075
04817,枳,0754,1,5,075
04869,柯,0756,1,7,075
04888,栖,0757,1,3,075
04971,梅,0758,1,4,075
04993,梨,0759,1,3,075
05014,棄,0760,1,2,075
05323,樹,0761a,2,1,075
05323b,樹,0761b,2,1,075
05348,橋,0762,1,2,075
05420,檢,0763,1,2,075
05529,權,0764,1,2,075
05558,次,0765,1,2,076
05580,欲,0766,1,7,076
05609,歌,0767,1,13,076
05633,歟,0768,1,2,076
05641,止,0769,1,2,077
05644,此,0770,1,11,077
05649,武,0771,1,2,077
05666,歳,0772,1,4,077
05670,歷,0773,1,2,077
05686,死,0774,1,11,078
05717,殊,0775,0,1,078
05796,殺,0776,1,4,079
05809,殿,0777,1,6,079
05834,母,0778,1,24,080
05836,每,0779,1,2,080
05839,毒,0780,1,2,080
05841,比,0781,1,9,081
13179,鞠,0782,1,2,177
05932,氏,0783,1,2,083
05947,氣,0784,1,7,084
05952,水,0785,1,11,085
05956,氷,0786,1,2,085
05964,求,0787,1,4,085
05978,汗,0788,1,2,085
05985,江,0789,1,3,085
05986,池,0790,1,6,085
06045,河,0791,1,6,085
06055,治,0792,1,3,085
06064,泊,0793,1,4,085
06074,法,0794,1,3,085
06086,波,0795,1,12,085
06088,泥,0796,1,3,085
06128,津,0797,1,5,085
06169,浦,0798,1,2,085
06182,海,0799,1,3,085
06285,深,0800,1,3,085
06290,清,0801,1,2,085
06310,淵,0802,1,2,085
06316,渟,0803,1,2,085
06317,渠,0804,1,7,085
06318,渡,0805,1,2,085
06476,滿,0806,1,2,085
06499,漢,0807,1,4,085
06792,災,0808,1,2,086
06835,烏,0809,1,9,086
06861,焉,0810,1,5,086
06872,無,0811,1,18,086
06885,然,0812,1,7,086
06978,燒,0813a,2,4,086
06978b,燒,0813b,2,1,086
07028,爭,0814,1,2,087
07032,爲,0815,1,27,087
07035,父,0816,1,8,088
07080,物,0818,1,9,093
07110,犬,0819,1,5,094
07207,猿,0820,1,4,094
07230,獨,0821,1,2,094
07250,獻,0822,1,6,094
07258,玆,0823,1,4,095
07259,率,0824,1,5,095
07298,班,0825,1,4,096
07262,王,0826,1,29,096
07287,珍,0827,1,2,096
07457,甚,0828,1,5,099
07461,生,0829,1,7,100
07478,田,0830,1,21,102
07479,由,0831,1,14,102
07480,甲,0832,1,10,102
07481,申,0833,1,9,102
07503,畏,0834,1,2,102
07508,留,0835,1,2,102
07514,畝,0836,1,2,102
07520,畢,0837,1,2,102
07530,異,0838,1,2,102
07535,當,0839,1,3,102
07591,疾,0840,1,2,104
07598,病,0841,1,4,104
07707,發,0842a,2,7,105
07707b,發,0842b,2,3,105
07709,白,0843,1,5,106
07710,百,0844,1,31,106
07717,皆,0845,1,2,106
07718,皇,0846,1,45,106
07779,盡,0847,1,5,108
07790,目,0848,1,2,109
07799,直,0849,1,8,109
07801,相,0850,1,7,109
07817,看,0851,1,2,109
07844,眾,0852,1,3,109
07938,矣,0853,1,5,111
07941,知,0854,1,9,111
07944,矩,0855,1,2,111
07954,石,0856,1,2,112
08077,礙,0857,1,2,112
08097,示,0858,1,2,113
08101,社,0859,1,2,113
08108,祈,0860,1,3,113
08117,祖,0861,1,8,113
08124,神,0862,1,9,113
08166,禰,0863,1,2,113
08135,祭,0864a,2,3,113
08135b,祭,0864b,2,2,113
08148,福,0865,1,2,113
08180,私,0866,1,2,115
08187,秋,0867,1,4,115
08212,移,0868,1,6,115
08233,稚,0869,1,4,115
08244,種,0870,1,2,115
08248,稱,0871,1,3,115
08269,積,0872,1,3,115
08291,穴,0873,1,2,116
08296,空,0874,1,2,116
08354,立,0875,1,6,117
08361,竝,0876,1,2,117
08371,童,0877,1,5,117
08412,第,0878,1,2,118
08426,等,0879,1,43,118
08434,筑,0880,1,4,118
08479,箭,0881,1,2,118
08747,納,0882,1,2,120
08773,紫,0883,1,6,120
08795,終,0884,1,2,120
08807,結,0885,1,2,120
08822,給,0886,1,2,120
08856,經,0887,1,6,120
08899,綿,0888,1,3,120
08993,總,0889,1,3,120
09125,罪,0890,1,2,122
09128,置,0891,1,6,122
09144,羅,0892,1,19,122
09175,羣,0893,1,4,123
09240,翹,0894,1,12,124
09250,老,0895,1,2,125
09255,者,0896,1,17,125
09264,而,0897,1,77,126
09314,聚,0899,1,3,128
09315,聞,0900,1,6,128
09328,聲,0901,1,2,128
09370,肩,0902,1,2,130
09394,背,0903,1,10,130
09447,脚,0904,1,2,130
09548,膩,0905,1,2,130
09562,膽,0906,1,2,130
09596,臣,0907,1,86,131
09599,臥,0909,1,3,131
09601,臨,0910,1,3,131
09602,自,0911,1,17,132
09605,臭,0912,1,3,132
09610,至,0913,1,2,133
09611,致,0914,1,2,133
09629,與,0915,1,18,134
09630,興,0916,1,4,134
09632,擧,0917,1,8,134
09638,舍,0918,1,4,135
09656,舞,0919,1,2,136
09672,舶,0920,1,3,137
09675,船,0921,1,10,137
09716,色,0922a,2,4,139
09716b,色,0922b,2,2,139
09758,花,0923,1,4,140
09823,茨,0924,1,4,140
09846,草,0925a,2,3,140
09846b,草,0925b,2,3,140
09874,莖,0926,1,2,140
09901,菌,0927,1,3,140
09911,菟,0928,1,3,140
09966,葉,0929,1,4,140
09976,葛,0930,1,4,140
09985,葬,0931,1,6,140
10040,蓋,0932,1,4,140
10162,薨,0933,1,3,140
10264,虎,0934,1,3,141
10614,行,0935,1,6,144
10618,術,0936,1,2,144
10630,衞,0937,1,3,144
10643,表,0938,1,3,145
10820,西,0939,1,5,146
10826,覆,0940,1,4,146
10831,見,0941,1,12,147
10837,視,0942,1,3,147
10859,觀,0943,1,3,147
10860,角,0944,1,4,148
10875,解,0945,1,4,148
10890,言,0946,1,14,149
10912,訖,0947a,2,1,149
10912b,訖,0947b,2,1,149
10914,記,0948,1,3,149
10928,設,0949,1,2,149
10930,許,0950,1,8,149
10959,詔,0951,1,6,149
