統合ID,文字,京博金般,字体数,用例数,部首
12831,陀,0461,1,8,170
12838,降,0462,1,4,170
13001,離,0463,1,7,172
13104,非,0464,1,49,175
13325,頗,0465,1,2,181
13304,須,0466,1,143,181
13551,養,0469,1,4,184
13503,食,0470,1,3,184
13667,香,0471,1,5,186
13934,體,0472,1,2,188
00282,來,0473a,2,94,009
00282b,來,0473b,2,7,009
00406,偈,0476a,2,5,009
00406b,偈,0476b,2,2,009
03647,所,0477a,2,54,063
03647b,所,0477b,2,18,063
04298,數,0479a,2,6,066
04298b,數,0479b,2,1,066
07827,眞,0480a,2,2,109
07827b,眞,0480b,2,1,109
08107,祇,0481a,2,2,113
08107b,祇,0481b,2,1,113
