,,kyd_漢書揚雄,kyd_漢書揚雄,kyd_漢書揚雄,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
04481,昈,0304,0,1,072
04484,昌,0305,0,1,072
04489,易,0306,0,1,072
04486,昏,0307,0,1,072
04533,晏,0308,0,1,072
04600,暢,0309,0,1,072
04606,暮,0310,0,1,072
04636,曜,0311,0,1,072
04654,更,0312,0,1,073
04676,朋,0314,0,1,074
04686,朔,0315,0,1,074
04699,期,0316,0,1,074
04712,末,0317,0,1,075
04713,本,0318,0,1,075
04743,杖,0319,0,1,075
04780,松,0320,0,1,075
04817,枳,0321,0,1,075
04842,柍,0322,0,1,075
04850,柏,0323,0,1,075
04851,柘,0324,0,1,075
04857,柞,0325,0,1,075
04871,柱,0326,0,1,075
04891,栘,0327,0,1,075
04904,校,0328,1,2,075
04922,根,0329,0,1,075
04924,格,0330,0,1,075
04933,案,0331,0,1,075
04942,桓,0332,0,1,075
04992,梧,0333,0,1,075
05001,械,0334,0,1,075
03872,採,0335,0,1,064
05056,棲,0336,0,1,075
05081,椎,0337,0,1,075
05209,榭,0338,0,1,075
05213,榱,0339,0,1,075
05279,樂,0340,0,1,075
05319,樵,0341,0,1,075
05348,橋,0342,0,1,075
05368,機,0343,0,1,075
05482,櫨,0344,0,1,075
05529,權,0345,0,1,075
05539,欒,0346,0,1,075
05561,欣,0347,0,1,076
05583,欷,0348,0,1,076
05609,歌,0349,0,1,076
05634,歠,0350,0,1,076
05645,步,0351,0,1,077
05834,母,0352,0,1,080
05836,每,0353,0,1,080
05964,求,0354,0,1,085
05990,汨,0355,0,1,085
06012,沆,0357,0,1,085
06015,沈,0358,0,1,085
06020,沐,0359,0,1,085
06025,沓,0360,0,1,085
06031,沙,0361,0,1,085
06073,泔,0362,0,1,085
06087,泣,0363,0,1,085
06091,注,0364,0,1,085
06111,洋,0365,0,1,085
06123,洛,0366,0,1,085
06132,汧,0367,0,1,085
06172,浩,0368,0,1,085
06173,浪,0369,0,1,085
06179,浴,0370,0,1,085
06183,浸,0371,0,1,085
06191,涇,0372,0,1,085
06193,涉,0373,0,1,085
06194,涊,0374,0,1,085
06202,涕,0375,0,1,085
06219,液,0376,0,1,085
06243,淋,0377,0,1,085
06246,淑,0378,0,1,085
06249,淖,0379,0,1,085
06261,淟,0380,0,1,085
06266,淡,0381,0,1,085
06311,渙,0382,0,1,085
06355,湊,0383,0,1,085
06365,湛,0384,0,1,085
06404,溝,0385,0,1,085
06409,溥,0386,0,1,085
06421,溷,0387,0,1,085
06428,滂,0388,0,1,085
06429,滃,0389,0,1,085
06432,滅,0390,0,1,085
06433,滇,0391,0,1,085
06437,滋,0392,0,1,085
06466,滲,0394,0,1,085
06477,漁,0395,0,1,085
06480,漂,0396,0,1,085
06494,漚,0397,0,1,085
06517,漸,0398,0,1,085
06536,潚,0399,0,1,085
06551,澗,0400,0,1,085
06554,潮,0401,0,1,085
06617,濁,0402,0,1,085
06621,濊,0403,0,1,085
06625,濎,0404,0,1,085
06638,濛,0405,0,1,085
06649,濩,0406,0,1,085
06651,濫,0407,0,1,085
06689,瀏,0408,0,1,085
06681,瀆,0409,0,1,085
06713,瀨,0410,0,1,085
06748,灌,0411,0,1,085
06750,灑,0412,0,1,085
06802,炕,0413,0,1,086
06835,烏,0414,0,1,086
06847,烟,0415,0,1,086
06880,焯,0416,0,1,086
06890,煇,0417,0,1,086
06898,煕,0418,0,1,086
06918,照,0419,0,1,086
06921,煩,0420,0,1,086
06922,煬,0421,0,1,086
06935,熅,0422,0,1,086
06941,熏,0423,0,1,086
06949,熟,0424,0,1,086
06857,烽,0425,0,1,086
06893,煌,0426,0,1,086
07009,爍,0427,0,1,086
07017,爛,0428,0,1,086
07034,爵,0429,0,1,087
07035,父,0430,0,1,088
07042,爽,0431,0,1,089
07065,牙,0432,0,1,092
07094,犇,0433,0,1,093
07103,犛,0434,0,1,093
07112,犯,0435,0,1,094
07125,狂,0436,0,1,094
07127,狄,0437,0,1,094
07138,狖,0438,0,1,094
07165,狼,0439,0,1,094
07168,狿,0440,0,1,094
07189,猨,0441a,2,1,094
07189b,猨,0441b,2,1,094
07226,獝,0442,0,1,094
07238,獱,0443,0,1,094
07248,獸,0444,0,1,094
07249,獺,0445,0,1,094
07275,玲,0446,0,1,096
07327,琴,0447,0,1,096
07335,㻞,0448,0,1,096
07339,瑕,0449,0,1,096
07346,瑞,0450,0,1,096
07351,瑤,0451,0,1,096
07356,瑰,0452,0,1,096
07395,瓏,0453,0,1,096
07401,瓚,0454,0,1,096
01479,嘗,0455,0,1,030
07469,用,0456,0,1,101
07479,由,0457,0,1,102
07481,申,0458,0,1,102
07501,界,0459,0,1,102
07520,畢,0460,0,1,102
07522,略,0461,0,1,102
07525,畫,0462,0,1,102
07530,異,0463,0,1,102
07535,當,0464,0,1,102
07548,疆,0465,0,1,102
07647,瘞,0466,0,1,104
07758,盈,0467,0,1,108
07759,益,0468,0,1,108
07799,直,0469,0,1,109
07806,盾,0470,0,1,109
07831,眥,0471,0,1,109
07837,眴,0472,0,1,109
07842,眺,0473,0,1,109
07867,睨,0474,0,1,109
07870,睹,0475,0,1,109
07905,瞵,0476,0,1,109
07915,矍,0477,0,1,109
07938,矣,0478,0,1,111
07944,矩,0479,0,1,111
07984,砰,0480,0,1,112
07986,破,0481,0,1,112
08016,碎,0482,0,1,112
08023,碕,0483,0,1,112
08026,碣,0484,0,1,112
08029,碩,0485,0,1,112
08031,碭,0486,0,1,112
08108,祈,0487,0,1,113
08109,祉,0488,0,1,113
03748,拓,0489,0,1,064
08117,祖,0490,0,1,113
08123,祝,0491,0,1,113
08126,祠,0492,0,1,113
08130,祥,0493,0,1,113
08132,票,0494,0,1,113
08145,禋,0495,0,1,113
08148,福,0496,0,1,113
08159,禦,0497,0,1,113
08162,禪,0498,0,1,113
08185,秉,0499,0,1,115
08209,秬,0501,0,1,115
08224,稍,0502,0,1,115
08239,稠,0503,0,1,115
08269,積,0504,0,1,115
08295,穹,0505,0,1,116
08296,空,0506,0,1,116
08300,穿,0507,0,1,116
08299,穾,0508,0,1,116
08365,竟,0509,0,1,117
08369,竢,0510,0,1,117
08372,竦,0511,0,1,117
08380,競,0512,0,1,117
08387,竿,0513,0,1,118
08408,符,0514,0,1,118
08412,第,0515,0,1,118
08426,等,0516,0,1,118
08493,節,0517,0,1,118
08532,篲,0518,0,1,118
08587,簸,0519,0,1,118
08617,籞,0520,0,1,118
08619,籠,0521,0,1,118
08664,粟,0522,0,1,119
08677,粲,0523,0,1,119
08692,糈,0524,0,1,119
08735,紀,0525,0,1,120
08738,約,0526,0,1,120
08741,紆,0527,0,1,120
08776,紭,0528,0,1,120
08778,累,0529,0,1,120
08782,紲,0530,0,1,120
08787,紹,0531,0,1,120
08807,結,0532,0,1,120
08823,絧,0533,0,1,120
08840,絹,0534,0,1,120
08854,綏,0535,0,1,120
08870,綠,0536,0,1,120
08874,綦,0537,0,1,120
08888,綴,0538,0,1,120
08900,緁,0539,0,1,120
08919,緝,0540,0,1,120
08924,緣,0541,0,1,120
08969,縡,0542,0,1,120
08972,縣,0543,0,1,120
08982,縱,0544,0,1,120
09003,繇,0545,0,1,120
09020,繞,0546,0,1,120
09028,繩,0547,0,1,120
09033,繯,0548,0,1,120
09047,繼,0549,0,1,120
09073,纔,0550,0,1,120
09077,纚,0551,0,1,120
09078,纛,0552,0,1,120
09085,缺,0553,0,1,121
09104,罔,0554,0,1,122
09112,罝,0555,0,1,122
09128,置,0556,0,1,122
09138x,罼,0557,0,1,122
09145,羆,0558,0,1,122
09177,義,0559,0,1,123
09186,羲,0560,0,1,123
09198,𦏺,0561,0,1,124
09209,翍,0562,0,1,124
09216,翔,0563,0,1,124
09218,翕,0564,0,1,124
09219,翟,0565,0,1,124
09236,翰,0567,0,1,124
09238,翳,0568,0,1,124
09245,翼,0569,0,1,124
09249,耀,0570,0,1,124
09257,耆,0571,0,1,125
09272,耕,0572,0,1,127
09295,耼,0573,0,1,128
09314,聚,0574,0,1,128
09315,聞,0575,0,1,128
09339,聿,0576,0,1,129
09379,育,0577,0,1,130
09394,背,0578,0,1,130
09395,胎,0579,0,1,130
09413,胤,0580,0,1,130
09427,胻,0581,0,1,130
09467,脰,0582,0,1,130
09512,腴,0584,0,1,130
09535,膏,0585,0,1,130
09630,興,0586,0,1,134
09638,舍,0587,0,1,135
09653,舜,0588,0,1,136
09742,芝,0589,0,1,140
09756,芰,0590,0,1,140
09762,芷,0591,0,1,140
09774,苓,0592,0,1,140
09805,茀,0593,0,1,140
09809,茄,0594,0,1,140
09810,茅,0595,0,1,140
09812,茇,0596,0,1,140
09818,茘,0597,0,1,140
09824,茫,0598,0,1,140
09835,茸,0599,0,1,140
09860,荷,0600,0,1,140
09869,莊,0601,0,1,140
09900,菊,0602,0,1,140
09901,菌,0603,0,1,140
09973,葘,0604,0,1,140
09911,菟,0605,0,1,140
09934,萃,0606,0,1,140
09939,萊,0607,0,1,140
09976,葛,0608,0,1,140
09765,芻,0609,0,1,140
10028,蒸,0610,0,1,140
10043,蓐,0611,0,1,140
10070,蔑,0612,0,1,140
09988,葱,0613,0,1,140
10089,蔾,0614,0,1,140
10111,蕘,0615,0,1,140
10145,薌,0616,0,1,140
10160,薦,0617,0,1,140
10200,藜,0618,0,1,140
10206,藩,0619,0,1,140
10207,藪,0620,0,1,140
10244,蘢,0621,0,1,140
10267,虒,0622,0,1,141
10268,虓,0623,0,1,141
10276,號,0624,0,1,141
10280,虡,0625,0,1,141
10287,虯,0626,0,1,142
10318,蚤,0627,0,1,142
10322,蚩,0628,0,1,142
10401,蜎,0631a,2,1,142
10401b,蜎,0631b,2,1,142
10438,蜷,0632,0,1,142
10539,蟜,0633,0,1,142
10546,蟬,0634,0,1,142
10549,蟲,0635,0,1,142
10561,蠁,0636,0,1,142
10573,蠓,0637,0,1,142
10580,蠡,0638,0,1,142
10597,蠵,0639,0,1,142
10653,衷,0640,0,1,145
10660,衿,0641,0,1,145
10679,袤,0642,0,1,145
10709,裕,0643,0,1,145
10710,裘,0644,0,1,145
10715,裝,0645,0,1,145
10791,襞,0646,0,1,145
10806,襲,0647,0,1,145
10826,覆,0648,0,1,146
10833,規,0649,0,1,147
10852,覲,0650,0,1,147
10860,角,0651,0,1,148
10875,解,0652,1,2,148
10877,觩,0653,0,1,148
10884,䚧,0654,0,1,148
10896,計,0655,0,1,149
10897,訊,0656,0,1,149
10914,記,0657,0,1,149
10916,訛,0658,0,1,149
10930,許,0659,0,1,149
10943,訾,0660,0,1,149
10971,詡,0661,0,1,149
10982,詭,0662,0,1,149
11000,誇,0663,0,1,149
11025,虔,0664,0,1,149
11015,誼,0665,0,1,149
11038,調,0666,0,1,149
11058,論,0667,0,1,149
11063,諜,0668,0,1,149
11073,諧,0669,0,1,149
11074,諫,0670,0,1,149
11085,諸,0671,0,1,149
11094,謁,0672,0,1,149
11095,謂,0673,0,1,149
11117,謙,0674,0,1,149
11185,警,0675,0,1,149
11247,豁,0676,0,1,150
11280,豨,0677,0,1,152
11288,豳,0678,0,1,152
11308,貉,0679,0,1,153
11334,財,0681,0,1,154
11338,貧,0682,0,1,154
11343,貫,0683,0,1,154
11349,貯,0684,0,1,154
11355,貴,0685,0,1,154
11359,費,0686,0,1,154
11366,賁,0687,0,1,154
11397,賢,0688,0,1,154
11404,質,0689,0,1,154
11411,賴,0690,0,1,154
11433,贍,0691,0,1,154
11445,赤,0692,0,1,155
11451,赫,0693,0,1,155
11457,赴,0694,0,1,156
11461,起,0695,0,1,156
11471,越,0696,0,1,156
11479,趙,0697,0,1,156
11485,趣,0698,0,1,156
11492x,趭,0699,0,1,156
11509,跇,0700,0,1,157
11515,跋,0701,0,1,157
11526,跖,0702,0,1,157
11553,跳,0703,0,1,157
11569,踐,0704,0,1,157
11572,踔,0705,0,1,157
11586,踢,0706,0,1,157
11608,蹂,0707,0,1,157
11616,蹇,0708,0,1,157
11628,蹕,0709,0,1,157
11631,蹙,0710,0,1,157
11646,蹤,0711,0,1,157
11641,蹠,0712,0,1,157
11662,蹲,0713,0,1,157
11665,蹴,0714,0,1,157
11689,躍,0715,0,1,157
11741,軋,0716,0,1,159
11744,軌,0717,0,1,159
11754,軔,0718,0,1,159
11766,軨,0719,0,1,159
11771,軮,0720,0,1,159
11814,輜,0721,0,1,159
11817,輟,0722,0,1,159
11827,輪,0723,0,1,159
11844,輻,0724,0,1,159
11849,轂,0725,0,1,159
11850,轃,0726,0,1,159
11851,轄,0727,0,1,159
11884,轠,0728,0,1,159
11889,轤,0729,0,1,159
11917,辰,0730,0,1,161
11961,迨,0731,0,1,162
11979,追,0732,0,1,162
11980,迾,0733,0,1,162
11982,退,0734,0,1,162
11994,逑,0736,0,1,162
11995,途,0737,0,1,162
12001,逝,0738,0,1,162
12009,逢,0739,1,2,162
12022,進,0740,0,1,162
12025,逶,0741,0,1,162
12027,逸,0742,0,1,162
12083,遮,0743,0,1,162
12093,遷,0744,0,1,162
12095,選,0745,0,1,162
12102,遽,0746,0,1,162
12105,邁,0747,0,1,162
12112,邇,0748,0,1,162
12156,郅,0749,0,1,163
12176,部,0750,0,1,163
12194,鄂,0751,0,1,163
12205,鄕,0752,0,1,163
12256,酆,0753,0,1,163
12301,酷,0754,0,1,164
12312,醇,0755,0,1,164
12367,采,0756,0,1,165
12380,金,0757,0,1,167
12397,釱,0758,0,1,167
12494,鋪,0759,0,1,167
12499,錄,0760,0,1,167
12526,錫,0761,0,1,167
12585,鎬,0762,0,1,167
12587,鎭,0763,0,1,167
12599,鏌,0764,0,1,167
12674,鑠,0765,0,1,167
12714,閉,0766,0,1,169
12717,閌,0767,0,1,169
12719,閎,0768,0,1,169
12739,閣,0769,0,1,169
12744,閨,0770,0,1,169
12748,閫,0771,0,1,169
12750,閭,0772,0,1,169
12753,閶,0773,0,1,169
12758,閼,0774,0,1,169
12759,閽,0775,0,1,169
12768,闇,0776,0,1,169
12770,闉,0777,0,1,169
12789,闛,0778,0,1,169
12815,阨,0779,0,1,170
12824,阹,0780,0,1,170
12875,陼,0781,0,1,170
12849,陜,0782,0,1,170
12883,隅,0783,0,1,170
12889,隊,0784,0,1,170
12899,隕,0785,0,1,170
12901,隗,0786,0,1,170
12923,隤,0787,0,1,170
12927,隨,0788,0,1,170
12962,雅,0789,0,1,172
12971,雌,0790,0,1,172
12973,雎,0791,0,1,172
12994,雙,0792,0,1,172
13002,難,0793,0,1,172
13022,零,0794,0,1,173
13032,霄,0795,0,1,173
13033,霅,0796,0,1,173
13041,霍,0797,0,1,173
13052,霜,0798,0,1,173
13063,霧,0799,0,1,173
13098,靖,0800,0,1,174
13101,靚,0801,0,1,174
13305,頊,0802,0,1,181
13325,頗,0803,0,1,181
13335,頡,0804,0,1,181
13337,頤,0805,0,1,181
13369,顇,0806,0,1,181
13380,顏,0807,0,1,181
13385,顓,0808,0,1,181
13395,顚,0809,0,1,181
13486,飆,0810,0,1,182
13526,飮,0811,0,1,184
13542,飾,0812,0,1,184
13549,餉,0813,0,1,184
13561,餔,0814,0,1,184
13641,饒,0815,0,1,184
13667,香,0816,0,1,186
13711,駊,0817,0,1,187
13772,騀,0818,0,1,187
13818,騮,0819,0,1,187
13826,騷,0820,0,1,187
13832,騾,0821,0,1,187
13834,驊,0822,0,1,187
13852,驚,0823,0,1,187
13856,驞,0824,0,1,187
13864,驢,0825,0,1,187
13948,髢,0826,0,1,190
14057,鬻,0827,0,1,193
14066,魁,0828,0,1,194
14072,魄,0829,0,1,194
14073,魅,0830,0,1,194
14095,魖,0831,0,1,194
14116,魯,0832,0,1,195
14174,鮮,0833,0,1,195
14365,鳧,0834,0,1,196
14366,鳩,0835,0,1,196
12957,雁,0836,0,1,172
14448,䳏,0837,0,1,196
14473,鵝,0838,0,1,196
14488,鵲,0839,0,1,196
14553,鷖,0840,0,1,196
14564,鷤,0841,0,1,196
14582,鷺,0842,0,1,196
07781,監,0843,0,1,108
14621,鹿,0844,0,1,198
14643,麓,0845,0,1,198
14720,默,0846,0,1,203
14730,黨,0847,0,1,203
14754,黿,0848,0,1,205
14758,鼂,0849,0,1,205
14767,鼉,0850,0,1,205
14769,鼎,0851,0,1,206
14775,鼓,0852,0,1,207
14809,鼻,0853,0,1,209
00007,三,0854,1,18,001
00008,上,0855,1,22,001
00009,下,0856,1,15,001
00013,不,0857,1,36,001
00026,丘,0858,1,5,001
00051,中,0859,1,10,002
00078,乃,0860,1,4,004
00088,之,0861,1,177,004
00092,乎,0865,1,10,004
00102,乘,0866,1,9,004
00107,九,0867,1,6,005
00109,也,0868,1,13,005
00121,亂,0869,1,3,005
00128,事,0870,1,5,006
00129,二,0871,1,3,007
00132,于,0872,1,5,007
00133,云,0873,1,2,007
00135,五,0874,1,9,007
00154,亦,0875,1,2,008
00152,交,0876,1,2,008
00168,人,0877,1,3,009
00170,仁,0878,1,3,009
00176,介,0879,1,2,009
00194,以,0880,1,65,009
00213,伊,0882,1,2,009
00235,似,0883,1,2,009
00228,伯,0884,1,3,009
00250,何,0885,1,10,009
03136,徊,0886,1,3,060
00279,使,0887,1,5,009
00282,來,0888,1,4,009
00284,侈,0889,1,3,009
00293,侔,0890,1,2,009
00294,侖,0891,1,2,009
00313,侯,0892,1,2,009
00345,信,0893,1,3,009
00391,倫,0894,1,4,009
00406,偈,0895,1,2,009
00256,作,0896,1,2,009
00424,偫,0897,1,2,009
00466,傱,0898,1,3,009
00475,傾,0899,1,2,009
00490,僑,0900,1,2,009
00516,儀,0901,1,2,009
00546,儲,0902,1,6,009
00566,先,0903,1,5,010
00567,光,0904,1,11,010
00582,入,0905,1,5,011
00585,内,0906,1,2,011
00594,八,0907,1,5,012
00596,公,0908,1,4,012
00597,六,0909,1,4,012
00599,共,0910,1,3,012
00605,其,0911,1,40,012
00723,出,0912,1,5,017
00754,列,0913,1,7,018
00776,制,0914,1,2,018
00789,則,0915,1,9,018
00794,前,0916,1,6,018
00824,創,0917,1,3,018
00857,功,0918,1,4,019
00887,動,0919,1,4,019
00900,勤,0920,1,3,019
00941,北,0921,1,7,021
00985,十,0922,1,5,024
00987,千,0923,1,4,024
00994,半,0924,1,3,024
01007,協,0925,1,2,024
01010,南,0926,1,10,024
01040,卷,0927,1,2,026
01074,原,0928,1,3,027
01095,厲,0929,1,2,027
01101,去,0930,1,2,028
01108,又,0931,1,5,029
01111,及,0932,1,3,029
01116,反,0933,1,2,029
01154,可,0934,1,4,030
01163,司,0935,1,3,030
01168,各,0936,1,2,030
01170,合,0937,1,2,030
01174,同,0938,1,2,030
