統合ID,JIS文字,カード番号,字体数,例数,部首,大字典,大漢和,,
01703,01703,0117,0,1,032,01703,M04994,,
01716,垓,0118,0,1,032,01716,M05040,,
01727,垣,0119,0,1,032,01727,M05060,,
01740,城,0120,0,1,032,01740,M05120,,
01747,01747,0121,0,1,032,01747,M05164,,
01758,基,0122,0,1,032,01758,M05197,,
01765,堂,0123,0,1,032,01765,M05207,,
01680,坎,0124,0,1,032,01680,M04928,,
01789,堪,0125,0,1,032,01789,M05266,,
01793,堯,0126,0,1,032,01793,M05272,,
01818,塗,0127,0,1,032,01818,M05338,,
14634,麈,0128,0,1,198,14634,M47616,,
01859,墨,0129,0,1,032,01859,M05469,,
01905,壯,0130,0,1,033,01905,M05643,,
01913,壽,0131,0,1,033,01913,M05672,,
01939,夜,0132,0,1,036,01939,M05763,,
01957,失,0133,0,1,037,01957,M05844,,
01966,夾,0134,0,1,037,01966,M05867,,
01972,奇,0135,0,1,037,01972,M05892,,
02033,妄,0136,0,1,038,02033,M06063,,
02040,02040,0137,0,1,038,02040,M06082,,
02106,娃,0138,0,1,038,02106,M06262,,
02110,娑,0139,0,1,038,02110,M06294,,
02133,娵,0140,0,1,038,02133,M06364,,
02146,02146,0141,0,1,038,02146,M06410,,
02175,媒,0142,0,1,038,02175,M06498,,
02201,嫉,0143,0,1,038,02201,M06611,,
02213,嫣,0144,0,1,038,02213,M06659,,
02218,02218,0145,0,1,038,02218,M06679,,
02250,02250,0146,0,1,038,02250,M06834,,
02264,孔,0147,0,1,039,02264,M06933,,
02275,孟,0148,0,1,039,02275,M06960,,
02284,孰,0149,0,1,039,02284,M06995,,
02293,學,0150,0,1,039,02293,M07033,,
02307,宇,0151,0,1,040,02307,M07067,,
02325,定,0152,0,1,040,02325,M07109,,
02349,家,0153,0,1,040,02349,M07169,,
02371,寒,0154,0,1,040,02371,M07239,,
02392,寧,0155,0,1,040,02392,M07296,,
02407,寶,0156,0,1,040,02407,M07376,,
02422,射,0157,0,1,041,02422,M07434,,
02429,尊,0158,0,1,041,02429,M07445,,
02435,對,0159,0,1,041,02435,M07457,,
02439,小,0160,0,1,042,02439,M07473,,
02473,尼,0161,0,1,044,02473,M07635,,
02478,尾,0162,0,1,044,02478,M07650,,
02482,居,0163,0,1,044,02482,M07663,,
02511,02511,0164,0,1,044,02511,M07811,,
02517,屮,0165,0,1,045,02517,M07825,,
01672,坂,0166,0,1,032,01672,M04910,,
02544,02544,0167,0,1,046,02544,M07961,,
02563,02563,0168,0,1,046,02563,M07993,,
02567,02567,0169,0,1,046,02567,M08028,,
02577,02577,0170,0,1,046,02577,M08055,,
02583,峨,0171,0,1,046,02583,M08071,,
02595,02595,0172,0,1,046,02595,M08113,,
02614,崑,0173,0,1,046,02614,M08173,,
02617,崔,0174,0,1,046,02617,M08178,,
02623,崙,0175,0,1,046,02623,M08183,,
02629,02629,0176,0,1,046,02629,M08196,,
02631,崟,0177,0,1,046,02631,M08199,,
02633,崢,0178,0,1,046,02633,M08203,,
02646,02646,0179,0,1,046,02646,M08255,,
02656,嵌,0180,0,1,046,02656,M08279,,
02659,02659,0181,0,1,046,02659,M08285,,
02670,嵩,0182,0,1,046,02670,M08348,,
02676,嵯,0183,0,1,046,02676,M08363,,
02677,02677,0184,0,1,046,02677,M08366,,
02680,02680,0185,0,1,046,02680,M08381,,
02692,02692,0186,0,1,046,02692,M08414,,
02697,02697,0187,0,1,046,02697,M08430,,
02698,02698,0188,0,1,046,02698,M08431,,
02706,02706,0189,0,1,046,02706,M08464,,
02711,02711,0190,0,1,046,02711,M08477,,
02714,02714,0191,0,1,046,02714,M08481,,
02718,02718,0192,0,1,046,02718,M08488,,
02726,02726,0193,0,1,046,02726,M08513,,
02737,嶽,0194,0,1,046,02737,M08566,,
02752,巍,0195,0,1,046,02752,M08626,,
02764,州,0196,0,1,047,02764,M08678,,
02776,巨,0197,0,1,048,02776,M08722,,
02779,巫,0198,0,1,048,02779,M08728,,
02787,02787,0199,0,1,049,02787,M08747,,
02839,席,0200,0,1,050,02839,M08926,,
02849,帷,0201,0,1,050,02849,M08954,,
02897,干,0202,0,1,051,02897,M09165,,
02900,年,0203a,2,1,051,02900,M09168,,
02900b,年,0203b,2,1,051,02900,M09168,,
02902,并,0204,0,1,051,02902,M09175,,
02932,底,0205,0,1,053,02932,M09262,,
02933,庖,0206,0,1,053,02933,M09266,,
02936,庚,0207,0,1,053,02936,M09278,,
02985,廚,0209,0,1,053,02985,M09479,,
02989,廟,0210a,2,1,053,02989,M09489,,
02989b,廟,0210b,2,1,053,02989,M09489,,
02993,廣,0211,0,1,053,02993,M09493,,
02997,廩,0212,0,1,053,02997,M09515,,
03032,弋,0213,0,1,056,03032,M09656,,
03037,式,0214,0,1,056,03037,M09663,,
03606,戍,0215,0,1,062,03606,M11537,,
03043,弔,0216,0,1,057,03043,M09698,,
03046,弗,0217,0,1,057,03046,M09708,,
03055,弦,0218,0,1,057,03055,M09754,,
03058,弩,0219,0,1,057,03058,M09760,,
03064,弱,0220,0,1,057,03064,M09791,,
03067,弸,0221,0,1,057,03067,M09817,,
03083,03083,0222,0,1,057,03083,M09874,,
03087,03087,0223,0,1,057,03087,M09906,,
00746,刑,0224,0,1,018,00746,M01886,,
03132,待,0225,0,1,060,03132,M10085,,
03137,律,0226,0,1,060,03137,M10097,,
03141,徐,0227,0,1,060,03141,M10110,,
03142,徑,0228,0,1,060,03142,M10118,,
03148,徙,0229,0,1,060,03148,M10142,,
03152,徠,0230,0,1,060,03152,M10155,,
03157,03157,0231,0,1,060,03157,M10174,,
03165,微,0232,0,1,060,03165,M10203,,
03177,徽,0233,0,1,060,03177,M10267,,
03179,心,0234,0,1,061,03179,M10295,,
03218,03218,0235,0,1,061,03218,M10403,,
03233,怖,0236,0,1,061,03233,M10450,,
03248,怪,0237,0,1,061,03248,M10483,,
03312,悉,0238,0,1,061,03312,M10635,,
03348,情,0239,0,1,061,03348,M10756,,
03355,惑,0240,0,1,061,03355,M10789,,
03369,03369,0241,0,1,061,03369,M10815,,
03373,想,0242,0,1,061,03373,M10858,,
03442,態,0243,0,1,061,03442,M11052,,
03451,慘,0244,0,1,061,03451,M11094,,
03463,慨,0245,0,1,061,03463,M11122,,
03585,懷,0246,0,1,061,03585,M11456,,
03612,戒,0247,0,1,062,03612,M11548,,
03618,戚,0248,0,1,062,03618,M11594,,
03640,戸,0249,0,1,063,03640,M11696,,
03646,房,0250,0,1,063,03646,M11714,,
03649,扁,0251,0,1,063,03649,M11724,,
03659,手,0252,0,1,064,03659,M11768,,
03691,技,0253,0,1,064,03691,M11855,,
03710,抗,0254,0,1,064,03710,M11889,,
03713,03713,0255,0,1,064,03713,M11905,,
03722,抵,0256,0,1,064,03722,M11921,,
03726,03726,0257,0,1,064,03726,M11931,,
03730,拂,0258,0,1,064,03730,M11936,,
03751,03751,0259,0,1,064,03751,M11960,,
03764,括,0260,0,1,064,03764,M11988,,
03783,指,0261,0,1,064,03783,M12034,,
03792,03792,0263,0,1,064,03792,M12054,,
03809,挾,0264,0,1,064,03809,M12118,,
03823,03823,0265,0,1,064,03823,M12148,,
03844,捷,0266,0,1,064,03844,M12216,,
03856,掉,0267,0,1,064,03856,M12243,,
03858,掌,0268,0,1,064,03858,M12248,,
03865,掘,0269,0,1,064,03865,M12264,,
03874,探,0270,0,1,064,03874,M12276,,
03879,控,0271,0,1,064,03879,M12283,,
03881,掩,0272,0,1,064,03881,M12285,,
03901,揖,0273,0,1,064,03901,M12351,,
03941,搏,0274,0,1,064,03941,M12466,,
03952,搜,0275,0,1,064,03952,M12486,,
04009,摩,0276,0,1,064,04009,M12613,,
04027,04027,0277,0,1,064,04027,M12649,,
04028,04028,0278,0,1,064,04028,M12650,,
04036,04036,0279,0,1,064,04036,M12677,,
04056,04056,0280,0,1,064,04056,M12719,,
04066,撫,0281,0,1,064,04066,M12743,,
04069,播,0282,0,1,064,04069,M12747,,
04113,04113,0283,0,1,064,04113,M12859,,
04122,擬,0284,0,1,064,04122,M12870,,
04146,攀,0285,0,1,064,04146,M12926,,
04151,04151,0286,0,1,064,04151,M12932,,
04183,攘,0287,0,1,064,04183,M12989,,
04210,攫,0288,0,1,064,04210,M13043,,
04228,改,0289,0,1,066,04228,M13114,,
04233,放,0290,0,1,066,04233,M13133,,
04258,敘,0291,0,1,066,04258,M13206,,
04277,敢,0292,0,1,066,04277,M13260,,
04303,整,0293,0,1,066,04303,M13394,,
04319,變,0294,0,1,066,04319,M36117,,
04369,斬,0295,0,1,069,04369,M13555,,
04372,04372,0296,0,1,069,04372,M13562,,
04376,新,0297,0,1,069,04376,M13572,,
04392,04392,0298,0,1,070,04392,M13632,,
04406,旋,0299,0,1,070,04406,M13656,,
04412,族,0300,0,1,070,04412,M13661,,
04415,04415,0301,0,1,070,04415,M13668,,
04419,04419,0302,0,1,070,04419,M13678,,
04436,04436,0303,0,1,070,04436,M13709,,
04481,04481,0304,0,1,072,04481,M13795,,
04484,昌,0305,0,1,072,04484,M13803,,
04489,易,0306,0,1,072,04489,M13814,,
04486,昏,0307,0,1,072,04486,M13806,,
04533,晏,0308,0,1,072,04533,M13914,,
04600,暢,0309,0,1,072,04600,M14095,,
04606,暮,0310,0,1,072,04606,M14128,,
04636,曜,0311,0,1,072,04636,M14227,,
04654,更,0312,0,1,073,04654,M14283,,
04676,朋,0314,0,1,074,04676,M14340,,
04686,朔,0315,0,1,074,04686,M14359,,
04699,期,0316,0,1,074,04699,M14378,,
04712,末,0317,0,1,075,04712,M14420,,
04713,本,0318,0,1,075,04713,M14421,,
04743,杖,0319,0,1,075,04743,M14469,,
04780,松,0320,0,1,075,04780,M14516,,
04817,枳,0321,0,1,075,04817,M14583,,
04842,04842,0322,0,1,075,04842,M14615,,
04850,柏,0323,0,1,075,04850,M14617,,
04851,柘,0324,0,1,075,04851,M14626,,
04857,柞,0325,0,1,075,04857,M14636,,
04871,柱,0326,0,1,075,04871,M14660,,
04891,04891,0327,0,1,075,04891,M14696,,
04904,校,0328,1,2,075,04904,M14713,,
04922,根,0329,0,1,075,04922,M14745,,
04924,格,0330,0,1,075,04924,M14749,,
04933,案,0331,0,1,075,04933,M14762,,
04942,桓,0332,0,1,075,04942,M14774,,
04992,梧,0333,0,1,075,04992,M14872,,
05001,械,0334,0,1,075,05001,M14882,,
03872,採,0335,0,1,064,03872,M12274,,
05056,棲,0336,0,1,075,05056,M14980,,
05081,椎,0337,0,1,075,05081,M15024,,
05209,05209,0338,0,1,075,05209,M15272,,
05213,榱,0339,0,1,075,05213,M15276,,
05279,樂,0340,0,1,075,05279,M15399,,
05319,樵,0341,0,1,075,05319,M15489,,
05348,橋,0342,0,1,075,05348,M15526,,
05368,機,0343,0,1,075,05368,M15561,,
05482,櫨,0344,0,1,075,05482,M15844,,
05529,權,0345,0,1,075,05529,M15926,,
05539,欒,0346,0,1,075,05539,M15947,,
05561,欣,0347,0,1,076,05561,M16008,,
05583,欷,0348,0,1,076,05583,M16087,,
05609,歌,0349,0,1,076,05609,M16167,,
05634,05634,0350,0,1,076,05634,M16228,,
05645,歩,0351,0,1,077,05645,M16264,,
05834,母,0352,0,1,080,05834,M16723,,
05836,毎,0353,0,1,080,05836,M16725,,
05964,求,0354,0,1,085,05964,M17105,,
05990,汨,0355,0,1,085,05990,M17152,,
06012,06012,0357,0,1,085,06012,M17187,,
06015,沈,0358,0,1,085,06015,M17189,,
06020,沐,0359,0,1,085,06020,M17201,,
06025,沓,0360,0,1,085,06025,M17206,,
06031,沙,0361,0,1,085,06031,M17212,,
06073,06073,0362,0,1,085,06073,M17289,,
06087,泣,0363,0,1,085,06087,M17309,,
06091,注,0364,0,1,085,06091,M17316,,
06111,洋,0365,0,1,085,06111,M17363,,
06123,洛,0366,0,1,085,06123,M17383,,
06132,06132,0367,0,1,085,06132,M17400,,
06172,浩,0368,0,1,085,06172,M17479,,
06173,浪,0369,0,1,085,06173,M17482,,
06179,浴,0370,0,1,085,06179,M17496,,
06183,浸,0371,0,1,085,06183,M17505,,
06191,06191,0372,0,1,085,06191,M17526,,
06193,渉,0373,0,1,085,06193,M17530,,
06194,06194,0374,0,1,085,06194,M17532,,
06202,涕,0375,0,1,085,06202,M17543,,
06219,液,0376,0,1,085,06219,M17586,,
06243,淋,0377,0,1,085,06243,M17626,,
06246,淑,0378,0,1,085,06246,M17634,,
06249,06249,0379,0,1,085,06249,M17639,,
06261,06261,0380,0,1,085,06261,M17654,,
06266,淡,0381,0,1,085,06266,M17660,,
06311,渙,0382,0,1,085,06311,M17757,,
06355,湊,0383,0,1,085,06355,M17822,,
06365,湛,0384,0,1,085,06365,M17846,,
06404,溝,0385,0,1,085,06404,M17944,,
06409,溥,0386,0,1,085,06409,M17957,,
06421,溷,0387,0,1,085,06421,M17986,,
06428,滂,0388,0,1,085,06428,M18003,,
06429,06429,0389,0,1,085,06429,M18004,,
06432,滅,0390,0,1,085,06432,M18008,,
06433,06433,0391,0,1,085,06433,M18010,,
06437,滋,0392,0,1,085,06437,M18021,,
06466,滲,0394,0,1,085,06466,M18081,,
06477,漁,0395,0,1,085,06477,M18101,,
06480,漂,0396,0,1,085,06480,M18102,,
06494,06494,0397,0,1,085,06494,M18139,,
06517,漸,0398,0,1,085,06517,M18179,,
06536,06536,0399,0,1,085,06536,M18239,,
06551,澗,0400,0,1,085,06551,M18253,,
06554,潮,0401,0,1,085,06554,M18277,,
06617,濁,0402,0,1,085,06617,M18440,,
06621,06621,0403,0,1,085,06621,M18454,,
06625,06625,0404,0,1,085,06625,M18458,,
06638,濛,0405,0,1,085,06638,M18491,,
06649,06649,0406,0,1,085,06649,M18517,,
06651,濫,0407,0,1,085,06651,M18521,,
06689,瀏,0408,0,1,085,06689,M18607,,
06681,涜,0409,0,1,085,06681,M18591,,
06713,瀬,0410,0,1,085,06713,M18672,,
06748,灌,0411,0,1,085,06748,M18759,,
06750,灑,0412,0,1,085,06750,M18774,,
06802,06802,0413,0,1,086,06802,M18918,,
06835,烏,0414,0,1,086,06835,M18998,,
06847,烟,0415,0,1,086,06847,M19022,,
06880,06880,0416,0,1,086,06880,M19139,,
06890,06890,0417,0,1,086,06890,M19174,,
06898,煕,0418,0,1,086,06898,M19192,,
06918,照,0419,0,1,086,06918,M19226,,
06921,煩,0420,0,1,086,06921,M19229,,
06922,煬,0421,0,1,086,06922,M19235,,
06935,06935,0422,0,1,086,06935,M19288,,
06941,熏,0423,0,1,086,06941,M19300,,
06949,熟,0424,0,1,086,06949,M19332,,
06857,烽,0425,0,1,086,06857,M19059,,
06893,煌,0426,0,1,086,06893,M19181,,
07009,爍,0427,0,1,086,07009,M19549,,
07017,爛,0428,0,1,086,07017,M19604,,
07034,爵,0429,0,1,087,07034,M19711,,
07035,父,0430,0,1,088,07035,M19721,,
07042,爽,0431,0,1,089,07042,M19746,,
07065,牙,0432,0,1,092,07065,M19909,,
07094,犇,0433,0,1,093,07094,M20058,,
07103,07103,0434,0,1,093,07103,M20154,,
07112,犯,0435,0,1,094,07112,M20238,,
07125,狂,0436,0,1,094,07125,M20287,,
07127,狄,0437,0,1,094,07127,M20290,,
07138,07138,0438,0,1,094,07138,M20344,,
07165,狼,0439,0,1,094,07165,M20432,,
07168,07168,0440,0,1,094,07168,M20435,,
07189,07189,0441a,2,1,094,07189,M20525,,
07189b,07189,0441b,2,1,094,07189,M20525,,
07226,07226,0442,0,1,094,07226,M20684,,
07238,07238,0443,0,1,094,07238,M20756,,
07248,獸,0444,0,1,094,07248,M20775,,
07249,獺,0445,0,1,094,07249,M20782,,
07275,玲,0446,0,1,096,07275,M20888,,
07327,琴,0447,0,1,096,07327,M21079,,
07335,07335,0448,0,1,096,07335,M21106,,
07339,瑕,0449,0,1,096,07339,M21120,,
07346,瑞,0450,0,1,096,07346,M21131,,
07351,瑤,0451,0,1,096,07351,M21149,,
07356,瑰,0452,0,1,096,07356,M21164,,
07395,瓏,0453,0,1,096,07395,M21340,,
07401,07401,0454,0,1,096,07401,M21361,,
01479,嘗,0455,0,1,030,01479,M04205,,
07469,用,0456,0,1,101,07469,M21703,,
07479,由,0457,0,1,102,07479,M21724,,
07481,申,0458,0,1,102,07481,M21726,,
07501,界,0459,0,1,102,07501,M21775,,
07520,畢,0460,0,1,102,07520,M21829,,
07522,略,0461,0,1,102,07522,M21839,,
07525,畫,0462,0,1,102,07525,M21859,,
07530,異,0463,0,1,102,07530,M21854,,
07535,當,0464,0,1,102,07535,M21890,,
07548,疆,0465,0,1,102,07548,M21961,,
07647,07647,0466,0,1,104,07647,M22395,,
07758,盈,0467,0,1,108,07758,M22961,,
07759,益,0468,0,1,108,07759,M22972,,
07799,直,0469,0,1,109,07799,M23136,,
07806,盾,0470,0,1,109,07806,M23171,,
07831,眥,0471,0,1,109,07831,M23250,,
07837,07837,0472,0,1,109,07837,M23307,,
07842,眺,0473,0,1,109,07842,M23314,,
07867,睨,0474,0,1,109,07867,M23464,,
07870,睹,0475,0,1,109,07870,M23519,,
07905,07905,0476,0,1,109,07905,M23712,,
07915,矍,0477,0,1,109,07915,M23792,,
07938,矣,0478,0,1,111,07938,M23931,,
07944,矩,0479,0,1,111,07944,M23947,,
07984,07984,0480,0,1,112,07984,M24115,,
07986,破,0481,0,1,112,07986,M24124,,
08016,碎,0482,0,1,112,08016,M24284,,
08023,碕,0483,0,1,112,08023,M24296,,
08026,碣,0484,0,1,112,08026,M24326,,
08029,碩,0485,0,1,112,08029,M24338,,
08031,08031,0486,0,1,112,08031,M24342,,
08108,祈,0487,0,1,113,08108,M24640,,
08109,祉,0488,0,1,113,08109,M24641,,
03748,拓,0489,0,1,064,03748,M11958,,
08117,祖,0490,0,1,113,08117,M24664,,
08123,祝,0491,0,1,113,08123,M24672,,
08126,祠,0492,0,1,113,08126,M24676,,
08130,祥,0493,0,1,113,08130,M24689,,
08132,票,0494,0,1,113,08132,M24694,,
08145,08145,0495,0,1,113,08145,M24761,,
08148,福,0496,0,1,113,08148,M24768,,
08159,禦,0497,0,1,113,08159,M24820,,
08162,禪,0498,0,1,113,08162,M24835,,
08185,秉,0499,0,1,115,08185,M24932,,
08209,秬,0501,0,1,115,08209,M25002,,
08224,稍,0502,0,1,115,08224,M25083,,
08239,稠,0503,0,1,115,08239,M25130,,
08269,積,0504,0,1,115,08269,M25266,,
08295,穹,0505,0,1,116,08295,M25414,,
08296,空,0506,0,1,116,08296,M25415,,
08300,穿,0507,0,1,116,08300,M25436,,
08299,08299,0508,0,1,116,08299,M25435,,
08365,竟,0509,0,1,117,08365,M25757,,
08369,竢,0510,0,1,117,08369,M25770,,
08372,竦,0511,0,1,117,08372,M25776,,
08380,競,0512,0,1,117,08380,M25831,,
08387,竿,0513,0,1,118,08387,M25854,,
08408,符,0514,0,1,118,08408,M25935,,
08412,第,0515,0,1,118,08412,M25943,,
08426,等,0516,0,1,118,08426,M25992,,
08493,節,0517,0,1,118,08493,M26243,,
08532,08532,0518,0,1,118,08532,M26392,,
08587,簸,0519,0,1,118,08587,M26609,,
08617,08617,0520,0,1,118,08617,M26750,,
08619,籠,0521,0,1,118,08619,M26752,,
08664,粟,0522,0,1,119,08664,M26922,,
08677,粲,0523,0,1,119,08677,M26966,,
08692,08692,0524,0,1,119,08692,M27035,,
08735,紀,0525,0,1,120,08735,M27234,,
08738,約,0526,0,1,120,08738,M27242,,
08741,紆,0527,0,1,120,08741,M27244,,
08776,08776,0528,0,1,120,08776,M27340,,
08778,累,0529,0,1,120,08778,M27343,,
08782,紲,0530,0,1,120,08782,M27347,,
08787,紹,0531,0,1,120,08787,M27361,,
08807,結,0532,0,1,120,08807,M27398,,
08823,08823,0533,0,1,120,08823,M27433,,
08840,絹,0534,0,1,120,08840,M27470,,
08854,綏,0535,0,1,120,08854,M27501,,
08870,緑,0536,0,1,120,08870,M27541,,
08874,08874,0537,0,1,120,08874,M27555,,
08888,綴,0538,0,1,120,08888,M27579,,
08900,08900,0539,0,1,120,08900,M27594,,
08919,緝,0540,0,1,120,08919,M27645,,
08924,縁,0541,0,1,120,08924,M27656,,
08969,縡,0542,0,1,120,08969,M27781,,
08972,縣,0543,0,1,120,08972,M27784,,
08982,縱,0544,0,1,120,08982,M27819,,
09003,09003,0545,0,1,120,09003,M27856,,
09020,繞,0546,0,1,120,09020,M27909,,
09028,繩,0547,0,1,120,09028,M27937,,
09033,09033,0548,0,1,120,09033,M27952,,
09047,繼,0549,0,1,120,09047,M27997,,
09073,纔,0550,0,1,120,09073,M28070,,
09077,09077,0551,0,1,120,09077,M28092,,
09078,纛,0552,0,1,120,09078,M28080,,
09085,缺,0553,0,1,121,09085,M28122,,
09104,罔,0554,0,1,122,09104,M28211,,
09112,09112,0555,0,1,122,09112,M28245,,
09128,置,0556,0,1,122,09128,M28298,,
09138x,09138x,0557,0,1,122,09138x,M28352,,
09145,羆,0558,0,1,122,09145,M28398,,
09177,義,0559,0,1,123,09177,M28504,,
09186,羲,0560,0,1,123,09186,M28552,,
09198,09198,0561,0,1,124,09198,M28622,,
09209,09209,0562,0,1,124,09209,M28662,,
09216,翔,0563,0,1,124,09216,M28689,,
09218,翕,0564,0,1,124,09218,M28691,,
09219,09219,0565,0,1,124,09219,M28727,,
09236,翰,0567,0,1,124,09236,M28780,,
09238,翳,0568,0,1,124,09238,M28796,,
09245,翼,0569,0,1,124,09245,M28818,,
09249,耀,0570,0,1,124,09249,M28828,,
09257,耆,0571,0,1,125,09257,M28849,,
09272,耕,0572,0,1,127,09272,M28907,,
09295,09295,0573,0,1,128,09295,M29021,,
09314,聚,0574,0,1,128,09314,M29093,,
09315,聞,0575,0,1,128,09315,M29104,,
09339,聿,0576,0,1,129,09339,M29215,,
09379,育,0577,0,1,130,09379,M29318,,
09394,背,0578,0,1,130,09394,M29363,,
09395,胎,0579,0,1,130,09395,M29369,,
09413,胤,0580,0,1,130,09413,M29405,,
09427,09427,0581,0,1,130,09427,M29450,,
09467,09467,0582,0,1,130,09467,M29544,,
09512,腴,0584,0,1,130,09512,M29713,,
09535,膏,0585,0,1,130,09535,M29800,,
09630,興,0586,0,1,134,09630,M30226,,
09638,舍,0587,0,1,135,09638,M30278,,
