文字,カード番号,用例数1,用例数2,字体数,部首番号,大字典番号,備考
體,0204,,,0,188,13934,
髮,0205,,,0,190,13959,
13969,0206,,,0,190,13969,
鬼,0207,,,0,194,14061,
魔,0208,,,0,194,14088,
齋,0209,,,0,210,14829,
一,0210-0211,95,,1,001,00001,
世,0212,22,,1,001,00025,
下,0213,6,,1,001,00009,
上,0214,32,,1,001,00008,
不,0215,23,,1,001,00013,
七,0216,11,,1,001,00004,
丘,0217,6,,1,001,00026,
三,0218,14,,1,001,00007,
中,0219,30,,1,002,00051,
之,0220,11,,1,004,00088,
乃,0221,2,,1,004,00078,
九,0222,3,,1,005,00107,
乾,0223,2,,1,005,00118,
事,0224,2,,1,006,00128,
五,0225,33,,1,007,00135,
二,0226,13,,1,007,00129,
但,0227,2,,1,009,00240,
依,0228,3,,1,009,00301,
値,0229,7,,1,009,00385,
今,0230,10,,1,009,00175,
令,0231,4,,1,009,00193,
億,0232,36,,1,009,00520,
他,0233,4,,1,009,00183,
人,0234,24,,1,009,00168,
佛,0235,50,,1,009,00255,
伽,0236,3,,1,009,00236,
以,0237,14,,1,009,00194,
侍,0238,3,,1,009,00288,
供,0239,5,,1,009,00299,
住,0240,6,,1,009,00245,
倶,0241,9,,1,009,00350,
00261,0242,2,,1,009,00261,
何,0243,5,,1,009,00250,
優,0244,16,,1,009,00542,
像,0245,3,,1,009,00489,
兜,0246,19,,1,010,00579,
光,0247,25,,1,010,00567,
入,0248,3,,1,011,00582,
兩,0249,5,,1,011,00591,
内,0250,3,,1,011,00585,
八,0251,11,,1,012,00594,
其,0252,24,,1,012,00605,
具,0253,7,,1,012,00606,
六,0254,8,,1,012,00597,
冠,0255,6,,1,014,00646,
出,0256,17,,1,017,00723,
利,0257,6,,1,018,00767,
切,0258,7,,1,018,00735,
前,0259,5,,1,018,00794,
初,0260,2,,1,018,00759,
功,0261,3,,1,019,00857,
勒,0262,31,,1,019,00885,
勝,0263,2,,1,019,00893,
動,0264,2,,1,019,00887,
劫,0265,8,,1,019,00865,
化,0266,17,,1,021,00938,
匝,0267,3,,1,022,00951,
千,0268,21,,1,024,00987,
十,0269,26,,1,024,00985,
廿,0270,2,,1,024,00988,
卅,0271,2,,1,024,00989,
却,0272,4,,1,026,01038,
即,0273,15,,1,026,01049,
受,0274,7,,1,029,01128,
叉,0275,4,,1,029,01109,
及,0276,7,,1,029,01111,
名,0277,29,,1,030,01175,
善,0278,15,,1,030,01395,
各,0279,10,,1,030,01168,
右,0280,2,,1,030,01158,
合,0281,5,,1,030,01170,
器,0282,7,,1,030,01523,
同,0283,2,,1,030,01174,
哉,0284,3,,1,030,01305,
命,0285,8,,1,030,01252,
嚴,0286,8,,1,030,01581,
告,0287,11,,1,030,01219,
喜,0288,4,,1,030,01412,
四,0289,14,,1,031,01607,
園,0290,5,,1,031,01644,
報,0291,3,,1,032,01796,
坐,0292,7,,1,032,01682,
垣,0293,2,,1,032,01727,
地,0294,5,,1,032,01666,
在,0295,4,,1,032,01659,
塞,0296,2,,1,032,01823,
執,0297,4,,1,032,01755,
塔,0298,2,,1,032,01816,
士,0299,2,,1,033,01903,
多,0300,6,,1,036,01938,
夜,0301,5,,1,036,01939,
天,0302-0303,64,,1,037,01947,
夷,0304,2,,1,037,01961,
大,0305,27,,1,037,01946,
如,0306,32,,1,038,02031,
婆,0307,11,,1,038,02142,
妙,0308,13,,1,038,02045,
女,0309,13,,1,038,02022,
好,0310,3,,1,038,02029,
孔,0311,3,,1,039,02264,
子,0312,21,,1,039,02262,
字,0313,2,,1,039,02267,
宿,0314,2,,1,040,02355,
定,0315,3,,1,040,02325,
寶,0316-0317,51,,1,040,02407,
宮,0318,12,,1,040,02342,
尊,0319,16,,1,041,02429,
小,0320,2,,1,042,02439,
就,0321,2,,1,043,02464,
尼,0322,19,,1,044,02473,
屬,0323,9,,1,044,02515,
已,0324,7,,1,049,02783,
師,0325,3,,1,050,02835,
常,0326,3,,1,050,02847,
幡,0327,3,,1,050,02881,
帳,0328,4,,1,050,02843,
年,0329,2,,1,051,02900,
座,0330,8,,1,053,02946,
度,0331,4,2,2,053,02944,
廣,0332,3,,1,053,02993,
彌,0333,33,,1,057,03084,
弘,0334,4,,1,057,03047,
形,0335,3,,1,059,03101,
得,0336,24,,1,060,03145,
從,0337,9,,1,060,03151,
彼,0338,2,,1,060,03124,
後,0339,7,,1,060,03138,
復,0340,5,,1,060,03159,
往,0341,6,,1,060,03128,
微,0342,4,,1,060,03165,
徳,0343,5,,1,060,03172,
應,0344,8,,1,061,03550,
思,0345,5,,1,061,03239,
懸,0346,2,,1,061,03586,
幢,0347,4,,1,050,02882,
惟,0348,2,,1,061,03365,
快,0349,2,,1,061,03208,
念,0350,9,,1,061,03214,
必,0351,2,,1,061,03180,
意,0352,3,,1,061,03395,
悲,0353,3,,1,061,03335,
悉,0354,2,,1,061,03312,
心,0355,12,,1,061,03179,
惡,0356,3,,1,061,03367,
恆,0357,3,,1,061,03267,
戒,0358,8,,1,062,03612,
成,0359,14,,1,062,03610,
所,0360,12,,1,063,03647,
拜,0361,2,,1,064,03761,
摩,0362,14,,1,064,04009,
提,0363,18,,1,064,03896,
持,0364,12,,1,064,03780,
手,0365,6,,1,064,03659,
掌,0366,3,,1,064,03858,
數,0367,3,,1,066,04298,
敬,0368,5,,1,066,04286,
散,0369,2,,1,066,04280,
故,0370,2,,1,066,04243,
放,0371,3,,1,066,04233,
整,0372,2,,1,066,04303,
斷,0373,5,,1,069,04381,
方,0374,5,,1,070,04385,
於,0375,24,,1,070,04389,
旃,0376,2,,1,070,04398,
旋,0377,2,,1,070,04406,
晝,0378,2,,1,072,04542,
明,0379,12,,1,072,04485,
旬,0380,4,,1,072,04453,
是,0381,38,,1,072,04512,
時,0382,34,,1,072,04523,
