カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,,,,,,,
0249,但,009,1,2,,,00240,,,,,,,
0250,價,009,1,2,,,00513,,,,,,,
0251,住,009,1,12,,,00245,,,,,,,
0252,供,009,1,21,,,00299,,,,,,,
0253,信,009,1,10,,,00345,,,,,,,
0254,倶,009,1,3,,,00350,,,,,,,
0255,僧,009,1,21,,,00503,,,,,,,
0256,億,009,1,21,,,00520,,,,,,,
0257,人,009,1,35,,,00168,,,,,,,
0258,今,009,1,8,,,00175,,,,,,,
0259,使,009,1,2,,,00279,,,,,,,
0260,充,010,1,4,,,00562,,,,,,,
0261,入,011,1,5,,,00582,,,,,,,
0262,其,012,1,31,,,00605,,,,,,,
0263,具,012,1,8,,,00606,,,,,,,
0264,典,012,1,4,,,00608,,,,,,,
0265,共,012,1,2,,,00599,,,,,,,
0266,兼,012,1,2,,,00613,,,,,,,
0267,八,012,1,11,,,00594,,,,,,,
0268,出,017,1,7,,,00723,,,,,,,
0269,前,018,1,3,,,00794,,,,,,,
0270,利,018,1,7,,,00767,,,,,,,
0271,則,018,1,11,,,00789,,,,,,,
0272,分,018,1,7,,,00734,,,,,,,
0273,別,018,1,3,,,00763,,,,,,,
0274,切,018,1,13,,,00735,,,,,,,
0275,劫,019,1,22,,,00865,,,,,,,
0276,功,019,1,13,,,00857,,,,,,,
0277,勒,019,1,4,,,00885,,,,,,,
0278,勝,019,1,2,,,00893,,,,,,,
0279,動,019,1,2,,,00887,,,,,,,
0280,力,019,1,7,,,00856,,,,,,,
0281,勿,020,1,2,,,00919,,,,,,,
0282,化,021,1,3,,,00938,,,,,,,
0283,千,024,1,27,,,00987,,,,,,,
0284,十,024,1,9,,,00985,,,,,,,
0285,臥,131,1,4,,,09599,,,,,,,
0286,即,026,1,3,,,01049,,,,,,,
0287,卷,026,1,3,,,01040,,,,,,,
0288,取,029,1,3,,,01127,,,,,,,
0289,受,029,1,10,,,01128,,,,,,,
0290,及,029,1,17,,,01111,,,,,,,
0291,又,029,1,11,,,01108,,,,,,,
0292,和,030,1,3,,,01263,,,,,,,
0293,喩,030,1,2,,,01421,,,,,,,
0294,向,030,1,2,,,01179,,,,,,,
0295,命,030,1,14,,,01252,,,,,,,
0296,問,030,1,4,,,01369,,,,,,,
0297,喜,030,1,7,,,01412,,,,,,,
0298,可,030,1,10,,,01154,,,,,,,
0299,善,030,1,28,,,01395,,,,,,,
0300,告,030,1,4,,,01219,,,,,,,
0301,咸,030,1,3,,,01288,,,,,,,
0302,合,030,1,2,,,01170,,,,,,,
0303,味,030,1,3,,,01242,,,,,,,
0304,名,030,1,3,,,01175,,,,,,,
0305,嚴,030,1,6,,,01581,,,,,,,
0306,周,030,1,3,,,01235,,,,,,,
0307,各,030,1,5,,,01168,,,,,,,
0308,國,031,1,8,,,01639,,,,,,,
0309,四,031,1,12,,,01607,,,,,,,
0310,因,031,1,5,,,01611,,,,,,,
0311,固,031,1,2,,,01627,,,,,,,
0312,園,031,1,4,,,01644,,,,,,,
0313,堅,032,1,2,,,01767,,,,,,,
0314,堂,032,1,4,,,01765,,,,,,,
0315,地,032,1,6,,,01666,,,,,,,
0316,土,032,1,5,,,01654,,,,,,,
0317,塵,032,1,20,,,01831,,,,,,,
0318,執,032,1,2,,,01755,,,,,,,
0319,在,032,1,16,,,01659,,,,,,,
0320,坊,032,1,7,,,01676,,,,,,,
0321,場,032,1,3,,,01798,,,,,,,
0322,坐,032,1,7,,,01682,,,,,,,
0323,塔,032,1,12,,,01816,,,,,,,
0324,壽,033,1,18,,,01913,,,,,,,
0325,多,036,1,26,,,01938,,,,,,,
0326,大,037,1,17,,,01946,,,,,,,
0327,失,037,1,5,,,01957,,,,,,,
0328,天,037,1,23,,,01947,,,,,,,
0329,女,038,1,6,,,02022,,,,,,,
0330,妄,038,1,4,,,02033,,,,,,,
0331-0332,如,038,1,67,,,02031,,,,,,,
0333,好,038,1,8,,,02029,,,,,,,
0334,妙,038,1,10,,,02045,,,,,,,
0335,婆,038,1,2,,,02142,,,,,,,
0336,娑,038,1,2,,,02110,,,,,,,
0337,子,039,1,28,,,02262,,,,,,,
0338,家,040,1,2,,,02349,,,,,,,
0339,宣,040,1,4,,,02333,,,,,,,
0340,實,040,1,10,,,02390,,,,,,,
0341,寶,040,1,16,,,02407,,,,,,,
0342,定,040,1,4,,,02325,,,,,,,
0343,安,040,1,3,,,02309,,,,,,,
0344,寺,041,1,2,,,02415,,,,,,,
0345,尊,041,1,12,,,02429,,,,,,,
0346,小,042,1,5,,,02439,,,,,,,
0347,就,043,1,2,,,02464,,,,,,,
0348,尼,044,1,5,,,02473,,,,,,,
0349,山,046,1,3,,,02528,,,,,,,
0350,常,050,1,21,,,02847,,,,,,,
0351,師,050,1,4,,,02835,,,,,,,
0352,布,050,1,4,,,02800,,,,,,,
0353,幡,050,1,5,,,02881,,,,,,,
0354,并,051,1,2,,,02902,,,,,,,
0355,干,051,1,2,,,02897,,,,,,,
0356,度,053,1,16,,,02944,,,,,,,
0357,座,053,1,3,,,02946,,,,,,,
0358,廣,053,1,7,,,02993,,,,,,,
0359,彌,057,1,4,,,03084,,,,,,,
0360,復,060,1,33,,,03159,,,,,,,
0361,得,060,1,29,,,03145,,,,,,,
0362,後,060,1,6,,,03138,,,,,,,
0363,彼,060,1,2,,,03124,,,,,,,
0364,微,060,1,18,,,03165,,,,,,,
0365,徳,060,1,18,,,03172,,,,,,,
0366,惡,061,1,5,,,03367,,,,,,,
0367,憧,061,1,2,,,03519,,,,,,,
0368,恣,061,1,2,,,03286,,,,,,,
0369,懸,061,1,2,,,03586,,,,,,,
0370,戀,061,1,3,,,03595,,,,,,,
0371,愈,061,1,2,,,03391,,,,,,,
0372,憂,061,1,3,,,03486,,,,,,,
0373,惱,061,1,6,,,03372,,,,,,,
0374,懷,061,1,5,,,03585,,,,,,,
0375,惟,061,1,4,,,03365,,,,,,,
0376,憶,061,1,2,,,03534,,,,,,,
0377,悉,061,1,7,,,03312,,,,,,,
0378,意,061,1,5,,,03395,,,,,,,
0379,念,061,1,7,,,03214,,,,,,,
0380,患,061,1,2,,,03329,,,,,,,
0381,愍,061,1,2,,,03402,,,,,,,
0382,息,061,1,2,,,03298,,,,,,,
0383,思,061,1,4,,,03239,,,,,,,
0384,恭,061,1,3,,,03297,,,,,,,
0385,恆,061,1,2,,,03267,,,,,,,
0386,忍,061,1,6,,,03184,,,,,,,
0387,驕,187,1,2,,,13845,,,,,,,
0388,慕,061,1,3,,,03450,,,,,,,
0389,慧,061,1,7,,,03462,,,,,,,
0390,應,061,1,7,,,03550,,,,,,,
0391,心,061,1,31,,,03179,,,,,,,
0392,成,062,1,9,,,03610,,,,,,,
0393,我,062,1,44,,,03611,,,,,,,
0394,戒,062,1,4,,,03612,,,,,,,
0395,或,062,1,17,,,03617,,,,,,,
0396,所,063,1,33,,,03647,,,,,,,
0397,攝,064,1,2,,,04192,,,,,,,
0398,總,120,1,2,,,08993,,,,,,,
0399,持,064,1,23,,,03780,,,,,,,
0400,摩,064,1,16,,,04009,,,,,,,
0401,提,064,1,12,,,03896,,,,,,,
0402,教,066,1,12,,,04261,,,,,,,
0403,敬,066,1,4,,,04286,,,,,,,
0404,數,066,1,33,,,04298,,,,,,,
0405,散,066,1,7,,,04280,,,,,,,
0406,救,066,1,4,,,04263,,,,,,,
0407,故,066,1,13,,,04243,,,,,,,
0408,斯,069,1,5,,,04373,,,,,,,
0409,方,070,1,13,,,04385,,,,,,,
0410,於,070,1,47,,,04389,,,,,,,
0411,施,070,1,4,,,04391,,,,,,,
0412,旋,070,1,3,,,04406,,,,,,,
0413-0414,無,086,1,72,,,06872,,,,,,,
0415,明,072,1,4,,,04485,,,,,,,
0416,昔,072,1,2,,,04490,,,,,,,
0417-0418,是,072,1,82,,,04512,,,,,,,
0419,智,072,1,11,,,04569,,,,,,,
0420,時,072,1,19,,,04523,,,,,,,
0421,會,073,1,2,,,04667,,,,,,,
0422,書,073,1,10,,,04657,,,,,,,
0423,曾,073,1,3,,,04661,,,,,,,
0424,曼,073,1,6,,,04660,,,,,,,
0425,服,074,1,12,,,04679,,,,,,,
0426-0427,有,074,1,54,,,04674,,,,,,,
0428,業,075,1,2,,,05152,,,,,,,
0429,本,075,1,3,,,04713,,,,,,,
0430,梵,075,1,5,,,05010,,,,,,,
0431,栴,075,1,5,,,04918,,,,,,,
0432,檀,075,1,7,,,05391,,,,,,,
0433,樂,075,1,10,,,05279,,,,,,,
0434,槃,075,1,3,,,05228,,,,,,,
0435,柔,075,1,4,,,04849,,,,,,,
0436,林,075,1,4,,,04803,,,,,,,
0437,樹,075,1,7,,,05323,,,,,,,
0438,末,075,1,4,,,04712,,,,,,,
0439,未,075,1,6,,,04711,,,,,,,
0440,根,075,1,5,,,04922,,,,,,,
0441,東,075,1,3,,,04765,,,,,,,
0442,次,076,1,2,,,05558,,,,,,,
0443,欲,076,1,8,,,05580,,,,,,,
0444,歡,076,1,5,,,05639,,,,,,,
0445,歌,076,1,3,,,05609,,,,,,,
0446,歎,076,1,5,,,05612,,,,,,,
0447,歸,077,1,3,,,05676,,,,,,,
0448,止,077,1,3,,,05641,,,,,,,
0449,此,077,1,39,,,05644,,,,,,,
0450,死,078,1,4,,,05686,,,,,,,
0451,醫,164,1,3,,,12341,,,,,,,
0452,毀,079,1,2,,,05812,,,,,,,
0453,毒,080,1,6,,,05839,,,,,,,
0454,比,081,1,6,,,05841,,,,,,,
0455,水,085,1,2,,,05952,,,,,,,
0456,求,085,1,6,,,05964,,,,,,,
0457,滿,085,1,3,,,06476,,,,,,,
0458,深,085,1,8,,,06285,,,,,,,
0459,治,085,1,3,,,06055,,,,,,,
0460,汝,085,1,7,,,05983,,,,,,,
0461,法,085,1,28,,,06074,,,,,,,
0462,滅,085,1,21,,,06432,,,,,,,
0463,油,085,1,3,,,06052,,,,,,,
0464,波,085,1,8,,,06086,,,,,,,
0465,漏,085,1,4,,,06487,,,,,,,
0466,淨,085,1,7,,,06272,,,,,,,
0467,沙,085,1,2,,,06031,,,,,,,
0468,清,085,1,6,,,06290,,,,,,,
0469,涅,085,1,3,,,06189,,,,,,,
0470,渇,085,1,3,,,06338,,,,,,,
0471,況,085,1,4,,,06058,,,,,,,
0472,漸,085,1,2,,,06517,,,,,,,
0473,沈,085,1,2,,,06015,,,,,,,
0474,流,085,1,2,,,06151,,,,,,,
0475,池,085,1,2,,,05986,,,,,,,
0476,然,086,1,9,,,06885,,,,,,,
0477,照,086,1,2,,,06918,,,,,,,
0478,燒,086,1,5,,,06978,,,,,,,
0479,燈,086,1,3,,,06971,,,,,,,
0480,爐,086,1,2,,,07012,,,,,,,
0481,爲,087,1,36,,,07032,,,,,,,
0482,父,088,1,10,,,07035,,,,,,,
0483,爾,089,1,8,,,07043,,,,,,,
0484,現,096,1,6,,,07304,,,,,,,
0485,珞,096,1,7,,,07290,,,,,,,
0486,珠,096,1,3,,,07291,,,,,,,
0487,瓔,096,1,7,,,07397,,,,,,,
0488,甚,099,1,2,,,07457,,,,,,,
0489,生,100,1,50,,,07461,,,,,,,
0490,由,102,1,6,,,07479,,,,,,,
0491,男,102,1,13,,,07483,,,,,,,
0492,界,102,1,18,,,07501,,,,,,,
0493,異,102,1,2,,,07530,,,,,,,
0494,疑,103,1,3,,,07559,,,,,,,
0495,療,104,1,2,,,07668,,,,,,,
0496,病,104,1,4,,,07598,,,,,,,
0497,發,105,1,4,,,07707,,,,,,,
0498,百,106,1,16,,,07710,,,,,,,
0499,皆,106,1,21,,,07717,,,,,,,
0500,盡,108,1,9,,,07779,,,,,,,
0501,益,108,1,3,,,07759,,,,,,,
0502,瞋,109,1,3,,,07878,,,,,,,
0503,直,109,1,3,,,07799,,,,,,,
0504,相,109,1,3,,,07801,,,,,,,
0505-0506,衆,109,1,51,,,07844,,,,,,,
0507,知,111,1,12,,,07941,,,,,,,
0508,礙,112,1,2,,,08077,,,,,,,
0509,神,113,1,2,,,08124,,,,,,,
0510,禪,113,1,7,,,08162,,,,,,,
0511,示,113,1,3,,,08097,,,,,,,
0512,福,113,1,5,,,08148,,,,,,,
0513,種,115,1,35,,,08244,,,,,,,
0514,空,116,1,8,,,08296,,,,,,,
0515,立,117,1,4,,,08354,,,,,,,
0516,等,118,1,18,,,08426,,,,,,,
0517,算,118,1,2,,,08469,,,,,,,
0518,第,118,1,2,,,08412,,,,,,,
0519,精,119,1,4,,,08685,,,,,,,
0520,索,120,1,2,,,08767,,,,,,,
0521,縁,120,1,6,,,08924,,,,,,,
0522,維,120,1,2,,,08879,,,,,,,
0523,罪,122,1,2,,,09125,,,,,,,
0524,羅,122,1,29,,,09144,,,,,,,
0525,美,123,1,4,,,09155,,,,,,,
0526,義,123,1,5,,,09177,,,,,,,
0527,者,125,1,31,,,09255,,,,,,,
0528,而,126,1,29,,,09264,,,,,,,
0529,耨,127,1,10,,,09286,,,,,,,
0530,聞,128,1,25,,,09315,,,,,,,
0531,聲,128,1,6,,,09328,,,,,,,
0532,脩,130,1,2,,,09462,,,,,,,
0533,肯,130,1,2,,,09377,,,,,,,
0534,能,130,1,28,,,09429,,,,,,,
0535,自,132,1,15,,,09602,,,,,,,
0536,至,133,1,15,,,09610,,,,,,,
0537,與,134,1,4,,,09629,,,,,,,
0538,舍,135,1,4,,,09638,,,,,,,
0539,良,138,1,5,,,09714,,,,,,,
0540,色,139,1,5,,,09716,,,,,,,
0541,莊,140,1,4,,,09869,,,,,,,
0542,苦,140,1,5,,,09789,,,,,,,
0544,蓋,140,1,4,,,10040,,,,,,,
0545,薩,140,1,44,,,10163,,,,,,,
0546,菩,140,1,41,,,09919,,,,,,,
0547,蘇,140,1,2,,,10231,,,,,,,
0548,華,140,1,10,,,09921,,,,,,,
0549,若,140,1,50,,,09788,,,,,,,
0550,藥,140,1,14,,,10204,,,,,,,
0551,薄,140,1,3,,,10139,,,,,,,
0552,著,140,1,3,,,09972,,,,,,,
0553,處,141,1,9,,,10270,,,,,,,
0554,虚,141,1,13,,,10272,,,,,,,
0555,蜜,142,1,8,,,10414,,,,,,,
0556,行,144,1,20,,,10614,,,,,,,
0557,衣,145,1,6,,,10637,,,,,,,
0558,喪,030,1,2,,,01430,,,,,,,
0559,見,147,1,28,,,10831,,,,,,,
0560,觀,147,1,3,,,10859,,,,,,,
0561,解,148,1,9,,,10875,,,,,,,
0562,讚,149,1,5,,,11229,,,,,,,
0563,訶,149,1,15,,,10936,,,,,,,
0564,語,149,1,5,,,11017,,,,,,,
0565,譬,149,1,4,,,11189,,,,,,,
0566,誦,149,1,6,,,11023,,,,,,,
0567,讀,149,1,6,,,11207,,,,,,,
0568,訊,149,1,2,,,10897,,,,,,,
0569,設,149,1,2,,,10928,,,,,,,
0570,謂,149,1,2,,,11095,,,,,,,
0571,説,149,1,47,,,11025,,,,,,,
0572-0573,諸,149,1,71,,,11085,,,,,,,
0574,言,149,1,18,,,10890,,,,,,,
0575,質,154,1,3,,,11404,,,,,,,
0576,趣,156,1,2,,,11485,,,,,,,
0577,起,156,1,14,,,11461,,,,,,,
0578,足,157,1,6,,,11495,,,,,,,
0579,身,158,1,10,,,11715,,,,,,,
0580,轉,159,1,6,,,11856,,,,,,,
0581,輪,159,1,4,,,11827,,,,,,,
0582,辱,161,1,4,,,11918,,,,,,,
0583,退,162,1,5,,,11982,,,,,,,
0584,03157,060,1,3,,,03157,,,,,,,
0585,遭,162,1,2,,,12082,,,,,,,
0586,逸,162,1,9,,,12027,,,,,,,
0587,近,162,1,2,,,11948,,,,,,,
0588,通,162,1,2,,,12000,,,,,,,
0589,道,162,1,18,,,12051,,,,,,,
0590,造,162,1,3,,,12004,,,,,,,
0591,還,162,1,2,,,12108,,,,,,,
0592,速,162,1,2,,,12003,,,,,,,
0593,邊,162,1,10,,,12115,,,,,,,
0594,過,162,1,5,,,12046,,,,,,,
0595,遠,162,1,12,,,12070,,,,,,,
0596,進,162,1,3,,,12022,,,,,,,
0597,那,163,1,6,,,12134,,,,,,,
0598,釋,165,1,3,,,12371,,,,,,,
0599,量,166,1,30,,,12376,,,,,,,
0600,重,166,1,4,,,12373,,,,,,,
0601,鈴,167,1,2,,,12418,,,,,,,
0602,長,168,1,7,,,12698,,,,,,,
0603,閣,169,1,2,,,12739,,,,,,,
0604,限,170,1,3,,,12839,,,,,,,
0605,阿,170,1,28,,,12830,,,,,,,
0606,除,170,1,4,,,12855,,,,,,,
