,,khi_宮廷今西,khi_宮廷今西,khi_宮廷今西,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
00373,倒,0247,1,3,009
00250,何,0248,1,10,009
00240,但,0249,1,2,009
00513,價,0250,1,2,009
00245,住,0251,1,12,009
00299,供,0252,1,21,009
00345,信,0253,1,10,009
00350,倶,0254,1,3,009
00503,僧,0255,1,21,009
00520,億,0256,1,21,009
00168,人,0257,1,35,009
00175,今,0258,1,8,009
00279,使,0259,1,2,009
00562,充,0260,1,4,010
00582,入,0261,1,5,011
00605,其,0262,1,31,012
00606,具,0263,1,8,012
00608,典,0264,1,4,012
00599,共,0265,1,2,012
00613,兼,0266,1,2,012
00594,八,0267,1,11,012
00723,出,0268,1,7,017
00794,前,0269,1,3,018
00767,利,0270,1,7,018
00789,則,0271,1,11,018
00734,分,0272,1,7,018
00763,別,0273,1,3,018
00735,切,0274,1,13,018
00865,劫,0275,1,22,019
00857,功,0276,1,13,019
00885,勒,0277,1,4,019
00893,勝,0278,1,2,019
00887,動,0279,1,2,019
00856,力,0280,1,7,019
00919,勿,0281,1,2,020
00938,化,0282,1,3,021
00987,千,0283,1,27,024
00985,十,0284,1,9,024
09599,臥,0285,1,4,131
01049,卽,0286,1,3,026
01040,卷,0287,1,3,026
01127,取,0288,1,3,029
01128,受,0289,1,10,029
01111,及,0290,1,17,029
01108,又,0291,1,11,029
01263,和,0292,1,3,030
01421,喩,0293,1,2,030
01179,向,0294,1,2,030
01252,命,0295,1,14,030
01369,問,0296,1,4,030
01412,喜,0297,1,7,030
01154,可,0298,1,10,030
01395,善,0299,1,28,030
01219,告,0300,1,4,030
01288,咸,0301,1,3,030
01170,合,0302,1,2,030
01242,味,0303,1,3,030
01175,名,0304,1,3,030
01581,嚴,0305,1,6,030
01235,周,0306,1,3,030
01168,各,0307,1,5,030
01639,國,0308,1,8,031
01607,四,0309,1,12,031
01611,因,0310,1,5,031
01627,固,0311,1,2,031
01644,園,0312,1,4,031
01767,堅,0313,1,2,032
01765,堂,0314,1,4,032
01666,地,0315,1,6,032
01654,土,0316,1,5,032
01831,塵,0317,1,20,032
01755,執,0318,1,2,032
01659,在,0319,1,16,032
01676,坊,0320,1,7,032
01798,場,0321,1,3,032
01682,坐,0322,1,7,032
01816,塔,0323,1,12,032
01913,壽,0324,1,18,033
01938,多,0325,1,26,036
01946,大,0326,1,17,037
01957,失,0327,1,5,037
01947,天,0328,1,23,037
02022,女,0329,1,6,038
02033,妄,0330,1,4,038
02031,如,0331,1,67,038
02029,好,0333,1,8,038
02045,妙,0334,1,10,038
02142,婆,0335,1,2,038
02110,娑,0336,1,2,038
02262,子,0337,1,28,039
02349,家,0338,1,2,040
02333,宣,0339,1,4,040
02390,實,0340,1,10,040
02407,寶,0341,1,16,040
02325,定,0342,1,4,040
02309,安,0343,1,3,040
02415,寺,0344,1,2,041
02429,尊,0345,1,12,041
02439,小,0346,1,5,042
02464,就,0347,1,2,043
02473,尼,0348,1,5,044
02528,山,0349,1,3,046
02847,常,0350,1,21,050
02835,師,0351,1,4,050
02800,布,0352,1,4,050
02881,幡,0353,1,5,050
02902,并,0354,1,2,051
02897,干,0355,1,2,051
02944,度,0356,1,16,053
02946,座,0357,1,3,053
02993,廣,0358,1,7,053
03084,彌,0359,1,4,057
03159,復,0360,1,33,060
03145,得,0361,1,29,060
03138,後,0362,1,6,060
03124,彼,0363,1,2,060
03165,微,0364,1,18,060
03172,德,0365,1,18,060
03367,惡,0366,1,5,061
03519,憧,0367,1,2,061
03286,恣,0368,1,2,061
03586,懸,0369,1,2,061
03595,戀,0370,1,3,061
03391,愈,0371,1,2,061
03486,憂,0372,1,3,061
03372,惱,0373,1,6,061
03585,懷,0374,1,5,061
03365,惟,0375,1,4,061
03534,憶,0376,1,2,061
03312,悉,0377,1,7,061
03395,意,0378,1,5,061
03214,念,0379,1,7,061
03329,患,0380,1,2,061
03402,愍,0381,1,2,061
03298,息,0382,1,2,061
03239,思,0383,1,4,061
03297,恭,0384,1,3,061
03267,恆,0385,1,2,061
03184,忍,0386,1,6,061
13845,驕,0387,1,2,187
03450,慕,0388,1,3,061
03462,慧,0389,1,7,061
03550,應,0390,1,7,061
03179,心,0391,1,31,061
03610,成,0392,1,9,062
03611,我,0393,1,44,062
03612,戒,0394,1,4,062
03617,或,0395,1,17,062
03647,所,0396,1,33,063
04192,攝,0397,1,2,064
08993,總,0398,1,2,120
03780,持,0399,1,23,064
04009,摩,0400,1,16,064
03896,提,0401,1,12,064
04261,教,0402,1,12,066
04286,敬,0403,1,4,066
04298,數,0404,1,33,066
04280,散,0405,1,7,066
04263,救,0406,1,4,066
04243,故,0407,1,13,066
04373,斯,0408,1,5,069
04385,方,0409,1,13,070
04389,於,0410,1,47,070
04391,施,0411,1,4,070
04406,旋,0412,1,3,070
06872,無,0413,1,72,086
04485,明,0415,1,4,072
04490,昔,0416,1,2,072
04512,是,0417,1,82,072
04569,智,0419,1,11,072
04523,時,0420,1,19,072
04667,會,0421,1,2,073
04657,書,0422,1,10,073
04661,曾,0423,1,3,073
04660,曼,0424,1,6,073
04679,服,0425,1,12,074
04674,有,0426,1,54,074
05152,業,0428,1,2,075
04713,本,0429,1,3,075
05010,梵,0430,1,5,075
04918,栴,0431,1,5,075
05391,檀,0432,1,7,075
05279,樂,0433,1,10,075
05228,槃,0434,1,3,075
04849,柔,0435,1,4,075
04803,林,0436,1,4,075
05323,樹,0437,1,7,075
04712,末,0438,1,4,075
04711,未,0439,1,6,075
04922,根,0440,1,5,075
04765,東,0441,1,3,075
05558,次,0442,1,2,076
05580,欲,0443,1,8,076
05639,歡,0444,1,5,076
05609,歌,0445,1,3,076
05612,歎,0446,1,5,076
05676,歸,0447,1,3,077
05641,止,0448,1,3,077
05644,此,0449,1,39,077
05686,死,0450,1,4,078
12341,醫,0451,1,3,164
05812,毀,0452,1,2,079
05839,毒,0453,1,6,080
05841,比,0454,1,6,081
05952,水,0455,1,2,085
05964,求,0456,1,6,085
06476,滿,0457,1,3,085
06285,深,0458,1,8,085
06055,治,0459,1,3,085
05983,汝,0460,1,7,085
06074,法,0461,1,28,085
06432,滅,0462,1,21,085
06052,油,0463,1,3,085
06086,波,0464,1,8,085
06487,漏,0465,1,4,085
06272,淨,0466,1,7,085
06031,沙,0467,1,2,085
06290,清,0468,1,6,085
06189,涅,0469,1,3,085
06338,渴,0470,1,3,085
06058,況,0471,1,4,085
06517,漸,0472,1,2,085
06015,沈,0473,1,2,085
06151,流,0474,1,2,085
05986,池,0475,1,2,085
06885,然,0476,1,9,086
06918,照,0477,1,2,086
06978,燒,0478,1,5,086
06971,燈,0479,1,3,086
07012,爐,0480,1,2,086
07032,爲,0481,1,36,087
07035,父,0482,1,10,088
07043,爾,0483,1,8,089
07304,現,0484,1,6,096
07290,珞,0485,1,7,096
07291,珠,0486,1,3,096
07397,瓔,0487,1,7,096
07457,甚,0488,1,2,099
07461,生,0489,1,50,100
07479,由,0490,1,6,102
07483,男,0491,1,13,102
07501,界,0492,1,18,102
07530,異,0493,1,2,102
07559,疑,0494,1,3,103
07668,療,0495,1,2,104
07598,病,0496,1,4,104
07707,發,0497,1,4,105
07710,百,0498,1,16,106
07717,皆,0499,1,21,106
07779,盡,0500,1,9,108
07759,益,0501,1,3,108
07878,瞋,0502,1,3,109
07799,直,0503,1,3,109
07801,相,0504,1,3,109
07844,眾,0505,1,51,109
07941,知,0507,1,12,111
08077,礙,0508,1,2,112
08124,神,0509,1,2,113
08162,禪,0510,1,7,113
08097,示,0511,1,3,113
08148,福,0512,1,5,113
08244,種,0513,1,35,115
08296,空,0514,1,8,116
08354,立,0515,1,4,117
08426,等,0516,1,18,118
08469,算,0517,1,2,118
08412,第,0518,1,2,118
08685,精,0519,1,4,119
08767,索,0520,1,2,120
08924,緣,0521,1,6,120
08879,維,0522,1,2,120
09125,罪,0523,1,2,122
09144,羅,0524,1,29,122
09155,美,0525,1,4,123
09177,義,0526,1,5,123
09255,者,0527,1,31,125
09264,而,0528,1,29,126
09286,耨,0529,1,10,127
09315,聞,0530,1,25,128
09328,聲,0531,1,6,128
09462,脩,0532,1,2,130
09377,肯,0533,1,2,130
09429,能,0534,1,28,130
09602,自,0535,1,15,132
09610,至,0536,1,15,133
09629,與,0537,1,4,134
09638,舍,0538,1,4,135
09714,良,0539,1,5,138
09716,色,0540,1,5,139
09869,莊,0541,1,4,140
09789,苦,0542,1,5,140
10192,藐,0543a,3,8,140
10192b,藐,0543b,3,1,140
10192c,藐,0543c,3,1,140
10040,蓋,0544,1,4,140
10163,薩,0545,1,44,140
09919,菩,0546,1,41,140
10231,蘇,0547,1,2,140
09921,華,0548,1,10,140
09788,若,0549,1,50,140
10204,藥,0550,1,14,140
10139,薄,0551,1,3,140
09972,著,0552,1,3,140
10270,處,0553,1,9,141
10272,虛,0554,1,13,141
10414,蜜,0555,1,8,142
10614,行,0556,1,20,144
10637,衣,0557,1,6,145
01430,喪,0558,1,2,030
10831,見,0559,1,28,147
10859,觀,0560,1,3,147
10875,解,0561,1,9,148
11229,讚,0562,1,5,149
10936,訶,0563,1,15,149
11017,語,0564,1,5,149
11189,譬,0565,1,4,149
11023,誦,0566,1,6,149
11207,讀,0567,1,6,149
10897,訊,0568,1,2,149
10928,設,0569,1,2,149
11095,謂,0570,1,2,149
11025,虔,0571,1,47,149
11085,諸,0572,1,71,149
10890,言,0574,1,18,149
11404,質,0575,1,3,154
11485,趣,0576,1,2,156
11461,起,0577,1,14,156
11495,足,0578,1,6,157
11715,身,0579,1,10,158
11856,轉,0580,1,6,159
11827,輪,0581,1,4,159
11918,辱,0582,1,4,161
11982,退,0583,1,5,162
03157,徧,0584,1,3,060
12082,遭,0585,1,2,162
12027,逸,0586,1,9,162
11948,近,0587,1,2,162
12000,通,0588,1,2,162
12051,道,0589,1,18,162
12004,造,0590,1,3,162
12108,還,0591,1,2,162
12003,速,0592,1,2,162
12115,邊,0593,1,10,162
12046,過,0594,1,5,162
12070,遠,0595,1,12,162
12022,進,0596,1,3,162
12134,那,0597,1,6,163
12371,釋,0598,1,3,165
12376,量,0599,1,30,166
12373,重,0600,1,4,166
12418,鈴,0601,1,2,167
12698,長,0602,1,7,168
12739,閣,0603,1,2,169
12839,限,0604,1,3,170
12830,阿,0605,1,28,170
12855,除,0606,1,4,170
12831,陀,0607,1,8,170
12935,隱,0608,1,2,170
12927,隨,0609,1,7,170
12991,雖,0610,1,4,172
13002,難,0611,1,7,172
13012,雨,0612,1,6,173
13092,靈,0613,1,2,173
13104,非,0614,1,7,175
13281,音,0615,1,3,180
13395,顚,0616,1,3,181
13346,頭,0617,1,2,181
13304,須,0618,1,4,181
13296,頂,0619,1,2,181
13391,願,0620,1,3,181
13307,頌,0621,1,2,181
13503,食,0622,1,2,184
13641,饒,0623,1,3,184
13565,餘,0624,1,6,184
13551,養,0625,1,20,184
13526,飮,0626,1,4,184
13667,香,0627,1,20,186
13940,高,0628,1,7,189
14576,鷲,0629,1,2,196
14775,鼓,0630,1,4,207
00025,世,0631a,2,21,001
00025b,世,0631b,2,8,001
02780,差,0632a,2,1,048
02780b,差,0632b,2,1,048
02782,己,0633a,2,3,049
02782b,己,0633b,2,1,049
02783,已,0634a,2,11,049
02783b,已,0634b,2,1,049
03373,想,0635a,2,4,061
03373b,想,0635b,2,1,061
07535,當,0636a,2,14,102
07535b,當,0636b,2,5,102
08107,祇,0637a,2,6,113
08107b,祇,0637b,2,2,113
08323,窟,0638a,2,1,116
08323b,窟,0638b,2,1,116
08856,經,0639a,2,19,120
08856b,經,0639b,2,4,120
12052,達,0641a,2,1,162
12052b,達,0641b,2,1,162
