カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,
0839,穗,1,19,,,08273,115,
0840,稱,1,8,,,08248,115,
0841,私,1,3,,,08180,115,
0842,稜,1,3,,,08235,115,
0843,秀,1,2,,,08179,115,
0844,窮,1,3,,,08329,116,
0845,竊,1,2,,,08353,116,
0846,空,1,4,,,08296,116,
0847,立,1,12,,,08354,117,
0848,策,1,2,,,08438,118,
0849,笠,1,4,,,08404,118,
0850,箕,1,2,,,08468,118,
0851,籬,1,2,,,08631,118,
0852,答,1,2,,,08437,118,
0853,竹,1,8,,,08382,118,
0854,筑,1,3,,,08434,118,
0855,箇,1,10,,,08461,118,
0856,經,1,8,,,08856,120,
0857,結,1,2,,,08807,120,
0858,紫,1,3,,,08773,120,
0859,素,1,5,,,08765,120,
0860,繩,1,2,,,09028,120,
0861,終,1,3,,,08795,120,
0862,綿,1,2,,,08899,120,
0863,織,1,2,,,09012,120,
0864,絶,1,4,,,08809,120,
0865,緑,1,10,,,08870,120,
0866,罪,1,2,,,09125,122,
0867,置,1,7,,,09128,122,
0868,羽,1,4,,,09195,124,
0869,翁,1,10,,,09201,124,
0870,老,1,11,,,09250,125,
0871-0872,者,1,93,,,09255,125,
0873-0875,而,1,107,,,09264,126,
0876,耐,1,4,,,09267,126,
0877,聞,1,8,,,09315,128,
0878,耳,1,8,,,09290,128,
0879,胸,1,6,,,09425,130,
0880,胤,1,7,,,09413,130,
0881,腰,1,2,,,09508,130,
0882,臨,1,7,,,09601,131,
0883,臣,1,2,,,09596,131,
0884,自,1,36,,,09602,132,
0885,至,1,23,,,09610,133,
0886,致,1,6,,,09611,133,
0887,船,1,2,,,09675,137,
0888,良,1,2,,,09714,138,
0889,芹,1,9,,,09764,140,
0890,蓋,1,3,,,10040,140,
0891,著,1,3,,,09972,140,
0892,苦,1,6,,,09789,140,
0893,葺,1,7,,,09994,140,
0894,草,1,10,,,09846,140,
0895,落,1,3,,,09961,140,
0896,葦,1,19,,,09982,140,
0897,葉,1,2,,,09966,140,
0898,葬,1,3,,,09985,140,
0899,華,1,2,,,09921,140,
0900,虚,1,3,,,10272,141,
0901,處,1,17,,,10270,141,
0902,蠅,1,2,,,10563,142,
0903,行,1,18,,,10614,144,
0904,衢,1,3,,,10636,144,
0905,衰,1,2,,,10649,145,
0906,襃,2,2,1,,10743,145,
0907,被,1,2,,,10683,145,
0908,衾,1,5,,,10658,145,
0909,覆,1,5,,,10826,146,
0910,西,1,2,,,10820,146,
0911-0912,見,1,64,,,10831,147,
0913,視,1,7,,,10837,147,
0914,親,1,2,,,10848,147,
0915,覘,1,2,,,10840,147,
0916,觸,1,2,,,10887,148,
0917,設,1,5,,,10928,149,
0918,計,1,3,,,10896,149,
0919,試,1,3,,,10975,149,
0920,語,1,4,,,11017,149,
0921,請,1,14,,,11049,149,
0922,謂,1,16,,,11095,149,
0923,言,1,26,,,10890,149,
0924,諸,1,7,,,11085,149,
0925,谷,1,2,,,11234,150,
0926,誨,1,2,,,11024,149,
0927,詛,1,2,,,10965,149,
0928,誥,1,3,,,11022,149,
0929,護,1,2,,,11200,149,
0930,誰,1,8,,,11028,149,
0931,誓,1,4,,,11008,149,
0932,誅,1,2,,,10999,149,
0933,誤,1,2,,,11020,149,
0934,譽,1,5,,,11205,149,
0935,諾,1,2,,,11090,149,
0936,誠,1,2,,,11018,149,
0937,訪,1,4,,,10925,149,
0938,許,1,2,,,10930,149,
0939,豆,1,6,,,11250,151,
0940,豈,1,4,,,11253,151,
0941,豐,1,29,,,11261,151,
0942,豫,1,3,,,11283,152,
0943,貌,1,2,,,11311,153,
0944,贈,1,3,,,11429,154,
0945,負,1,2,,,11332,154,
0946,貳,1,2,,,11354,154,
0947,賊,1,2,,,11377,154,
0948,賜,1,6,,,11393,154,
0949,責,1,5,,,11344,154,
0950,貧,1,7,,,11338,154,
0951,貴,1,7,,,11355,154,
0952,赤,1,9,,,11445,155,
0953,走,1,2,,,11454,156,
0954,起,1,13,,,11461,156,
0955,11614,1,2,,,11614,157,
0956,踉,1,2,,,11564,157,
0957,路,1,3,,,11548,157,
0958,躡,1,3,,,11708,157,
0959,身,1,8,,,11715,158,
0960,載,1,2,,,11795,159,
0961,軻,1,2,,,11782,159,
0962,輔,1,5,,,11801,159,
0963,辭,1,3,,,11914,160,
0964,辱,1,6,,,11918,161,
0965,達,1,2,,,12052,162,
0966,迎,2,3,1,,11947,162,
0967,逢,1,2,,,12009,162,
0968,邊,1,10,,,12115,162,
0969,迅,1,2,,,11937,162,
0970,返,1,2,,,11951,162,
0971,通,1,2,,,12000,162,
0972,邏,1,3,,,12120,162,
0973,避,1,6,,,12103,162,
0974,造,1,7,,,12004,162,
0975,逼,1,3,,,12030,162,
0976,途,1,2,,,11995,162,
0977,遠,1,6,,,12070,162,
0978,還,1,28,,,12108,162,
0979,遣,1,13,,,12074,162,
0980,遒,1,4,,,12050,162,
0981,送,1,6,,,11983,162,
0982,連,1,8,,,12010,162,
0983,道,1,5,,,12051,162,
0984,速,1,4,,,12003,162,
0985,進,1,10,,,12022,162,
0986,遂,1,15,,,12037,162,
0987,12223,1,4,,,12223,163,
0988,耶,1,20,,,09292,128,
0989,都,1,3,,,12188,163,
0990,部,1,6,,,12176,163,
0991,酢,1,9,,,12282,164,
0992,配,1,4,,,12263,164,
0993,野,1,8,,,12374,166,
0994,重,1,9,,,12373,166,
0995,鋺,1,4,,,12497,167,
0996,釣,1,4,,,12388,167,
0997,鈴,1,2,,,12418,167,
0998,劍,1,5,,,00843,018,
0999,鋪,1,2,,,12494,167,
1000,鉤,1,47,,,12441,167,
1001,鏡,1,6,,,12613,167,
1002,鈿,1,7,,,12421,167,
1003,長,1,19,,,12698,168,
1004,間,1,9,,,12724,169,
1005,門,1,7,,,12709,169,
1006,闌,1,4,,,12773,169,
1007,開,1,5,,,12716,169,
1008,隔,1,2,,,12898,170,
1009,陸,1,2,,,12870,170,
1010,陪,1,2,,,12859,170,
1011,隨,1,7,,,12927,162,
1012,陵,1,3,,,12867,170,
1013,降,1,30,,,12838,170,
1014,陀,1,3,,,12831,170,
1015,隈,1,2,,,12887,170,
1016,阿,1,10,,,12830,170,
1017,陳,1,2,,,12864,170,
1018,隼,1,2,,,12951,172,
1019,集,1,3,,,12963,172,
1020,離,1,5,,,13001,172,
1021,雉,1,10,,,12965,172,
1022,雨,1,2,,,13012,173,
1023,靈,1,16,,,13092,173,
1024,雲,1,6,,,13020,173,
1025,露,1,4,,,13073,173,
1026,非,1,10,,,13104,175,
1027,響,1,2,,,13293,180,
1028,須,1,7,,,13304,181,
1029,顯,1,6,,,13416,181,
1030,願,1,2,,,13391,181,
1031,顏,1,2,,,13380,181,
1032,頭,1,2,,,13346,181,
1033,頓,1,5,,,13316,181,
1034,顧,1,2,,,13409,181,
1035,順,1,4,,,13302,181,
1036,頗,1,2,,,13325,181,
1037,飄,1,2,,,13479,182,
1038,饒,1,3,,,13641,184,
1039,飯,1,7,,,13527,184,
1040,饌,1,2,,,13636,184,
1041,首,1,3,,,13661,185,
1042,香,1,2,,,13667,186,
1043,駿,1,2,,,13771,187,
1044,馭,1,2,,,13681,187,
1045,13775,1,2,,,13775,187,
1046,馬,1,2,,,13680,187,
1047,驚,1,3,,,13852,187,
1048,骨,1,2,,,13873,188,
1049,高,1,37,,,13940,189,
1050,14356,1,13,,,14257,195,
1051,鯛,1,3,,,14213,195,
1052,鰭,1,3,,,14279,195,
1053,鳥,1,4,,,14361,196,
1054,14537,1,7,,,14537,196,
1055,鳴,1,3,,,14379,196,
1056,鹽,1,5,,,07788,108,
1057,鹿,1,14,,,14621,198,
1058,麗,1,3,,,14645,198,
1059,鼻,1,2,,,14809,209,
1060,齋,1,6,,,14829,210,
1061,齊,1,4,,,14828,210,
1062,亦,2,14,14,,00154,008,
1063,來,2,28,8,,00282,009,
1064,光,2,2,1,,00567,010,
1065-1066,出,2,54,11,,00723,017,
1067,初,2,4,1,,00759,018,
1068,原,2,7,5,,01074,027,
1069,嘯,2,2,1,,01484,030,
1070,喜,2,1,1,,01412,030,
1071,因,2,20,17,,01611,031,
1072,國,2,32,17,,01639,031,
1073,報,3,4,3,1,01796,032,
1074,塗,2,1,1,,01818,032,
1075,子,2,36,4,,02262,039,
1076,定,2,4,2,,02325,040,
1077,將,2,15,7,,02425,041,
1078,就,2,7,1,,02464,043,
1079,幸,2,24,1,,02903,051,
1080,床,2,7,3,,02924,053,
1081,延,2,3,1,,03005,054,
1082,從,2,13,3,,03151,060,
1083,復,2,17,13,,03159,060,
1084,抑,2,2,1,,03704,064,
1085,撥,2,1,1,,04062,064,
1086,數,2,2,2,,04298,066,
1087-1088,於,2,58,11,,04389,070,
1089,横,1,3,,,05381,075,
1090,梔,2,1,1,,04978,075,
1091,歟,2,5,3,,05633,076,
1092-1093,此,1,77,,,05644,077,
1094,歸,2,7,6,,05676,077,
1095,正,2,3,1,,05643,077,
1096,沈,2,2,1,,06015,085,
1097,汚,2,1,1,,05979,085,
1098,照,2,11,1,,06918,086,
1099,焉,2,12,12,,06861,086,
1100,當,1,42,,,07535,102,
1101,登,2,4,2,,07706,105,
1102-1103,皇,2,50,3,,07718,106,
1104,禦,2,2,1,,08159,113,
1105,稻,2,6,1,,08256,115,
1106,等,2,15,1,,08426,118,
1107,籠,2,3,3,,08619,118,
1108,美,2,9,2,,09155,123,
1109,耜,2,4,2,,09278,127,
1110,能,2,16,1,,09429,130,
1111,背,2,3,1,,09394,130,
1112,膂,2,2,1,,09522,130,
1113,膩,2,2,1,,09548,130,
1114,與,2,18,3,,09629,134,
1115,擧,2,5,1,,04117,064,
1116,色,2,2,1,,09716,139,
1117,若,2,16,1,,09788,140,
1118,薦,2,1,1,,10160,140,
1119,萬,2,7,2,,00005,140,
1120,茂,2,4,1,,09807,140,
1121,花,2,4,2,,09758,140,
1122,號,2,19,11,,10276,141,
1123,裏,2,3,2,,10703,145,
1124,襲,2,2,1,,10806,145,
1125,覓,2,4,2,,10834,147,
1126,訖,2,4,2,,10912,149,
1127,足,2,5,1,,11495,157,
1128,遊,2,7,2,,12042,162,
1129,卿,2,4,3,,01052,026,
1130,隱,2,2,1,,12935,170,
1131,雖,2,4,2,,12991,172,
1132,風,2,8,3,,13423,182,
1133,養,2,4,3,,13551,184,
1134,驢,2,1,1,,13864,187,
1135,魚,2,9,4,,14101,195,
1136,14603,2,5,2,,14603,196,
1137,凡,3,4,1,1,00701,016,
1138,爾,3,6,2,1,07043,089,
1139,矣,3,11,10,10,07938,111,
1140-1141,々,〓,79,,,00066,部外,
1142,爲,1,50,,,07032,087,
