統合ID,文字,カード番号,字体数,用例数,部首
06835,烏,0189,0,1,086
06957,熱,0190,0,1,086
06874,焦,0191,0,1,086
06978,燒,0192,0,1,086
06847,烟,0193,0,1,086
06969,燃,0194,0,1,086
03442,態,0195,0,1,061
06997,燼,0196,0,1,086
07047,牆,0197,0,1,090
07065,牙,0198,0,1,092
07106,犢,0199,0,1,093
07244,獵,0200,0,1,094
07256,玄,0201,0,1,095
07345,瑜,0202,0,1,096
07294,珥,0203,0,1,096
00263,佩,0204,0,1,096
07426,瓶,0205,0,1,098
07444,甍,0206,0,1,098
07459,甜,0207,0,1,099
07503,畏,0208,0,1,102
07481,申,0209,0,1,102
07530,異,0210,0,1,102
07507,畔,0211,0,1,102
07557,疏,0212,0,1,103
07707,發,0213,0,1,105
07739,皮,0214,0,1,107
07799,直,0215,0,1,109
07817,看,0216,0,1,109
07867,睨,0217,0,1,109
07843,眼,0218,0,1,109
09133,罷,0219,0,1,122
09144,羅,0220,0,1,122
07944,矩,0221,0,1,111
08016,碎,0222,0,1,112
07986,破,0223,0,1,112
08103,祀,0224,0,1,113
08119,祚,0225,0,1,113
08123,祝,0226,0,1,113
08108,祈,0227,0,1,113
08165,禮,0228,0,1,113
11258,豎,0229,0,1,117
08365,竟,0230,0,1,117
08376,端,0231,0,1,117
08522,篤,0232,0,1,118
08479,箭,0233,0,1,118
08435,筒,0234,0,1,118
08664,粟,0235,0,1,119
08993,總,0236,0,1,120
08779,細,0237,0,1,120
08762,08762,0238,0,1,120
08735,紀,0239,0,1,120
09030,繋,0240,0,1,120
08976,縫,0241,0,1,120
09064,纏,0242,0,1,120
08748,紐,0243,0,1,120
09142,羂,0244,0,1,122
09177,義,0245,0,1,123
09175,羣,0246,0,1,123
09249,耀,0247,0,1,124
09335,聽,0248,0,1,128
09328,聲,0249,0,1,128
09541,膝,0250,0,1,130
09463,脱,0251,0,1,130
09370,肩,0252,0,1,130
09377,肯,0253,0,1,130
09568,臂,0254,0,1,130
09483,腋,0255,0,1,130
09617,臺,0256,1,2,133
09627,09627,0257,0,1,134
09638,舍,0258,0,1,135
09778,苗,0259,0,1,140
10139,薄,0260,0,1,140
10153,薙,0261,0,1,140
09911,菟,0262,0,1,140
09835,茸,0263,0,1,140
10031,蒼,0264,0,1,140
10349,蛇,0265,0,1,142
10618,術,0266,0,1,144
10798,襤,0267,0,1,145
10766,褸,0268,0,1,145
10773,襁,0269,0,1,145
10715,裝,0270,0,1,145
10637,衣,0272,0,1,145
10724,裳,0273,0,1,145
10708,裔,0274,0,1,145
10857,覽,0275,0,1,147
10859,觀,0276,0,1,147
10875,解,0277,0,1,148
11171,識,0278,0,1,149
10974,詣,0279,0,1,149
11109,謎,0280,0,1,149
11092,謀,0281,0,1,149
10902,討,0282,0,1,149
10987,該,0283,0,1,149
10936,訶,0284,0,1,149
11264,11264,0285,0,1,151
11306,11306,0286,0,1,153
11447,赦,0287,0,1,155
11453,赭,0288,0,1,155
11450,11450,0289,0,1,155
11467,超,0290,0,1,156
11618,蹈,0291,0,1,157
07557,疏,0292,0,1,103
11553,跳,0293,0,1,157
11716,躬,0294,0,1,158
11799,輒,0295,0,1,159
11856,轉,0296,0,1,159
11893,辛,0297,0,1,160
11896,辜,0298,0,1,160
12082,遭,0299,0,1,162
02767,巡,0300,0,1,047
11979,追,0301,0,1,162
12093,遷,0302,0,1,162
11976,迹,0303,0,1,162
12025,逶,0304,0,1,162
12077,遨,0305,0,1,162
12046,過,0306,0,1,162
11984,逃,0307,0,1,162
12062,遙,0308,0,1,162
12040,遇,0309,0,1,162
11986,逆,0310,0,1,162
12019,逮,0311,0,1,162
11982,退,0312,0,1,162
12134,那,0313,0,1,163
12262,酌,0314,0,1,164
12302,酸,0315,0,1,164
12342,醤,0316,0,1,164
12360,釀,0317,0,1,164
12327,醜,0318,0,1,194
12372,里,0319,0,1,166
12386,針,0320,0,1,167
12544,鍜,0321,0,1,167
12380,金,0322,0,1,167
12601,鏑,0323,0,1,167
12783,闕,0324,0,1,169
12714,閉,0325,0,1,169
12800,闥,0326,0,1,169
12722,閑,0327,0,1,169
12862,陰,0328,0,1,170
12822,防,0329,0,1,170
12847,陛,0330,0,1,170
12886,隆,0331,0,1,170
12883,隅,0332,0,1,170
12855,除,0333,0,1,170
12961,雄,0334,0,1,172
12971,雌,0335,0,1,172
13002,難,0336,0,1,172
13108,面,0337,0,1,176
13122,靫,0338,0,1,177
13151,鞆,0339,0,1,177
13281,音,0340,0,1,180
13297,頃,0341,0,1,181
13313,預,0342,0,1,181
13327,領,0343,0,1,181
13355,頸,0344,0,1,181
13495,飛,0345,0,1,183
13521,飫,0346,0,1,184
13503,食,0347,0,1,184
13630,饉,0348,0,1,184
13552,餌,0349,0,1,184
13508,飢,0350,0,1,184
13559,餓,0351,0,1,184
13526,飮,0352,0,1,184
13565,餘,0353,0,1,184
13849,驗,0354,0,1,187
13839,驅,0356a,2,1,187
13839b,驅,0356b,2,1,187
13820,騰,0357,0,1,187
14061,鬼,0358,0,1,194
14088,魔,0359,0,1,194
14207,鯔,0360,0,1,195
14576,鷲,0361,0,1,196
14659,14659,0362,0,1,198
14681,麻,0363,0,1,200
14730,黨,0364,0,1,203
14876,龍,0365,0,1,212
14887,龜,0366,0,1,213
00026,丘,0367,1,5,001
00020,且,0368,1,8,001
00007,三,0369,1,15,001
00004,七,0370,1,3,001
00025,世,0371,1,7,001
00008,上,0372,1,26,001
00009,下,0373,1,12,001
00013,不,0374,1,66,001
00001,一,0376,1,64,001
00051,中,0378,1,27,002
00070,主,0379,1,14,003
00078,乃,0380,1,60,004
00088,之,0382,1,310,004
00085,久,0389,1,11,004
00092,乎,0390,1,19,004
00102,乘,0391,1,4,004
00108,乞,0392,1,3,005
00113,乳,0393,1,4,005
00109,也,0394,1,53,005
00128,事,0396,1,19,006
00132,于,0397,1,18,007
00133,云,0398,1,52,007
00136,井,0400,1,9,007
00129,二,0401,1,19,007
00135,五,0402,1,13,007
00150,亡,0403,1,2,008
00175,今,0404,1,26,009
00256,作,0405,1,24,009
00213,伊,0406,1,6,009
00194,以,0407a,1,125,009
00193,令,0410,1,5,009
00192,代,0411,1,7,009
00250,何,0412,1,24,009
00299,供,0413,1,4,009
00209,企,0414,1,5,009
00177,仍,0415,1,4,009
00321,便,0416,1,7,009
00288,侍,0417,1,6,009
00301,依,0418,1,12,009
00240,但,0419,1,3,009
00183,他,0420,1,2,009
00351,俳,0421,1,4,009
00217,伏,0422,1,7,009
00378,倚,0423,1,2,009
00245,住,0424,1,6,009
00369,候,0425,1,2,009
00168,人,0426,1,33,009
00475,傾,0427,1,2,009
00373,倒,0428,1,2,009
00246,佐,0429,1,2,009
00419,00419,0430,1,2,009
00207,00207,0431,1,2,009
00279,使,0432,1,18,009
00199,仰,0433,1,4,009
00542,優,0434,1,3,009
00449,傍,0435,1,2,009
00235,似,0436,1,2,009
00253,余,0437,1,7,009
00566,先,0438,1,17,010
00561,兄,0439,1,51,010
00574,兒,0441,1,59,010
00591,兩,0443,1,3,011
00589,全,0444,1,2,011
00585,内,0445,1,12,013
00582,入,0446,1,24,011
00605,其,0447,1,83,012
00594,八,0449,1,34,012
00599,共,0450,1,6,012
00613,兼,0451,1,4,012
00606,具,0452,1,5,012
00734,分,0453,1,3,018
00818,副,0454,1,3,018
00729,刀,0455,1,4,018
00776,制,0456,1,2,018
00767,利,0457,1,12,018
00794,前,0458,1,11,018
00769,到,0459,1,18,018
00763,別,0460,1,8,018
00789,則,0461,1,65,018
00893,勝,0463,1,17,019
00898,勢,0464,1,3,019
00858,加,0465,1,4,019
00879,勅,0466,1,17,019
