カード番号,文字,部首,字体数,用例数1,用例数2,大字典,
0128,命,030,1,2,,01252,
0129,含,030,1,4,,01197,
0130,喜,030,1,2,,01412,
0131,四,031,1,6,,01607,
0132,因,031,2,14,1,01611,
0133,地,032,1,2,,01666,
0134,堅,032,1,2,,01767,
0135,多,036,1,4,,01938,
0136,夜,036,1,2,,01939,
0137,失,037,1,2,,01957,
0138,如,038,1,16,,02031,
0139,妄,038,1,3,,02033,
0140,子,039,1,2,,02262,
0141,定,040,1,3,,02325,
0142,寶,040,1,2,,02407,
0143,實,040,1,3,,02390,
0144,少,042,1,4,,02440,
0145,尸,044,1,4,,02469,
0146,已,049,1,2,,02783,
0147,布,050,1,5,,02800,
0148,得,060,1,22,,03145,
0149,復,060,1,4,,03159,
0150,往,060,1,2,,03128,
0151,從,060,1,4,,03151,
0152,心,061,1,7,,03179,
0153,忍,061,1,10,,03184,
0154,怠,061,1,2,,03240,
0155,惡,061,1,3,,03367,
0156,念,061,1,3,,03214,
0157,思,061,1,2,,03239,
0158,惟,061,1,2,,03365,
0159,懈,061,1,2,,03549,
0160,慧,061,1,5,,03462,
0161,總,120,1,2,,08993,
0162,想,061,1,2,,03373,
0163,戒,062,1,15,,03612,
0164,我,062,1,12,,03611,
0165,所,063,1,15,,03647,
0166,持,064,1,7,,03780,
0167,提,064,1,22,,03896,
0168,攝,064,1,8,,04192,
0169,摩,064,1,16,,04009,
0170,支,065,1,4,,04216,
0171,故,066,1,16,,04243,
0172,教,066,1,8,,04261,
0173,斯,069,1,2,,04373,
0174,於,070,1,3,,04389,
0175,施,070,1,5,,04391,
0176-0177,是,072,1,60,,04512,
0178,時,072,1,12,,04523,
0179,智,072,1,5,,04569,
0180,有,074,1,9,,04674,
0181,服,074,1,2,,04679,
0182,根,075,1,2,,04922,
0183,果,075,1,8,,04806,
0184,業,075,1,2,,05152,
0185,檀,075,1,15,,05391,
0186,次,076,1,3,,05558,
0187,欲,076,1,2,,05580,
0188,死,078,1,4,,05686,
0189,法,085,1,17,,06074,
0190,波,085,1,36,,06086,
0191,漢,085,1,3,,06499,
0192,漸,085,1,4,,06517,
0193,漏,085,1,3,,06487,
0194,無,086,1,15,,06872,
0195,爲,087,1,2,,07032,
0196,物,093,1,5,,07080,
0197,獄,094,1,2,,07212,
0198,生,100,1,47,,07461,
0199,界,102,1,3,,07501,
0200,當,102,1,12,,07535,
0201,男,102,1,2,,07483,
0202,畜,102,1,2,,07513,
0203,盡,108,1,4,,07779,
0204,益,108,1,5,,07759,
0205,瞋,109,1,4,,07878,
0206,衆,109,1,37,,07844,
0207,破,112,1,3,,07986,
0208,禪,113,1,11,,08162,
0209,種,115,1,2,,08244,
0210,等,118,1,23,,08426,
0211,精,119,1,7,,08685,
0212,給,120,1,3,,08822,
0213,縁,120,1,16,,08924,
0214,罪,122,1,2,,09125,
0215,羅,122,1,47,,09144,
0216,09194,123,1,2,,09194,
0217,者,125,1,3,,09255,
0218,而,126,1,4,,09264,
0219,耨,127,1,4,,09286,
0220,聖,128,1,4,,09308,
0221,能,130,1,2,,09429,
0222,脩,130,1,8,,09462,
0223,脱,130,1,3,,09463,
0224,自,132,1,2,,09602,
0225,至,133,1,14,,09610,
0226,與,134,1,4,,09629,
0227,般,137,1,8,,09665,
0228,色,139,1,3,,09716,
0229,若,140,1,28,,09788,
0230,苦,140,1,4,,09789,
0231,莫,140,1,4,,09886,
0232,菩,140,1,44,,09919,
0233,薩,140,1,40,,10163,
0234,著,140,1,2,,09972,
0235,藐,140,1,3,,10192,
0236,處,141,1,3,,10270,
0237,虚,141,1,3,,10272,
0238,蜜,142,1,36,,10414,
0239,行,144,1,16,,10614,
0240,衣,145,1,3,,10637,
0241,觀,147,1,2,,10859,
0242,見,147,1,6,,10831,
0243,覺,147,1,3,,10856,
0244,解,148,1,2,,10875,
0245,言,149,1,14,,10890,
0246,訶,149,1,16,,10936,
0247,諸,149,1,10,,11085,
0248,讀,149,1,2,,11207,
0249,謂,149,1,2,,11095,
0250,資,154,1,4,,11373,
0251,足,157,1,8,,11495,
0252,身,158,1,4,,11715,
0253,辟,160,1,5,,11898,
0254,辱,161,1,10,,11918,
0255,進,162,1,7,,12022,
0256,道,162,1,15,,12051,
0257,那,163,1,19,,12134,
0258,量,166,1,2,,12376,
0259,長,168,1,2,,12698,
0260,阿,170,1,10,,12830,
0261,陀,170,1,6,,12831,
0262,隨,170,1,2,,12927,
0263,離,172,1,3,,13001,
0264,難,172,1,2,,13002,
0265,食,184,1,3,,13503,
0266,餘,184,1,2,,13565,
0267,餓,184,1,2,,13559,
0268,鬼,194,1,2,,14061,
0269,々,部外,,12,,,
0270,汝,085,1,28,,05983,
0271,06144,085,1,4,,06144,
0272,須,181,1,29,,13304,
0273,飮,184,2,2,1,13526,
