カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0299,又,1,19,,01108,029
0300,及,1,5,,01111,029
0301,取,1,7,,01127,029
0302,句,1,2,,01143,030
0303,只,1,2,,01147,030
0304,可,1,21,,01154,030
0305,合,1,3,,01170,030
0306,同,1,40,,01174,030
0307,名,1,23,,01175,030
0308,向,1,8,,01179,030
0309,含,1,3,,01197,030
0310,告,1,2,,01219,030
0311,周,1,3,,01235,030
0312,品,1,5,,01296,030
0313,唯,1,11,,01349,030
0314,問,1,31,,01369,030
0315,善,1,19,,01395,030
0316,喜,1,2,,01412,030
0317,嚴,1,5,,01581,030
0318,四,1,15,,01607,031
0319,因,1,32,,01611,031
0320,固,1,15,,01627,031
0321,國,1,4,,01639,031
0322,在,1,12,,01659,032
0323,地,1,27,,01666,032
0324,城,1,3,,01740,032
0325,執,1,3,,01755,032
0326,堅,1,3,,01767,032
0327,報,1,7,,01796,032
0328,塵,1,6,,01831,032
0329,境,1,15,,01839,032
0330,外,1,3,,01934,036
0331,多,1,10,,01938,036
0332,夢,1,2,,01943,036
0333-0334,大,1,66,,01946,037
0335,天,1,16,,01947,037
0336,夫,1,27,,01949,037
0337,失,1,3,,01957,037
0338,好,1,2,,02029,038
0339-0341,如,1,121,,02031,038
0342,妙,1,9,,02045,038
0343,始,1,7,,02069,038
0344,子,1,10,,02262,039
0345,存,1,2,,02268,039
0346,學,1,3,,02293,039
0347,宗,1,3,,02322,040
0348,定,1,8,,02325,040
0349,家,1,10,,02349,040
0350,容,1,2,,02352,040
0351,實,1,16,,02390,040
0352,寶,1,3,,02407,040
0353,專,1,4,,02426,041
0354,小,1,4,,02439,042
0355,少,1,5,,02440,042
0356,尚,1,4,,02446,042
0357,就,1,9,,02464,043
0358,尼,1,2,,02473,044
0359,屬,1,6,,02515,044
0360,山,1,2,,02528,046
0361,巧,1,2,,02775,048
0362,差,1,11,,02780,048
0363,己,1,3,,02782,049
0364,已,1,12,,02783,049
0365,師,1,2,,02835,050
0366,常,1,3,,02847,050
0367,平,1,2,,02899,051
0368,幻,1,3,,02907,052
0369,度,1,2,,02944,053
0370,廣,1,21,,02993,053
0371,廻,1,3,,03008,054
0372,弟,1,2,,03052,057
0373,彼,1,9,,03124,060
0374,往,1,7,,03128,060
0375,後,1,7,,03138,060
0376,從,1,28,,03151,060
0377,復,1,2,,03159,060
0378,微,1,2,,03165,060
0379,徳,1,49,,03172,060
0380,徹,1,2,,03173,060
0381-0382,心,1,74,,03179,061
0383,必,1,14,,03180,061
0384,念,1,6,,03214,061
0385,思,1,8,,03239,061
0386,性,1,39,,03244,061
0387,息,1,3,,03298,061
0388,悉,1,7,,03312,061
0389,悟,1,6,,03326,061
0390,悲,1,14,,03335,061
0391,情,1,2,,03348,061
0392,惑,1,2,,03355,061
0393,惠,1,16,,03366,061
0394,惡,1,11,,03367,061
0395,惱,1,6,,03372,061
0396,意,1,9,,03395,061
0397,感,1,2,,03409,061
0398,慈,1,6,,03439,061
0399,慮,1,4,,03466,061
0400,應,1,5,,03550,061
0401-0402,成,1,55,,03610,062
0403,我,2,15,1,03611,062
0404,或,1,4,,03617,062
0405,捨,1,3,,03835,064
0406,授,1,2,,03855,064
0407,攝,1,4,,04192,064
0408,放,1,8,,04233,066
0409-0410,故,1,74,,04243,066
0411,教,1,34,,04261,066
0412,救,1,3,,04263,066
0413,變,1,3,,04319,066
0414,文,1,14,,04321,067
0415,欣,1,2,,05561,076
0416,斷,1,3,,04381,069
0417,方,1,29,,04385,070
0418,施,1,3,,04391,070
0419,明,1,27,,04485,072
0420,易,1,5,,04489,072
0421,昔,1,3,,04490,072
0422,昧,1,3,,04505,072
0423,時,1,22,,04523,072
0424,普,1,6,,04557,072
0425-0426,智,1,93,,04569,072
0427,曰,1,36,,04650,073
0428,曾,1,2,,04661,073
0429,最,1,3,,04664,073
0430,會,1,3,,04667,073
0431-0432,有,1,68,,04674,074
0433,期,1,2,,04699,074
0434,未,1,20,,04711,075
0435,本,1,14,,04713,075
0436-0437,果,1,59,,04806,075
0438,枝,1,3,,04807,075
0439,根,1,14,,04922,075
0440,梵,1,2,,05010,075
0441,業,1,14,,05152,075
0442,極,1,4,,05161,075
0443,槃,1,4,,05228,075
0444,樂,1,11,,05279,075
0445,樹,1,2,,05323,075
0446,機,1,2,,05368,075
0447,權,1,6,,05529,075
0448,次,1,7,,05558,076
0449,止,1,5,,05641,077
0450-0451,此,1,96,,05644,077
0452,歩,1,2,,05645,077
0453,歸,1,5,,05676,077
0454,死,1,5,,05686,078
0455,殊,1,9,,05717,078
0456,求,1,7,,05964,085
0457,決,1,3,,06003,085
0458,沒,1,2,,06023,085
0459,治,1,3,,06055,085
0460,況,1,4,,06058,085
0461-0462,法,1,90,,06074,085
0463,波,1,2,,06086,085
0464,流,1,5,,06151,085
0465,淺,1,2,,06292,085
0466,海,1,6,,06182,085
0467,涅,1,4,,06189,085
0468,深,1,48,,06285,085
0469,滅,1,11,,06432,085
0470,滿,1,8,,06476,085
0471,漏,1,5,,06487,085
0472,漸,1,9,,06517,085
0473,火,1,2,,06776,086
0474,然,1,7,,06885,086
0475,照,1,6,,06918,086
0476,煩,1,6,,06921,086
0477,熏,1,2,,06941,086
0478,熟,1,3,,06949,086
0479-0480,爲,1,68,,07032,087
0481,爾,1,4,,07043,089
0482,物,1,2,,07080,093
0483,猶,1,6,,07203,094
0484,獄,1,2,,07212,094
0485,率,1,3,,07259,095
0486,王,1,13,,07262,096
0487,現,1,9,,07304,096
0488,理,1,28,,07307,096
0489,甚,1,18,,07457,099
0490-0491,生,1,84,,07461,100
0492,用,1,12,,07469,101
0493,畢,1,4,,07520,102
0494,異,1,7,,07530,102
0495,當,1,19,,07535,102
0496,疑,1,2,,07559,103
0497,疾,1,3,,07591,104
0498,登,1,3,,07706,105
0499,發,1,31,,07707,105
0500,百,1,2,,07710,106
0501,皆,1,23,,07717,106
0502,益,1,21,,07759,108
0503,盡,1,8,,07779,108
0504,衆,1,39,,07844,109
0505,知,1,26,,07941,111
0506,直,1,6,,07799,109
0507,相,1,37,,07801,109
0508,眉,1,2,,07813,109
0509,眞,1,7,,07827,109
0510,眷,1,2,,07839,109
0511,示,1,4,,08097,113
0512,神,1,13,,08124,113
0513,福,1,6,,08148,113
0514,移,1,2,,08212,115
0515,種,1,29,,08244,115
0516,積,1,2,,08269,115
0517,穢,1,3,,08279,115
0518,空,1,11,,08296,116
0519,立,1,8,,08354,117
0520,竟,1,11,,08365,117
0521,第,1,39,,08412,118
0522,等,1,22,,08426,118
0523,答,1,30,,08437,118
0524,精,1,6,,08685,119
0525,紛,1,4,,08760,120
0526,終,1,13,,08795,120
0527,經,1,17,,08856,120
0528,絶,1,5,,08809,120
0529,縁,1,26,,08924,120
0530,總,1,9,,08993,120
0531,羅,1,2,,09144,122
0532,義,1,25,,09177,123
0533,習,1,6,,09214,124
0534-0535,者,1,56,,09255,125
0536,而,1,6,,09264,126
0537,耶,1,25,,09292,128
0538,聖,1,11,,09308,128
0539,聞,1,21,,09315,128
0540,能,1,5,,09429,130
0541,脩,1,37,,09462,130
0542,脱,1,2,,09463,130
0543,自,1,30,,09602,132
0544,至,1,12,,09610,133
0545,致,1,3,,09611,133
0546,與,1,13,,09629,134
0547,興,1,2,,09630,134
0548,擧,1,3,,09632,134
0549,色,1,6,,09716,139
0550,若,1,26,,09788,140
0551,苦,1,9,,09789,140
0552,莊,1,2,,09869,140
0553,菩,1,23,,09919,140
0554,華,1,9,,09921,140
0555,萬,1,4,,09954,140
0556,蒙,1,3,,10008,140
0557,蓮,1,2,,10050,140
0558,藏,1,4,,10191,140
0559,薩,1,14,,10163,140
0560,處,1,3,,10270,141
0561,虚,1,6,,10272,141
0562-0563,行,1,75,,10614,144
0564,表,1,3,,10643,145
0565,要,1,3,,10822,146
0566,覆,1,2,,10826,146
0567,見,1,45,,10831,147
0568,親,1,2,,10848,147
0569,覺,1,11,,10856,147
0570,觀,1,5,,10859,147
0571,解,1,16,,10875,148
0572,觸,1,5,,10887,148
0573,言,1,9,,10890,149
0574,計,1,3,,10896,149
0575,設,1,16,,10928,149
0576,説,1,30,,11025,149
0577,談,1,2,,11046,149
0578,論,1,16,,11058,149
0579,諦,1,2,,11072,149
0580-0581,諸,1,51,,11085,149
0582,謂,1,7,,11095,149
0583,證,1,14,,11155,149
0584,識,1,6,,11171,149
0585,護,1,4,,11200,149
0586,豈,1,4,,11253,151
0587,財,1,3,,11334,154
0589,賢,1,7,,11397,154
0590,起,1,32,,11461,156
0591,趣,1,3,,11485,156
0592,迹,1,2,,11976,162
0593,身,1,30,,11715,158
0594,軌,1,2,,11744,159
0595,輪,1,8,,11827,159
0596,轉,1,4,,11856,159
0597,近,1,3,,11948,162
0598,迷,1,5,,11974,162
0599,退,1,11,,11982,162
0600,途,1,2,,11995,162
0601,通,1,16,,12000,162
0602,速,1,3,,12003,162
0603,造,1,2,,12004,162
0604,進,1,9,,12022,162
0605,逸,1,2,,12027,162
0606,遇,1,2,,12040,162
0607,03157,1,6,,03157,060
0608,道,1,12,,12051,162
0609,遠,1,3,,12070,162
0610,遺,1,3,,12097,162
0611,還,1,5,,12108,162
0612,邊,1,3,,12115,162
0613,邪,1,3,,12139,163
0614,都,1,2,,12188,163
0615,釋,1,7,,12371,165
0616,重,1,8,,12373,166
0617,量,1,5,,12376,166
0618,金,1,6,,12380,167
0619,鈍,1,3,,12406,167
0620,銷,1,3,,12473,167
0621,長,1,3,,12698,168
0622,門,1,13,,12709,169
0623,開,1,2,,12716,169
0624,間,1,4,,12724,169
0625,闕,1,3,,12783,169
0626,限,1,2,,12839,170
0627,除,1,2,,12855,170
0628,障,1,3,,12914,170
0629,隨,1,7,,12927,170
0630,離,1,8,,13001,172
0631,難,1,15,,13002,172
0632,非,1,6,,13104,175
0633,音,1,2,,13281,180
0634,順,1,7,,13302,181
0635,須,1,6,,13304,181
0636,頓,1,4,,13316,181
0637,類,1,7,,13398,181
0638,願,1,8,,13391,181
0639,顯,1,4,,13416,181
0640,養,1,4,,13551,184
0641,餘,1,8,,13565,184
0642,首,1,2,,13661,185
0643,馮,1,4,,13682,187
0644,體,1,17,,13934,188
0645,鼓,1,3,,14775,207
0646,齊,1,8,,14828,210
0647,龍,1,2,,14876,212
0648,今,2,3,2,00175,009
0649,劫,2,2,1,00865,019
0650,圓,2,2,1,01645,031
0651-0652,得,2,64,4,03145,060
0653,所,2,37,9,03647,063
0654,提,2,5,4,03896,064
0655,於,2,28,4,04389,070
0656-0657,是,2,53,17,04512,072
0658,正,2,31,3,05643,077
0659,淨,2,4,3,06272,085
0660-0661,無,2,96,1,06872,086
0662,界,2,19,2,07501,102
0663,究,2,4,2,08293,116
0664,聲,2,2,1,09328,128
0665,足,2,7,1,11495,157
0666,雖,2,17,10,12991,172
0667,々,〓,17,0,00066,部外
