カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,,
0396,勿,1,2,,,00919,020,,
0397,千,1,4,,,00987,024,,
0398,十,1,18,,,00985,024,,
0399,即,1,6,,,01049,026,,
0400,厄,1,5,,,01058,027,,
0401,及,1,17,,,01111,029,,
0402,友,1,2,,,01112,029,,
0403,受,1,30,,,01128,029,,
0404,叉,1,8,,,01109,029,,
0405,又,1,2,,,01108,029,,
0406,01594,1,2,,,01594,030,,
0407,01254,1,2,,,01254,030,,
0408,右,1,3,,,01158,030,,
0409,可,1,9,,,01154,030,,
0410,各,1,4,,,01168,030,,
0411,名,1,41,,,01175,030,,
0412,嚴,1,5,,,01581,030,,
0413,命,1,16,,,01252,030,,
0414,善,1,30,,,01395,030,,
0415,喜,1,6,,,01412,030,,
0416,告,1,6,,,01219,030,,
0417,唯,1,3,,,01349,030,,
0418,呪,1,8,,,01236,030,,
0419,同,1,2,,,01174,030,,
0420,問,1,5,,,01369,030,,
0421,君,1,2,,,01185,030,,
0422,哉,1,2,,,01305,030,,
0423,呼,1,2,,,01251,030,,
0424,困,1,2,,,01623,031,,
0425,因,1,3,,,01611,031,,
0426,四,1,12,,,01607,031,,
0427,國,2,6,1,,01639,031,,
0428,地,1,7,,,01666,032,,
0429,塗,1,3,,,01818,032,,
0430,城,1,2,,,01740,032,,
0431,壞,1,3,,,01895,032,,
0432,増,1,6,,,01853,032,,
0433,在,1,7,,,01659,032,,
0434,土,1,2,,,01654,032,,
0435,士,1,3,,,01903,033,,
0436,壽,1,6,,,01913,033,,
0437,夢,1,4,,,01943,036,,
0438,多,1,8,,,01938,036,,
0439,夜,1,4,,,01939,036,,
0440,外,1,2,,,01934,036,,
0441,天,1,7,,,01947,037,,
0442,契,2,1,1,,01984,037,,
0443,奪,1,4,,,02013,037,,
0444,大,1,47,,,01946,037,,
0445,奉,1,2,,,01974,037,,
0446,女,1,20,,,02022,038,,
0447,奴,1,2,,,02024,038,,
0448,嫌,1,2,,,02203,038,,
0449,威,1,6,,,02105,038,,
0450,婢,1,2,,,02151,038,,
0451,婆,1,3,,,02142,038,,
0452,妙,2,4,1,,02045,038,,
0453,好,1,3,,,02029,038,,
0454-0455,如,1,64,,,02031,038,,
0456,學,1,3,,,02293,039,,
0457,子,1,17,,,02262,039,,
0458,害,1,4,,,02346,040,,
0459,定,1,3,,,02325,040,,
0460,安,1,17,,,02309,040,,
0461,室,1,17,,,02332,040,,
0462,寶,1,10,,,02407,040,,
0463,守,1,2,,,02308,040,,
0464,宮,1,3,,,02342,040,,
0465,宿,1,2,,,02355,040,,
0466,家,2,4,1,,02349,040,,
0467,富,1,2,,,02366,040,,
0468,官,1,3,,,02323,040,,
0469,實,1,2,,,02390,040,,
0470,將,1,17,,,02425,041,,
0471,專,1,3,,,02426,041,,
0472,尊,1,34,,,02429,041,,
0473,少,1,3,,,02440,042,,
0474,尚,1,2,,,02446,042,,
0475,屬,1,7,,,02515,044,,
0476,尸,1,3,,,02469,044,,
0477,展,1,2,,,02496,044,,
0478,尼,1,3,,,02473,044,,
0479,居,1,3,,,02482,044,,
0480,屍,1,2,,,02489,044,,
0481,山,1,3,,,02528,046,,
0483,巧,1,2,,,02775,048,,
0484,已,1,12,,,02783,049,,
0485,師,1,34,,,02835,050,,
0486,布,1,2,,,02800,050,,
0487,幡,1,8,,,02881,050,,
0488,帝,1,8,,,02820,050,,
0489,常,1,5,,,02847,050,,
0490,年,1,3,,,02900,051,,
0491,底,1,2,,,02932,053,,
0492,度,1,4,,,02944,053,,
0493,廣,1,2,,,02993,053,,
0494,座,1,3,,,02946,053,,
0495,延,1,2,,,03005,054,,
0496,引,1,2,,,03044,057,,
0497,形,1,8,,,03101,059,,
0498,弟,1,2,,,03052,057,,
0499,復,1,29,,,03159,060,,
0500-0501,得,1,56,,,03145,060,,
0502,彼,1,49,,,03124,060,,
0503,後,1,4,,,03138,060,,
0504,徳,1,16,,,03172,060,,
0505,從,1,6,,,03151,060,,
0506,恆,1,3,,,03267,061,,
0507,恭,1,10,,,03297,061,,
0508,慈,1,3,,,03439,061,,
0509,惱,1,10,,,03372,061,,
0510,惡,1,34,,,03367,061,,
0511,悉,1,11,,,03312,061,,
0512,情,1,30,,,03348,061,,
0513,念,1,14,,,03214,061,,
0514,應,1,19,,,03550,061,,
0515,意,1,6,,,03395,061,,
0516,憶,1,5,,,03534,061,,
0517,悲,1,4,,,03335,061,,
0518,憂,1,2,,,03486,061,,
0519,懸,1,2,,,03586,061,,
0520,惟,1,2,,,03365,061,,
0521,怖,1,4,,,03233,061,,
0522,怪,1,3,,,03248,061,,
0523,患,1,3,,,03329,061,,
0524,思,1,2,,,03239,061,,
0525,惑,1,3,,,03355,061,,
0526,愚,1,4,,,03404,061,,
0527,慧,1,3,,,03462,061,,
0528,惜,1,2,,,03364,061,,
0529,慳,1,2,,,03471,061,,
0530,慢,1,3,,,03458,061,,
0531,心,1,25,,,03179,061,,
0532,戒,1,12,,,03612,062,,
0533,或,1,27,,,03617,062,,
0534,我,1,30,,,03611,062,,
0535,戮,1,2,,,03632,062,,
0536,成,1,3,,,03610,062,,
0537,所,1,47,,,03647,063,,
0538,03927,1,2,,,03927,064,,
0539,授,1,2,,,03855,064,,
0540,手,1,2,,,03659,064,,
0541,撻,1,2,,,04075,064,,
0542,摩,1,5,,,04009,064,,
0543,持,1,21,,,03780,064,,
0544,提,1,16,,,03896,064,,
0545,捨,1,5,,,03835,064,,
0546,攝,1,2,,,04192,064,,
0547,故,1,13,,,04243,066,,
0548,敷,1,2,,,04296,066,,
0549,敬,1,11,,,04286,066,,
0550,教,1,2,,,04261,066,,
0551,散,1,2,,,04280,066,,
0552,放,1,5,,,04233,066,,
0553,救,2,5,2,,04263,066,,
0554,斷,1,3,,,04381,069,,
0556,方,1,6,,,04385,070,,
0557,施,2,5,2,,04391,070,,
0558,昔,1,2,,,04490,072,,
0559,暫,1,3,,,04603,072,,
0560,智,1,4,,,04569,072,,
0561,日,1,10,,,04446,072,,
0562,時,1,42,,,04523,072,,
0563,明,1,9,,,04485,072,,
0564,是,1,31,,,04512,072,,
0565,曾,1,2,,,04661,073,,
0566,更,1,4,,,04654,073,,
0567,曰,1,5,,,04650,073,,
0568,書,1,6,,,04657,073,,
0569,曼,1,17,,,04660,073,,
0570-0571,有,1,84,,,04674,074,,
0572,月,1,4,,,04673,074,,
0573,服,1,3,,,04679,074,,
0574,業,1,7,,,05152,075,,
0575,果,1,3,,,04806,075,,
0576,未,1,3,,,04711,075,,
0577,本,2,8,1,,04713,075,,
0578,歡,1,3,,,05639,076,,
0579,横,1,18,,,05381,075,,
0580,梵,1,2,,,05010,075,,
0581,樂,1,19,,,05279,075,,
0582,極,1,6,,,05161,075,,
0583,根,1,9,,,04922,075,,
0584,林,1,3,,,04803,075,,
0585,欲,1,5,,,05580,076,,
0586,次,1,13,,,05558,076,,
0587,正,1,15,,,05643,077,,
0588,殊,1,18,,,05717,078,,
0589,死,1,10,,,05686,078,,
0590,殺,1,6,,,05796,079,,
0591,毀,1,7,,,05812,079,,
0592,母,1,2,,,05834,080,,
0593,毒,1,4,,,05839,080,,
0594,05845,1,2,,,05845,081,,
0595,氣,1,3,,,05947,084,,
0596,求,1,13,,,05964,085,,
0597,渇,1,3,,,06338,085,,
0598,沒,1,4,,,06023,085,,
0599,深,1,6,,,06285,085,,
0600,流,1,4,,,06151,085,,
0601,清,1,7,,,06290,085,,
0602,波,1,3,,,06086,085,,
0603,汝,1,5,,,05983,085,,
0604,消,1,3,,,06192,085,,
0605,水,1,3,,,05952,085,,
0606,漸,1,3,,,06517,085,,
0607,演,1,3,,,06490,085,,
0608,澡,1,3,,,06587,085,,
0609,漱,1,2,,,06511,085,,
0610,滅,1,2,,,06432,085,,
0611,法,1,24,,,06074,085,,
0612,灌,1,3,,,06748,085,,
0613,洛,1,3,,,06123,085,,
0614-0615,無,1,55,,,06872,086,,
0616,照,2,1,1,,06918,086,,
0617,爲,1,29,,,07032,087,,
0618,然,1,11,,,06885,086,,
0619,災,1,2,,,06792,086,,
0620,熱,1,2,,,06957,086,,
0621,火,1,2,,,06776,086,,
0622,燒,1,4,,,06978,086,,
0623,燈,1,8,,,06971,086,,
0624,父,1,2,,,07035,088,,
0625,爾,1,14,,,07043,089,,
0626,物,1,2,,,07080,093,,
0627,獄,1,3,,,07212,094,,
0628,獲,1,2,,,07241,094,,
0629,獨,1,2,,,07230,094,,
0630,犯,1,3,,,07112,094,,
0631,王,1,16,,,07262,096,,
0632,現,1,3,,,07304,096,,
0633,璃,2,29,4,,07366,096,,
0634,07323,1,5,,,07323,096,,
0635,生,1,39,,,07461,100,,
0636,用,1,3,,,07469,101,,
0637,男,1,14,,,07483,102,,
0638,畏,1,2,,,07503,102,,
0639,界,1,9,,,07501,102,,
0640,由,1,7,,,07479,102,,
0641,當,1,15,,,07535,102,,
0642,病,1,22,,,07598,104,,
0643,疾,1,4,,,07591,104,,
0644,癡,1,2,,,07685,104,,
0645,痩,1,2,,,07654,104,,
0646,發,1,2,,,07707,105,,
0647,白,1,6,,,07709,106,,
0648,百,1,9,,,07710,106,,
0649,皆,1,30,,,07717,106,,
0650,盡,1,11,,,07779,108,,
0651,益,1,9,,,07759,108,,
0652,蠱,1,2,,,10593,142,,
0653,相,1,11,,,07801,109,,
0654,衆,1,29,,,07844,109,,
0655,眷,2,2,2,,07839,109,,
0656,知,1,6,,,07941,111,,
0657,破,1,5,,,07986,112,,
0658,禮,1,2,,,08165,113,,
0659,示,1,3,,,08097,113,,
0660,社,1,2,,,08101,113,,
0661,神,1,12,,,08124,113,,
0662,福,1,8,,,08148,113,,
0663,禍,1,2,,,08146,113,,
0664,稱,1,2,,,08248,115,,
0665,種,1,27,,,08244,115,,
0666,窮,1,4,,,08329,116,,
0667,空,1,2,,,08296,116,,
0668,端,1,3,,,08376,117,,
0669,立,1,5,,,08354,117,,
0670,童,1,2,,,08371,117,,
0671,等,1,29,,,08426,118,,
0672,第,1,7,,,08412,118,,
0673,精,1,4,,,08685,119,,
0674,續,1,4,,,09061,120,,
0675,終,1,6,,,08795,120,,
0676,綵,1,3,,,08889,120,,
0677,縛,1,3,,,08963,120,,
0678,網,1,2,,,08885,120,,
0679,繋,1,3,,,09030,120,,
0680,結,1,3,,,08807,120,,
0681,置,1,2,,,09128,122,,
0682,羅,1,20,,,09144,122,,
0683,罪,1,3,,,09125,122,,
0684,羂,1,2,,,09142,122,,
0685,義,1,5,,,09177,123,,
0686,者,1,35,,,09255,125,,
0687,而,1,23,,,09264,126,,
0688,耳,1,2,,,09290,128,,
0689,聚,1,2,,,09314,128,,
0690,聲,1,5,,,09328,128,,
0691,聽,1,2,,,09335,128,,
0692,聰,1,3,,,09326,128,,
0693,聞,1,32,,,09315,128,,
0694,脱,1,16,,,09463,130,,
0695,能,1,20,,,09429,130,,
0696,脩,2,8,1,,09462,130,,
0697,臣,1,3,,,09596,131,,
0698,自,1,18,,,09602,132,,
0699,至,1,19,,,09610,133,,
0700,與,1,5,,,09629,134,,
0701,色,1,9,,,09716,139,,
0702,蒙,1,2,,,10008,140,,
0703,薄,1,3,,,10139,140,,
0704,著,1,2,,,09972,140,,
0705,09804,1,5,,,09804,140,,
0706,莫,2,1,1,,09886,140,,
0707,華,1,5,,,09921,140,,
0708,莊,1,4,,,09869,140,,
0709,芻,1,5,,,09765,140,,
0710,薩,2,29,1,,10163,140,,
0711,藥,1,46,,,10204,140,,
0712,菩,1,43,,,09919,140,,
0713,花,1,3,,,09758,140,,
0714-0715,若,1,54,,,09788,140,,
0716,苦,1,24,,,09789,140,,
0717,虎,1,2,,,10264,141,,
0718,血,1,2,,,10605,143,,
0719,行,1,24,,,10614,144,,
0720,衣,1,3,,,10637,145,,
0721,被,1,3,,,10683,145,,
0722,西,1,2,,,10820,146,,
0723,見,1,16,,,10831,147,,
0724,親,1,3,,,10848,147,,
0725,覺,1,6,,,10856,147,,
0726,觀,1,2,,,10859,147,,
0727,解,2,9,6,,10875,148,,
0728,設,1,6,,,10928,149,,
0729,謂,1,2,,,11095,149,,
0730-0731,諸,1,61,,,11085,149,,
0732,語,1,3,,,11017,149,,
0733,誓,1,2,,,11008,149,,
0734,讀,1,5,,,11207,149,,
0735,誦,1,6,,,11023,149,,
0736,護,1,4,,,11200,149,,
0737,請,1,2,,,11049,149,,
0738,詛,1,2,,,10965,149,,
0739,證,1,4,,,11155,149,,
0740,訶,1,4,,,10936,149,,
0741,謗,1,3,,,11116,149,,
0742,言,1,14,,,10890,149,,
0743,識,1,6,,,11171,149,,
0744,讚,1,5,,,11229,149,,
0745,財,1,4,,,11334,154,,
0746,資,1,5,,,11373,154,,
0747,負,1,2,,,11332,154,,
0748,貧,1,2,,,11338,154,,
0749,起,1,7,,,11461,156,,
0750,路,1,3,,,11548,157,,
0751,足,1,8,,,11495,157,,
0752,身,1,17,,,11715,158,,
0753,輕,1,2,,,11802,159,,
0754,輪,1,3,,,11827,159,,
0755,軌,1,2,,,11744,159,,
0756,迷,1,2,,,11974,162,,
0757,達,1,3,,,12052,162,,
0758,過,1,2,,,12046,162,,
0759,逆,1,2,,,11986,162,,
0760,逼,1,5,,,12030,162,,
0761,邊,1,2,,,12115,162,,
0762,迦,1,2,,,11960,162,,
0763,還,1,7,,,12108,162,,
0764,造,1,10,,,12004,162,,
0765,03157,1,4,,,12045,060,,
0766,遇,1,3,,,12040,162,,
0767,逝,1,2,,,12001,162,,
0768,速,1,3,,,12003,162,,
0769,道,1,11,,,12051,162,,
0770,遂,1,2,,,12037,162,,
0771,遶,1,2,,,12092,162,,
0772,辱,1,2,,,11918,161,,
