カード番号,JIS,字体数,用例数,用例数2,大字典番号,部首番号
0220,妙,1,34,,02045,38
0221,威,1,18,,02105,38
0222,子,1,17,,02262,39
0223,孔,1,8,,02264,39
0224,安,1,14,,02309,40
0225,定,1,2,,02325,40
0226,宣,1,3,,02333,40
0227,密,1,2,,02361,40
0228,察,1,17,,02383,40
0229,實,1,4,,02390,40
0230,寶,1,38,,02407,40
0231,尊,1,7,,02429,41
0232,導,1,6,,02436,41
0233,山,1,10,,02528,46
0234,差,1,8,,02780,48
0235,已,1,21,,02783,49
0236,帝,1,3,,02820,50
0237,師,1,14,,02835,50
0238,常,1,5,,02847,50
0239,幢,1,2,,02882,50
0240,平,1,5,,02899,51
0241,度,1,5,,02944,53
0242,座,1,17,,02946,53
0243,建,1,3,,03006,54
0244,彌,1,12,,03084,57
0245,形,1,5,,03101,59
0246,彼,1,22,,03124,60
0247,往,1,10,,03128,60
0248,得,1,12,,03145,60
0249,従,1,3,,03151,60
0250,〓,1,44,,03157,60
0251,復,1,68,,03159,60
0252,徳,1,13,,03172,60
0253,心,1,12,,03179,61
0254,念,1,37,,03214,61
0255,思,1,11,,03239,61
0256,性,1,7,,03244,61
0257,恆,1,4,,03267,61
0258,悉,1,48,,03312,61
0259,悟,1,14,,03326,61
0260,意,1,5,,03395,61
0261,愍,1,2,,03402,61
0262,慧,1,19,,03462,61
0263,應,1,10,,03550,61
0264,成,1,10,,03610,62
0265,我,1,2,,03611,62
0266,或,1,5,,03617,62
0267,所,1,64,,03647,63
0268,承,1,11,,03690,64
0269,持,1,4,,03780,64
0270,揚,1,3,,03904,64
0271,摩,1,43,,04009,64
0272,攝,1,4,,04192,64
0273,放,1,5,,04233,66
0274,故,1,4,,04243,66
0275,教,1,2,,04261,66
0276,散,1,13,,04280,66
0277,數,1,51,,04298,66
0278,變,1,12,,04319,66
0279,斯,1,2,,04373,69
0280,方,1,67,,04385,70
0281,日,1,2,,04446,72
0282,昔,1,2,,04490,72
0283,昧,1,6,,04505,72
0284,是,1,57,,04512,72
0285,時,1,21,,04523,72
0286,普,1,78,,04557,72
0287,智,1,33,,04569,72
0288,曜,1,7,,04636,72
0289,曰,1,6,,04650,73
0290,會,1,18,,04667,73
0291,有,1,62,,04674,74
0292,未,1,3,,04711,75
0293,東,1,2,,04765,75
0294,樹,1,9,,05323,75
0295,檀,1,3,,05391,75
0296,次,1,6,,05558,76
0297,欲,1,3,,05580,76
0298,此,1,25,,05644,77
0299,歿,1,2,,05692,78
0300,殊,1,2,,05717,78
0301,毘,1,6,,05845,81
0302,毛,1,12,,05850,82
0303,永,1,3,,05957,85
0304,汝,1,3,,05983,85
0305,治,1,3,,06055,85
0306,法,1,119,,06074,85
0307,波,1,4,,06086,85
0308,浮,1,2,,06175,85
0309,海,1,112,,06182,85
0310,深,1,11,,06285,85
0311,清,1,12,,06290,85
0312,測,1,2,,06335,85
0313,滅,1,17,,06432,85
0314,滿,1,30,,06476,85
0315,演,1,23,,06490,85
0316,無,1,107,,06872,86
0317,焔,1,22,,06882,86
0318,然,1,6,,06885,86
0319,照,1,16,,06918,86
0320,燈,1,5,,06971,86
0321,燒,1,2,,06978,86
0322,爲,1,27,,07032,87
0323,爾,1,17,,07043,89
0324,獲,1,4,,07241,94
0325,王,1,23,,07262,96
0326,珠,1,2,,07291,96
0327,現,1,130,,07304,96
0328,理,1,2,,07307,96
0329,甚,1,3,,07457,99
0330,生,1,72,,07461,100
0331,界,1,99,,07501,102
0332,畏,1,2,,07503,102
0333,當,1,2,,07535,102
0334,疑,1,3,,07559,103
0335,發,1,5,,07707,105
0336,皆,1,25,,07717,106
0337,益,1,2,,07759,108
0338,盡,1,14,,07779,108
0339,盧,1,6,,07785,108
0340,相,1,19,,07801,109
0341,眞,1,7,,07827,109
0342,眼,1,6,,07843,109
0343,衆,1,115,,07844,109
0344,瞻,1,2,,07907,109
0345,知,1,14,,07941,111
0346,礙,1,11,,08077,112
0347,示,1,19,,08097,113
0348,神,1,43,,08124,113
0349,禮,1,9,,08165,113
0350,種,1,100,,08244,115
0351,稱,1,5,,08248,115
0352,空,1,19,,08296,116
0353,立,1,5,,08354,117
0354,等,1,23,,08426,118
0355,精,1,2,,08685,119
0356,結,1,6,,08807,120
0357,經,1,3,,08856,120
0358,網,1,6,,08885,120
0359,羅,1,4,,09144,122
0360,羣,1,3,,09175,123
0361,者,1,12,,09255,125
0362,而,1,44,,09264,126
0363,耳,1,2,,09290,128
0364,聞,1,8,,09315,128
0365,聲,1,14,,09328,128
0366,聴,1,2,,09335,128
0367,能,1,48,,09429,130
0368,脩,1,16,,09462,130
0369,脱,1,7,,09463,130
0370,自,1,7,,09602,132
0371,至,1,3,,09610,133
0372,興,1,2,,09630,134
0373,舌,1,2,,09636,135
0374,色,1,16,,09716,139
0375,若,1,4,,09788,140
0376,苦,1,3,,09789,140
0377,莊,1,30,,09869,140
0378,莫,1,2,,09886,140
0379,菩,1,89,,09919,140
0380,華,1,31,,09921,140
0381,蓋,1,13,,10040,140
0382,薩,1,97,,10163,140
0383,藏,1,23,,10191,140
0384,處,1,19,,10270,141
0385,虚,1,18,,10272,141
0386,號,1,11,,10276,141
0387,蜜,1,4,,10414,142
0388,行,1,33,,10614,144
0389,西,1,3,,10820,146
0390,覆,1,2,,10826,146
0391,見,1,36,,10831,147
0392,親,1,2,,10848,147
0393,覺,1,9,,10856,147
0394,解,1,11,,10875,148
0395,言,1,10,,10890,73
0396,訶,1,17,,10936,149
0397,詞,1,2,,10967,149
0398,詣,1,10,,10974,149
0399,説,1,39,,11025,149
0400,調,1,5,,11038,149
0401,諸,1,138,,11085,149
0402,謂,1,3,,11095,149
0403,證,1,5,,11155,149
0404,議,1,8,,11195,149
0405,讚,1,2,,11229,149
0406,賢,1,11,,11397,154
0407,起,1,3,,11461,156
0408,趣,1,5,,11485,156
0409,足,1,6,,11495,157
0410,趺,1,6,,11502,157
0411,身,1,50,,11715,158
0412,輪,1,12,,11827,159
0413,轉,1,12,,11856,159
0414,近,1,2,,11948,162
0415,通,1,18,,12000,162
0416,速,1,3,,12003,162
0417,進,1,2,,12022,162
0418,道,1,19,,12051,162
0419,達,1,4,,12052,162
0420,遠,1,2,,12070,162
0421,遶,1,6,,12092,162
0422,邊,1,22,,12115,162
0423,那,1,8,,12134,163
0424,量,1,23,,12376,166
0425,金,1,5,,12380,167
0426,門,1,19,,12709,169
0427,開,1,20,,12716,169
0428,間,1,7,,12724,169
0429,閻,1,2,,12757,169
0430,除,1,2,,12855,170
0431,際,1,2,,12913,170
0432,隨,1,23,,12927,170
0433,集,1,5,,12963,172
0434,離,1,4,,13001,172
0435,難,1,3,,13002,172
0436,雨,1,13,,13012,173
0437,雲,1,88,,13020,173
0438,雷,1,2,,13023,173
0439,震,1,4,,13036,173
0440,青,1,3,,13095,174
0441,靡,1,3,,13107,175
0442,面,1,2,,13108,176
0443,音,1,40,,13281,180
0444,須,1,12,,13304,181
0445,頌,1,13,,13307,181
0446,願,1,26,,13391,181
0447,顯,1,6,,13416,181
0448,養,1,14,,13551,184
0449,餘,1,3,,13565,184
0450,香,1,12,,13667,186
0451,體,1,6,,13934,188
0452,鬚,1,2,,14002,190
0453,鼻,1,2,,14809,209
0454,世,2,49,28,00025,1
0455,寂,2,2,1,02357,40
0456,尼,2,25,1,02473,44
0457,廣,2,15,1,02993,53
0458,影,2,6,1,03116,59
0459,微,2,46,13,03165,60
0460,提,2,8,1,03896,64
0461,於,2,69,4,04389,70
0462,明,2,67,1,04485,72
0463,樂,2,7,2,05279,75
0464,歡,2,3,1,05639,76
0465,正,2,6,2,05643,77
0466,淨,2,11,8,06272,85
0467,福,2,1,1,08148,113
0468,臺,2,1,1,09617,133
0469,與,2,6,2,09629,134
0470,蓮,2,11,3,10050,140
0471,觀,2,16,7,10859,147
0472,遮,2,4,2,12083,162
