大字典番号,JIS,カード番号,字体数,用例数,部首番号
09869,莊,0377,1,30,140
09886,莫,0378,1,2,140
09919,菩,0379,1,89,140
09921,華,0380,1,31,140
10040,蓋,0381,1,13,140
10163,薩,0382,1,97,140
10191,藏,0383,1,23,140
10270,處,0384,1,19,141
10272,虚,0385,1,18,141
10276,號,0386,1,11,141
10414,蜜,0387,1,4,142
10614,行,0388,1,33,144
10820,西,0389,1,3,146
10826,覆,0390,1,2,146
10831,見,0391,1,36,147
10848,親,0392,1,2,147
10856,覺,0393,1,9,147
10875,解,0394,1,11,148
10890,言,0395,1,10,73
10936,訶,0396,1,17,149
10967,詞,0397,1,2,149
10974,詣,0398,1,10,149
11025,説,0399,1,39,149
11038,調,0400,1,5,149
11085,諸,0401,1,138,149
11095,謂,0402,1,3,149
11155,證,0403,1,5,149
11195,議,0404,1,8,149
11229,讚,0405,1,2,149
11397,賢,0406,1,11,154
11461,起,0407,1,3,156
11485,趣,0408,1,5,156
11495,足,0409,1,6,157
11502,趺,0410,1,6,157
11715,身,0411,1,50,158
11827,輪,0412,1,12,159
11856,轉,0413,1,12,159
11948,近,0414,1,2,162
12000,通,0415,1,18,162
12003,速,0416,1,3,162
12022,進,0417,1,2,162
12051,道,0418,1,19,162
12052,達,0419,1,4,162
12070,遠,0420,1,2,162
12092,遶,0421,1,6,162
12115,邊,0422,1,22,162
12134,那,0423,1,8,163
12376,量,0424,1,23,166
12380,金,0425,1,5,167
12709,門,0426,1,19,169
12716,開,0427,1,20,169
12724,間,0428,1,7,169
12757,閻,0429,1,2,169
12855,除,0430,1,2,170
12913,際,0431,1,2,170
12927,隨,0432,1,23,170
12963,集,0433,1,5,172
13001,離,0434,1,4,172
13002,難,0435,1,3,172
13012,雨,0436,1,13,173
13020,雲,0437,1,88,173
13023,雷,0438,1,2,173
13036,震,0439,1,4,173
13095,青,0440,1,3,174
13107,靡,0441,1,3,175
13108,面,0442,1,2,176
13281,音,0443,1,40,180
13304,須,0444,1,12,181
13307,頌,0445,1,13,181
13391,願,0446,1,26,181
13416,顯,0447,1,6,181
13551,養,0448,1,14,184
13565,餘,0449,1,3,184
13667,香,0450,1,12,186
13934,體,0451,1,6,188
14002,鬚,0452,1,2,190
14809,鼻,0453,1,2,209
00025,世,0454,2,49,1
02357,寂,0455,2,2,40
02473,尼,0456,2,25,44
02993,廣,0457,2,15,53
03116,影,0458,2,6,59
03165,微,0459,2,46,60
03896,提,0460,2,8,64
04389,於,0461,2,69,70
04485,明,0462,2,67,72
05279,樂,0463,2,7,75
05639,歡,0464,2,3,76
05643,正,0465,2,6,77
06272,淨,0466,2,11,85
08148,福,0467,2,1,113
09617,臺,0468,2,1,133
09629,與,0469,2,6,134
10050,蓮,0470,2,11,140
10859,觀,0471,2,16,147
12083,遮,0472,2,4,162
